date,volume,open,high,low,close,MACD,RSI
2020-11-26,103893.92,10.0,12.223,5.861,5.861,0.0,
2020-11-27,89997.6,5.8,7.05,4.68,6.057,0.02,
2020-11-28,7115.78,6.11,6.466,4.987,5.491,-0.02,
2020-11-29,23447.56,5.575,5.892,4.281,4.431,-0.13,
2020-11-30,315027.12,4.4,4.4,2.888,3.214,-0.31,
2020-12-01,144650.74,3.25,3.818,2.937,3.354,-0.44,
2020-12-02,449278.29,3.384,3.613,2.062,2.244,-0.62,
2020-12-03,808055.11,2.259,2.475,1.82,1.96,-0.78,
2020-12-04,807544.48,1.973,2.66,1.893,2.539,-0.85,
2020-12-05,887004.47,2.566,2.673,1.898,1.898,-0.95,
2020-12-06,604913.49,1.904,2.271,1.884,2.116,-0.99,
2020-12-07,962247.51,2.115,2.169,1.8,1.916,-1.04,
2020-12-08,1600075.96,1.942,2.85,1.915,2.631,-1.0,
2020-12-09,1132807.92,2.66,3.05,2.143,2.282,-0.99,
2020-12-10,790088.92,2.272,2.854,2.255,2.797,-0.93,30.33
2020-12-11,1259574.57,2.755,3.23,2.456,2.757,-0.87,28.39
2020-12-12,763222.85,2.74,2.74,2.3,2.431,-0.84,29.31
2020-12-13,688099.73,2.45,2.528,1.998,2.048,-0.84,32.26
2020-12-14,897369.43,2.048,2.254,1.73,1.934,-0.84,38.6
2020-12-15,669441.13,1.934,2.004,1.818,1.91,-0.83,36.87
2020-12-16,654459.25,1.91,2.167,1.601,1.72,-0.83,44.28
2020-12-17,520873.57,1.718,1.977,1.585,1.85,-0.81,48.76
2020-12-18,277202.32,1.87,2.043,1.569,1.569,-0.81,38.25
2020-12-19,1618716.53,1.566,1.62,1.344,1.558,-0.8,45.14
2020-12-20,1150001.93,1.565,1.75,1.423,1.61,-0.78,42.4
2020-12-21,655076.69,1.614,2.023,1.511,1.857,-0.73,49.13
2020-12-22,745001.79,1.85,2.117,1.544,1.636,-0.7,32.74
2020-12-23,963231.32,1.644,2.999,1.629,2.159,-0.63,47.99
2020-12-24,366240.11,2.166,2.423,1.889,1.889,-0.59,33.85
2020-12-25,209820.61,1.885,2.147,1.81,1.929,-0.55,35.28
2020-12-26,108339.37,1.925,2.266,1.904,2.215,-0.49,46.1
2020-12-27,274672.5,2.181,2.335,1.81,2.097,-0.44,50.98
2020-12-28,305646.85,2.082,2.138,1.568,1.815,-0.43,47.78
2020-12-29,138939.42,1.805,2.216,1.75,2.031,-0.39,52.11
2020-12-30,259470.62,2.025,2.075,1.61,1.852,-0.37,52.31
2020-12-31,330360.8,1.868,2.019,1.47,1.48,-0.38,44.03
2021-01-01,202389.77,1.473,1.581,1.413,1.413,-0.39,47.3
2021-01-02,187639.01,1.41,1.647,1.382,1.541,-0.39,49.72
2021-01-03,290596.73,1.561,1.689,1.239,1.29,-0.4,45.0
2021-01-04,2622384.04,1.29,1.37,0.706,0.712,-0.45,33.79
2021-01-05,3108988.9,0.708,0.894,0.551,0.598,-0.49,34.84
2021-01-06,1448593.35,0.598,0.733,0.589,0.645,-0.51,24.32
2021-01-07,1975842.68,0.642,0.766,0.499,0.577,-0.53,26.11
2021-01-08,988729.31,0.575,0.768,0.459,0.522,-0.54,24.52
2021-01-09,1221680.25,0.522,0.59,0.421,0.443,-0.55,15.31
2021-01-10,8605996.43,0.435,0.45,0.291,0.328,-0.57,15.33
2021-01-11,16503679.42,0.328,0.508,0.23,0.238,-0.57,16.57
