date,volume,open,high,low,close,MACD,RSI
2020-11-26,68475.48,10.0,14.695,7.851,14.055,0.0,
2020-11-27,38995.79,14.239,16.449,10.819,12.33,-0.14,
2020-11-28,13643.72,12.248,14.491,11.8,13.6,-0.14,
2020-11-29,35619.36,13.48,15.936,12.774,15.595,0.01,
2020-11-30,79586.57,15.595,20.463,15.595,18.765,0.39,
2020-12-01,40859.67,18.7,19.905,15.729,17.856,0.61,
2020-12-02,61993.38,17.67,25.152,16.74,22.41,1.13,
2020-12-03,80318.81,22.328,26.242,20.136,24.939,1.74,
2020-12-04,69464.3,24.962,25.575,18.63,19.591,1.76,
2020-12-05,66366.01,19.55,26.076,18.9,26.03,2.27,
2020-12-06,63577.54,25.715,26.124,19.8,21.65,2.3,
2020-12-07,55030.53,21.741,26.099,21.001,23.447,2.44,
2020-12-08,106929.81,23.318,23.729,16.2,17.465,2.04,
2020-12-09,250443.62,17.2,19.829,15.097,18.342,1.78,
2020-12-10,81026.86,18.342,18.597,15.764,16.0,1.36,52.25
2020-12-11,327192.46,15.99,17.283,13.089,14.891,0.93,53.0
2020-12-12,84406.9,14.891,17.596,14.891,16.153,0.69,52.99
2020-12-13,73419.17,16.276,20.319,15.773,19.7,0.77,54.64
2020-12-14,126338.77,19.475,24.799,16.962,21.113,0.94,52.76
2020-12-15,65428.17,21.307,22.928,19.813,21.737,1.11,54.6
2020-12-16,67750.69,21.616,23.303,17.283,21.766,1.24,49.15
2020-12-17,57139.27,21.918,23.724,18.494,20.001,1.18,43.31
2020-12-18,36534.01,20.006,23.529,17.761,23.529,1.4,55.61
2020-12-19,88609.23,23.534,27.76,21.6,22.101,1.44,43.47
2020-12-20,82763.99,22.245,22.245,18.517,19.584,1.26,46.34
2020-12-21,66800.85,19.58,20.73,15.378,16.866,0.89,38.71
2020-12-22,70773.33,17.023,19.149,14.555,18.355,0.7,51.81
2020-12-23,76851.41,18.435,18.489,9.16,14.459,0.24,42.98
2020-12-24,82721.66,14.535,16.704,12.654,16.704,0.05,51.28
2020-12-25,33373.15,16.735,16.953,15.128,16.279,-0.13,52.58
2020-12-26,25061.69,16.2,16.32,14.548,14.883,-0.38,47.65
2020-12-27,32884.54,14.946,16.9,14.063,15.397,-0.53,41.03
2020-12-28,43877.79,15.39,18.198,15.181,16.911,-0.52,41.28
2020-12-29,26383.93,16.939,17.194,14.519,15.604,-0.61,37.62
2020-12-30,32526.43,15.605,18.055,15.24,16.535,-0.61,39.81
2020-12-31,39960.13,16.513,19.41,15.501,19.278,-0.37,48.64
2021-01-01,32331.31,19.278,20.192,17.842,20.174,-0.11,43.02
2021-01-02,26909.66,20.2,20.669,16.794,18.2,-0.07,42.06
2021-01-03,38084.53,18.2,21.82,16.446,21.272,0.21,53.36
2021-01-04,111725.87,21.272,27.909,18.293,27.655,0.94,68.74
2021-01-05,49342.56,27.612,30.724,22.602,29.262,1.63,68.87
2021-01-06,38144.51,29.262,29.647,24.901,27.777,2.03,75.14
2021-01-07,84445.73,27.9,32.229,18.559,23.4,1.97,61.7
2021-01-08,77539.52,23.495,24.307,15.0,19.851,1.62,55.63
2021-01-09,41743.6,20.112,23.5,17.83,22.747,1.56,61.83
2021-01-10,157157.9,22.838,31.287,18.711,26.55,1.8,65.26
2021-01-11,313528.83,26.55,26.629,11.8,18.652,1.33,52.03
2021-01-12,200079.37,18.652,27.728,16.829,23.986,1.38,58.93
2021-01-13,214139.35,23.937,33.689,20.558,32.854,2.11,64.87
2021-01-14,84697.07,32.988,37.92,28.531,33.606,2.71,63.54
2021-01-15,92462.43,33.74,45.71,30.573,44.727,4.04,69.45
2021-01-16,86204.21,45.18,65.995,45.18,52.564,5.67,74.91
2021-01-17,56227.22,52.518,62.146,48.508,55.169,7.08,74.74
2021-01-18,34428.64,55.353,63.448,51.793,63.396,8.76,75.4
2021-01-19,59848.78,63.396,68.231,53.038,54.042,9.24,65.86
2021-01-20,55318.13,53.952,60.0,46.591,58.418,9.85,68.91
2021-01-21,116247.02,58.485,59.384,38.753,41.542,8.87,59.7
2021-01-22,57516.69,41.422,58.25,35.649,53.638,8.97,66.56
2021-01-23,39137.41,53.54,69.483,51.94,65.982,9.93,69.39
2021-01-24,69584.09,65.867,108.703,65.107,94.514,12.85,74.95
2021-01-25,84871.71,94.696,105.448,79.439,85.172,14.24,74.16
2021-01-26,69487.36,85.019,107.689,81.323,101.546,16.47,76.08
2021-01-27,49427.96,102.12,114.447,89.095,106.962,18.47,75.51
2021-01-28,33231.56,106.446,121.88,99.691,113.835,20.37,76.5
2021-01-29,25931.76,114.719,121.298,96.35,107.01,21.08,71.17
2021-01-30,22436.31,107.125,129.775,102.793,124.654,22.81,72.98
2021-01-31,18899.02,123.943,126.709,107.5,111.631,22.86,66.87
2021-02-01,40785.44,112.296,119.159,101.481,108.914,22.42,64.07
2021-02-02,27135.44,108.032,120.833,99.51,114.172,22.25,69.07
2021-02-03,34876.28,114.836,193.3,112.9,192.568,28.11,78.95
2021-02-04,135574.38,192.004,351.9,171.82,276.63,39.09,89.33
2021-02-05,43624.28,277.537,372.777,272.001,318.412,50.57,90.29
2021-02-06,48055.07,319.998,324.214,225.573,271.256,55.24,78.24
2021-02-07,50431.55,271.257,276.874,181.019,260.953,57.44,74.11
2021-02-08,45322.7,259.708,319.494,249.5,271.404,59.34,76.89
2021-02-09,37022.98,271.53,293.9,237.55,262.16,59.42,73.68
2021-02-10,42230.34,260.501,375.397,234.35,295.925,61.5,75.71
2021-02-11,20441.31,296.437,318.004,273.58,283.29,61.42,72.7
2021-02-12,27605.72,283.292,322.0,259.001,297.817,61.81,75.04
2021-02-13,38288.22,297.429,319.174,236.27,247.209,57.38,64.8
2021-02-14,21090.62,245.28,259.803,202.172,211.414,50.4,61.42
