date,volume,open,high,low,close,MACD,RSI
2023-12-18,46424899.1,0.3571,16.3799,0.3571,13.876,0.0,
2023-12-19,13313060.9,13.8882,15.0797,12.423,13.2906,-0.05,
2023-12-20,9266862.7,13.2941,13.7669,12.0155,13.3745,-0.08,
2023-12-21,17139087.5,13.3733,17.25,12.6263,15.3897,0.06,
2023-12-22,10870081.9,15.3895,16.47,12.4088,13.2577,0.0,
2023-12-23,6178636.4,13.264,14.0319,12.53,13.3167,-0.04,
2023-12-24,4246249.3,13.3166,13.5449,12.1,12.6691,-0.13,
2023-12-25,5366979.2,12.6759,14.2576,12.4904,13.7062,-0.11,
2023-12-26,6435963.0,13.7049,14.2748,10.2606,11.71,-0.26,
2023-12-27,4803989.4,11.7253,11.9941,10.68,11.1565,-0.41,
2023-12-28,4731104.4,11.1615,11.4142,10.3,10.7249,-0.56,
2023-12-29,3846949.7,10.7263,11.2199,10.0321,11.1247,-0.64,
2023-12-30,2315875.5,11.1225,11.2632,10.1736,10.3161,-0.76,
2023-12-31,2993759.3,10.316,10.7007,8.5,9.3278,-0.93,
2024-01-01,3478944.3,9.3305,9.659,8.9344,9.5261,-1.03,31.78
2024-01-02,6644616.9,9.5216,11.3547,9.2997,9.7918,-1.07,34.94
2024-01-03,6245151.9,9.7874,10.0753,7.3,8.3435,-1.21,30.62
2024-01-04,4113708.5,8.3442,9.1,7.7914,8.6944,-1.28,20.42
2024-01-05,3635886.9,8.6944,8.9319,7.81,8.3136,-1.35,24.16
2024-01-06,7004257.7,8.3096,9.76,7.5001,9.0342,-1.33,29.06
2024-01-07,6657766.8,9.0384,10.1947,8.2333,8.4192,-1.35,29.16
2024-01-08,3589874.7,8.4217,8.592,7.5125,8.3895,-1.35,21.06
2024-01-09,3704044.7,8.3901,8.5455,7.1,7.5504,-1.41,24.1
2024-01-10,3142341.7,7.543,8.2709,7.05,8.1489,-1.39,31.38
2024-01-11,4348993.7,8.15,9.0998,7.9874,8.8358,-1.3,38.66
2024-01-12,3603958.1,8.8302,9.3743,8.17,9.3389,-1.17,39.41
2024-01-13,3186658.6,9.346,9.5717,8.3167,8.8386,-1.1,40.91
2024-01-14,6054753.4,8.8403,10.0969,8.7083,9.315,-1.0,49.92
2024-01-15,5264070.8,9.3,10.6528,9.1767,10.0389,-0.84,53.15
2024-01-16,3307979.8,10.0368,10.2448,9.2,9.4519,-0.76,47.99
2024-01-17,2471210.3,9.4495,9.7189,8.7227,8.9258,-0.73,53.86
2024-01-18,2358390.9,8.9258,8.9335,8.0,8.1407,-0.76,46.53
2024-01-19,2441315.9,8.1343,8.2971,7.3571,8.1367,-0.78,48.84
2024-01-20,1734036.8,8.1343,8.6241,7.8901,8.3501,-0.76,45.17
2024-01-21,1553339.8,8.3519,8.77,8.212,8.2744,-0.75,48.89
2024-01-22,1964908.6,8.2728,8.3264,7.7381,8.0147,-0.75,47.24
2024-01-23,4365878.0,8.014,8.637,7.1865,7.8179,-0.76,52.18
2024-01-24,8003777.8,7.8179,9.284,7.61,9.1925,-0.65,57.55
2024-01-25,5056271.9,9.1939,9.5497,8.701,8.8635,-0.58,50.21
2024-01-26,3538825.7,8.8574,9.7567,8.809,9.5378,-0.46,51.48
2024-01-27,2927196.1,9.5378,9.8963,9.2893,9.4686,-0.38,55.0
2024-01-28,2387434.3,9.4683,9.68,9.0701,9.2122,-0.32,49.15
2024-01-29,1969837.7,9.2135,9.6706,9.1181,9.4118,-0.26,44.35
2024-01-30,2333865.8,9.4142,9.8168,9.1773,9.2578,-0.22,48.1
2024-01-31,2844272.6,9.2522,9.65,9.0275,9.4727,-0.17,55.69
2024-02-01,2712804.1,9.473,9.6565,9.115,9.416,-0.13,65.64
2024-02-02,1791834.2,9.4199,9.69,9.25,9.3445,-0.11,64.57
2024-02-03,912377.1,9.3476,9.55,9.1,9.1661,-0.1,59.93
2024-02-04,2684146.2,9.1645,9.1904,8.0353,8.277,-0.17,50.03
2024-02-05,1369661.9,8.277,8.4684,7.9949,8.3138,-0.21,53.18
2024-02-06,1093414.6,8.3131,8.6724,8.2343,8.3101,-0.25,55.46
2024-02-07,770077.8,8.3101,8.5824,8.158,8.4752,-0.26,39.13
2024-02-08,956096.2,8.478,8.6066,8.2813,8.3136,-0.28,41.22
2024-02-09,1343362.9,8.3123,8.614,8.2407,8.5569,-0.27,31.84
2024-02-10,1050842.3,8.5616,8.931,8.3801,8.6588,-0.25,35.18
2024-02-11,2497468.5,8.6588,9.544,8.613,9.2854,-0.18,51.18
2024-02-12,2120052.2,9.2846,9.54,8.801,9.4218,-0.12,50.16
2024-02-13,2233744.0,9.42,9.7729,8.854,9.2888,-0.08,50.51
2024-02-14,6016483.0,9.2946,10.99,9.2077,10.7352,0.07,64.85
