date,volume,open,high,low,close,MACD,RSI
2020-07-16,13324.44,8.64,9.12,7.63,8.51,0.0,
2020-07-17,12751.03,8.54,8.59,7.83,7.88,-0.05,
2020-07-18,25751.94,7.87,8.1,7.27,7.85,-0.09,
2020-07-19,10625.06,7.84,8.18,7.65,8.08,-0.1,
2020-07-20,26421.56,8.06,8.07,6.49,6.98,-0.2,
2020-07-21,25220.93,6.97,8.22,6.8,7.93,-0.2,
2020-07-22,22003.31,8.01,8.27,7.56,8.12,-0.18,
2020-07-23,40290.41,8.12,9.28,8.12,9.03,-0.09,
2020-07-24,23175.14,9.07,9.07,8.46,8.62,-0.05,
2020-07-25,142061.27,8.69,12.92,8.69,12.29,0.27,
2020-07-26,251058.2,12.32,14.61,11.85,13.35,0.61,
2020-07-27,356252.95,13.36,13.58,9.52,11.36,0.7,
2020-07-28,227732.87,11.21,13.61,9.93,13.11,0.91,
2020-07-29,117775.96,13.1,13.28,10.6,10.88,0.89,
2020-07-30,110880.28,10.91,11.33,10.39,11.14,0.88,58.53
2020-07-31,54732.07,11.06,11.14,10.17,10.73,0.83,59.38
2020-08-01,84222.5,10.7,12.29,10.63,11.68,0.85,61.89
2020-08-02,276641.14,11.76,12.5,8.57,9.91,0.72,55.18
2020-08-03,54331.08,9.91,10.69,9.65,10.45,0.66,60.15
2020-08-04,95162.84,10.44,12.2,10.2,11.33,0.67,59.99
2020-08-05,22369.71,11.34,11.8,10.65,11.32,0.67,59.5
2020-08-06,19576.58,11.2,11.88,10.91,11.65,0.69,58.06
2020-08-07,42522.64,11.65,12.19,9.41,10.57,0.61,55.76
2020-08-08,26398.43,10.51,12.08,10.35,11.88,0.64,48.59
2020-08-09,45687.6,11.88,13.0,10.97,11.61,0.64,43.69
2020-08-10,20024.66,11.61,11.8,10.84,11.12,0.59,49.02
2020-08-11,38341.25,11.12,11.28,9.26,9.95,0.46,36.5
2020-08-12,67714.09,10.06,10.08,8.0,9.69,0.32,43.88
2020-08-13,48424.96,9.81,10.662,9.08,10.16,0.25,45.07
2020-08-14,27315.27,10.295,10.541,9.911,9.962,0.18,46.05
2020-08-15,34756.04,10.049,10.68,9.692,9.916,0.11,40.0
2020-08-16,59488.78,9.981,10.275,9.36,10.066,0.07,51.08
2020-08-17,34936.09,10.088,11.0,9.834,10.348,0.07,49.27
2020-08-18,25140.6,10.275,10.826,9.224,9.81,0.01,38.49
2020-08-19,36891.16,9.812,9.895,8.01,8.391,-0.14,31.72
2020-08-20,21573.66,8.449,9.094,8.01,9.053,-0.2,34.44
2020-08-21,37570.9,9.075,9.095,7.345,7.529,-0.37,32.7
2020-08-22,60652.26,7.566,7.85,6.892,7.764,-0.49,23.32
2020-08-23,32744.07,7.755,7.774,7.159,7.277,-0.61,22.68
2020-08-24,22527.3,7.248,7.85,7.122,7.548,-0.67,26.84
2020-08-25,203982.18,7.504,7.504,5.43,6.136,-0.83,26.02
2020-08-26,110952.34,6.103,6.872,5.83,6.24,-0.93,27.88
2020-08-27,291727.07,6.27,6.49,4.442,5.104,-1.09,20.13
2020-08-28,103792.51,5.106,5.594,4.98,5.326,-1.19,22.69
2020-08-29,85473.07,5.325,6.463,5.16,6.18,-1.19,29.91
2020-08-30,49880.17,6.226,6.519,5.879,6.305,-1.16,29.72
2020-08-31,106363.9,6.388,7.791,5.0,7.03,-1.06,32.92
2020-09-01,73988.81,7.133,7.916,6.555,7.368,-0.95,37.17
2020-09-02,112559.28,7.362,7.6,5.226,5.827,-0.98,36.7
2020-09-03,249807.04,5.8,6.0,3.54,3.782,-1.15,26.08
2020-09-04,295695.17,3.705,4.517,3.5,4.278,-1.23,33.73
2020-09-05,239964.66,4.281,4.486,3.153,3.376,-1.35,29.41
2020-09-06,273461.78,3.385,3.879,3.1,3.547,-1.42,31.97
2020-09-07,239639.07,3.557,3.679,2.934,3.571,-1.45,30.3
2020-09-08,171832.05,3.601,3.91,3.15,3.414,-1.47,34.6
2020-09-09,352537.67,3.386,3.87,3.169,3.633,-1.46,35.44
2020-09-10,212111.75,3.672,4.24,3.67,4.0,-1.4,43.26
2020-09-11,118446.39,4.027,4.065,3.604,3.999,-1.34,41.67
2020-09-12,59231.04,3.998,4.169,3.716,4.057,-1.27,35.19
2020-09-13,87454.35,4.058,4.31,3.449,3.793,-1.22,32.81
2020-09-14,79166.98,3.759,4.065,3.573,3.944,-1.16,27.09
2020-09-15,66648.15,3.947,4.11,3.526,3.55,-1.13,21.89
2020-09-16,52081.82,3.558,3.558,3.16,3.385,-1.1,27.45
2020-09-17,60886.86,3.341,3.705,3.286,3.656,-1.05,48.27
2020-09-18,41677.36,3.627,3.642,3.2,3.291,-1.03,35.94
2020-09-19,60316.1,3.315,3.577,3.274,3.362,-0.99,49.74
2020-09-20,70732.23,3.348,3.436,2.95,3.15,-0.97,42.7
2020-09-21,218009.92,3.124,3.23,2.041,2.29,-1.01,31.98
2020-09-22,148579.6,2.29,2.527,2.221,2.363,-1.02,34.86
2020-09-23,139026.5,2.422,2.488,1.995,2.06,-1.04,27.88
2020-09-24,176244.66,2.074,2.541,1.961,2.465,-1.02,28.64
2020-09-25,318706.14,2.464,3.598,2.437,3.465,-0.91,44.19
2020-09-26,174056.64,3.5,3.708,3.081,3.354,-0.82,42.43
2020-09-27,121018.66,3.357,3.979,3.256,3.777,-0.7,49.83
2020-09-28,225191.26,3.885,4.28,3.617,3.737,-0.61,47.79
2020-09-29,107882.34,3.733,4.019,3.485,3.805,-0.53,52.92
2020-09-30,135774.47,3.794,3.861,3.369,3.827,-0.45,55.23
2020-10-01,113879.7,3.863,4.15,3.182,3.478,-0.42,47.93
2020-10-02,188661.96,3.477,3.726,2.732,3.0,-0.42,46.7
2020-10-03,111550.26,3.021,3.31,2.934,3.04,-0.42,46.33
2020-10-04,115856.23,3.022,3.45,2.929,3.32,-0.39,51.91
2020-10-05,123446.89,3.321,3.566,3.264,3.378,-0.35,64.9
2020-10-06,108672.09,3.385,3.485,2.827,3.005,-0.35,58.13
2020-10-07,142918.29,2.977,3.12,2.68,3.045,-0.35,63.36
2020-10-08,257723.23,3.029,3.295,2.7,3.226,-0.32,60.99
2020-10-09,190814.27,3.203,3.819,3.107,3.601,-0.27,52.4
2020-10-10,354900.97,3.633,4.4,3.631,3.847,-0.21,58.29
