date,volume,open,high,low,close,MACD,RSI
2021-10-29,441107921.0,0.5348,1.9266,0.5348,1.1633,0.0,
2021-10-30,210400152.0,1.1623,1.46,1.0269,1.0458,-0.01,
2021-10-31,37438608.0,1.0459,1.15,0.9092,0.9142,-0.03,
2021-11-01,13997045.0,0.9142,0.95,0.8,0.8688,-0.04,
2021-11-02,9441894.0,0.8684,0.9069,0.85,0.8615,-0.06,
2021-11-03,9024532.0,0.863,0.8651,0.7846,0.7899,-0.07,
2021-11-04,9847682.0,0.7897,0.8086,0.723,0.7528,-0.09,
2021-11-05,9119365.0,0.7511,0.8199,0.7257,0.74,-0.1,
2021-11-06,57169853.0,0.7393,1.0962,0.7248,0.8472,-0.1,
2021-11-07,28113122.0,0.849,0.9347,0.7854,0.8196,-0.1,
2021-11-08,5345855.0,0.8177,0.8206,0.7777,0.7849,-0.1,
2021-11-09,5109582.0,0.7866,0.8285,0.7787,0.7822,-0.1,
2021-11-10,4366391.0,0.7818,0.8018,0.721,0.7443,-0.1,
2021-11-11,27551353.0,0.7419,0.9689,0.735,0.7893,-0.1,
2021-11-12,8493685.0,0.7879,0.84,0.7566,0.8042,-0.1,24.1
2021-11-13,4460449.0,0.8026,0.8218,0.7796,0.7844,-0.09,28.06
2021-11-14,2618062.0,0.7844,0.8017,0.766,0.7728,-0.09,35.13
2021-11-15,2508610.0,0.7728,0.7939,0.7581,0.76,-0.09,37.72
2021-11-16,17115232.0,0.7602,0.8667,0.6924,0.7894,-0.08,42.25
2021-11-17,8461392.0,0.7899,0.8486,0.752,0.7598,-0.08,46.44
2021-11-18,4078014.0,0.7597,0.7901,0.6988,0.7035,-0.08,44.43
2021-11-19,2709964.0,0.7039,0.7495,0.6819,0.7326,-0.08,49.19
2021-11-20,6775145.0,0.7328,0.8,0.7127,0.7532,-0.08,37.37
2021-11-21,10744989.0,0.7514,0.8465,0.7317,0.7782,-0.07,44.4
2021-11-22,6183490.0,0.779,0.819,0.7436,0.7536,-0.07,45.64
2021-11-23,2876029.0,0.7506,0.7786,0.7451,0.7613,-0.06,47.13
2021-11-24,3686016.0,0.7626,0.7699,0.6982,0.713,-0.06,45.82
2021-11-25,4227605.0,0.7132,0.7673,0.7124,0.7481,-0.06,44.35
2021-11-26,4465071.0,0.7482,0.766,0.6706,0.6753,-0.06,34.75
2021-11-27,7689906.0,0.6775,0.7842,0.6754,0.7243,-0.06,43.35
2021-11-28,3685914.0,0.7235,0.7295,0.6662,0.724,-0.06,44.46
2021-11-29,3540616.0,0.724,0.751,0.7028,0.7213,-0.05,45.51
2021-11-30,3251575.0,0.7211,0.7499,0.7008,0.7315,-0.05,42.96
2021-12-01,5047090.0,0.7315,0.79,0.7129,0.7206,-0.05,45.01
2021-12-02,7324902.0,0.7195,0.7793,0.6947,0.74,-0.04,55.13
2021-12-03,30178923.0,0.7409,0.919,0.728,0.7282,-0.04,49.35
2021-12-04,7065971.0,0.7278,0.7292,0.53,0.6238,-0.05,34.68
2021-12-05,2996923.0,0.6239,0.6358,0.555,0.5876,-0.05,28.01
2021-12-06,6545292.0,0.5872,0.669,0.5401,0.6114,-0.06,33.56
2021-12-07,2313025.0,0.6101,0.635,0.59,0.6051,-0.06,31.89
2021-12-08,4457433.0,0.6051,0.6318,0.5917,0.6179,-0.06,37.98
2021-12-09,4877941.0,0.6179,0.6292,0.5683,0.575,-0.06,28.55
2021-12-10,4384180.0,0.5753,0.6018,0.5455,0.5487,-0.06,32.27
2021-12-11,3580927.0,0.5482,0.582,0.5406,0.5759,-0.06,27.86
2021-12-12,4941621.0,0.5753,0.6063,0.5677,0.6008,-0.06,32.88
2021-12-13,4932273.0,0.6008,0.6025,0.5111,0.5306,-0.06,27.69
2021-12-14,10695347.0,0.5301,0.5845,0.528,0.5605,-0.06,30.87
2021-12-15,5009560.0,0.5588,0.5633,0.517,0.5536,-0.06,31.15
2021-12-16,3985286.0,0.5527,0.5771,0.5523,0.5572,-0.06,28.6
2021-12-17,5240809.0,0.5581,0.5772,0.5326,0.5437,-0.06,28.49
2021-12-18,6155668.0,0.5428,0.599,0.5325,0.5563,-0.06,39.99
2021-12-19,5094235.0,0.5544,0.599,0.5456,0.55,-0.05,43.88
2021-12-20,4731970.0,0.549,0.5605,0.539,0.5552,-0.05,40.26
2021-12-21,3481029.0,0.5552,0.5718,0.5474,0.5664,-0.05,43.41
2021-12-22,4853584.0,0.5664,0.6,0.5646,0.5863,-0.04,44.74
2021-12-23,5000803.0,0.5863,0.605,0.5727,0.5956,-0.04,53.86
2021-12-24,7200569.0,0.5959,0.6393,0.5902,0.6259,-0.03,64.24
2021-12-25,3700718.0,0.6255,0.6492,0.6037,0.6125,-0.03,57.12
2021-12-26,4900552.0,0.6122,0.6293,0.608,0.6219,-0.02,54.36
2021-12-27,7698683.0,0.6216,0.6896,0.6215,0.6474,-0.02,79.64
2021-12-28,3044810.0,0.6478,0.6553,0.5586,0.5805,-0.02,54.27
2021-12-29,6034544.0,0.5803,0.5868,0.5521,0.5557,-0.02,50.42
2021-12-30,4865316.0,0.5546,0.5786,0.5479,0.5701,-0.02,52.46
2021-12-31,5702635.0,0.5699,0.6017,0.5498,0.5546,-0.02,52.06
2022-01-01,3673337.0,0.5547,0.5734,0.5547,0.5729,-0.02,53.07
2022-01-02,5026816.0,0.5734,0.5907,0.5717,0.5799,-0.02,55.51
2022-01-03,5994066.0,0.5796,0.6132,0.5688,0.5798,-0.02,54.62
2022-01-04,4523688.0,0.5804,0.5828,0.5613,0.5613,-0.02,49.07
2022-01-05,5968650.0,0.5613,0.5746,0.5142,0.5276,-0.02,39.78
2022-01-06,3784682.0,0.5276,0.5322,0.5087,0.5223,-0.02,37.05
2022-01-07,6020574.0,0.5228,0.5228,0.4916,0.4953,-0.03,26.66
2022-01-08,6015307.0,0.4967,0.5057,0.4695,0.4875,-0.03,27.21
2022-01-09,3688295.0,0.4875,0.4927,0.469,0.4814,-0.03,24.07
2022-01-10,5677740.0,0.4814,0.4831,0.4442,0.4647,-0.04,15.15
2022-01-11,4126320.0,0.4644,0.4915,0.4602,0.4826,-0.04,27.03
2022-01-12,4100890.0,0.4826,0.4987,0.4738,0.4965,-0.03,35.36
2022-01-13,4410459.0,0.4961,0.5034,0.4878,0.493,-0.03,29.85
2022-01-14,5063302.0,0.4934,0.5084,0.4809,0.4967,-0.03,33.87
2022-01-15,3303368.0,0.4967,0.519,0.4923,0.5029,-0.03,29.09
2022-01-16,3396780.0,0.5028,0.5029,0.4859,0.4936,-0.03,24.57
2022-01-17,3813487.0,0.4941,0.4954,0.4684,0.4715,-0.03,21.75
2022-01-18,4108639.0,0.472,0.4764,0.45,0.4702,-0.03,23.9
2022-01-19,3859679.0,0.4704,0.4713,0.4542,0.4608,-0.03,27.76
2022-01-20,3658669.0,0.4601,0.4792,0.45,0.4509,-0.03,26.94
2022-01-21,5994053.0,0.4511,0.4557,0.3934,0.4159,-0.03,25.61
2022-01-22,16116264.0,0.4169,0.4894,0.39,0.4319,-0.04,33.74
2022-01-23,5415726.0,0.432,0.4497,0.3935,0.4133,-0.04,31.44
2022-01-24,11467627.0,0.4129,0.4215,0.3704,0.4058,-0.04,33.1
2022-01-25,9188789.0,0.4057,0.4243,0.3982,0.4142,-0.04,29.25
2022-01-26,9187419.0,0.4142,0.4418,0.3996,0.4092,-0.04,22.0
2022-01-27,10124388.0,0.409,0.4165,0.3887,0.4041,-0.04,21.78
2022-01-28,1074559.0,0.4041,0.4105,0.3957,0.4105,-0.04,23.1
2022-01-29,5378852.0,0.409,0.4254,0.409,0.4128,-0.04,21.18
2022-01-30,4036214.0,0.4128,0.4147,0.4076,0.4095,-0.03,22.02
2022-01-31,10751371.0,0.4095,0.4431,0.4016,0.4358,-0.03,38.45
2022-02-01,4714437.0,0.4358,0.4405,0.4202,0.4318,-0.03,37.79
2022-02-02,13600225.0,0.4321,0.47,0.418,0.4398,-0.03,43.26
2022-02-03,12214324.0,0.4397,0.4792,0.4236,0.4595,-0.02,52.6
2022-02-04,8614196.0,0.4614,0.5094,0.4488,0.4918,-0.02,73.3
2022-02-05,10964706.0,0.4912,0.52,0.4707,0.4853,-0.01,67.41
2022-02-06,12009191.0,0.4852,0.5077,0.4579,0.4693,-0.01,68.57
2022-02-07,9163660.0,0.469,0.4925,0.4598,0.4819,-0.01,74.41
2022-02-08,9847150.0,0.4823,0.4949,0.4656,0.4753,-0.0,69.82
2022-02-09,7911312.0,0.4755,0.4849,0.4672,0.4791,-0.0,72.86
2022-02-10,9109324.0,0.4787,0.4904,0.4637,0.4748,-0.0,73.24
2022-02-11,12042727.0,0.4748,0.481,0.4462,0.4533,-0.0,62.8
2022-02-12,9417730.0,0.453,0.4591,0.4281,0.4369,-0.0,56.65
2022-02-13,11457461.0,0.4367,0.4572,0.4255,0.4333,-0.01,56.55
2022-02-14,7840898.0,0.4336,0.4628,0.4306,0.442,-0.01,51.89
2022-02-15,6923627.0,0.4417,0.4741,0.4405,0.4612,-0.0,58.2
2022-02-16,9328213.0,0.461,0.4773,0.4461,0.4546,-0.0,54.16
2022-02-17,11991954.0,0.4547,0.4683,0.4241,0.4267,-0.01,41.18
2022-02-18,9768004.0,0.4269,0.4346,0.4181,0.4194,-0.01,27.52
2022-02-19,5720455.0,0.4194,0.4218,0.4084,0.4106,-0.01,27.13
2022-02-20,8963399.0,0.4114,0.4114,0.3908,0.3949,-0.01,27.18
2022-02-21,12050313.0,0.395,0.4116,0.3834,0.3914,-0.02,20.6
2022-02-22,11318281.0,0.3909,0.4468,0.3828,0.411,-0.02,30.74
2022-02-23,9168947.0,0.4115,0.4421,0.4052,0.4108,-0.02,29.09
2022-02-24,11451914.0,0.4105,0.4319,0.3787,0.4174,-0.01,32.67
2022-02-25,11990937.0,0.4179,0.437,0.4096,0.4319,-0.01,43.25
2022-02-26,6745337.0,0.4321,0.4432,0.4199,0.4213,-0.01,44.9
2022-02-27,10950202.0,0.4214,0.4355,0.3897,0.3928,-0.01,38.6
2022-02-28,9930636.0,0.3925,0.4345,0.3902,0.4303,-0.01,47.17
2022-03-01,7427228.0,0.43,0.4396,0.4212,0.4356,-0.01,43.35
2022-03-02,11077255.0,0.4356,0.4404,0.4177,0.421,-0.01,41.63
2022-03-03,10579646.0,0.4209,0.4229,0.3961,0.4084,-0.01,45.06
2022-03-04,11883782.0,0.4083,0.4103,0.3829,0.3902,-0.01,42.56
2022-03-05,7930924.0,0.3904,0.4136,0.3878,0.3941,-0.01,45.69
2022-03-06,11260630.0,0.3938,0.409,0.3881,0.3978,-0.01,50.81
2022-03-07,11473850.0,0.3973,0.4018,0.3862,0.3888,-0.01,49.3
2022-03-08,10598665.0,0.3889,0.4033,0.3875,0.3908,-0.01,43.96
2022-03-09,9463574.0,0.3908,0.4113,0.3898,0.4082,-0.01,49.3
2022-03-10,10140496.0,0.4083,0.4098,0.3804,0.3856,-0.01,42.07
2022-03-11,9577456.0,0.3853,0.3969,0.3828,0.3875,-0.01,38.18
2022-03-12,2776780.0,0.3872,0.3903,0.381,0.3819,-0.01,39.22
2022-03-13,3675685.0,0.3817,0.3835,0.3745,0.3745,-0.01,44.34
2022-03-14,5846815.0,0.3745,0.3902,0.3692,0.3875,-0.01,34.4
2022-03-15,6760779.0,0.387,0.3878,0.3636,0.3754,-0.01,29.1
2022-03-16,111182443.0,0.3756,0.6384,0.3742,0.4333,-0.01,53.28
2022-03-17,35290756.0,0.4333,0.4499,0.3973,0.407,-0.01,49.65
2022-03-18,11985245.0,0.4072,0.415,0.3937,0.4,-0.01,52.58
2022-03-19,11408062.0,0.4,0.419,0.4,0.4015,-0.01,51.97
2022-03-20,11584872.0,0.4011,0.4266,0.3933,0.3992,-0.01,50.38
2022-03-21,6893563.0,0.3991,0.4095,0.3961,0.4033,-0.01,54.0
2022-03-22,8835427.0,0.4032,0.4194,0.4025,0.4068,-0.0,54.38
2022-03-23,8419123.0,0.4069,0.4212,0.4038,0.415,-0.0,51.96
2022-03-24,10649088.0,0.4146,0.4303,0.4111,0.419,-0.0,60.79
2022-03-25,7988440.0,0.4192,0.437,0.4126,0.416,-0.0,59.14
2022-03-26,4528218.0,0.416,0.4391,0.4157,0.4274,0.0,64.07
2022-03-27,5737161.0,0.4274,0.4389,0.4173,0.4372,0.0,69.1
2022-03-28,9513219.0,0.4372,0.4658,0.427,0.4298,0.0,63.34
2022-03-29,5009349.0,0.4287,0.4469,0.4241,0.4346,0.01,69.58
2022-03-30,5018019.0,0.434,0.4447,0.423,0.4429,0.01,54.72
2022-03-31,5279382.0,0.442,0.4519,0.4141,0.421,0.01,57.2
2022-04-01,8155294.0,0.421,0.4589,0.4036,0.4485,0.01,70.6
