date,volume,open,high,low,close,MACD,RSI
2023-05-05,36053201.0,0.1259,0.147,0.1259,0.1306,0.0,
2023-05-06,6694108.0,0.1306,0.1323,0.1213,0.1247,-0.0,
2023-05-07,3679076.0,0.1242,0.1264,0.1218,0.1232,-0.0,
2023-05-08,3702150.0,0.1232,0.1243,0.1106,0.1151,-0.0,
2023-05-09,3179750.0,0.1151,0.1169,0.1107,0.115,-0.0,
2023-05-10,3074346.0,0.1143,0.1164,0.1108,0.1152,-0.0,
2023-05-11,2363246.0,0.1153,0.1209,0.1073,0.1098,-0.0,
2023-05-12,1535720.0,0.11,0.1123,0.106,0.1103,-0.0,
2023-05-13,1416623.0,0.1104,0.1127,0.1094,0.1099,-0.01,
2023-05-14,480817.0,0.1099,0.112,0.109,0.1106,-0.01,
2023-05-15,1217501.0,0.1106,0.1129,0.1089,0.1114,-0.01,
2023-05-16,6398293.0,0.1116,0.1169,0.1095,0.1131,-0.01,
2023-05-17,20828809.0,0.113,0.1195,0.1099,0.1153,-0.0,
2023-05-18,9338198.0,0.1153,0.1175,0.1123,0.1136,-0.0,
2023-05-19,52500028.0,0.1136,0.1399,0.1136,0.1198,-0.0,34.75
2023-05-20,10620703.0,0.1197,0.121,0.1148,0.1163,-0.0,37.27
2023-05-21,5352983.0,0.1163,0.1173,0.1112,0.1115,-0.0,33.88
2023-05-22,7262738.0,0.1114,0.119,0.108,0.1134,-0.0,47.18
2023-05-23,28719829.0,0.1133,0.1216,0.1122,0.1169,-0.0,52.84
2023-05-24,7641563.0,0.1169,0.118,0.1079,0.1106,-0.0,44.19
2023-05-25,2965981.0,0.1106,0.113,0.1089,0.1109,-0.0,51.59
2023-05-26,7956380.0,0.111,0.1125,0.1073,0.1104,-0.0,50.14
2023-05-27,2403120.0,0.1104,0.1111,0.1094,0.111,-0.0,51.59
2023-05-28,2586379.0,0.1109,0.1143,0.1104,0.1142,-0.0,54.84
2023-05-29,2162892.0,0.1141,0.1148,0.1112,0.1121,-0.0,50.91
2023-05-30,2299351.0,0.1122,0.1124,0.1104,0.1107,-0.0,46.86
2023-05-31,1669207.0,0.1108,0.1114,0.1073,0.1086,-0.0,41.21
2023-06-01,27884748.0,0.1085,0.1191,0.1056,0.1122,-0.0,48.25
2023-06-02,13099430.0,0.1124,0.1131,0.1098,0.1116,-0.0,38.08
2023-06-03,3882122.0,0.1116,0.1139,0.1109,0.1123,-0.0,43.67
2023-06-04,4190220.0,0.1123,0.1151,0.1116,0.112,-0.0,50.92
2023-06-05,10956317.0,0.112,0.1124,0.1021,0.104,-0.0,35.84
2023-06-06,4697219.0,0.1041,0.1081,0.1003,0.1079,-0.0,36.61
2023-06-07,3896842.0,0.1075,0.1081,0.1007,0.1022,-0.0,37.27
2023-06-08,2629972.0,0.1024,0.1068,0.102,0.1046,-0.0,41.03
2023-06-09,1620297.0,0.1044,0.1071,0.1028,0.1042,-0.0,41.14
2023-06-10,5809429.0,0.1045,0.1047,0.0902,0.0932,-0.0,30.4
2023-06-11,1933135.0,0.0932,0.0963,0.0927,0.0952,-0.0,28.51
2023-06-12,1213553.0,0.0956,0.0956,0.0919,0.0949,-0.01,29.72
2023-06-13,2242315.0,0.095,0.0969,0.0936,0.0956,-0.01,31.89
2023-06-14,4382534.0,0.0955,0.1001,0.0893,0.091,-0.01,30.09
2023-06-15,15850881.0,0.0913,0.1011,0.0859,0.0886,-0.01,22.56
2023-06-16,7762633.0,0.0884,0.091,0.0862,0.0885,-0.01,22.82
2023-06-17,3225834.0,0.0887,0.0905,0.0875,0.0898,-0.01,23.9
2023-06-18,1840671.0,0.0898,0.0902,0.0882,0.089,-0.01,23.62
2023-06-19,1639488.0,0.0889,0.0906,0.0882,0.0905,-0.01,31.81
2023-06-20,2499083.0,0.0906,0.093,0.0879,0.0922,-0.01,27.51
2023-06-21,3892069.0,0.0922,0.0971,0.0915,0.0966,-0.01,41.67
2023-06-22,7706472.0,0.0964,0.1036,0.0957,0.0984,-0.0,40.61
2023-06-23,3384164.0,0.0984,0.1027,0.0976,0.102,-0.0,46.96
2023-06-24,3314982.0,0.1022,0.1079,0.1007,0.1033,-0.0,69.06
2023-06-25,3898875.0,0.1035,0.1057,0.0996,0.1011,-0.0,61.05
2023-06-26,4312227.0,0.1012,0.1044,0.0992,0.1021,-0.0,63.14
2023-06-27,12140996.0,0.1023,0.1129,0.1016,0.106,-0.0,66.99
2023-06-28,3621487.0,0.1057,0.1059,0.0976,0.0987,-0.0,61.56
2023-06-29,984037.0,0.0988,0.1012,0.0976,0.0997,-0.0,67.4
2023-06-30,2478041.0,0.0999,0.1036,0.0929,0.1011,-0.0,68.98
2023-07-01,2542891.0,0.1014,0.1047,0.0998,0.1039,-0.0,70.32
2023-07-02,1655401.0,0.1039,0.1054,0.1009,0.1032,-0.0,70.52
2023-07-03,2469729.0,0.1029,0.1056,0.1025,0.1046,0.0,70.43
2023-07-04,7740857.0,0.1046,0.111,0.1035,0.1096,0.0,73.02
2023-07-05,11283034.0,0.1097,0.12,0.1035,0.1062,0.0,63.04
2023-07-06,3248087.0,0.106,0.1078,0.1002,0.1013,0.0,53.63
2023-07-07,2166239.0,0.1012,0.1036,0.0999,0.1027,0.0,50.93
2023-07-08,1057499.0,0.1027,0.103,0.1004,0.1012,0.0,47.23
2023-07-09,2105374.0,0.1013,0.1049,0.1007,0.1031,0.0,52.66
2023-07-10,1482906.0,0.103,0.1047,0.101,0.1043,0.0,52.91
2023-07-11,35892723.0,0.1043,0.139,0.1031,0.1104,0.0,55.5
2023-07-12,4971182.0,0.1104,0.1119,0.1078,0.1092,0.0,65.49
2023-07-13,6199231.0,0.109,0.1174,0.1077,0.116,0.0,70.53
2023-07-14,8109969.0,0.1159,0.1194,0.1122,0.1151,0.0,67.86
2023-07-15,6272351.0,0.1152,0.122,0.1123,0.1214,0.0,70.49
2023-07-16,1594235.0,0.1214,0.1214,0.1155,0.1158,0.0,63.24
2023-07-17,2375586.0,0.1161,0.1175,0.1112,0.1142,0.0,60.04
2023-07-18,2608194.0,0.1144,0.1148,0.108,0.1102,0.0,50.64
2023-07-19,1494237.0,0.1102,0.1121,0.1091,0.1117,0.0,56.12
2023-07-20,1052185.0,0.1116,0.1131,0.1088,0.1098,0.0,60.14
2023-07-21,757016.0,0.1096,0.1112,0.1089,0.111,0.0,59.95
2023-07-22,885709.0,0.111,0.1131,0.1107,0.1122,0.0,63.29
2023-07-23,3717612.0,0.1124,0.1152,0.111,0.115,0.0,64.07
2023-07-24,1586444.0,0.1149,0.115,0.106,0.1079,0.0,53.73
2023-07-25,3813896.0,0.1078,0.1106,0.1048,0.1092,0.0,48.62
2023-07-26,1194949.0,0.1092,0.1095,0.107,0.1088,0.0,49.53
2023-07-27,1166356.0,0.109,0.1105,0.108,0.1083,0.0,39.39
2023-07-28,2017350.0,0.1083,0.1122,0.108,0.1117,0.0,45.62
2023-07-29,2523168.0,0.1117,0.1161,0.1116,0.1158,0.0,42.35
2023-07-30,2345890.0,0.1158,0.1161,0.1092,0.1103,0.0,42.47
2023-07-31,2125478.0,0.1103,0.1152,0.1102,0.1125,0.0,47.71
2023-08-01,2029213.0,0.1123,0.1123,0.1086,0.1116,0.0,52.06
2023-08-02,745036.0,0.1116,0.112,0.1085,0.1097,0.0,47.09
2023-08-03,1446392.0,0.1097,0.1116,0.1074,0.1101,0.0,50.46
2023-08-04,613829.0,0.1101,0.1101,0.1072,0.1085,0.0,46.25
2023-08-05,858004.0,0.1084,0.1084,0.1062,0.1072,0.0,42.51
2023-08-06,674450.0,0.1074,0.1078,0.106,0.1067,0.0,36.66
2023-08-07,1062492.0,0.1066,0.1078,0.104,0.1061,-0.0,46.34
2023-08-08,1554593.0,0.1062,0.1094,0.1049,0.1075,-0.0,46.56
2023-08-09,939362.0,0.1075,0.1079,0.1056,0.1066,-0.0,45.63
2023-08-10,1089488.0,0.1062,0.1074,0.1056,0.1068,-0.0,46.99
2023-08-11,138312.0,0.1072,0.1074,0.1065,0.1074,-0.0,40.27
2023-08-12,314793.0,0.1074,0.1078,0.1066,0.1077,-0.0,27.87
2023-08-13,275996.0,0.1076,0.108,0.107,0.1073,-0.0,38.64
2023-08-14,1812672.0,0.1071,0.1083,0.105,0.1074,-0.0,27.03
2023-08-15,2407630.0,0.1072,0.1096,0.1042,0.1045,-0.0,22.9
2023-08-16,4772490.0,0.1043,0.1051,0.0943,0.095,-0.0,14.49
2023-08-17,4083310.0,0.095,0.0974,0.082,0.0874,-0.0,9.32
2023-08-18,3068149.0,0.0873,0.0901,0.0861,0.0891,-0.0,15.36
2023-08-19,678355.0,0.0896,0.0911,0.0882,0.0907,-0.0,20.85
2023-08-20,955558.0,0.0909,0.0931,0.0906,0.092,-0.0,24.74
2023-08-21,823816.0,0.0918,0.0929,0.089,0.0901,-0.0,23.68
2023-08-22,1780581.0,0.0899,0.0899,0.0869,0.0891,-0.01,19.33
2023-08-23,910552.0,0.0891,0.0932,0.0891,0.0925,-0.01,28.31
2023-08-24,3094458.0,0.0926,0.0957,0.0918,0.0923,-0.0,27.69
2023-08-25,3725689.0,0.0924,0.095,0.0917,0.0949,-0.0,31.88
2023-08-26,2331447.0,0.095,0.0963,0.0937,0.0951,-0.0,31.69
2023-08-27,545323.0,0.0954,0.0954,0.0934,0.0942,-0.0,31.23
2023-08-28,1428324.0,0.0938,0.094,0.0898,0.0917,-0.0,28.95
2023-08-29,2607331.0,0.0916,0.094,0.0883,0.0937,-0.0,35.16
2023-08-30,797102.0,0.0936,0.0939,0.0908,0.0917,-0.0,44.29
2023-08-31,1402442.0,0.0917,0.0926,0.0875,0.0881,-0.0,51.41
2023-09-01,1024852.0,0.0883,0.0895,0.0862,0.0872,-0.0,46.06
2023-09-02,1496824.0,0.0874,0.0908,0.0865,0.0907,-0.0,50.0
2023-09-03,2409552.0,0.0908,0.0929,0.0889,0.0901,-0.0,46.25
2023-09-04,1469615.0,0.0903,0.0914,0.0886,0.0894,-0.0,48.55
2023-09-05,730606.0,0.0893,0.0903,0.0885,0.09,-0.0,51.9
2023-09-06,24192595.0,0.0902,0.113,0.089,0.0912,-0.0,46.98
2023-09-07,2402505.0,0.0912,0.092,0.0894,0.0918,-0.0,48.86
2023-09-08,4026449.0,0.0917,0.0917,0.0876,0.0897,-0.0,37.85
2023-09-09,1184686.0,0.0898,0.0908,0.089,0.0904,-0.0,39.27
2023-09-10,2215536.0,0.0904,0.0904,0.0867,0.0894,-0.0,39.09
2023-09-11,2018476.0,0.0894,0.0895,0.0843,0.0849,-0.0,35.83
2023-09-12,1784996.0,0.085,0.088,0.0849,0.0863,-0.0,34.19
2023-09-13,1228174.0,0.0863,0.0901,0.0857,0.0892,-0.0,44.86
