date,volume,open,high,low,close,MACD,RSI
2023-12-04,3880913.7,1.0875,1.305,1.0799,1.0833,0.0,
2023-12-05,14296157.7,1.0833,3.25,1.066,2.8892,0.14,
2023-12-08,32328149.1,1.0774,3.5,1.0724,1.0736,0.11,
2023-12-09,6821309.1,1.0735,1.0757,1.0717,1.0733,0.08,
2023-12-10,3712388.0,1.0733,1.0759,1.0729,1.0755,0.06,
2023-12-11,4430413.7,1.0757,1.077,1.0612,1.0746,0.04,
2023-12-12,1784636.7,1.0746,1.0816,1.0745,1.0795,0.03,
2023-12-13,4006181.5,1.0795,1.0895,1.0759,1.0856,0.02,
2023-12-14,2268300.4,1.0856,1.102,1.0852,1.0988,0.01,
2023-12-15,1101729.2,1.0988,1.0995,1.0872,1.0884,0.0,
2023-12-16,1257590.5,1.0884,1.094,1.0854,1.0902,-0.0,
2023-12-17,3212056.4,1.0902,1.1284,1.0834,1.0901,-0.01,
2023-12-18,662031.2,1.0901,1.0943,1.088,1.0916,-0.01,
2023-12-19,972653.4,1.0923,1.0991,1.0915,1.0974,-0.01,
2023-12-20,1096017.2,1.0974,1.098,1.0929,1.0939,-0.01,50.14
2023-12-21,1040780.8,1.094,1.101,1.0929,1.1,-0.02,2.22
2023-12-22,598095.8,1.1002,1.1027,1.0978,1.098,-0.02,70.75
2023-12-23,536543.2,1.0979,1.0995,1.0918,1.0947,-0.02,67.31
2023-12-24,1132900.8,1.0934,1.097,1.087,1.092,-0.02,63.24
2023-12-25,1216697.2,1.092,1.098,1.087,1.0975,-0.02,67.12
2023-12-26,477611.5,1.0975,1.1041,1.0967,1.1021,-0.02,66.97
2023-12-27,650809.4,1.1021,1.112,1.1002,1.1086,-0.01,67.16
2023-12-28,622259.3,1.1086,1.1119,1.1,1.1036,-0.01,54.08
2023-12-29,719303.8,1.1036,1.1065,1.1,1.1001,-0.01,61.27
2023-12-30,244692.6,1.1001,1.1033,1.0979,1.1001,-0.01,59.88
2023-12-31,280424.2,1.0984,1.1042,1.0972,1.1019,-0.01,61.39
2024-01-01,341916.8,1.1019,1.103,1.0954,1.1011,-0.01,59.3
2024-01-02,633748.8,1.1026,1.1031,1.09,1.0924,-0.01,45.37
2024-01-03,3304981.3,1.093,1.0953,1.0738,1.0875,-0.01,44.22
2024-01-04,711508.7,1.0875,1.0952,1.0845,1.0914,-0.01,41.92
2024-01-05,675151.1,1.0914,1.098,1.0832,1.0903,-0.01,42.64
2024-01-06,145148.0,1.0909,1.0911,1.0873,1.09,-0.01,45.23
2024-01-07,232354.4,1.09,1.0934,1.0865,1.0901,-0.01,47.97
