date,volume,open,high,low,close,MACD,RSI
2020-11-02,135525362.0,0.009997,0.0125,0.00951,0.010215,0.0,
2020-11-03,56844830.0,0.0102,0.0102,0.008294,0.008874,-0.0,
2020-11-04,20570930.0,0.008781,0.009063,0.007883,0.008142,-0.0,
2020-11-05,16939882.0,0.008159,0.009047,0.007896,0.00875,-0.0,
2020-11-06,48347590.0,0.008737,0.0115,0.008624,0.010593,-0.0,
2020-11-07,29303063.0,0.010592,0.0118,0.008904,0.009469,-0.0,
2020-11-08,14263197.0,0.009468,0.010137,0.009132,0.010046,-0.0,
2020-11-09,28337773.0,0.010037,0.010503,0.0091,0.009532,-0.0,
2020-11-10,68997288.0,0.009499,0.0118,0.0088,0.011422,-0.0,
2020-11-11,174357009.0,0.011472,0.0145,0.01055,0.012262,0.0,
2020-11-12,400252631.0,0.012262,0.01389,0.009435,0.009901,0.0,
2020-11-13,284185024.0,0.0099,0.0108,0.009687,0.009955,0.0,
2020-11-14,195748200.0,0.009954,0.009954,0.008925,0.009097,-0.0,
2020-11-15,312443495.0,0.009098,0.0098,0.009028,0.009192,-0.0,
2020-11-16,348986740.0,0.009191,0.009773,0.00892,0.009089,-0.0,45.65
2020-11-17,743939112.0,0.009091,0.00935,0.008249,0.009033,-0.0,50.68
2020-11-18,682618496.0,0.009034,0.009245,0.008535,0.008629,-0.0,52.15
2020-11-19,76024207.0,0.00864,0.008751,0.008241,0.008559,-0.0,49.11
2020-11-20,69713160.0,0.008539,0.009266,0.008505,0.00905,-0.0,41.82
2020-11-21,62239503.0,0.009008,0.01038,0.008782,0.010148,-0.0,53.61
2020-11-22,47955640.0,0.01017,0.010377,0.009135,0.009398,-0.0,46.62
2020-11-23,63340503.0,0.009375,0.01057,0.009241,0.009973,-0.0,52.29
2020-11-24,74414213.0,0.009973,0.010954,0.0098,0.010571,-0.0,44.91
2020-11-25,81950807.0,0.010616,0.012492,0.0101,0.010516,0.0,38.46
2020-11-26,105064621.0,0.010509,0.010658,0.007583,0.008582,-0.0,40.76
2020-11-27,53892152.0,0.00859,0.009342,0.0081,0.00852,-0.0,39.96
2020-11-28,31760376.0,0.008518,0.0091,0.008485,0.00885,-0.0,48.13
2020-11-29,32471748.0,0.008849,0.009059,0.008332,0.0084,-0.0,44.32
2020-11-30,401438972.0,0.008393,0.011985,0.008393,0.009902,-0.0,54.85
2020-12-01,121310322.0,0.009902,0.0102,0.00891,0.009013,-0.0,49.89
2020-12-02,94352349.0,0.008993,0.009419,0.008549,0.009001,-0.0,52.11
2020-12-03,308067358.0,0.00901,0.01378,0.00885,0.01237,0.0,65.73
2020-12-04,182319855.0,0.012397,0.012971,0.010331,0.010725,0.0,56.31
2020-12-05,82326939.0,0.010725,0.012899,0.010204,0.012279,0.0,57.76
2020-12-06,248049417.0,0.01223,0.015873,0.012229,0.013071,0.0,63.34
2020-12-07,130064967.0,0.013071,0.014592,0.012599,0.012831,0.0,60.64
2020-12-08,175388881.0,0.012891,0.013253,0.010757,0.011055,0.0,51.66
2020-12-09,125287312.0,0.011055,0.012936,0.010253,0.012633,0.0,56.56
2020-12-10,90627639.0,0.012612,0.013499,0.0118,0.01245,0.0,63.45
2020-12-11,70183498.0,0.01245,0.012572,0.010668,0.011075,0.0,58.14
2020-12-12,71456238.0,0.011059,0.012283,0.011059,0.01165,0.0,58.78
2020-12-13,62422463.0,0.011651,0.01221,0.011425,0.011635,0.0,60.43
2020-12-14,46213089.0,0.011546,0.0119,0.010957,0.011171,0.0,54.39
2020-12-15,49626015.0,0.011172,0.011497,0.010635,0.010905,0.0,56.83
2020-12-16,96479625.0,0.010874,0.011899,0.010558,0.01111,0.0,57.51
2020-12-17,77244324.0,0.01117,0.012111,0.010902,0.010992,0.0,43.61
2020-12-18,54859607.0,0.010992,0.011135,0.010693,0.010966,0.0,51.31
2020-12-19,47667912.0,0.010992,0.011563,0.010754,0.011393,0.0,44.49
2020-12-20,412320624.0,0.011444,0.015588,0.011061,0.012274,0.0,45.1
