date,volume,open,high,low,close,MACD,RSI
2021-11-30,37585.0729,382.5,458.0,372.8,383.7,0.0,
2021-12-01,12918.839,383.8,390.0,345.0,354.5,-2.33,
2021-12-02,12541.5888,353.5,357.2,326.9,331.4,-5.97,
2021-12-03,4606.4856,330.2,340.4,298.8,309.8,-10.48,
2021-12-04,5459.6316,309.0,309.1,270.0,294.7,-15.1,
2021-12-05,4276.9398,295.3,315.0,285.0,288.6,-19.03,
2021-12-06,3241.776,290.3,299.9,269.0,285.3,-22.15,
2021-12-07,4731.814,285.2,295.1,276.7,282.8,-24.55,
2021-12-08,2004.9825,282.6,288.4,270.3,283.8,-26.07,
2021-12-09,33562.0955,284.0,291.9,221.1,231.8,-31.11,
2021-12-10,12911.7338,232.4,243.0,213.1,214.8,-36.06,
2021-12-11,5058.5804,214.8,226.7,210.8,224.1,-38.79,
2021-12-12,4530.457,224.9,232.0,215.5,226.3,-40.3,
2021-12-13,5748.2934,226.6,227.1,194.9,198.5,-43.25,
2021-12-14,5633.7356,197.8,221.5,193.0,200.5,-44.91,6.83
2021-12-15,5440.955,200.9,214.0,190.2,207.6,-45.13,11.36
2021-12-16,1728.3273,208.2,213.5,203.6,203.6,-45.11,12.63
2021-12-17,3225.4055,203.6,206.6,188.9,192.0,-45.5,13.42
2021-12-18,2547.8397,191.5,198.0,185.0,192.8,-45.23,15.27
2021-12-19,1582.6786,192.8,196.6,185.3,187.9,-44.89,15.4
2021-12-20,2262.6663,187.9,189.1,176.3,185.1,-44.33,15.45
2021-12-21,2596.8181,185.1,190.8,183.0,186.5,-43.28,16.54
2021-12-22,6480.7383,185.9,199.6,185.9,198.9,-40.98,22.67
2021-12-23,5976.1735,198.9,212.6,193.5,212.2,-37.64,41.6
2021-12-24,2170.0573,212.2,214.9,200.1,201.8,-35.43,44.09
2021-12-25,2644.0505,202.3,207.8,199.0,203.6,-33.15,40.0
2021-12-26,2449.9838,203.6,205.3,196.3,202.2,-31.1,38.15
2021-12-27,12041.4519,202.5,234.3,201.0,223.2,-27.46,63.01
2021-12-28,68635.196,223.2,270.0,220.1,250.2,-22.14,70.73
2021-12-29,31996.712,250.2,280.2,234.5,236.7,-18.8,61.52
2021-12-30,17009.8406,236.7,244.5,230.2,236.5,-15.99,63.43
2021-12-31,37332.0763,236.5,296.0,233.1,274.0,-10.61,77.63
2022-01-01,33245.7643,273.9,331.0,267.1,315.6,-2.95,82.45
2022-01-02,20101.6769,315.7,331.0,298.0,318.8,3.33,84.91
