date,volume,open,high,low,close,MACD,RSI
2019-06-22,16217580.779,3.4,3.44,1.88,2.192,0.0,
2019-06-23,9875011.06,2.19,2.234,1.8,1.934,-0.02,
2019-06-24,16193672.788,1.932,2.02,1.301,1.416,-0.08,
2019-06-25,27118197.019,1.417,1.92,1.314,1.54,-0.11,
2019-06-26,17449485.359,1.538,1.875,1.457,1.595,-0.13,
2019-06-27,7017105.254,1.595,1.597,1.371,1.419,-0.16,
2019-06-28,5845445.045,1.421,1.589,1.381,1.454,-0.18,
2019-06-29,5350038.703,1.449,1.523,1.411,1.51,-0.19,
2019-06-30,5230376.814,1.508,1.58,1.388,1.449,-0.2,
2019-07-01,4805958.281,1.449,1.468,1.25,1.352,-0.21,
2019-07-02,8937311.635,1.354,1.356,1.032,1.14,-0.23,
2019-07-03,5412448.609,1.138,1.186,1.065,1.11,-0.25,
2019-07-04,5047597.506,1.11,1.138,0.984,1.01,-0.27,
2019-07-05,8906873.67,1.009,1.175,0.974,1.127,-0.27,
2019-07-06,4337280.445,1.128,1.132,1.024,1.031,-0.28,20.0
2019-07-07,2975212.85,1.031,1.105,1.024,1.065,-0.28,24.61
2019-07-08,1961005.67,1.065,1.067,1.03,1.049,-0.28,34.82
2019-07-09,3709858.044,1.047,1.084,1.015,1.044,-0.27,27.25
2019-07-10,6983704.323,1.043,1.119,0.955,1.029,-0.27,23.05
2019-07-11,4781454.625,1.029,1.039,0.843,0.859,-0.27,23.18
2019-07-12,6857361.718,0.858,0.938,0.797,0.885,-0.27,22.51
2019-07-13,9350275.975,0.886,1.035,0.869,0.939,-0.27,22.36
2019-07-14,8737776.115,0.939,1.03,0.816,0.819,-0.27,21.15
2019-07-15,5111804.177,0.819,0.846,0.737,0.807,-0.27,22.94
2019-07-16,6813542.367,0.804,0.899,0.63,0.644,-0.27,24.11
2019-07-17,8854704.113,0.645,0.744,0.608,0.674,-0.28,27.24
2019-07-18,6328374.14,0.675,0.706,0.638,0.692,-0.27,31.85
