date,volume,open,high,low,close,MACD,RSI
2021-03-15,70455052.26,0.1,60.0,0.1,20.7403,0.0,
2021-03-16,15804792.98,20.7406,25.6958,15.501,17.059,-0.29,
2021-03-17,5959610.08,17.0148,18.8171,14.0851,14.5949,-0.72,
2021-03-18,10497030.94,14.5948,19.9247,14.3023,17.0141,-0.85,
2021-03-19,4100834.18,17.0125,17.9999,14.96,15.1616,-1.09,
2021-03-20,2333038.7,15.163,15.58,14.27,14.354,-1.33,
2021-03-21,3167133.68,14.3576,14.6557,13.11,14.0612,-1.52,
2021-03-22,3028825.5,14.0595,14.1569,12.0,12.05,-1.82,
2021-03-23,2531767.67,12.0766,12.4644,11.4406,11.6019,-2.07,
2021-03-24,4868241.31,11.6029,14.6731,11.46,11.8748,-2.22,
2021-03-25,2834747.74,11.8748,12.4991,10.482,10.9276,-2.38,
2021-03-26,3332412.65,10.9269,13.85,10.8856,13.4349,-2.29,
2021-03-27,3072062.26,13.4349,14.5089,12.2,13.4282,-2.19,
2021-03-28,9202503.68,13.3973,18.23,13.3208,16.6867,-1.82,
2021-03-29,2856379.82,16.6697,16.8456,15.251,15.8213,-1.59,38.74
2021-03-30,2752347.09,15.8213,17.2768,15.1509,16.0268,-1.37,47.19
2021-03-31,2824221.59,16.0496,16.5417,13.5,14.6286,-1.29,50.1
2021-04-01,1679477.97,14.6269,15.31,13.73,14.3355,-1.24,41.17
2021-04-02,1466216.38,14.335,15.1002,14.0601,14.7097,-1.15,48.35
2021-04-03,1699146.53,14.7098,15.489,13.2,13.4899,-1.17,46.94
2021-04-04,950552.66,13.4898,14.5,13.2641,14.3339,-1.11,50.93
2021-04-05,1279244.48,14.3339,15.1632,13.5533,14.204,-1.05,58.43
2021-04-06,1675104.96,14.204,15.4138,13.81,14.1492,-1.0,60.29
2021-04-07,2184256.42,14.1491,14.25,11.56,12.1977,-1.11,51.15
2021-04-08,1363854.43,12.1987,13.3153,12.0595,12.8567,-1.12,57.01
2021-04-09,1400771.12,12.8859,13.3549,12.45,12.7191,-1.14,46.86
2021-04-10,2009557.81,12.719,13.9495,12.111,12.5442,-1.15,46.18
2021-04-11,1114573.12,12.5653,12.9492,12.1905,12.8521,-1.12,27.75
2021-04-12,6427778.69,12.8669,15.3595,12.7327,13.9025,-1.0,39.1
2021-04-13,2516236.78,13.85,14.6,12.5883,12.711,-0.99,33.06
2021-04-14,2276642.54,12.711,13.1,11.6,12.2296,-1.0,36.48
2021-04-15,2006950.08,12.2399,12.9728,12.0292,12.5132,-0.99,39.72
