date,volume,open,high,low,close,MACD,RSI
2021-08-11,42371527.2,0.9611,1.65,0.9611,1.2508,0.0,
2021-08-12,18391148.0,1.2508,1.2598,1.009,1.1274,-0.01,
2021-08-13,8840285.4,1.1265,1.1665,1.0596,1.107,-0.02,
2021-08-14,6345892.5,1.107,1.115,1.0385,1.0882,-0.03,
2021-08-15,7309647.9,1.0891,1.157,1.07,1.1157,-0.03,
2021-08-16,9918679.1,1.115,1.2061,1.1,1.1328,-0.03,
2021-08-17,81508675.5,1.1328,1.7885,1.0888,1.3948,-0.01,
2021-08-18,59219210.2,1.3976,1.59,1.271,1.3901,0.0,
2021-08-19,12508760.4,1.399,1.447,1.2989,1.387,0.01,
2021-08-20,10500259.0,1.3871,1.5022,1.381,1.4429,0.03,
2021-08-21,13771955.4,1.4429,1.64,1.39,1.4108,0.04,
2021-08-22,7714164.5,1.4109,1.4789,1.3002,1.3525,0.04,
2021-08-23,4997567.0,1.3522,1.4437,1.3428,1.3955,0.04,
2021-08-24,5686367.4,1.3955,1.4127,1.255,1.2793,0.03,
2021-08-25,6966349.0,1.2793,1.3927,1.2132,1.372,0.04,56.92
2021-08-26,5504782.5,1.3719,1.3729,1.2205,1.236,0.03,56.12
2021-08-27,5549197.0,1.242,1.2998,1.16,1.295,0.02,60.15
2021-08-28,6648802.9,1.295,1.297,1.2,1.2364,0.01,57.67
2021-08-29,14638852.7,1.236,1.4222,1.2061,1.364,0.02,61.64
2021-08-30,6803776.5,1.3619,1.3646,1.2011,1.2092,0.01,53.17
2021-08-31,4717113.7,1.2092,1.281,1.2,1.2125,0.0,40.36
2021-09-01,6947219.2,1.2096,1.2653,1.1697,1.2607,0.0,43.46
2021-09-02,4442098.1,1.2607,1.2749,1.1862,1.2133,-0.0,41.59
2021-09-03,3867113.4,1.2133,1.2283,1.181,1.2162,-0.01,38.43
2021-09-04,4834261.0,1.217,1.2217,1.161,1.1799,-0.01,38.27
2021-09-05,4676534.3,1.1799,1.1945,1.131,1.1874,-0.02,41.16
2021-09-06,12010898.2,1.1872,1.3008,1.1795,1.288,-0.01,44.58
2021-09-07,15762784.6,1.2888,1.35,0.7889,1.056,-0.03,39.91
2021-09-08,7528158.0,1.057,1.1632,0.888,0.9878,-0.04,32.25
2021-09-09,6205083.7,0.9927,1.07,0.9666,1.032,-0.05,39.7
2021-09-10,4441735.1,1.0333,1.0669,0.9085,0.9296,-0.07,32.33
2021-09-11,3962789.4,0.9301,1.06,0.9159,1.0504,-0.07,41.52
2021-09-12,22439352.5,1.0522,1.2878,1.0199,1.1251,-0.06,38.55
2021-09-13,7383518.3,1.1251,1.1396,0.9822,1.0162,-0.06,40.32
2021-09-14,7354587.6,1.0176,1.2054,1.012,1.15,-0.06,47.23
2021-09-15,3967387.4,1.1492,1.1685,1.1172,1.1269,-0.05,43.93
2021-09-16,8372360.8,1.1261,1.31,1.1086,1.2183,-0.04,50.22
2021-09-17,5502912.8,1.2183,1.242,1.0541,1.08,-0.04,44.69
2021-09-18,3422693.4,1.0823,1.1765,1.0738,1.1325,-0.03,48.17
2021-09-19,2493866.9,1.133,1.1397,1.051,1.0604,-0.04,45.34
2021-09-20,19659675.4,1.0607,1.1858,0.8893,1.0271,-0.04,39.93
2021-09-21,15855504.5,1.026,1.1375,0.96,0.984,-0.05,46.75
2021-09-22,5584295.8,0.9833,1.0886,0.9727,1.0857,-0.04,54.29
2021-09-23,5808291.3,1.0857,1.0897,1.0175,1.0508,-0.04,50.83
2021-09-24,7063965.2,1.048,1.0505,0.9,0.9527,-0.05,51.03
2021-09-25,2499185.0,0.9546,0.9547,0.9005,0.9084,-0.06,43.24
2021-09-26,6041034.0,0.9095,0.9096,0.799,0.8654,-0.07,37.25
2021-09-27,3831032.2,0.8649,0.92,0.8329,0.8339,-0.08,40.31
2021-09-28,11154282.5,0.8339,0.9336,0.8237,0.87,-0.08,33.4
2021-09-29,3321576.7,0.87,0.9093,0.8332,0.8443,-0.08,33.3
2021-09-30,9259545.6,0.843,0.95,0.8332,0.8487,-0.08,25.65
2021-10-01,7465279.4,0.8496,0.9163,0.8242,0.9063,-0.08,37.2
2021-10-02,3551863.9,0.9053,0.918,0.88,0.8957,-0.08,31.4
2021-10-03,3106490.8,0.8961,0.9038,0.8734,0.8869,-0.07,34.86
2021-10-04,5497988.6,0.8882,0.8903,0.8247,0.8436,-0.07,34.27
2021-10-05,4886562.9,0.843,0.8896,0.8328,0.8668,-0.07,39.6
2021-10-06,4399244.4,0.8668,0.878,0.83,0.852,-0.07,25.47
2021-10-07,6581034.8,0.853,0.9381,0.845,0.9062,-0.06,35.41
2021-10-08,4577378.7,0.9062,0.9161,0.8725,0.8774,-0.06,41.17
2021-10-09,2742353.1,0.8774,0.895,0.8562,0.8665,-0.06,44.67
2021-10-10,2794835.0,0.8665,0.874,0.8277,0.8319,-0.06,45.64
2021-10-11,4914936.1,0.8319,0.872,0.813,0.853,-0.06,52.55
2021-10-12,39146834.6,0.8548,1.0722,0.8254,0.9878,-0.04,62.46
2021-10-13,14033693.8,0.9888,1.0442,0.9,0.934,-0.04,58.95
2021-10-14,7767633.8,0.934,0.9773,0.9116,0.92,-0.03,56.98
2021-10-15,8965341.5,0.92,1.0084,0.9005,0.9531,-0.03,54.81
