date,volume,open,high,low,close,MACD,RSI
2020-10-10,482642027.3,0.02,0.15,0.02,0.05161,0.0,
2020-10-11,94100682.2,0.05161,0.05171,0.04229,0.04367,-0.0,
2020-10-12,52595615.5,0.04368,0.04967,0.04255,0.04298,-0.0,
2020-10-13,42527729.2,0.04267,0.04735,0.042,0.04302,-0.0,
2020-10-14,25326846.9,0.04302,0.04564,0.0416,0.04355,-0.0,
2020-10-15,21324134.9,0.04354,0.04358,0.03751,0.03806,-0.0,
2020-10-16,34067828.8,0.03807,0.03868,0.0332,0.03376,-0.0,
2020-10-17,122512776.8,0.03397,0.0471,0.03357,0.03872,-0.0,
2020-10-18,40805800.5,0.03872,0.04057,0.03651,0.03751,-0.0,
2020-10-19,30962838.9,0.03751,0.03768,0.03,0.03269,-0.0,
2020-10-20,28826609.5,0.03269,0.03308,0.02897,0.0312,-0.0,
2020-10-21,46106327.5,0.03106,0.0358,0.0291,0.03136,-0.0,
2020-10-22,46095707.1,0.0314,0.03547,0.03089,0.03193,-0.01,
2020-10-23,18717821.4,0.03201,0.03444,0.03056,0.03215,-0.01,
2020-10-24,18504886.1,0.03213,0.0356,0.03123,0.03189,-0.01,19.83
2020-10-25,17016353.8,0.03209,0.0355,0.03171,0.03429,-0.0,32.72
2020-10-26,48765722.0,0.03438,0.03892,0.03174,0.03242,-0.0,31.36
2020-10-27,15416287.2,0.03244,0.0342,0.0305,0.03109,-0.0,29.85
2020-10-28,10742208.9,0.03109,0.03134,0.02822,0.02878,-0.0,26.47
2020-10-29,40526096.1,0.02869,0.035,0.02703,0.031,-0.0,37.45
2020-10-30,14858386.0,0.03091,0.03099,0.024,0.02941,-0.0,41.44
2020-10-31,4638149.4,0.02921,0.0297,0.02811,0.02848,-0.0,26.05
2020-11-01,3846327.9,0.02891,0.02954,0.02836,0.02902,-0.0,29.5
2020-11-02,6694471.8,0.02906,0.0305,0.0281,0.0281,-0.0,36.35
2020-11-03,8188138.6,0.02819,0.02857,0.02569,0.02763,-0.0,38.7
2020-11-04,15128630.7,0.02779,0.0301,0.02699,0.02823,-0.0,40.36
2020-11-05,25101111.4,0.02846,0.0336,0.02832,0.0306,-0.0,46.31
