date,volume,open,high,low,close,MACD,RSI
2024-01-25,1418782960.0,0.006,0.34999,0.006,0.32267,0.0,
2024-01-26,629089451.0,0.32279,0.3755,0.306,0.36198,0.0,
2024-01-27,600785618.0,0.36198,0.445,0.34001,0.40424,0.01,
2024-01-28,498877281.0,0.40425,0.454,0.388,0.39552,0.01,
2024-01-29,374460545.0,0.3955,0.46366,0.39037,0.44715,0.02,
2024-01-30,308218152.0,0.44711,0.45721,0.404,0.41672,0.02,
2024-01-31,448442604.0,0.41672,0.43,0.35,0.35662,0.02,
2024-02-01,293396436.0,0.35657,0.3595,0.3265,0.34485,0.02,
2024-02-02,246330106.0,0.34497,0.376,0.33333,0.34864,0.01,
2024-02-03,171656668.0,0.34865,0.35288,0.32069,0.3247,0.01,
2024-02-04,208219878.0,0.32475,0.32745,0.295,0.30244,0.0,
2024-02-05,220601331.0,0.30244,0.33081,0.29111,0.31374,0.0,
2024-02-06,170000662.0,0.31374,0.31567,0.29771,0.30163,-0.0,
2024-02-07,194062475.0,0.30155,0.33236,0.30082,0.32381,-0.0,
2024-02-08,238448181.0,0.3238,0.35714,0.31794,0.3369,-0.0,52.02
2024-02-09,161246442.0,0.33699,0.3582,0.33298,0.3495,-0.0,48.09
2024-02-10,169691212.0,0.34949,0.3731,0.33726,0.34562,-0.0,39.82
2024-02-11,131552396.0,0.34562,0.36337,0.3352,0.3406,-0.0,40.33
2024-02-12,168114742.0,0.34065,0.36,0.32237,0.34982,0.0,29.86
2024-02-13,126599384.0,0.34987,0.359,0.333,0.34817,0.0,33.9
2024-02-14,320558088.0,0.34804,0.4186,0.34056,0.41068,0.01,62.55
2024-02-15,186214695.0,0.41074,0.41657,0.37332,0.38822,0.01,59.59
2024-02-16,223295478.0,0.38815,0.4339,0.37222,0.40434,0.01,61.68
2024-02-17,200941956.0,0.40439,0.43122,0.37972,0.42657,0.02,71.53
2024-02-18,258012445.0,0.42636,0.488,0.4164,0.44472,0.02,80.6
2024-02-19,254940197.0,0.44479,0.47782,0.42334,0.4631,0.03,81.17
2024-02-20,408671687.0,0.46293,0.52686,0.43688,0.51267,0.03,88.09
2024-02-21,334911227.0,0.51289,0.55556,0.48897,0.54031,0.04,88.32
2024-02-22,266969978.0,0.54031,0.58435,0.49709,0.55198,0.05,88.26
2024-02-23,201407533.0,0.55198,0.58,0.48364,0.4906,0.05,71.39
2024-02-24,137527630.0,0.4903,0.52,0.47181,0.5061,0.05,73.5
2024-02-25,83979058.0,0.50631,0.52266,0.49286,0.49895,0.05,73.04
2024-02-26,127575713.0,0.4989,0.51677,0.475,0.48982,0.04,70.38
2024-02-27,311307730.0,0.48981,0.6075,0.48238,0.53455,0.05,74.1
2024-02-28,194630611.0,0.53464,0.54686,0.43689,0.49997,0.04,62.45
2024-02-29,169042105.0,0.50003,0.50114,0.4413,0.46392,0.04,60.17
2024-03-01,95535283.0,0.46397,0.49,0.46152,0.48337,0.04,60.52
2024-03-02,105374980.0,0.48359,0.50733,0.47,0.50125,0.03,60.06
2024-03-03,136262588.0,0.50114,0.529,0.45,0.51162,0.03,59.2
2024-03-04,145288421.0,0.51159,0.5389,0.46688,0.48621,0.03,53.12
2024-03-05,229689519.0,0.48614,0.53,0.4,0.47518,0.03,44.35
2024-03-06,99865621.0,0.47513,0.50555,0.45239,0.5015,0.03,44.13
2024-03-07,170964332.0,0.50149,0.57148,0.4931,0.54221,0.03,48.64
2024-03-08,105103457.0,0.54221,0.55552,0.49,0.52215,0.03,54.95
