date,volume,open,high,low,close,MACD,RSI
2019-07-23,234564563.2,0.0119,0.0119,0.00792,0.00805,0.0,
2019-07-24,139395238.1,0.00803,0.00804,0.00663,0.00664,-0.0,
2019-07-25,43953348.4,0.00664,0.00728,0.00648,0.00681,-0.0,
2019-07-26,31919114.3,0.00686,0.00715,0.00638,0.0069,-0.0,
2019-07-27,23463041.4,0.00687,0.00714,0.0063,0.00652,-0.0,
2019-07-28,39123142.6,0.00652,0.00653,0.0055,0.00572,-0.0,
2019-07-29,42413610.6,0.00573,0.00603,0.00534,0.00542,-0.0,
2019-07-30,69661067.8,0.00541,0.00639,0.00534,0.00577,-0.0,
2019-07-31,38055799.5,0.00577,0.0063,0.00574,0.00582,-0.0,
2019-08-01,40962151.1,0.00589,0.00639,0.00537,0.00549,-0.0,
2019-08-02,96258618.6,0.00555,0.0063,0.00537,0.00592,-0.0,
2019-08-03,25652618.6,0.00592,0.00644,0.00582,0.00582,-0.0,
2019-08-04,31277767.5,0.00582,0.00597,0.0056,0.0057,-0.0,
2019-08-05,120782141.4,0.00573,0.00684,0.00544,0.00609,-0.0,
2019-08-06,137146187.3,0.00608,0.0063,0.0055,0.00581,-0.0,28.46
2019-08-07,299426620.8,0.00582,0.006,0.00549,0.00578,-0.0,38.74
2019-08-08,849196493.9,0.00579,0.00749,0.00568,0.00635,-0.0,44.55
2019-08-09,373156710.7,0.00636,0.00646,0.00474,0.00484,-0.0,31.74
2019-08-10,322997911.2,0.00485,0.00512,0.00468,0.0048,-0.0,33.77
2019-08-11,235124170.0,0.00479,0.00522,0.00478,0.00491,-0.0,41.21
2019-08-12,563799696.2,0.00491,0.00545,0.00485,0.00522,-0.0,47.84
2019-08-13,143544627.0,0.00522,0.00527,0.00476,0.00492,-0.0,40.7
2019-08-14,114946827.0,0.00496,0.00501,0.00435,0.00444,-0.0,36.2
2019-08-15,186877872.5,0.00444,0.00527,0.00444,0.00492,-0.0,44.47
2019-08-16,139442740.7,0.00491,0.0052,0.0044,0.00445,-0.0,35.84
2019-08-17,78835240.1,0.00446,0.0047,0.00435,0.00441,-0.0,36.26
2019-08-18,68031573.0,0.00442,0.00448,0.0042,0.00447,-0.0,37.87
2019-08-19,147456703.4,0.00447,0.00492,0.0044,0.00467,-0.0,35.45
2019-08-20,54114047.8,0.00467,0.00473,0.00438,0.00445,-0.0,35.89
2019-08-21,107630522.8,0.00444,0.0045,0.00378,0.00394,-0.0,32.64
2019-08-22,64494676.5,0.00394,0.0041,0.00375,0.00394,-0.0,24.52
2019-08-23,40287997.0,0.00391,0.00399,0.00381,0.00388,-0.0,35.37
2019-08-24,79725067.4,0.00388,0.00388,0.0035,0.0038,-0.0,34.94
2019-08-25,78484370.8,0.00377,0.0041,0.00367,0.00376,-0.0,32.31
2019-08-26,44333653.7,0.00377,0.00393,0.0036,0.00372,-0.0,24.83
2019-08-27,42845973.4,0.0037,0.00383,0.00353,0.00373,-0.0,27.88
2019-08-28,58220553.1,0.00375,0.00394,0.00338,0.0035,-0.0,30.74
2019-08-29,56308786.0,0.00352,0.00364,0.00305,0.00312,-0.0,11.54
2019-08-30,28548744.9,0.00313,0.00326,0.00301,0.00321,-0.0,18.37
2019-08-31,11021425.3,0.00321,0.00322,0.00304,0.00309,-0.0,17.65
2019-09-01,20130713.6,0.00308,0.00313,0.00295,0.00302,-0.0,14.63
2019-09-02,33575187.8,0.00299,0.00325,0.0029,0.00317,-0.0,12.5
2019-09-03,41713887.7,0.00319,0.00324,0.00302,0.00304,-0.0,13.09
2019-09-04,150106683.5,0.00308,0.0039,0.00293,0.00338,-0.0,33.91
2019-09-05,118506562.3,0.00338,0.00342,0.003023,0.003086,-0.0,29.01
2019-09-06,91905493.7,0.003085,0.003318,0.00252,0.003014,-0.0,28.84
2019-09-07,28387301.0,0.003014,0.003199,0.00292,0.003113,-0.0,33.37
2019-09-08,14208952.0,0.003147,0.00318,0.00294,0.003007,-0.0,32.33
2019-09-09,26628080.0,0.003005,0.003045,0.002824,0.003,-0.0,32.84
2019-09-10,23677121.0,0.003,0.003241,0.002978,0.003107,-0.0,35.81
2019-09-11,13870079.0,0.003107,0.003139,0.002929,0.002946,-0.0,36.97
2019-09-12,15602366.0,0.002967,0.003039,0.002828,0.003035,-0.0,47.68
2019-09-13,6846490.0,0.003034,0.003039,0.00289,0.002975,-0.0,43.49
2019-09-14,44183583.0,0.002975,0.003352,0.002953,0.003036,-0.0,48.45
2019-09-15,40222296.0,0.003036,0.003166,0.002968,0.002995,-0.0,49.27
2019-09-16,29559754.0,0.002987,0.003084,0.00297,0.003005,-0.0,44.77
2019-09-17,47495979.0,0.003008,0.003141,0.00286,0.003023,-0.0,49.42
2019-09-18,51590367.0,0.003034,0.00322,0.003003,0.003219,-0.0,43.91
2019-09-19,45842209.0,0.003199,0.003201,0.002865,0.002984,-0.0,45.96
2019-09-20,42405727.0,0.002989,0.003129,0.002897,0.003037,-0.0,50.93
2019-09-21,21641087.0,0.003037,0.003043,0.002975,0.002986,-0.0,44.69
2019-09-22,28108733.0,0.003002,0.003007,0.00283,0.002879,-0.0,44.65
2019-09-23,29342644.0,0.002879,0.002886,0.00265,0.002688,-0.0,38.7
2019-09-24,32844377.0,0.002684,0.002741,0.002052,0.002177,-0.0,23.93
2019-09-25,42260612.0,0.002183,0.002304,0.002061,0.002187,-0.0,26.76
2019-09-26,34861998.0,0.002187,0.002252,0.001944,0.002038,-0.0,20.56
2019-09-27,46111587.0,0.002033,0.002316,0.001977,0.002241,-0.0,30.01
2019-09-28,23111522.0,0.002241,0.002318,0.00219,0.002307,-0.0,30.2
2019-09-29,28543849.0,0.002307,0.002318,0.002066,0.002138,-0.0,28.24
2019-09-30,28106837.0,0.002138,0.002322,0.002069,0.002241,-0.0,31.47
2019-10-01,25625193.0,0.002244,0.00242,0.002185,0.002289,-0.0,32.46
2019-10-02,23418684.0,0.002289,0.002296,0.002132,0.002223,-0.0,24.62
2019-10-03,15144785.0,0.002221,0.00225,0.002156,0.002232,-0.0,28.34
2019-10-04,12676087.0,0.002231,0.002262,0.002194,0.002238,-0.0,26.35
2019-10-05,40070781.0,0.002238,0.002541,0.002227,0.002451,-0.0,35.55
2019-10-06,46561809.0,0.002457,0.00264,0.002242,0.002291,-0.0,34.56
2019-10-07,35669217.0,0.002288,0.002355,0.002227,0.002315,-0.0,39.26
2019-10-08,68764222.0,0.002315,0.002811,0.002303,0.002567,-0.0,63.19
2019-10-09,56332422.0,0.002573,0.002695,0.002458,0.002587,-0.0,63.44
2019-10-10,23462481.0,0.002589,0.002592,0.002443,0.002483,-0.0,65.42
2019-10-11,31043985.0,0.002483,0.002521,0.002359,0.002392,-0.0,55.67
2019-10-12,28108763.0,0.002392,0.002498,0.002318,0.002349,-0.0,51.61
2019-10-13,21604009.0,0.002349,0.002453,0.002347,0.00238,-0.0,60.34
2019-10-14,15677007.0,0.002378,0.002398,0.00229,0.002351,-0.0,55.02
2019-10-15,32982444.0,0.002351,0.002384,0.002035,0.002214,-0.0,46.84
2019-10-16,195170750.0,0.002216,0.00345,0.002215,0.002471,-0.0,59.01
2019-10-17,42453092.0,0.002488,0.002504,0.00231,0.002419,-0.0,56.59
2019-10-18,50557510.0,0.002421,0.002426,0.002165,0.00227,-0.0,51.02
2019-10-19,52005153.0,0.002269,0.0024,0.002197,0.002249,-0.0,42.63
2019-10-20,31424823.0,0.002242,0.002351,0.002209,0.002282,-0.0,49.64
2019-10-21,22512350.0,0.002269,0.002357,0.002243,0.002281,-0.0,48.61
2019-10-22,27313250.0,0.002288,0.002329,0.002222,0.002229,-0.0,33.43
2019-10-23,43258960.0,0.002227,0.002237,0.001967,0.002005,-0.0,26.23
2019-10-24,18746110.0,0.002005,0.002046,0.001951,0.002032,-0.0,30.34
