date,volume,open,high,low,close,MACD,RSI
2020-08-13,4401320.43,4.8,43.0,4.8,6.6554,0.0,
2020-08-14,1092018.81,6.6755,7.1866,5.9999,6.1723,-0.04,
2020-08-15,820325.2,6.1717,6.4994,5.6161,5.995,-0.08,
2020-08-16,337278.41,5.995,6.4,5.9,6.1129,-0.11,
2020-08-17,489352.23,6.1129,6.1833,5.7014,6.157,-0.12,
2020-08-18,767187.74,6.1217,6.664,5.6318,5.73,-0.16,
2020-08-19,503913.22,5.7536,5.9271,5.0714,5.2541,-0.23,
2020-08-20,452362.14,5.2541,5.5445,4.9608,5.3627,-0.28,
2020-08-21,461136.39,5.343,5.3481,4.7802,4.9037,-0.35,
2020-08-22,769000.52,4.9318,5.55,4.58,5.3537,-0.36,
2020-08-23,1206057.83,5.3508,6.3672,5.1473,6.1525,-0.3,
2020-08-24,1761648.06,6.1525,7.3595,6.1525,6.8723,-0.2,
2020-08-25,1487728.97,6.8796,7.6064,6.4501,7.2754,-0.08,
2020-08-26,3238367.16,7.2599,10.8888,7.1361,9.615,0.2,
2020-08-27,2369819.02,9.615,10.38,7.2101,8.3366,0.32,60.15
2020-08-28,894923.8,8.33,8.3836,7.39,7.942,0.37,60.8
2020-08-29,850168.72,7.942,7.942,7.2143,7.3695,0.36,58.0
2020-08-30,1332900.2,7.358,9.1628,7.2337,8.9414,0.48,64.08
2020-08-31,1026924.55,8.934,8.957,7.8,8.18,0.5,59.4
2020-09-01,630139.63,8.1752,8.5,7.3145,7.4176,0.46,57.6
2020-09-02,1037862.12,7.4171,7.5378,5.7777,6.346,0.33,54.67
2020-09-03,951356.59,6.3292,6.3769,4.8275,4.8275,0.1,47.96
2020-09-04,802123.5,4.8331,5.8977,4.65,5.5276,-0.02,52.34
2020-09-05,674124.81,5.5275,5.6099,4.0,4.3315,-0.21,46.37
2020-09-06,654329.05,4.2696,5.3279,3.7682,4.7415,-0.32,44.85
2020-09-07,346788.37,4.7296,4.925,4.01,4.5307,-0.43,41.12
2020-09-08,293976.57,4.535,4.5557,3.9006,4.0295,-0.54,37.79
2020-09-09,537347.2,4.0295,4.6435,3.9054,4.6143,-0.58,28.32
2020-09-10,673474.69,4.605,4.7498,4.3495,4.6161,-0.6,31.86
2020-09-11,516931.72,4.6142,4.629,4.0826,4.4373,-0.63,32.55
2020-09-12,484229.4,4.4373,4.8829,4.2761,4.786,-0.61,36.84
2020-09-13,1403711.22,4.797,5.2719,4.6075,4.9513,-0.58,26.28
2020-09-14,1399803.14,4.9497,5.9946,4.8352,5.5263,-0.5,33.87
2020-09-15,1284827.85,5.5209,5.8195,4.311,4.3375,-0.53,32.2
2020-09-16,541684.61,4.3369,4.5633,4.1361,4.399,-0.54,37.26
2020-09-17,632442.13,4.3908,4.78,4.1619,4.2963,-0.55,45.73
2020-09-18,462469.63,4.2988,4.55,4.2435,4.3064,-0.55,38.97
2020-09-19,594503.58,4.3125,4.3409,4.04,4.2204,-0.56,48.74
2020-09-20,642279.93,4.2137,4.2507,3.7001,3.7598,-0.59,39.03
2020-09-21,1545577.13,3.7582,3.8987,2.9364,3.1695,-0.65,35.98
2020-09-22,1261983.41,3.1747,3.3077,2.9784,3.2898,-0.69,41.73
2020-09-23,866429.29,3.289,3.3078,3.011,3.111,-0.72,31.53
2020-09-24,684904.69,3.1147,3.3866,3.0143,3.3486,-0.72,35.28
2020-09-25,733126.07,3.3499,3.8389,3.3,3.7734,-0.68,42.71
2020-09-26,485350.57,3.7766,3.7891,3.5001,3.6092,-0.65,36.52
2020-09-27,768845.31,3.6028,3.6591,3.1998,3.3498,-0.64,32.05
2020-09-28,597169.72,3.3537,3.5431,3.3,3.376,-0.62,22.51
2020-09-29,886541.47,3.3711,3.8299,3.3262,3.689,-0.58,39.32
2020-09-30,438510.53,3.689,3.7209,3.4518,3.6753,-0.54,37.89
2020-10-01,500396.18,3.6784,3.8715,3.4852,3.7785,-0.49,41.34
2020-10-02,360459.84,3.777,3.7836,3.3165,3.5226,-0.47,37.88
2020-10-03,102324.9,3.5657,3.6557,3.5151,3.5269,-0.45,39.0
2020-10-04,79079.86,3.5157,3.591,3.4478,3.5322,-0.42,45.78
2020-10-05,51623.02,3.527,3.6,3.4787,3.5544,-0.4,59.04
2020-10-06,111951.84,3.5542,3.5843,3.3,3.3478,-0.39,51.31
2020-10-07,238535.98,3.3478,3.3964,3.1609,3.3091,-0.38,54.77
2020-10-08,121002.31,3.3155,3.45,3.1847,3.4159,-0.37,51.73
2020-10-09,113875.65,3.4078,3.7195,3.3208,3.6765,-0.33,47.28
2020-10-10,129750.7,3.6703,3.7956,3.6389,3.664,-0.29,51.68
2020-10-11,144678.6,3.6557,3.8891,3.5289,3.8502,-0.25,66.09
2020-10-12,143075.5,3.847,3.8603,3.59,3.7107,-0.22,60.03
2020-10-13,123672.19,3.7101,3.7241,3.5424,3.6076,-0.21,47.21
2020-10-14,83178.32,3.6093,3.6093,3.4,3.4348,-0.21,42.57
2020-10-15,114491.86,3.4369,3.4369,3.2,3.2946,-0.21,35.38
2020-10-16,139740.05,3.2998,3.4166,3.1512,3.1788,-0.23,38.65
2020-10-17,45148.56,3.1889,3.2813,3.154,3.2298,-0.23,40.49
2020-10-18,54077.85,3.2381,3.3914,3.2365,3.3078,-0.23,43.13
2020-10-19,49593.18,3.3205,3.3205,3.2104,3.2163,-0.23,40.08
2020-10-20,93875.86,3.2191,3.2191,2.8855,2.8855,-0.25,37.35
2020-10-21,186901.2,2.8902,3.1197,2.8304,2.9933,-0.26,41.67
2020-10-22,125945.53,2.9995,3.1695,2.9447,3.134,-0.25,42.7
2020-10-23,168335.52,3.141,3.4202,3.0942,3.349,-0.22,41.31
2020-10-24,61951.92,3.359,3.3591,3.2545,3.313,-0.2,40.8
2020-10-25,67147.91,3.313,3.3241,3.1449,3.1454,-0.2,31.35
2020-10-26,79293.4,3.1532,3.2067,2.9781,3.0166,-0.2,31.53
