date,volume,open,high,low,close,MACD,RSI
2021-12-04,5786671.82,15.02,30.0,12.7,19.28,0.0,
2021-12-05,945752.98,19.25,19.55,13.93,14.77,-0.36,
2021-12-06,463973.76,14.74,14.89,12.0,13.94,-0.7,
2021-12-07,400446.37,13.89,16.44,13.46,14.24,-0.94,
2021-12-08,1346592.75,14.24,21.7,13.8,17.82,-0.83,
2021-12-09,708411.96,17.8,19.71,15.43,16.36,-0.85,
2021-12-10,311178.34,16.3,19.26,16.13,16.54,-0.84,
2021-12-11,129885.28,16.5,17.33,15.0,16.72,-0.81,
2021-12-12,114283.44,16.72,16.84,15.24,15.69,-0.86,
2021-12-13,121440.42,15.66,15.84,13.84,14.16,-1.01,
2021-12-14,561816.52,14.16,19.1,14.0,18.41,-0.78,
2021-12-15,436626.04,18.46,21.1,17.24,20.87,-0.39,
2021-12-16,595882.4,20.93,25.0,18.76,18.92,-0.24,
2021-12-17,186738.85,18.93,20.79,18.55,19.47,-0.08,
2021-12-18,96625.75,19.49,19.64,18.55,19.04,0.02,49.48
2021-12-19,295451.2,19.04,21.93,18.97,21.4,0.28,65.72
2021-12-20,1831106.45,21.4,27.72,20.95,23.91,0.69,71.89
2021-12-21,1104821.44,23.88,27.65,21.55,21.96,0.84,65.81
2021-12-22,607795.78,21.96,23.01,19.35,20.26,0.82,55.41
2021-12-23,299341.6,20.26,20.82,19.38,20.26,0.79,59.25
2021-12-24,337876.26,20.26,21.04,18.98,19.51,0.69,56.86
2021-12-25,226983.49,19.51,20.39,18.7,19.31,0.6,55.98
2021-12-26,212596.57,19.27,19.69,18.1,18.31,0.44,56.05
2021-12-27,180151.08,18.31,19.29,18.05,18.2,0.3,59.99
2021-12-28,206477.05,18.2,18.37,16.73,16.9,0.08,45.63
2021-12-29,467433.12,16.9,19.15,16.84,18.0,-0.0,40.98
2021-12-30,189460.58,18.0,19.0,16.8,16.92,-0.15,43.35
2021-12-31,111128.63,16.91,17.4,16.6,16.99,-0.27,41.48
2022-01-01,98210.18,16.95,17.48,16.6,17.0,-0.35,42.79
2022-01-02,92689.31,17.0,17.12,16.64,16.94,-0.42,31.17
2022-01-03,111754.32,16.94,17.12,16.22,17.04,-0.45,13.57
2022-01-04,369071.92,17.05,19.84,16.55,18.24,-0.38,28.57
2022-01-05,1696886.59,18.24,23.0,17.79,19.03,-0.26,42.08
2022-01-06,740781.82,19.05,21.33,18.1,18.57,-0.2,39.73
2022-01-07,828886.22,18.55,20.65,16.82,18.79,-0.13,45.32
2022-01-08,216526.98,18.79,19.67,16.86,17.43,-0.18,39.39
2022-01-09,102860.4,17.43,17.53,16.54,16.82,-0.27,41.2
2022-01-10,163188.58,16.79,17.1,15.21,15.64,-0.43,36.58
2022-01-11,142136.51,15.67,17.5,15.26,17.5,-0.4,52.97
2022-01-12,1838084.7,17.48,26.88,17.48,26.09,0.31,73.0
2022-01-13,1515515.7,26.09,30.33,23.69,27.17,0.95,79.14
2022-01-14,1151552.26,27.17,34.61,27.1,28.8,1.57,80.84
2022-01-15,388951.32,28.8,30.92,27.33,28.26,1.99,78.61
2022-01-16,212481.08,28.26,30.46,27.0,30.1,2.45,80.66
2022-01-17,597912.53,30.08,33.67,26.36,27.0,2.53,70.36
2022-01-18,359014.55,27.0,27.33,22.63,25.53,2.45,64.74
2022-01-19,408412.18,25.53,26.85,22.7,23.9,2.23,59.52
2022-01-20,586745.45,23.89,27.1,21.65,23.24,1.98,59.06
2022-01-21,700091.25,23.24,24.57,21.0,21.86,1.65,55.7
2022-01-22,555892.64,21.84,21.95,16.8,19.69,1.2,54.07
2022-01-23,617592.18,19.7,23.98,19.69,21.84,1.0,58.57
2022-01-24,704316.85,21.88,22.17,17.68,19.73,0.67,56.77
2022-01-25,398970.37,19.78,22.0,18.65,22.0,0.59,57.35
2022-01-26,478854.22,22.0,23.38,20.68,22.0,0.51,40.72
2022-01-27,349829.76,22.0,22.18,19.84,20.39,0.32,34.97
2022-01-28,228552.57,20.43,20.77,18.99,20.42,0.17,30.01
2022-01-29,294889.15,20.42,21.95,19.66,20.01,0.01,30.2
2022-01-30,397092.98,20.04,20.1,17.8,19.4,-0.16,22.7
2022-01-31,187753.18,19.42,20.22,18.24,19.98,-0.24,29.45
2022-02-01,115150.69,19.96,20.65,19.12,19.43,-0.35,31.13
2022-02-02,151972.13,19.42,20.59,19.21,20.55,-0.34,39.3
2022-02-03,333773.6,20.55,21.8,19.67,20.43,-0.34,40.7
2022-02-04,213940.43,20.43,22.71,20.18,22.65,-0.16,52.48
2022-02-05,277010.7,22.65,24.87,22.31,24.34,0.12,65.03
2022-02-06,107816.36,24.34,25.0,22.63,23.56,0.28,56.1
2022-02-07,158323.57,23.56,26.47,23.4,25.93,0.58,71.59
2022-02-08,138110.88,25.94,27.06,23.74,24.7,0.72,60.14
2022-02-09,68657.95,24.7,25.35,24.32,25.14,0.85,61.41
2022-02-10,98317.24,25.14,25.34,23.11,23.16,0.79,59.8
2022-02-11,103042.72,23.14,23.47,20.8,21.04,0.56,51.91
2022-02-12,106955.05,21.04,21.26,19.99,20.56,0.34,51.69
2022-02-13,95530.26,20.56,21.72,20.22,20.68,0.17,54.05
2022-02-14,122852.26,20.66,20.66,19.09,19.56,-0.05,48.71
2022-02-15,100231.85,19.55,20.93,19.51,20.9,-0.12,54.29
2022-02-16,107063.0,20.89,21.41,20.29,20.39,-0.21,49.52
2022-02-17,125363.34,20.41,20.57,17.91,17.99,-0.47,43.51
2022-02-18,171123.61,17.95,18.22,16.1,16.57,-0.79,33.11
2022-02-19,100729.15,16.55,16.82,15.72,16.05,-1.06,25.37
2022-02-20,220620.83,16.05,17.01,14.36,16.28,-1.25,27.64
2022-02-21,231625.53,16.28,16.92,14.12,14.19,-1.55,13.31
2022-02-22,105045.46,14.21,14.69,13.8,14.6,-1.73,16.73
2022-02-23,137916.12,14.6,14.85,13.51,13.51,-1.94,13.27
2022-02-24,227330.34,13.51,13.59,11.21,12.56,-2.16,14.19
2022-02-25,219708.88,12.59,14.45,12.54,13.98,-2.2,24.96
2022-02-26,194080.48,13.98,14.82,13.62,14.61,-2.15,29.12
2022-02-27,129622.87,14.61,14.71,13.25,13.44,-2.18,26.34
2022-02-28,607731.91,13.41,17.52,12.78,17.04,-1.89,42.91
2022-03-01,398189.31,17.06,17.44,16.07,17.42,-1.61,39.66
2022-03-02,416816.61,17.39,18.82,17.07,17.21,-1.39,40.38
2022-03-03,248218.24,17.19,17.23,15.92,16.19,-1.29,44.06
2022-03-04,162561.76,16.18,16.24,13.71,13.84,-1.38,41.51
2022-03-05,244117.7,13.85,15.03,13.55,14.89,-1.35,46.51
2022-03-06,308359.2,14.9,15.07,12.31,12.43,-1.51,39.78
2022-03-07,275457.38,12.39,12.81,11.68,11.91,-1.65,43.4
2022-03-08,171695.22,11.91,12.52,11.66,12.31,-1.72,43.36
