date,volume,open,high,low,close,MACD,RSI
2022-03-17,59422632.28,1.0,28.0,1.0,8.5192,0.0,
2022-03-18,182561145.14,8.5192,18.0,8.5192,13.08,0.36,
2022-03-19,54793544.04,13.0801,14.75,11.4254,11.7213,0.54,
2022-03-20,48059311.98,11.728,11.9472,9.5047,9.6302,0.5,
2022-03-21,50390386.2,9.6291,11.0079,9.5684,10.5042,0.53,
2022-03-22,47568581.62,10.5109,12.5857,10.205,12.217,0.69,
2022-03-23,45585881.45,12.2167,13.5083,11.5005,13.312,0.89,
2022-03-24,37851263.85,13.3077,14.5,12.77,12.9032,1.01,
2022-03-25,22887281.56,12.8973,13.6977,12.2316,12.3861,1.05,
2022-03-26,25971798.54,12.3864,14.2499,12.3535,13.8287,1.18,
2022-03-27,21363791.31,13.8288,14.3568,13.295,14.27,1.31,
2022-03-28,29875468.71,14.2702,15.5571,13.888,14.0275,1.37,
2022-03-29,18102005.94,14.0269,14.5676,13.3333,13.595,1.37,
2022-03-30,21323972.74,13.595,14.5805,13.0385,14.2103,1.41,
2022-03-31,17286226.74,14.2102,14.3988,12.5,12.7025,1.3,62.09
2022-04-01,12975716.19,12.704,13.6,12.2364,12.8185,1.2,48.98
2022-04-02,14458733.18,12.8237,13.8169,12.3553,12.4238,1.09,52.95
2022-04-03,10132758.77,12.4221,12.923,11.8621,12.3824,0.98,63.98
2022-04-04,9277266.58,12.3874,12.422,11.1357,11.9325,0.85,57.58
2022-04-05,12152740.59,11.9317,12.7953,11.5101,11.6299,0.71,46.33
2022-04-06,15209336.26,11.6298,12.038,10.515,10.6597,0.52,33.18
2022-04-07,8712817.38,10.6602,11.299,10.6225,11.1757,0.4,39.19
2022-04-08,8823281.11,11.1748,11.6131,10.6661,10.7797,0.28,39.79
2022-04-09,4152046.25,10.7787,11.0498,10.6,10.9757,0.19,28.46
2022-04-10,15555338.06,10.9758,12.4,10.83,12.0711,0.21,34.89
2022-04-11,21586866.39,12.0738,12.2232,10.6612,10.9404,0.13,31.09
2022-04-12,15868878.55,10.9464,12.11,10.7,11.5902,0.12,38.04
2022-04-13,24772560.1,11.5897,13.48,11.4549,13.2423,0.24,44.86
