date,volume,open,high,low,close,MACD,RSI
2022-10-19,67602698.77,1.0,100.0,1.0,7.3207,0.0,
2022-10-20,17974526.96,7.3219,7.748,6.9,7.3685,0.0,
2022-10-21,16533981.69,7.3691,7.7,6.99,7.498,0.02,
2022-10-22,22408625.29,7.498,9.3152,7.3411,8.9553,0.14,
2022-10-23,31410439.72,8.9571,10.33,8.8806,9.7815,0.31,
2022-10-24,20840808.03,9.7808,9.968,9.2354,9.5293,0.41,
2022-10-25,20968485.45,9.5298,9.568,8.5202,8.7863,0.43,
2022-10-26,15721495.42,8.7833,9.2863,8.6061,9.1951,0.47,
2022-10-27,16118633.7,9.1911,9.6387,8.6,8.7013,0.46,
2022-10-28,15606321.18,8.7015,8.8264,7.9337,8.1845,0.4,
2022-10-29,13416201.68,8.1827,8.3692,7.592,7.9532,0.34,
2022-10-30,11858055.96,7.958,8.38,7.6026,7.8049,0.27,
2022-10-31,9139206.43,7.8015,8.2211,7.7,7.9439,0.22,
2022-11-01,9092526.88,7.9337,8.315,7.815,8.1925,0.2,
2022-11-02,14872782.25,8.1935,8.211,7.1259,7.3707,0.12,50.39
2022-11-03,6315233.43,7.3745,7.5635,7.1659,7.2328,0.05,48.96
2022-11-04,8633378.03,7.2328,7.79,7.16,7.6532,0.02,51.13
2022-11-05,9131990.09,7.6527,7.998,7.5161,7.6249,-0.01,37.72
2022-11-06,13277982.14,7.6215,8.2321,7.23,7.3095,-0.05,24.8
2022-11-07,9960991.0,7.3095,7.4586,6.8,7.0006,-0.11,24.52
2022-11-08,23314806.13,7.0,7.0228,4.5,5.3762,-0.28,20.82
2022-11-09,27117956.79,5.3737,5.39,3.4356,3.9626,-0.53,11.8
2022-11-10,23161152.79,3.9682,5.5,3.8572,5.1534,-0.62,26.49
2022-11-11,13615834.03,5.1507,5.3446,4.5,5.1841,-0.68,28.75
2022-11-12,6845305.29,5.1775,5.1839,4.4276,4.5473,-0.77,27.19
2022-11-13,7360914.52,4.5442,4.6194,4.1201,4.2196,-0.86,26.55
2022-11-14,10570819.78,4.219,4.5106,3.7708,4.1925,-0.92,25.1
2022-11-15,9332444.72,4.1917,4.72,4.111,4.3346,-0.95,24.02
2022-11-16,14922210.89,4.3363,4.9688,4.1575,4.5005,-0.95,28.8
2022-11-17,12744677.28,4.5007,4.85,4.3413,4.6604,-0.92,31.06
2022-11-18,7369507.15,4.6597,4.94,4.5348,4.7177,-0.89,27.17
2022-11-19,3806479.07,4.72,4.7735,4.5,4.6226,-0.86,26.89
2022-11-20,4788160.75,4.6228,4.6358,4.025,4.1024,-0.87,26.07
2022-11-21,7484136.08,4.1011,4.1507,3.87,4.0637,-0.86,27.16
2022-11-22,7456384.5,4.0649,4.5221,3.8563,4.3163,-0.83,39.52
2022-11-23,6258534.24,4.3164,4.6,4.2436,4.443,-0.79,56.37
2022-11-24,7099049.99,4.4435,4.7479,4.2255,4.4382,-0.75,36.17
