date,volume,open,high,low,close,MACD,RSI
2021-05-14,2048140.68,27.18,77.8,27.18,29.212,0.0,
2021-05-15,909417.91,29.2,32.7,26.101,26.622,-0.21,
2021-05-16,334890.13,26.865,27.996,22.694,23.895,-0.58,
2021-05-17,342267.94,23.879,25.001,21.155,22.678,-0.97,
2021-05-18,222359.51,22.735,25.938,21.979,22.543,-1.27,
2021-05-19,523010.18,22.745,22.985,10.327,16.479,-1.98,
2021-05-20,406826.98,16.479,18.889,14.807,18.755,-2.33,
2021-05-21,501008.02,18.755,20.89,13.633,15.376,-2.84,
2021-05-22,311117.44,15.309,16.8,12.5,14.264,-3.3,
2021-05-23,279919.45,14.248,15.0,9.9,13.28,-3.71,
2021-05-24,324527.73,13.336,15.75,12.35,15.124,-3.83,
2021-05-25,328269.31,15.205,15.715,12.75,14.78,-3.91,
2021-05-26,255550.73,14.785,18.89,14.725,17.631,-3.71,
2021-05-27,239152.28,17.496,17.552,15.106,15.55,-3.67,
2021-05-28,274979.63,15.551,15.664,13.03,14.602,-3.67,24.42
2021-05-29,342815.81,14.612,16.153,11.813,12.75,-3.78,25.06
2021-05-30,160359.58,12.75,15.253,12.176,14.225,-3.7,31.8
2021-05-31,192736.31,14.111,15.304,12.481,15.304,-3.52,36.05
2021-06-01,242486.78,15.304,17.129,14.605,15.462,-3.32,36.61
2021-06-02,177735.46,15.456,17.653,15.081,16.885,-3.01,50.93
2021-06-03,237536.57,16.885,18.778,16.0,18.704,-2.59,49.88
2021-06-04,396983.91,18.702,20.0,15.047,15.987,-2.45,51.48
2021-06-05,166930.88,15.996,17.5,14.9,15.374,-2.36,52.75
2021-06-06,84395.55,15.374,16.365,15.174,15.656,-2.24,56.1
2021-06-07,1264759.3,15.661,22.375,15.439,17.461,-1.97,56.01
2021-06-08,1717805.46,17.398,21.431,15.459,17.083,-1.77,55.91
2021-06-09,591139.46,17.014,18.752,15.5,18.0,-1.52,51.05
2021-06-10,363455.19,18.038,19.42,16.499,16.668,-1.42,53.33
2021-06-11,255470.17,16.585,16.985,15.11,15.589,-1.4,52.92
2021-06-12,239442.72,15.589,15.641,13.886,14.654,-1.45,55.95
2021-06-13,322746.49,14.654,17.279,13.547,15.802,-1.38,55.03
2021-06-14,209100.41,15.871,16.785,15.035,16.2,-1.28,52.99
2021-06-15,140130.37,16.2,16.86,15.749,15.898,-1.21,51.44
2021-06-16,159426.52,15.934,16.0,14.62,15.029,-1.21,43.64
2021-06-17,170905.46,15.029,16.918,14.794,16.186,-1.1,40.96
2021-06-18,332994.94,16.154,17.485,15.0,15.685,-1.05,48.71
2021-06-19,297512.45,15.674,17.998,15.368,17.372,-0.86,57.81
2021-06-20,615632.4,17.375,19.31,15.41,18.429,-0.61,60.22
2021-06-21,388456.29,18.427,18.436,13.198,13.529,-0.81,38.2
2021-06-22,464202.17,13.524,14.767,10.935,12.033,-1.07,35.8
2021-06-23,542818.0,11.981,13.39,11.116,11.784,-1.28,31.84
2021-06-24,456047.84,11.742,12.5,10.76,11.442,-1.46,33.79
2021-06-25,596874.71,11.442,11.727,9.148,9.524,-1.74,32.12
2021-06-26,479169.45,9.524,10.0,8.27,9.0,-1.98,32.92
2021-06-27,669374.65,8.995,10.522,8.858,10.212,-2.04,33.17
2021-06-28,357578.73,10.248,10.668,9.357,9.995,-2.09,31.12
2021-06-29,235384.81,9.993,11.399,9.987,10.736,-2.05,34.7
2021-06-30,192491.93,10.727,10.799,9.833,10.348,-2.02,35.72
2021-07-01,718820.49,10.349,12.76,10.017,10.873,-1.93,33.14
2021-07-02,313127.9,10.873,11.045,9.713,10.613,-1.86,33.66
2021-07-03,321425.46,10.612,10.989,10.0,10.562,-1.79,25.47
2021-07-04,447969.1,10.563,11.4,10.282,10.929,-1.68,21.57
2021-07-05,943436.97,10.929,11.224,10.35,10.635,-1.6,33.14
2021-07-06,787668.64,10.622,11.471,10.619,11.156,-1.48,44.24
2021-07-07,220543.21,11.124,12.979,10.981,11.84,-1.32,50.35
2021-07-08,295108.54,11.844,12.392,10.57,10.887,-1.25,46.79
2021-07-09,95013.62,10.881,11.199,10.38,11.012,-1.17,60.84
2021-07-10,112930.42,11.012,11.15,10.202,10.76,-1.11,63.35
2021-07-11,77263.19,10.791,11.675,10.585,11.379,-1.01,59.73
2021-07-12,82194.18,11.37,11.452,10.427,10.6,-0.98,54.61
2021-07-13,123732.88,10.6,10.63,9.897,10.185,-0.97,45.58
2021-07-14,115412.14,10.185,10.584,9.647,10.062,-0.97,47.6
2021-07-15,112613.09,10.061,10.243,9.25,9.406,-1.01,37.97
2021-07-16,121429.31,9.42,9.713,8.5,8.754,-1.08,35.68
2021-07-17,182784.19,8.772,8.95,8.15,8.619,-1.13,35.22
2021-07-18,342801.32,8.618,10.5,8.618,9.007,-1.13,35.43
2021-07-19,166281.63,8.982,9.056,7.89,8.16,-1.19,32.69
2021-07-20,260759.19,8.15,8.441,7.193,7.207,-1.29,23.95
2021-07-21,372089.31,7.207,8.666,7.101,8.254,-1.27,27.43
2021-07-22,188471.6,8.254,8.72,7.888,8.49,-1.23,33.42
2021-07-23,294397.04,8.49,8.965,8.138,8.936,-1.14,36.25
2021-07-24,237519.23,8.936,9.134,8.759,8.915,-1.06,37.39
2021-07-25,409805.06,8.915,11.073,8.762,10.027,-0.9,41.34
2021-07-26,429997.07,10.031,11.0,9.161,9.314,-0.82,41.7
2021-07-27,193252.64,9.314,10.298,8.88,9.967,-0.7,48.63
2021-07-28,886716.1,9.967,12.5,9.692,11.184,-0.49,56.18
2021-07-29,243730.08,11.162,11.58,10.557,11.19,-0.33,60.59
2021-07-30,169238.2,11.146,11.386,10.316,11.184,-0.2,65.62
2021-07-31,206469.11,11.184,12.2,10.85,11.678,-0.05,68.79
2021-08-01,688870.08,11.678,14.0,11.352,11.494,0.05,65.67
2021-08-02,203000.59,11.505,11.97,11.2,11.544,0.13,73.7
2021-08-03,203757.55,11.542,11.68,10.622,10.92,0.14,77.27
2021-08-04,213654.58,10.92,11.999,10.799,11.329,0.18,74.91
2021-08-05,259496.69,11.318,11.606,10.668,11.511,0.23,74.69
2021-08-06,979175.31,11.521,13.6,10.996,12.663,0.35,77.31
2021-08-07,767621.15,12.651,15.027,12.617,13.811,0.54,80.79
2021-08-08,1023035.8,13.826,16.5,13.3,14.917,0.77,80.78
2021-08-09,530218.68,14.919,16.5,14.028,14.997,0.94,88.87
2021-08-10,228188.77,15.049,15.286,14.202,14.972,1.07,87.45
2021-08-11,469770.37,14.967,16.006,14.8,14.924,1.15,83.91
2021-08-12,584556.95,14.924,15.341,13.761,14.803,1.19,82.09
2021-08-13,310692.44,14.803,16.5,14.615,16.143,1.31,85.61
2021-08-14,243284.49,16.143,16.67,15.033,15.649,1.36,78.52
2021-08-15,201783.69,15.649,16.87,15.137,16.828,1.47,83.51
2021-08-16,3147589.43,16.827,24.8,16.666,19.701,1.77,87.83
2021-08-17,1409876.56,19.701,24.9,18.854,22.104,2.18,94.52
2021-08-18,4235286.96,22.195,36.165,21.505,33.422,3.38,97.07
2021-08-19,2524649.78,33.454,35.89,27.736,30.188,4.02,85.21
2021-08-20,802577.03,30.162,33.099,28.5,31.061,4.54,85.05
2021-08-21,560956.51,31.092,31.092,27.8,28.201,4.68,75.74
2021-08-22,354045.53,28.26,29.993,27.88,28.796,4.78,75.29
2021-08-23,620892.9,28.834,33.655,28.831,30.817,4.96,76.92
2021-08-24,466372.35,30.813,31.141,27.92,27.988,4.82,70.22
2021-08-25,923433.76,27.975,29.0,23.983,26.982,4.58,68.19
2021-08-26,639934.0,26.984,27.03,23.5,25.64,4.23,65.77
2021-08-27,2987463.86,25.65,42.63,24.59,38.66,4.94,74.45
2021-08-28,2218587.85,38.66,48.11,35.43,47.66,6.17,79.34
2021-08-29,1391887.45,47.66,50.0,42.43,42.59,6.65,72.04
2021-08-30,3167968.76,42.61,60.0,38.9,56.32,8.05,76.42
2021-08-31,4478840.16,56.27,70.0,54.05,65.79,9.81,78.6
2021-09-01,1447334.76,65.73,67.71,56.95,61.51,10.73,70.26
2021-09-02,892404.31,61.54,62.5,55.6,56.82,10.96,68.81
2021-09-03,976276.15,56.77,63.9,55.36,58.7,11.16,69.25
2021-09-04,613269.03,58.7,59.7,52.79,53.29,10.76,66.87
2021-09-05,977586.37,53.22,57.46,48.45,49.95,10.06,63.72
2021-09-06,1815650.65,49.9,63.38,49.32,56.97,9.96,65.93
2021-09-07,1385367.64,57.01,57.42,42.0,47.11,8.98,60.73
2021-09-08,1566960.9,47.18,60.8,46.16,54.87,8.72,64.54
2021-09-09,2558534.74,54.79,71.9,54.22,64.9,9.23,68.77
2021-09-10,1859715.64,64.81,74.4,58.48,62.49,9.32,62.68
2021-09-11,585047.81,62.53,65.19,60.05,61.11,9.18,57.79
2021-09-12,465519.96,61.09,62.9,58.41,59.84,8.87,60.45
2021-09-13,855587.4,59.8,59.86,50.23,54.24,8.07,48.6
2021-09-14,449919.7,54.22,57.7,53.04,55.46,7.45,42.19
2021-09-15,328074.16,55.46,59.11,54.12,57.28,7.03,46.68
2021-09-16,373139.98,57.23,58.16,52.51,52.97,6.27,46.96
2021-09-17,332275.44,52.97,53.37,47.81,48.92,5.29,42.53
2021-09-18,345039.52,48.92,53.1,47.91,49.56,4.5,46.93
2021-09-19,371111.51,49.61,54.5,48.0,49.7,3.85,49.78
2021-09-20,955979.99,49.72,51.0,39.33,40.33,2.55,36.1
2021-09-21,691029.53,40.37,42.97,34.15,36.99,1.23,40.51
2021-09-22,681144.9,36.98,48.8,36.12,46.95,0.98,42.87
2021-09-23,882390.61,46.91,54.8,46.58,52.32,1.2,37.64
2021-09-24,761271.99,52.35,52.62,43.28,47.55,0.98,35.97
2021-09-25,253639.12,47.57,47.85,44.62,44.94,0.59,35.16
2021-09-26,467180.54,44.95,45.6,40.8,43.23,0.14,34.88
2021-09-27,314221.27,43.19,46.15,40.85,40.93,-0.4,37.11
2021-09-28,347606.81,40.89,41.67,38.07,38.38,-1.02,33.87
2021-09-29,614560.8,38.38,44.99,38.04,40.65,-1.32,34.43
2021-09-30,355328.21,40.61,43.72,40.23,43.32,-1.32,40.68
2021-10-01,560609.26,43.36,49.26,42.58,48.81,-0.87,49.9
2021-10-02,634943.42,48.8,58.61,46.5,58.43,0.26,57.13
2021-10-03,532503.5,58.4,58.96,54.21,57.49,1.07,56.19
2021-10-04,594522.98,57.5,57.84,51.66,53.08,1.34,60.99
2021-10-05,278222.73,53.09,55.79,51.73,53.19,1.55,64.79
2021-10-06,1449860.35,53.21,67.85,48.0,64.73,2.61,65.77
2021-10-07,990294.28,64.68,67.27,58.7,58.95,2.95,55.84
2021-10-08,956361.12,58.96,69.8,58.54,62.59,3.48,63.52
2021-10-09,353209.84,62.53,64.67,59.72,61.13,3.73,64.86
2021-10-10,361415.96,61.07,62.89,57.6,57.89,3.63,63.08
2021-10-11,628365.58,57.85,64.22,56.05,58.19,3.53,65.98
2021-10-12,403115.11,58.16,58.16,51.74,54.48,3.12,64.59
2021-10-13,357441.04,54.48,55.45,50.62,52.89,2.64,61.23
2021-10-14,274356.6,52.89,54.88,51.85,52.45,2.19,58.73
2021-10-15,241536.33,52.5,54.08,50.82,53.99,1.94,55.36
