date,volume,open,high,low,close,MACD,RSI
2023-03-23,495714259.2,0.5,1.6,0.5,1.3217,0.0,
2023-03-24,543509688.1,1.3218,1.5675,1.1717,1.2727,-0.0,
2023-03-25,281919109.5,1.2726,1.315,1.18,1.2178,-0.01,
2023-03-26,242122030.3,1.2179,1.3499,1.2021,1.2818,-0.01,
2023-03-27,255551499.3,1.2818,1.3259,1.116,1.1657,-0.02,
2023-03-28,202773340.2,1.1658,1.224,1.11,1.2204,-0.02,
2023-03-29,192740067.4,1.2202,1.2767,1.1957,1.2257,-0.03,
2023-03-30,432682328.8,1.2257,1.43,1.2234,1.3796,-0.01,
2023-03-31,237400514.1,1.3795,1.445,1.3274,1.3897,-0.0,
2023-04-01,176749888.6,1.3897,1.4028,1.26,1.2931,-0.0,
2023-04-02,273657244.1,1.293,1.2985,1.1329,1.2016,-0.01,
2023-04-03,238034627.3,1.2017,1.2279,1.1,1.153,-0.02,
2023-04-04,175931684.0,1.1527,1.2687,1.1479,1.2345,-0.02,
2023-04-05,147233101.0,1.2345,1.2905,1.2046,1.2425,-0.02,
2023-04-06,93713487.2,1.2419,1.2444,1.18,1.2149,-0.02,43.8
2023-04-07,76374712.6,1.2151,1.2469,1.1813,1.197,-0.03,45.44
2023-04-08,57591943.0,1.1969,1.21,1.1523,1.1618,-0.03,46.55
2023-04-09,59181617.2,1.1618,1.2,1.1431,1.1815,-0.03,43.46
2023-04-10,98770687.8,1.1815,1.2539,1.1625,1.2423,-0.03,55.38
2023-04-11,85393969.6,1.2423,1.259,1.2032,1.2164,-0.03,49.71
2023-04-12,103650019.0,1.2162,1.2193,1.1528,1.1934,-0.03,47.69
2023-04-13,229925695.5,1.1935,1.377,1.1777,1.369,-0.01,49.27
2023-04-14,531188625.7,1.3689,1.745,1.368,1.6985,0.02,64.83
2023-04-15,248513399.8,1.6982,1.744,1.595,1.6531,0.05,68.18
2023-04-16,203386521.6,1.6531,1.7228,1.572,1.6957,0.07,76.25
2023-04-17,160893493.5,1.6957,1.6993,1.5819,1.6091,0.08,73.29
2023-04-18,300760709.2,1.6093,1.82,1.582,1.6731,0.09,72.8
2023-04-19,280622993.7,1.6726,1.6966,1.4543,1.4888,0.09,60.82
2023-04-20,241956942.9,1.4886,1.545,1.4036,1.442,0.08,59.81
2023-04-21,234777423.3,1.4419,1.5036,1.41,1.4719,0.07,61.75
2023-04-22,161249474.5,1.4717,1.5003,1.42,1.4652,0.07,63.3
2023-04-23,162687287.9,1.4652,1.4652,1.3,1.3405,0.05,56.38
2023-04-24,160683841.4,1.3405,1.3689,1.28,1.3385,0.04,54.05
2023-04-25,159350211.5,1.3382,1.3873,1.2933,1.3794,0.03,56.78
2023-04-26,266578020.3,1.3794,1.5052,1.32,1.384,0.03,58.05
2023-04-27,143289522.4,1.3841,1.4544,1.37,1.4232,0.02,52.59
2023-04-28,95044843.4,1.4232,1.4439,1.36,1.3799,0.02,29.07
2023-04-29,43764208.7,1.3801,1.3948,1.33,1.3675,0.01,30.38
2023-04-30,72287055.3,1.3675,1.4254,1.3464,1.3683,0.01,26.14
2023-05-01,85547899.4,1.3685,1.3908,1.288,1.3187,0.0,27.63
2023-05-02,57278100.9,1.3187,1.3595,1.3073,1.3486,-0.0,23.62
2023-05-03,80533908.5,1.3486,1.3638,1.2954,1.3428,-0.0,33.28
2023-05-04,66484608.2,1.3428,1.3652,1.3073,1.3183,-0.01,35.07
2023-05-05,85542674.2,1.3184,1.3667,1.29,1.3562,-0.01,36.3
2023-05-06,125932908.6,1.3562,1.3679,1.2155,1.2393,-0.02,28.79
2023-05-07,66932603.8,1.2393,1.2599,1.2161,1.2194,-0.03,35.84
2023-05-08,190017957.6,1.2193,1.23,1.0111,1.0945,-0.04,27.84
2023-05-09,94286343.0,1.0946,1.1201,1.0772,1.1029,-0.06,23.32
2023-05-10,199788891.5,1.1031,1.2058,1.0867,1.1709,-0.06,31.68
2023-05-11,129897745.9,1.1708,1.1722,1.0503,1.0888,-0.07,23.22
2023-05-12,130976835.8,1.0889,1.1777,1.0608,1.172,-0.07,34.35
2023-05-13,72548008.2,1.172,1.1916,1.1438,1.1701,-0.06,34.9
2023-05-14,63566039.5,1.17,1.2078,1.1416,1.1705,-0.06,34.86
2023-05-15,88401390.7,1.1703,1.23,1.1478,1.1883,-0.06,39.51
2023-05-16,69837029.8,1.1884,1.2133,1.1625,1.1802,-0.06,35.96
2023-05-17,75624032.3,1.1801,1.2124,1.1314,1.1984,-0.05,38.21
2023-05-18,65314586.5,1.1984,1.2149,1.1361,1.1558,-0.05,37.11
2023-05-19,44685807.2,1.1561,1.1733,1.1416,1.1636,-0.05,33.96
2023-05-20,24322161.6,1.1636,1.1695,1.1498,1.1634,-0.05,42.15
2023-05-21,35299855.5,1.1636,1.1711,1.1095,1.1275,-0.05,40.8
2023-05-22,34381113.0,1.1274,1.1403,1.1056,1.1254,-0.05,54.1
2023-05-23,49638479.1,1.1254,1.1806,1.1191,1.1666,-0.05,57.78
2023-05-24,67414125.4,1.1666,1.1672,1.0801,1.1093,-0.05,42.28
2023-05-25,55170483.9,1.1093,1.1164,1.0672,1.1066,-0.05,52.79
2023-05-26,77326911.2,1.1066,1.181,1.1032,1.1578,-0.04,47.53
2023-05-27,38743611.5,1.1578,1.1787,1.1502,1.1721,-0.04,50.33
2023-05-28,83679711.7,1.1721,1.2592,1.1642,1.2481,-0.03,60.34
2023-05-29,77856522.9,1.2482,1.2798,1.205,1.2266,-0.02,55.05
2023-05-30,59864078.4,1.2267,1.2482,1.2067,1.2181,-0.02,54.99
2023-05-31,69174488.3,1.2182,1.2363,1.135,1.1607,-0.02,45.5
2023-06-01,33505494.3,1.1606,1.1679,1.1281,1.1461,-0.02,48.76
2023-06-02,85117991.9,1.1461,1.2586,1.1347,1.2407,-0.01,58.07
2023-06-03,43809651.8,1.2409,1.2572,1.2037,1.2158,-0.01,55.22
2023-06-04,27355404.2,1.2157,1.2354,1.2001,1.2071,-0.01,58.38
2023-06-05,115265008.0,1.2067,1.2067,1.0613,1.1356,-0.01,50.94
2023-06-06,97763425.0,1.1355,1.2,1.104,1.1896,-0.01,52.06
2023-06-07,57219238.6,1.1896,1.1958,1.1159,1.1261,-0.01,51.49
2023-06-08,39436174.5,1.1261,1.1514,1.1056,1.1287,-0.02,51.96
2023-06-09,28506124.3,1.1288,1.154,1.1145,1.1317,-0.02,47.47
2023-06-10,166047016.3,1.1317,1.1338,0.9294,0.9932,-0.03,36.01
2023-06-11,50770338.8,0.9933,1.0178,0.974,0.992,-0.04,27.32
2023-06-12,68832854.6,0.9921,0.9981,0.954,0.9788,-0.05,27.72
2023-06-13,66922099.3,0.9787,1.034,0.9685,0.9932,-0.05,29.99
2023-06-14,54776158.6,0.9931,1.012,0.9184,0.9418,-0.06,30.32
2023-06-15,53024487.0,0.9419,0.9604,0.9075,0.9504,-0.06,32.21
2023-06-16,45830213.7,0.9503,0.987,0.9226,0.9754,-0.06,22.39
2023-06-17,36744136.9,0.9754,1.0131,0.9666,0.994,-0.06,26.61
2023-06-18,35635277.9,0.9939,1.0246,0.9818,0.9943,-0.06,27.16
2023-06-19,29777653.3,0.9943,1.0178,0.9856,1.0073,-0.06,34.25
2023-06-20,66970269.6,1.0073,1.09,0.9825,1.0834,-0.05,37.63
2023-06-21,93746416.1,1.0833,1.15,1.0768,1.1405,-0.03,51.7
2023-06-22,67981082.9,1.1406,1.1755,1.0824,1.0873,-0.03,45.63
2023-06-23,67068115.5,1.0875,1.16,1.0865,1.135,-0.02,50.32
2023-06-24,45896280.6,1.1351,1.1351,1.0553,1.08,-0.02,59.98
2023-06-25,51072557.9,1.0801,1.139,1.0734,1.1133,-0.01,62.99
2023-06-26,93134431.2,1.1134,1.1771,1.0811,1.1393,-0.01,66.73
2023-06-27,92047161.1,1.1396,1.2447,1.1372,1.2068,0.0,70.05
2023-06-28,85231091.1,1.2066,1.208,1.1,1.1212,0.01,65.82
2023-06-29,57043661.4,1.1211,1.1683,1.1171,1.129,0.01,65.77
2023-06-30,131933322.4,1.1293,1.1976,1.0632,1.1638,0.01,66.35
2023-07-01,40352979.6,1.1636,1.175,1.1342,1.1514,0.01,63.81
2023-07-02,36723276.4,1.1512,1.1616,1.1162,1.1511,0.01,63.76
2023-07-03,50849349.9,1.1511,1.184,1.1476,1.1694,0.02,64.09
2023-07-04,46515719.2,1.1693,1.198,1.1426,1.1488,0.02,56.29
2023-07-05,43694827.3,1.1487,1.1572,1.085,1.1117,0.01,47.12
2023-07-06,52476837.5,1.1117,1.1448,1.058,1.0678,0.01,48.01
2023-07-07,53835791.6,1.0679,1.1338,1.0571,1.1316,0.01,49.66
2023-07-08,33248410.0,1.1317,1.1505,1.1105,1.1247,0.01,54.88
2023-07-09,37628437.3,1.1247,1.143,1.1211,1.1245,0.01,51.32
2023-07-10,40698798.9,1.1245,1.1443,1.0945,1.1193,0.01,47.53
2023-07-11,29744788.4,1.1192,1.1341,1.11,1.1272,0.01,38.46
2023-07-12,43186392.3,1.1272,1.1393,1.1082,1.1219,0.0,50.13
2023-07-13,83084202.0,1.1218,1.25,1.1118,1.2237,0.01,63.21
2023-07-14,143164569.7,1.2236,1.34,1.1644,1.2144,0.02,57.6
2023-07-15,94883634.5,1.2144,1.334,1.2043,1.271,0.03,65.85
2023-07-16,53253421.4,1.2711,1.3107,1.2341,1.2712,0.03,65.92
2023-07-17,88908688.4,1.2711,1.3499,1.2504,1.3052,0.04,67.29
2023-07-18,73200138.9,1.305,1.331,1.2131,1.2451,0.04,61.14
2023-07-19,52113365.1,1.2445,1.2976,1.2311,1.2667,0.04,68.59
2023-07-20,57556923.5,1.2666,1.312,1.2476,1.2614,0.04,75.59
2023-07-21,45272669.9,1.2615,1.298,1.2303,1.233,0.04,64.79
2023-07-22,16645592.3,1.2331,1.2522,1.2139,1.2258,0.04,64.73
2023-07-23,28651147.6,1.2258,1.27,1.2167,1.2511,0.04,67.19
2023-07-24,44098401.1,1.2511,1.254,1.1652,1.1862,0.03,57.82
2023-07-25,24737966.6,1.1863,1.1952,1.1552,1.1687,0.02,54.74
2023-07-26,30886900.7,1.1687,1.207,1.15,1.1976,0.02,58.21
2023-07-27,19387171.5,1.1978,1.2089,1.1673,1.1729,0.02,43.39
2023-07-28,17169997.5,1.1729,1.1812,1.1538,1.1736,0.01,44.57
2023-07-29,8097316.3,1.1736,1.184,1.1714,1.1823,0.01,36.46
2023-07-30,19756586.9,1.1824,1.1894,1.1397,1.1585,0.01,33.95
2023-07-31,27031952.6,1.1584,1.1955,1.1535,1.1693,0.0,29.28
2023-08-01,33704668.6,1.1694,1.1757,1.1211,1.1627,0.0,34.99
2023-08-02,30072008.8,1.1628,1.1749,1.1231,1.1333,-0.0,26.36
2023-08-03,24196608.6,1.1329,1.1506,1.1187,1.1292,-0.01,26.48
2023-08-04,23883256.5,1.1292,1.1663,1.1276,1.1577,-0.01,36.61
2023-08-05,14784614.6,1.1577,1.1599,1.1316,1.1373,-0.01,34.96
2023-08-06,12644554.4,1.1373,1.1473,1.1283,1.1384,-0.01,29.14
2023-08-07,24842280.9,1.1385,1.1548,1.1101,1.1345,-0.01,37.64
2023-08-08,28957898.2,1.1346,1.1742,1.1318,1.1603,-0.01,48.07
2023-08-09,41496971.2,1.1602,1.1956,1.1602,1.1761,-0.01,44.74
2023-08-10,24479088.1,1.1762,1.1892,1.155,1.1603,-0.01,46.78
2023-08-11,12790197.2,1.1603,1.1646,1.1515,1.1588,-0.01,46.23
2023-08-12,8682190.4,1.1588,1.173,1.1554,1.1639,-0.01,45.22
2023-08-13,13364572.5,1.164,1.1685,1.1396,1.141,-0.01,45.44
2023-08-14,18582640.2,1.1411,1.1541,1.1319,1.1417,-0.01,42.4
2023-08-15,32200168.5,1.1418,1.1672,1.111,1.1301,-0.01,41.26
2023-08-16,61631368.4,1.13,1.1358,1.0254,1.049,-0.02,32.31
2023-08-17,83393302.6,1.0491,1.0675,0.916,0.9845,-0.03,25.78
2023-08-18,42948173.0,0.9843,1.0264,0.9796,1.007,-0.03,24.26
2023-08-19,18304473.4,1.007,1.0331,1.004,1.0211,-0.04,29.71
2023-08-20,18058972.6,1.0211,1.0412,1.0158,1.0292,-0.04,31.39
2023-08-21,29878736.6,1.0292,1.034,0.9731,0.9942,-0.04,28.38
2023-08-22,38533398.6,0.9943,1.0046,0.9342,0.9821,-0.05,21.33
2023-08-23,30883966.8,0.9821,1.03,0.9766,1.009,-0.05,24.04
2023-08-24,24202414.4,1.0089,1.0144,0.963,0.9812,-0.05,23.18
2023-08-25,32485307.0,0.9813,0.9813,0.9317,0.9492,-0.05,21.24
2023-08-26,15026370.4,0.9491,0.9557,0.938,0.9506,-0.05,20.43
2023-08-27,17180839.7,0.9506,0.9647,0.9458,0.9586,-0.05,23.63
2023-08-28,26501170.1,0.9585,0.9604,0.92,0.9501,-0.05,22.91
2023-08-29,48866855.8,0.9498,0.9985,0.9329,0.9711,-0.05,28.1
2023-08-30,27311575.1,0.971,0.972,0.9353,0.9423,-0.05,32.83
2023-08-31,42555022.4,0.9423,0.9596,0.9009,0.9161,-0.05,37.44
2023-09-01,36363970.2,0.916,0.9291,0.8701,0.8848,-0.06,28.27
2023-09-02,19659100.6,0.8848,0.8992,0.8749,0.8881,-0.06,25.41
2023-09-03,19459082.1,0.8883,0.912,0.879,0.9048,-0.06,27.71
2023-09-04,28838376.2,0.9049,0.928,0.8833,0.8967,-0.06,30.66
2023-09-05,19954862.4,0.8968,0.9129,0.8835,0.9011,-0.05,33.43
2023-09-06,25673876.6,0.9011,0.9109,0.8793,0.9017,-0.05,25.4
2023-09-07,20405775.2,0.9018,0.921,0.8968,0.9132,-0.05,33.15
2023-09-08,20574730.1,0.9132,0.9234,0.8891,0.9018,-0.05,36.92
2023-09-09,7808658.1,0.9017,0.9034,0.8951,0.8982,-0.05,35.71
2023-09-10,51229327.9,0.8983,0.8986,0.8302,0.8442,-0.05,25.07
2023-09-11,103453304.1,0.8442,0.8488,0.739,0.7623,-0.06,18.99
2023-09-12,69536133.2,0.7623,0.805,0.753,0.7833,-0.06,18.99
2023-09-13,52418920.0,0.783,0.823,0.7725,0.7856,-0.06,21.64
2023-09-14,39326599.1,0.7856,0.82,0.782,0.8036,-0.06,29.02
2023-09-15,30610271.2,0.8038,0.8149,0.7827,0.8078,-0.06,34.02
2023-09-16,31965136.3,0.8077,0.8377,0.8065,0.8278,-0.06,38.3
2023-09-17,22841991.5,0.8279,0.828,0.7805,0.7946,-0.06,29.91
2023-09-18,38335436.7,0.7947,0.8409,0.7839,0.8237,-0.05,37.64
2023-09-19,29420361.9,0.8235,0.8649,0.8184,0.8641,-0.05,44.41
2023-09-20,31674042.8,0.8641,0.8708,0.8336,0.8605,-0.04,43.84
2023-09-21,32093760.5,0.8607,0.8658,0.8088,0.8222,-0.04,37.4
2023-09-22,19067882.5,0.8221,0.8484,0.8153,0.8404,-0.04,41.65
2023-09-23,15267679.3,0.8404,0.8491,0.817,0.8207,-0.03,39.91
2023-09-24,14771347.4,0.8206,0.8322,0.8017,0.8075,-0.03,44.65
2023-09-25,18422720.8,0.8073,0.8199,0.7983,0.8071,-0.03,58.56
2023-09-26,21161646.4,0.8072,0.8268,0.8052,0.8265,-0.03,58.31
2023-09-27,20379065.3,0.8265,0.8444,0.8107,0.8187,-0.03,56.23
2023-09-28,42159064.0,0.8186,0.9029,0.8162,0.8926,-0.02,63.85
2023-09-29,45946765.2,0.8927,0.9145,0.8818,0.9023,-0.02,64.45
2023-09-30,22321198.7,0.9022,0.9244,0.8915,0.9077,-0.01,62.79
2023-10-01,43070101.8,0.9076,0.9853,0.9063,0.9693,0.0,75.64
2023-10-02,50033664.9,0.9694,0.9883,0.91,0.9312,0.01,65.37
2023-10-03,30036225.8,0.9314,0.9448,0.8975,0.9053,0.01,56.15
2023-10-04,37721447.6,0.9053,0.9073,0.8535,0.8837,0.01,53.28
2023-10-05,26482519.6,0.8837,0.8927,0.8516,0.8572,0.0,55.13
2023-10-06,21580581.3,0.8575,0.8974,0.8572,0.8897,0.0,56.93
2023-10-07,14523533.4,0.8897,0.8952,0.865,0.8686,0.0,56.71
2023-10-08,22204838.9,0.8686,0.8754,0.8373,0.8466,-0.0,55.34
2023-10-09,35615566.4,0.8467,0.8566,0.787,0.8199,-0.0,51.63
2023-10-10,20417688.7,0.8198,0.83,0.8108,0.8233,-0.01,49.57
2023-10-11,24463526.1,0.8232,0.8267,0.7959,0.8161,-0.01,49.65
2023-10-12,30123157.9,0.8162,0.83,0.7879,0.8041,-0.01,35.89
2023-10-13,25662465.6,0.8041,0.8196,0.7975,0.807,-0.02,34.47
2023-10-14,7317958.7,0.8071,0.8134,0.802,0.8031,-0.02,32.87
2023-10-15,10609923.5,0.8031,0.8111,0.7963,0.8037,-0.02,16.12
2023-10-16,33179845.6,0.8038,0.8464,0.8032,0.8192,-0.02,24.75
2023-10-17,20861917.7,0.8194,0.8213,0.7775,0.7838,-0.02,23.74
2023-10-18,17340662.0,0.7839,0.7981,0.773,0.7824,-0.02,26.01
2023-10-19,20449681.2,0.7825,0.7848,0.7634,0.7692,-0.02,27.76
2023-10-20,36042109.4,0.7693,0.8112,0.7668,0.7999,-0.02,27.09
2023-10-21,31698869.3,0.8,0.8416,0.7949,0.8328,-0.02,41.39
2023-10-22,34520275.8,0.8328,0.8532,0.8174,0.853,-0.01,51.55
2023-10-23,64824538.9,0.8531,0.8888,0.8275,0.8838,-0.01,65.21
2023-10-24,83589541.8,0.8838,0.9483,0.8612,0.9001,-0.0,67.22
2023-10-25,53174325.7,0.9001,0.9261,0.871,0.9229,0.01,72.38
2023-10-26,101469589.5,0.9229,0.9975,0.9115,0.937,0.01,77.61
2023-10-27,45003726.9,0.937,0.9384,0.8804,0.9151,0.01,70.81
2023-10-28,24170636.8,0.9152,0.935,0.9068,0.9193,0.02,72.35
2023-10-29,32226414.8,0.9193,0.9571,0.9027,0.9483,0.02,75.07
2023-10-30,40353251.3,0.9483,0.9685,0.9235,0.9649,0.03,75.16
2023-10-31,51469517.8,0.9647,0.9829,0.9074,0.945,0.03,79.42
2023-11-01,76668150.2,0.9451,1.0439,0.9221,1.0404,0.04,85.05
2023-11-02,61897971.5,1.0405,1.044,0.95,0.9901,0.04,77.26
2023-11-03,66477046.6,0.9901,1.0779,0.9359,1.0598,0.05,79.26
2023-11-04,55302333.4,1.0599,1.1197,1.0452,1.0963,0.05,79.43
2023-11-05,51871855.9,1.0962,1.1157,1.0551,1.0897,0.06,77.26
2023-11-06,57146170.1,1.09,1.1469,1.0636,1.1248,0.06,77.49
2023-11-07,51276024.5,1.1249,1.1252,1.0447,1.0826,0.06,69.65
2023-11-08,52437582.3,1.0826,1.1005,1.06,1.0932,0.07,68.83
2023-11-09,134494594.1,1.0933,1.2228,0.9576,1.2083,0.07,74.53
2023-11-10,78008165.6,1.2075,1.2246,1.1212,1.1733,0.08,72.8
2023-11-11,67363894.5,1.1735,1.1817,1.07,1.1373,0.08,68.23
2023-11-12,65055427.0,1.1374,1.172,1.0919,1.1558,0.08,67.66
2023-11-13,89341860.0,1.1557,1.198,1.1088,1.1149,0.07,62.26
2023-11-14,70261489.1,1.1148,1.12,1.02,1.0768,0.06,60.46
2023-11-15,53601022.9,1.0768,1.1504,1.0735,1.1426,0.06,58.51
2023-11-16,93234456.7,1.1426,1.18,1.0633,1.0784,0.06,57.19
2023-11-17,74631887.7,1.0783,1.1046,1.0001,1.0434,0.05,48.59
2023-11-18,44275481.5,1.0433,1.0459,0.9804,1.0326,0.04,44.25
2023-11-19,59493950.1,1.0326,1.0503,1.0071,1.0459,0.03,46.09
2023-11-20,50907797.8,1.046,1.0745,1.0205,1.027,0.03,41.02
2023-11-21,68445861.8,1.0269,1.0523,0.9448,0.9499,0.02,38.55
2023-11-22,49452400.4,0.9498,1.0358,0.9461,1.0193,0.01,44.21
2023-11-23,27843214.8,1.0193,1.047,1.0053,1.0161,0.01,31.74
2023-11-24,42113071.0,1.0165,1.0797,1.0141,1.0496,0.01,38.21
2023-11-25,24654416.3,1.0496,1.084,1.0434,1.0666,0.01,43.01
2023-11-26,35545092.3,1.0666,1.0724,1.0089,1.0374,0.01,38.54
2023-11-27,36118347.8,1.0374,1.0426,0.9909,1.0174,0.01,40.16
2023-11-28,27375743.6,1.0176,1.0315,0.9857,1.0172,0.0,43.49
2023-11-29,27353133.0,1.0172,1.03,0.9934,1.0081,0.0,33.23
2023-11-30,19751930.5,1.0081,1.0174,0.9979,1.0064,-0.0,39.36
2023-12-01,44411868.5,1.0065,1.0491,1.0004,1.0342,-0.0,48.61
2023-12-02,55995669.7,1.0341,1.1212,1.0313,1.1105,0.01,59.82
2023-12-03,42232185.3,1.1109,1.1251,1.0819,1.0965,0.01,56.37
2023-12-04,99022588.8,1.0965,1.1497,1.0225,1.0922,0.01,58.52
2023-12-05,73734638.0,1.0922,1.1082,1.0473,1.0909,0.01,72.96
2023-12-06,68324921.0,1.091,1.1126,1.0501,1.0587,0.01,57.3
2023-12-07,152169477.5,1.0585,1.2,1.036,1.1719,0.02,70.51
2023-12-08,84032221.0,1.172,1.1977,1.1465,1.1661,0.03,66.54
2023-12-09,109479415.7,1.1662,1.2423,1.1235,1.1392,0.03,60.03
2023-12-10,48475761.1,1.1391,1.166,1.1128,1.1558,0.03,66.94
2023-12-11,128868146.5,1.1558,1.1622,1.012,1.0952,0.03,59.97
2023-12-12,149171233.9,1.0951,1.2585,1.0939,1.2521,0.04,71.48
2023-12-13,135202613.2,1.2521,1.2541,1.1068,1.186,0.04,64.73
2023-12-14,76542151.4,1.1861,1.2039,1.12,1.1834,0.04,64.64
2023-12-15,54459827.1,1.1834,1.1844,1.0914,1.1001,0.03,54.99
2023-12-16,49571386.5,1.1001,1.16,1.08,1.1249,0.03,51.18
2023-12-17,45677231.4,1.1248,1.1381,1.0891,1.1061,0.02,50.78
2023-12-18,60517484.9,1.1059,1.1155,1.0324,1.101,0.02,50.72
2023-12-19,54149049.8,1.101,1.1244,1.0633,1.0735,0.01,48.64
2023-12-20,59389322.5,1.0737,1.1324,1.0683,1.105,0.01,53.62
2023-12-21,73208564.2,1.1049,1.163,1.0947,1.1582,0.02,48.82
2023-12-22,291920005.7,1.1583,1.4423,1.143,1.4193,0.04,65.16
2023-12-23,143727389.1,1.4193,1.4558,1.3066,1.3934,0.05,65.24
2023-12-24,124139975.3,1.3931,1.4641,1.331,1.354,0.06,61.57
2023-12-25,82771661.6,1.3539,1.402,1.3364,1.3875,0.07,67.61
2023-12-26,89725582.9,1.3874,1.4083,1.231,1.3261,0.07,55.04
2023-12-27,167140032.1,1.3262,1.5431,1.266,1.5052,0.08,68.84
2023-12-28,166677742.1,1.505,1.6691,1.4651,1.4678,0.09,66.12
2023-12-29,117598412.2,1.4678,1.5489,1.4178,1.5098,0.1,74.37
2023-12-30,64644012.8,1.5095,1.535,1.4307,1.4801,0.1,71.0
2023-12-31,107499114.4,1.4803,1.6666,1.4786,1.5612,0.11,75.06
2024-01-01,99385810.9,1.5613,1.7485,1.5113,1.7345,0.13,79.43
2024-01-02,136280613.7,1.7349,1.84,1.6981,1.7701,0.14,82.13
2024-01-03,407868649.1,1.7702,2.09,1.463,1.9137,0.17,83.8
