date,volume,open,high,low,close,MACD,RSI
2020-05-15,1481714.5,0.03888,0.04399,0.03798,0.03841,0.0,
2020-05-16,382419.2,0.03911,0.03991,0.03841,0.03921,0.0,
2020-05-17,855910.5,0.03967,0.04099,0.0395,0.04019,0.0,
2020-05-18,547431.8,0.04031,0.04099,0.03971,0.04026,0.0,
2020-05-19,1200662.2,0.04036,0.04058,0.03889,0.04058,0.0,
2020-05-20,917099.3,0.04058,0.04082,0.03836,0.03973,0.0,
2020-05-21,796768.9,0.03947,0.04032,0.03713,0.03864,0.0,
2020-05-22,77971250.3,0.03905,0.08864,0.03876,0.05671,0.0,
2020-05-23,28749484.4,0.05645,0.05868,0.04964,0.05084,0.0,
2020-05-24,13169519.2,0.05081,0.0545,0.04585,0.046,0.0,
2020-05-25,6805805.6,0.04586,0.05049,0.0455,0.04974,0.0,
2020-05-26,3338237.6,0.04974,0.05189,0.04608,0.04758,0.0,
2020-05-27,2972403.4,0.04805,0.04815,0.04521,0.04571,0.0,
2020-05-28,1580132.9,0.04587,0.04701,0.04505,0.04579,0.0,
2020-05-29,2087266.0,0.04578,0.04793,0.04573,0.04735,0.0,60.57
2020-05-30,1167743.5,0.04735,0.04777,0.04612,0.04719,0.0,59.58
2020-05-31,8518975.5,0.04753,0.05388,0.04566,0.04648,0.0,57.6
2020-06-01,2561131.1,0.04646,0.04905,0.0464,0.04836,0.0,59.38
2020-06-02,1747944.0,0.048,0.04882,0.04457,0.04608,0.0,56.09
2020-06-03,6223267.7,0.0463,0.05299,0.04576,0.04932,0.0,60.08
2020-06-04,2590180.9,0.04944,0.0514,0.048,0.05103,0.0,62.86
2020-06-05,1453981.5,0.05103,0.05297,0.04964,0.04988,0.0,39.07
2020-06-06,1086865.5,0.04963,0.05168,0.04938,0.05095,0.0,50.21
2020-06-07,931735.7,0.05082,0.05108,0.04732,0.04939,0.0,57.32
2020-06-08,1903316.5,0.04946,0.0517,0.04817,0.05124,0.0,53.52
2020-06-09,1124233.7,0.05124,0.05149,0.0498,0.0508,0.0,58.23
2020-06-10,2300099.1,0.05075,0.0542,0.05075,0.0532,0.0,68.64
2020-06-11,4708343.4,0.05327,0.0567,0.04808,0.04808,0.0,54.56
2020-06-12,1625621.9,0.04806,0.05288,0.04769,0.05248,0.0,59.17
2020-06-13,1862386.5,0.05248,0.05536,0.05134,0.05509,0.0,62.98
2020-06-14,3322915.4,0.0551,0.05836,0.05179,0.05233,0.0,59.01
2020-06-15,2506093.0,0.05261,0.05584,0.04777,0.0547,0.0,59.62
2020-06-16,1580998.7,0.05416,0.05426,0.0516,0.05255,0.0,59.85
2020-06-17,1504494.7,0.05252,0.05262,0.04949,0.05186,0.0,54.19
2020-06-18,1938570.0,0.05186,0.05368,0.05147,0.053,0.0,53.32
2020-06-19,1931652.0,0.053,0.05586,0.05054,0.05277,0.0,55.02
2020-06-20,1188668.6,0.05267,0.05471,0.05223,0.0535,0.0,54.48
2020-06-21,1762729.6,0.0535,0.05649,0.05345,0.05488,0.0,59.71
2020-06-22,855946.4,0.05452,0.05593,0.05353,0.05505,0.0,57.16
2020-06-23,1924521.1,0.05505,0.05612,0.0532,0.05335,0.0,54.58
2020-06-24,1312434.1,0.05378,0.05426,0.04943,0.05023,0.0,44.8
2020-06-25,993405.1,0.05024,0.051,0.04825,0.04917,0.0,52.22
2020-06-26,4366235.1,0.04936,0.05457,0.04919,0.05161,0.0,48.07
2020-06-27,1377774.9,0.05142,0.05223,0.04701,0.04772,0.0,34.54
2020-06-28,1027504.7,0.0479,0.04921,0.04638,0.04858,0.0,41.45
2020-06-29,421254.7,0.0482,0.04891,0.04733,0.04848,0.0,34.18
2020-06-30,719747.8,0.04831,0.04947,0.04713,0.04764,-0.0,36.62
2020-07-01,832731.9,0.04736,0.04828,0.04685,0.04759,-0.0,37.94
2020-07-02,924334.5,0.04811,0.04837,0.04642,0.04707,-0.0,32.65
2020-07-03,845826.8,0.04693,0.04977,0.0469,0.04942,-0.0,41.28
2020-07-04,2682362.5,0.04942,0.055,0.048,0.04997,-0.0,40.73
2020-07-05,2201873.1,0.05006,0.0511,0.049,0.05107,-0.0,39.84
2020-07-06,1576835.6,0.05112,0.0527,0.05021,0.052,0.0,42.18
2020-07-07,1395785.9,0.0523,0.05309,0.04985,0.05069,0.0,43.04
2020-07-08,2275297.0,0.05051,0.0541,0.05043,0.05404,0.0,59.84
2020-07-09,1734989.0,0.05402,0.05491,0.05097,0.0527,0.0,58.99
2020-07-10,1426794.7,0.05267,0.05268,0.05,0.05209,0.0,51.35
2020-07-11,902042.5,0.05234,0.05381,0.05198,0.05328,0.0,68.41
2020-07-12,487551.5,0.05327,0.0539,0.05191,0.0525,0.0,63.05
2020-07-13,2887570.2,0.05252,0.055,0.05197,0.05197,0.0,61.29
2020-07-14,2698089.7,0.05246,0.05286,0.05023,0.0515,0.0,62.8
2020-07-15,4974313.9,0.05171,0.055,0.05118,0.05354,0.0,67.43
2020-07-16,28531601.6,0.05373,0.06589,0.05296,0.06113,0.0,79.12
2020-07-17,11757787.5,0.06113,0.06494,0.05644,0.05843,0.0,68.4
2020-07-18,4595293.9,0.0584,0.05932,0.05552,0.05857,0.0,67.86
2020-07-19,3801068.4,0.05862,0.0588,0.0551,0.05624,0.0,60.21
2020-07-20,8740346.4,0.05626,0.06149,0.05585,0.05985,0.0,64.02
2020-07-21,4895474.0,0.05985,0.06168,0.05794,0.05993,0.0,67.26
2020-07-22,6770450.0,0.05993,0.06301,0.05763,0.05936,0.0,61.09
2020-07-23,5270904.5,0.05946,0.06316,0.05944,0.06219,0.0,68.63
2020-07-24,2639889.0,0.06219,0.06275,0.059,0.05995,0.0,64.5
2020-07-25,4099912.1,0.05972,0.06066,0.05573,0.05797,0.0,58.41
2020-07-26,3038295.4,0.05797,0.05854,0.05417,0.0561,0.0,56.21
2020-07-27,12944212.1,0.05615,0.06073,0.04143,0.05254,0.0,50.89
2020-07-28,2489943.6,0.05257,0.057,0.05124,0.05452,0.0,54.5
2020-07-29,2912738.7,0.05469,0.05853,0.05455,0.05761,0.0,55.89
2020-07-30,4167865.9,0.05761,0.06355,0.056,0.05748,0.0,43.27
2020-07-31,2344987.1,0.05768,0.05779,0.05533,0.05669,0.0,46.55
2020-08-01,1643899.1,0.05649,0.05749,0.0555,0.05681,0.0,46.51
2020-08-02,4468182.3,0.05689,0.059,0.04791,0.05547,0.0,48.41
2020-08-03,2287431.9,0.05547,0.05788,0.05467,0.05578,0.0,40.26
2020-08-04,2671018.4,0.05569,0.05965,0.05533,0.05785,0.0,45.45
2020-08-05,5051778.1,0.05815,0.0615,0.0575,0.06048,0.0,52.25
2020-08-06,7638837.7,0.06056,0.0671,0.06024,0.06654,0.0,57.72
2020-08-07,7714396.2,0.06654,0.0699,0.06416,0.06869,0.0,65.56
2020-08-08,7152704.6,0.06869,0.07101,0.06732,0.06841,0.0,69.79
2020-08-09,6423836.3,0.06803,0.06877,0.065,0.06869,0.0,75.39
2020-08-10,21506485.1,0.06885,0.076,0.06319,0.07383,0.0,90.37
2020-08-11,25222216.2,0.07369,0.078,0.0662,0.06835,0.0,73.15
2020-08-12,18268948.4,0.06817,0.0708,0.06234,0.06929,0.0,71.07
2020-08-13,11178236.9,0.06963,0.06976,0.06555,0.068,0.0,68.21
2020-08-14,8159103.2,0.068,0.07057,0.06691,0.068,0.0,70.13
2020-08-15,3373479.8,0.06801,0.06819,0.06594,0.06679,0.0,67.1
2020-08-16,3238048.8,0.06657,0.0681,0.06503,0.06801,0.0,71.58
2020-08-17,15076463.7,0.06809,0.0743,0.06783,0.07057,0.0,73.62
2020-08-18,30889079.3,0.07056,0.08149,0.07,0.07629,0.0,76.37
2020-08-19,12527534.0,0.07632,0.07671,0.0633,0.06776,0.0,58.91
2020-08-20,9687983.6,0.06776,0.07434,0.06567,0.07321,0.0,58.29
2020-08-21,8051136.2,0.07321,0.07545,0.06728,0.06833,0.0,49.58
2020-08-22,11221217.4,0.06839,0.07791,0.06628,0.0776,0.0,58.84
2020-08-23,9663125.3,0.07762,0.07928,0.07225,0.07685,0.0,57.78
2020-08-24,8046715.7,0.07705,0.0806,0.07347,0.07867,0.0,54.93
2020-08-25,14380813.9,0.07871,0.083,0.07281,0.08131,0.0,64.0
2020-08-26,19162679.3,0.08131,0.0904,0.07788,0.0889,0.01,68.52
2020-08-27,11298687.7,0.08883,0.0889,0.07483,0.08042,0.01,60.33
2020-08-28,7897625.5,0.08041,0.08313,0.07506,0.07743,0.01,57.47
2020-08-29,5852960.5,0.07768,0.08143,0.07586,0.08092,0.01,60.8
2020-08-30,6463104.7,0.08038,0.0874,0.08029,0.08562,0.01,62.78
2020-08-31,8622097.5,0.08568,0.09111,0.08209,0.08595,0.01,61.54
2020-09-01,5174575.3,0.08584,0.0864,0.07985,0.08167,0.01,54.13
2020-09-02,3651755.7,0.08168,0.08283,0.07263,0.0764,0.0,56.97
2020-09-03,5908313.5,0.07617,0.07654,0.05597,0.05789,0.0,39.79
2020-09-04,3637171.9,0.05803,0.06324,0.05698,0.06182,0.0,45.6
2020-09-05,3263540.9,0.06181,0.06232,0.051,0.05486,-0.0,34.15
2020-09-06,4275918.4,0.05483,0.05689,0.0504,0.05586,-0.0,35.42
2020-09-07,3332354.3,0.05585,0.0575,0.051,0.05657,-0.0,34.41
2020-09-08,9324491.5,0.05667,0.06385,0.05251,0.0555,-0.0,31.38
2020-09-09,7272589.9,0.05567,0.05996,0.05487,0.05873,-0.0,26.77
2020-09-10,10088300.0,0.0589,0.067,0.0589,0.06601,-0.0,38.7
2020-09-11,7840596.6,0.06608,0.06839,0.02119,0.06677,-0.0,41.34
2020-09-12,3650324.4,0.06676,0.0697,0.06638,0.06808,-0.0,39.18
2020-09-13,3226171.5,0.06808,0.07,0.06002,0.06291,-0.0,31.01
2020-09-14,2034446.0,0.06297,0.06551,0.06181,0.06452,-0.0,32.46
2020-09-15,4455890.0,0.06486,0.06609,0.06037,0.06109,-0.0,32.92
2020-09-16,1440834.3,0.06118,0.06253,0.05872,0.06078,-0.0,35.87
2020-09-17,4978577.3,0.06068,0.0668,0.06015,0.06579,-0.0,59.45
2020-09-18,4865649.3,0.06576,0.07,0.06353,0.06541,-0.0,54.7
2020-09-19,2025096.0,0.06561,0.06913,0.06511,0.0667,-0.0,68.18
2020-09-20,6330390.6,0.0667,0.069,0.06379,0.06545,-0.0,64.61
2020-09-21,2898067.6,0.06558,0.06617,0.05398,0.05517,-0.0,48.35
2020-09-22,3785396.9,0.05534,0.05691,0.05379,0.05441,-0.0,48.7
2020-09-23,4250300.9,0.05443,0.05545,0.04942,0.05036,-0.0,40.24
2020-09-24,1410247.9,0.05016,0.05404,0.049,0.05404,-0.0,34.77
2020-09-25,1978474.0,0.0536,0.05432,0.05115,0.05367,-0.0,33.16
2020-09-26,2804889.4,0.05394,0.05457,0.0526,0.05374,-0.0,30.96
2020-09-27,1464700.5,0.05398,0.05425,0.05075,0.05226,-0.0,34.32
