date,volume,open,high,low,close,MACD,RSI
2023-05-19,245787286.0,0.1051,0.28,0.1051,0.193,0.0,
2023-05-20,83972618.0,0.1929,0.206,0.158,0.1599,-0.0,
2023-05-21,28845633.0,0.1598,0.168,0.1478,0.151,-0.01,
2023-05-22,25782487.0,0.1508,0.163,0.1427,0.1455,-0.01,
2023-05-23,14952110.0,0.1451,0.1511,0.1383,0.1412,-0.01,
2023-05-24,18631217.0,0.1409,0.1441,0.1261,0.1309,-0.01,
2023-05-25,17354711.0,0.1313,0.1399,0.1245,0.1349,-0.01,
2023-05-26,46607588.0,0.135,0.1588,0.128,0.1291,-0.02,
2023-05-27,10820924.0,0.129,0.1319,0.1261,0.1291,-0.02,
2023-05-28,11518157.0,0.1291,0.1331,0.127,0.13,-0.02,
2023-05-29,9456396.0,0.13,0.1344,0.1258,0.1261,-0.02,
2023-05-30,9699561.0,0.1263,0.1275,0.1202,0.1226,-0.02,
2023-05-31,23180279.0,0.1226,0.133,0.115,0.129,-0.02,
2023-06-01,35078194.0,0.129,0.1425,0.1195,0.1208,-0.02,
2023-06-02,10123981.0,0.1212,0.1269,0.1188,0.1217,-0.02,12.75
2023-06-03,5193589.0,0.1219,0.1258,0.1205,0.1222,-0.02,20.13
2023-06-04,4715101.0,0.1221,0.1262,0.1195,0.1198,-0.02,22.44
2023-06-05,5889389.0,0.1195,0.1198,0.1091,0.1124,-0.02,21.71
2023-06-06,9892085.0,0.1121,0.1232,0.1095,0.1161,-0.02,28.32
2023-06-07,3860490.0,0.1159,0.12,0.1095,0.1111,-0.02,31.18
2023-06-08,28839417.0,0.1112,0.1365,0.1112,0.1131,-0.02,28.46
2023-06-09,4566763.0,0.1134,0.1158,0.1118,0.1125,-0.02,31.72
2023-06-10,6619887.0,0.1128,0.1133,0.097,0.1019,-0.02,25.71
2023-06-11,4783966.0,0.1018,0.1108,0.1,0.1012,-0.02,24.19
2023-06-12,6687259.0,0.1014,0.1138,0.0991,0.1041,-0.02,29.93
2023-06-13,4236669.0,0.1039,0.1099,0.1012,0.1025,-0.02,31.0
2023-06-14,3424473.0,0.1024,0.1061,0.0975,0.0989,-0.02,19.96
2023-06-15,8366191.0,0.0989,0.1086,0.098,0.1048,-0.01,33.26
2023-06-16,3311618.0,0.105,0.1073,0.1014,0.1047,-0.01,31.91
