date,volume,open,high,low,close,MACD,RSI
2021-06-07,356778504.0,0.04139,4.5,0.04139,1.51209,0.0,
2021-06-08,81909397.0,1.51233,1.5999,0.97262,1.01941,-0.04,
2021-06-09,67236560.0,1.01941,1.04,0.82001,0.91966,-0.08,
2021-06-10,32319674.0,0.91981,0.95,0.701,0.74113,-0.12,
2021-06-11,25170260.0,0.74092,0.77294,0.601,0.61335,-0.16,
2021-06-12,22598044.0,0.6138,0.66599,0.54023,0.60041,-0.2,
2021-06-13,250679020.0,0.60024,1.08728,0.57463,0.97222,-0.19,
2021-06-14,183073344.0,0.97222,1.14819,0.91,0.94407,-0.19,
2021-06-15,108266281.0,0.94603,1.087,0.88222,0.97241,-0.18,
2021-06-16,33967103.0,0.97164,1.02,0.87085,0.87575,-0.18,
2021-06-17,21436815.0,0.87575,0.93,0.81499,0.83102,-0.18,
2021-06-18,26266175.0,0.831,0.83619,0.70222,0.73793,-0.18,
2021-06-19,22237941.0,0.737,0.79,0.71,0.72017,-0.19,
2021-06-20,17664879.0,0.72153,0.73221,0.656,0.71787,-0.19,
2021-06-21,18785750.0,0.71774,0.72161,0.51059,0.51233,-0.2,22.23
2021-06-22,44597301.0,0.513,0.677,0.46815,0.49533,-0.22,30.21
2021-06-23,38800172.0,0.4963,0.6287,0.4784,0.53741,-0.22,34.91
2021-06-24,15060533.0,0.53741,0.54115,0.51,0.52367,-0.22,40.13
2021-06-25,18017914.0,0.52291,0.5399,0.46301,0.47,-0.22,43.03
2021-06-26,9199403.0,0.47,0.4904,0.438,0.45963,-0.22,43.13
2021-06-27,12480618.0,0.4599,0.48,0.43154,0.47558,-0.22,12.9
2021-06-28,70844190.0,0.47558,0.595,0.46721,0.51078,-0.21,17.97
2021-06-29,27309275.0,0.51,0.56717,0.508,0.5177,-0.2,15.29
2021-06-30,22664511.0,0.5176,0.52992,0.468,0.49615,-0.19,17.27
2021-07-01,9972951.0,0.49521,0.49591,0.45472,0.46864,-0.19,17.8
2021-07-02,11085719.0,0.46864,0.5,0.44551,0.46328,-0.18,21.09
2021-07-03,8751906.0,0.46327,0.48131,0.4545,0.46041,-0.17,21.77
2021-07-04,10115550.0,0.46109,0.47656,0.45145,0.46711,-0.17,23.01
2021-07-05,13624667.0,0.46711,0.48198,0.43942,0.44697,-0.16,38.29
2021-07-06,9239135.0,0.44604,0.46729,0.44165,0.45359,-0.15,42.23
2021-07-07,17821599.0,0.45359,0.49835,0.44874,0.47064,-0.14,36.3
2021-07-08,8632445.0,0.47063,0.47252,0.422,0.42833,-0.14,32.49
2021-07-09,12282330.0,0.42717,0.448,0.39702,0.42451,-0.13,39.77
2021-07-10,7566751.0,0.42499,0.43265,0.40061,0.40991,-0.13,39.03
2021-07-11,5074830.0,0.40991,0.42497,0.402,0.41846,-0.12,36.97
2021-07-12,6954604.0,0.41878,0.43,0.39008,0.40223,-0.12,22.89
2021-07-13,11718075.0,0.40213,0.40695,0.35822,0.36691,-0.11,17.02
2021-07-14,10946258.0,0.36693,0.38494,0.34201,0.36841,-0.11,19.38
2021-07-15,138059936.0,0.36889,0.58876,0.365,0.50798,-0.1,56.13
2021-07-16,155012362.0,0.50799,0.55999,0.4,0.46704,-0.09,50.53
2021-07-17,84441567.0,0.46704,0.528,0.43467,0.4571,-0.08,49.54
2021-07-18,27544273.0,0.45544,0.48499,0.425,0.4268,-0.08,44.79
2021-07-19,18100647.0,0.4268,0.4495,0.38,0.39203,-0.07,43.16
2021-07-20,13773480.0,0.39107,0.39499,0.33801,0.34662,-0.08,37.85
2021-07-21,23778014.0,0.34662,0.39999,0.34076,0.3771,-0.07,39.69
2021-07-22,25436669.0,0.37715,0.41888,0.36376,0.38169,-0.07,44.39
2021-07-23,22498959.0,0.38169,0.39012,0.3599,0.38462,-0.07,45.2
2021-07-24,27834804.0,0.38497,0.3999,0.36955,0.38196,-0.06,46.53
2021-07-25,19554842.0,0.38205,0.3975,0.36491,0.38383,-0.06,45.63
2021-07-26,46778184.0,0.384,0.4489,0.375,0.37944,-0.06,47.04
2021-07-27,16521985.0,0.37938,0.38902,0.35987,0.38155,-0.05,52.08
2021-07-28,18616910.0,0.38071,0.4,0.36,0.37355,-0.05,50.72
2021-07-29,12149435.0,0.37355,0.385,0.3625,0.3722,-0.05,19.1
2021-07-30,24951605.0,0.37292,0.40599,0.368,0.39511,-0.05,32.17
2021-07-31,18546965.0,0.39586,0.4243,0.38611,0.39898,-0.04,35.15
2021-08-01,15147093.0,0.39806,0.424,0.38751,0.38844,-0.04,39.09
2021-08-02,12354488.0,0.38845,0.39999,0.37407,0.38545,-0.04,47.72
2021-08-03,62443464.0,0.38467,0.48834,0.37851,0.43769,-0.03,80.17
2021-08-04,27851455.0,0.43807,0.45195,0.4055,0.42109,-0.03,66.05
2021-08-05,31477329.0,0.42109,0.46,0.4089,0.45517,-0.02,72.06
2021-08-06,151333345.0,0.4558,0.62199,0.4422,0.53781,-0.01,81.1
2021-08-07,34335679.0,0.53735,0.58,0.51335,0.53469,0.0,80.95
2021-08-08,20652754.0,0.53486,0.53858,0.4757,0.48648,0.0,67.51
2021-08-09,24167194.0,0.48656,0.53283,0.468,0.49892,0.01,69.84
2021-08-10,20709708.0,0.49889,0.52459,0.48523,0.51352,0.01,71.04
2021-08-11,28269108.0,0.51369,0.57485,0.51191,0.52802,0.02,74.13
2021-08-12,21521248.0,0.52775,0.57127,0.46829,0.49273,0.02,67.02
2021-08-13,13005644.0,0.49273,0.54,0.49209,0.53294,0.02,68.56
2021-08-14,110651886.0,0.5325,0.70824,0.50458,0.59326,0.03,72.71
2021-08-15,61309406.0,0.59326,0.66333,0.56554,0.59662,0.03,74.75
2021-08-16,23727747.0,0.59662,0.641,0.573,0.58216,0.03,72.76
2021-08-17,14379752.0,0.58215,0.59491,0.53751,0.5434,0.03,62.63
2021-08-18,12436832.0,0.54326,0.56706,0.52,0.52865,0.03,62.9
2021-08-19,12143504.0,0.52863,0.56717,0.51519,0.56417,0.03,63.03
2021-08-20,15838069.0,0.56408,0.5989,0.54921,0.57793,0.03,55.74
2021-08-21,67933716.0,0.57793,0.7,0.56157,0.63587,0.04,62.52
2021-08-22,69148095.0,0.63582,0.77777,0.627,0.66999,0.04,73.53
2021-08-23,20607974.0,0.66998,0.72,0.655,0.67233,0.05,72.82
2021-08-24,19793719.0,0.67229,0.68288,0.60001,0.62358,0.05,63.29
2021-08-25,582704622.0,0.62382,2.02,0.60001,1.56121,0.12,88.63
2021-08-26,417599760.0,1.56124,1.88,1.25,1.3157,0.16,76.59
2021-08-27,304456457.0,1.3134,1.9,1.2731,1.7411,0.22,81.26
2021-08-28,180030466.0,1.7404,1.99131,1.5593,1.8381,0.27,81.61
2021-08-29,62343075.0,1.838,1.8387,1.5677,1.6285,0.29,73.72
2021-08-30,69061697.0,1.6285,1.7444,1.4572,1.478,0.29,69.38
2021-08-31,51926842.0,1.478,1.67,1.3356,1.3793,0.28,67.62
2021-09-01,37780124.0,1.3793,1.467,1.3196,1.406,0.28,68.4
2021-09-02,33918454.0,1.406,1.46,1.33,1.3512,0.26,66.38
2021-09-03,27250958.0,1.35,1.4,1.2801,1.3161,0.24,65.23
2021-09-04,89585789.0,1.3169,1.6,1.2918,1.3866,0.23,65.4
2021-09-05,33993739.0,1.3864,1.4426,1.3547,1.4089,0.22,65.24
2021-09-06,36300041.0,1.4089,1.479,1.33,1.371,0.21,64.2
2021-09-07,78896012.0,1.3696,1.4031,0.9327,1.0426,0.17,57.65
2021-09-08,50736096.0,1.0429,1.1669,0.8862,1.0457,0.14,35.72
2021-09-09,59297951.0,1.0457,1.2366,1.0333,1.1527,0.12,45.11
2021-09-10,29965134.0,1.1513,1.2086,1.0,1.0384,0.1,24.09
2021-09-11,33047404.0,1.0377,1.173,1.01,1.1161,0.08,22.99
2021-09-12,95833309.0,1.1161,1.3999,1.1115,1.2627,0.08,35.64
2021-09-13,34330626.0,1.2627,1.2873,1.087,1.1555,0.07,36.89
