date,volume,open,high,low,close,MACD,RSI
2020-12-30,1303073.594,20.88,36.0,9.3,10.81,0.0,
2020-12-31,187307.345,10.81,11.242,7.89,8.117,-0.21,
2021-01-01,268541.974,8.299,12.18,6.678,10.009,-0.23,
2021-01-02,255374.069,10.009,12.177,9.499,9.746,-0.26,
2021-01-03,62394.82,9.822,9.887,7.929,7.982,-0.42,
2021-01-04,62404.641,7.974,8.269,6.813,7.28,-0.6,
2021-01-05,67060.102,7.271,7.814,6.966,7.313,-0.73,
2021-01-06,52471.11,7.296,7.3,6.773,6.78,-0.86,
2021-01-07,92405.38,6.78,6.931,6.127,6.228,-1.0,
2021-01-08,149588.506,6.269,9.013,5.99,6.201,-1.11,
2021-01-09,53146.947,6.201,6.5,5.911,6.09,-1.18,
2021-01-10,50178.55,6.09,6.219,5.0,5.424,-1.28,
2021-01-11,40830.701,5.424,5.425,4.241,4.92,-1.38,
2021-01-12,43022.695,4.862,5.499,4.241,4.57,-1.48,
2021-01-13,343633.77,4.613,7.26,4.375,6.099,-1.41,29.73
2021-01-14,329461.99,6.053,6.9,5.555,5.714,-1.37,37.1
2021-01-15,273076.361,5.779,5.914,4.85,5.403,-1.35,20.21
2021-01-16,207630.895,5.422,5.8,5.207,5.549,-1.31,22.44
2021-01-17,161171.162,5.529,5.541,5.014,5.186,-1.29,27.5
2021-01-18,128605.309,5.186,5.534,5.013,5.354,-1.25,33.04
2021-01-19,83494.464,5.353,5.408,4.995,5.017,-1.23,30.81
2021-01-20,133078.634,5.017,5.555,5.0,5.176,-1.18,35.7
2021-01-21,50708.981,5.175,5.219,4.68,4.761,-1.17,36.59
2021-01-22,33562.497,4.761,4.985,4.491,4.939,-1.13,38.78
2021-01-23,24460.872,4.867,4.954,4.619,4.896,-1.09,39.25
2021-01-24,51936.207,4.896,5.2,4.706,4.797,-1.05,43.71
2021-01-25,38403.755,4.798,5.064,4.614,4.619,-1.03,46.77
2021-01-26,43324.838,4.619,4.78,4.452,4.64,-0.99,50.81
2021-01-27,75518.749,4.649,4.858,4.271,4.332,-0.98,21.6
2021-01-28,151919.251,4.333,5.126,4.275,4.432,-0.95,27.32
2021-01-29,86574.883,4.405,4.56,4.161,4.233,-0.93,28.45
2021-01-30,78088.003,4.233,4.436,4.17,4.263,-0.91,25.25
2021-01-31,118469.578,4.263,4.861,4.099,4.219,-0.88,28.78
2021-02-01,58628.267,4.216,4.389,4.099,4.287,-0.84,25.52
2021-02-02,56588.595,4.287,4.5,4.22,4.359,-0.8,32.81
2021-02-03,88940.174,4.359,4.888,4.251,4.615,-0.73,36.05
2021-02-04,171110.157,4.615,5.3,4.615,5.177,-0.63,59.64
2021-02-05,105074.548,5.177,5.39,5.0,5.249,-0.53,57.55
2021-02-06,206636.788,5.283,5.821,4.907,5.423,-0.44,62.07
2021-02-07,130487.001,5.422,5.965,4.961,5.184,-0.38,58.33
2021-02-08,147393.089,5.15,5.9,5.101,5.539,-0.3,68.4
2021-02-09,238433.45,5.518,6.05,5.416,5.953,-0.2,72.69
2021-02-10,272405.611,5.954,6.37,5.352,5.78,-0.14,76.25
2021-02-11,355858.57,5.78,6.8,5.657,6.087,-0.06,77.91
2021-02-12,335958.017,6.097,7.8,6.082,7.281,0.1,88.48
2021-02-13,1217652.716,7.282,10.85,7.278,9.383,0.39,92.44
2021-02-14,296731.062,9.383,9.543,7.801,8.532,0.54,81.53
2021-02-15,216206.086,8.531,8.7,7.1,7.858,0.6,73.98
2021-02-16,378912.522,7.931,9.145,7.5,7.803,0.64,73.18
2021-02-17,106854.393,7.805,8.455,7.463,8.091,0.68,73.3
2021-02-18,441375.786,8.091,11.6,7.978,9.306,0.81,75.45
2021-02-19,178106.396,9.306,10.4,8.999,9.719,0.93,76.44
2021-02-20,157755.792,9.719,9.85,8.0,8.667,0.93,67.38
2021-02-21,77865.011,8.659,9.259,8.533,9.014,0.94,70.29
2021-02-22,132932.027,9.014,9.015,6.623,8.18,0.88,63.31
2021-02-23,81777.739,8.099,8.181,5.816,7.133,0.74,55.59
2021-02-24,109895.398,7.199,7.895,6.784,7.418,0.64,57.68
2021-02-25,88845.876,7.418,7.815,7.015,7.172,0.54,55.12
2021-02-26,59911.177,7.173,7.26,6.437,6.716,0.41,47.14
2021-02-27,64361.535,6.716,7.1,6.481,6.66,0.31,32.59
2021-02-28,519256.101,6.724,8.358,6.03,6.538,0.21,35.94
2021-03-01,153315.286,6.538,7.291,6.37,7.189,0.18,45.27
2021-03-02,102375.319,7.189,7.3,6.55,6.819,0.13,43.34
2021-03-03,84835.284,6.86,7.421,6.819,7.159,0.12,43.73
2021-03-04,127506.767,7.161,7.419,6.359,6.613,0.06,30.1
2021-03-05,95202.308,6.613,6.872,6.201,6.58,0.01,25.42
2021-03-06,112607.168,6.582,7.11,6.337,6.8,-0.01,33.19
2021-03-07,245196.817,6.799,7.8,6.743,7.114,0.0,32.79
2021-03-08,120679.363,7.12,7.3,6.805,7.221,0.02,40.0
2021-03-09,229263.435,7.271,8.055,7.149,8.055,0.1,60.07
2021-03-10,1489790.906,8.055,13.064,7.341,8.031,0.15,57.1
2021-03-11,1485511.98,8.074,10.99,7.169,9.633,0.33,71.68
2021-03-12,421477.54,9.633,10.4,8.592,9.558,0.45,76.84
2021-03-13,1127510.003,9.558,13.5,9.25,11.941,0.73,84.65
2021-03-14,459924.408,11.916,14.0,11.41,12.001,0.95,86.14
2021-03-15,275723.219,12.001,12.086,10.201,10.67,1.01,71.13
2021-03-16,281443.546,10.67,11.741,10.017,10.788,1.05,74.85
2021-03-17,803687.212,10.839,14.14,10.457,11.22,1.1,75.13
2021-03-18,505006.536,11.294,13.98,10.908,12.3,1.22,83.01
2021-03-19,218000.345,12.298,12.777,11.508,11.642,1.24,77.4
2021-03-20,156654.272,11.642,11.78,11.14,11.141,1.21,72.8
2021-03-21,307247.104,11.142,12.425,10.376,10.641,1.13,68.17
2021-03-22,241052.531,10.641,11.268,9.534,10.289,1.02,65.42
2021-03-23,139100.22,10.367,10.8,9.592,9.645,0.88,58.15
2021-03-24,93424.052,9.699,10.24,9.067,9.168,0.71,55.57
2021-03-25,519241.083,9.168,10.785,8.283,9.31,0.59,48.15
2021-03-26,216466.373,9.357,10.639,9.357,10.005,0.54,52.38
2021-03-27,514129.731,10.004,12.902,9.834,10.724,0.56,42.11
2021-03-28,202071.077,10.7,10.721,10.0,10.391,0.53,39.91
2021-03-29,127821.613,10.423,10.742,10.236,10.617,0.53,49.61
2021-03-30,112219.718,10.644,10.699,10.195,10.526,0.51,48.09
2021-03-31,146329.652,10.563,11.284,10.174,10.363,0.48,43.49
2021-04-01,83152.438,10.362,10.732,10.209,10.458,0.46,33.54
2021-04-02,94428.802,10.458,10.585,9.927,10.107,0.4,35.49
2021-04-03,88645.192,10.061,10.187,9.568,9.639,0.32,35.71
2021-04-04,82864.661,9.639,9.899,9.518,9.805,0.27,41.51
2021-04-05,93866.376,9.803,10.0,9.51,9.8,0.22,44.66
2021-04-06,322873.542,9.81,11.533,9.602,10.501,0.24,59.24
2021-04-07,923367.261,10.49,13.5,9.7,10.639,0.26,67.13
2021-04-08,566196.394,10.607,10.884,9.9,10.02,0.22,57.44
2021-04-09,226714.429,10.033,10.51,9.9,10.114,0.2,51.31
2021-04-10,139675.684,10.114,10.365,9.67,9.862,0.16,38.36
2021-04-11,1165513.214,9.866,11.7,9.665,10.191,0.15,47.3
2021-04-12,692058.057,10.195,11.88,10.06,10.884,0.2,53.21
2021-04-13,345528.724,10.916,11.77,10.5,11.191,0.26,57.59
2021-04-14,213932.055,11.218,11.259,10.517,10.908,0.28,56.05
2021-04-15,160289.423,10.923,11.34,10.819,11.21,0.32,57.99
2021-04-16,241773.806,11.21,11.245,10.083,10.444,0.28,53.29
2021-04-17,295918.161,10.449,11.65,10.341,10.935,0.29,62.59
2021-04-18,482444.865,10.939,11.6,9.401,9.634,0.19,48.64
2021-04-19,259758.734,9.609,10.148,8.8,8.96,0.06,43.96
2021-04-20,175034.104,8.962,9.365,8.282,9.143,-0.03,39.44
2021-04-21,236929.324,9.157,9.923,9.019,9.093,-0.11,37.82
2021-04-22,715060.928,9.108,11.602,8.81,9.584,-0.13,46.49
2021-04-23,1117698.582,9.588,10.9,7.714,8.907,-0.2,41.12
2021-04-24,259422.805,8.892,9.0,8.376,8.65,-0.27,41.09
2021-04-25,907040.88,8.646,10.7,8.6,9.212,-0.27,43.04
2021-04-26,334090.277,9.222,9.883,9.133,9.552,-0.25,40.04
2021-04-27,255097.53,9.543,9.757,9.354,9.629,-0.22,37.9
2021-04-28,171291.518,9.606,9.792,9.19,9.382,-0.22,38.11
2021-04-29,252660.116,9.43,9.91,9.082,9.747,-0.18,38.71
2021-04-30,196424.545,9.744,10.18,9.512,10.104,-0.12,47.2
2021-05-01,259360.381,10.092,10.68,9.88,9.904,-0.09,41.08
2021-05-02,164581.381,9.906,10.2,9.54,9.909,-0.07,53.07
2021-05-03,248352.124,9.896,10.432,9.753,9.944,-0.04,62.79
2021-05-04,146036.7,9.943,9.954,9.2,9.235,-0.08,51.05
2021-05-05,102773.659,9.225,9.87,9.2,9.85,-0.06,57.67
2021-05-06,671713.655,9.85,10.823,9.257,9.442,-0.08,48.54
2021-05-07,416862.8,9.463,10.7,9.257,10.018,-0.04,61.69
2021-05-08,537667.118,10.005,11.476,9.84,9.93,-0.02,63.96
2021-05-09,308985.787,9.948,10.582,9.336,9.883,-0.01,58.25
2021-05-10,168102.843,9.881,10.256,9.292,9.608,-0.02,50.7
2021-05-11,183290.88,9.599,10.153,9.167,9.911,-0.01,53.33
2021-05-12,9131111.217,9.911,27.8,9.877,15.987,0.49,82.83
2021-05-13,8901217.876,15.986,25.408,13.868,19.705,1.17,87.12
2021-05-14,2381665.269,19.694,26.765,18.251,24.333,2.06,90.23
2021-05-15,8244695.616,24.271,48.799,23.957,43.899,4.29,95.88
2021-05-16,10621383.107,43.898,61.427,36.852,40.861,5.75,88.61
2021-05-17,3053759.855,40.845,51.61,34.0,46.209,7.26,89.94
2021-05-18,1489138.982,46.231,50.745,45.622,48.396,8.53,91.77
2021-05-19,1329812.148,48.396,48.543,28.392,34.428,8.31,70.4
2021-05-20,1351360.195,34.497,48.39,31.308,45.115,8.9,75.3
2021-05-21,3082976.317,45.09,58.7,40.724,52.11,9.82,77.36
2021-05-22,5189384.749,52.086,56.65,24.433,26.132,8.35,57.88
2021-05-23,3573631.283,26.132,27.719,13.504,17.698,6.43,53.51
2021-05-24,2151953.693,17.698,19.9,14.121,17.864,4.87,53.72
2021-05-25,1554015.122,17.864,21.77,14.38,16.172,3.46,52.78
2021-05-26,1262704.279,16.172,18.376,15.216,16.811,2.36,50.38
2021-05-27,2391837.992,16.811,20.975,14.326,18.58,1.62,49.46
2021-05-28,1178243.294,18.526,18.638,14.799,15.55,0.78,45.76
2021-05-29,430527.156,15.56,15.862,12.813,13.564,-0.05,32.35
2021-05-30,424109.176,13.564,14.877,12.874,13.559,-0.7,33.53
2021-05-31,391904.906,13.554,14.323,13.0,13.878,-1.18,29.24
2021-06-01,353406.995,13.878,14.152,12.714,13.034,-1.6,26.89
2021-06-02,451640.501,13.073,13.554,12.701,13.015,-1.92,32.89
2021-06-03,676020.885,13.015,14.5,12.939,13.419,-2.11,19.69
2021-06-04,549349.618,13.401,13.488,11.6,12.238,-2.34,7.1
2021-06-05,357512.721,12.238,12.897,11.828,12.241,-2.48,16.1
2021-06-06,275460.355,12.241,12.446,11.8,12.117,-2.58,27.09
2021-06-07,733622.28,12.119,14.306,11.047,11.219,-2.7,24.27
2021-06-08,514135.326,11.223,11.442,9.7,10.649,-2.81,26.58
2021-06-09,384346.136,10.649,11.017,10.156,10.878,-2.84,23.93
2021-06-10,1068686.384,10.878,14.5,10.222,13.5,-2.62,29.24
2021-06-11,3041774.435,13.438,15.85,11.369,11.864,-2.56,33.0
2021-06-12,758384.839,11.864,11.887,10.6,10.888,-2.55,36.39
2021-06-13,415678.656,10.888,11.499,10.5,11.239,-2.49,38.6
2021-06-14,353332.991,11.204,11.6,11.064,11.225,-2.42,36.56
2021-06-15,520621.102,11.282,12.27,11.0,11.396,-2.32,41.1
2021-06-16,255964.942,11.426,11.741,10.88,10.991,-2.24,39.44
2021-06-17,832468.248,11.014,13.3,10.957,11.581,-2.12,40.59
