date,volume,open,high,low,close,MACD,RSI
2019-04-29,1579303.101,4.755,4.755,3.661,3.777,0.0,
2019-04-30,638430.339,3.777,4.075,3.75,3.917,0.01,
2019-05-01,1702261.315,3.913,4.65,3.876,4.392,0.06,
2019-05-02,1133146.033,4.391,4.661,4.174,4.61,0.11,
2019-05-03,2774683.236,4.608,5.38,4.55,5.333,0.21,
2019-05-04,3500511.251,5.341,5.66,4.706,5.243,0.28,
2019-05-05,1544214.974,5.238,5.238,4.774,4.837,0.29,
2019-05-06,1395933.412,4.838,4.94,4.502,4.763,0.3,
2019-05-07,1104548.01,4.763,5.071,4.59,4.596,0.28,
2019-05-08,1025911.947,4.601,4.635,4.242,4.313,0.25,
2019-05-09,1848165.513,4.342,4.491,3.415,3.88,0.18,
2019-05-10,1403065.556,3.884,4.114,3.611,3.797,0.12,
2019-05-11,1421951.65,3.804,4.175,3.7,3.902,0.08,
2019-05-12,828353.863,3.904,4.04,3.604,3.75,0.04,
2019-05-13,1023379.117,3.75,4.173,3.734,3.897,0.01,51.72
2019-05-14,1214232.757,3.897,4.087,3.779,4.0,0.0,51.2
2019-05-15,1592045.388,4.0,4.8,3.986,4.547,0.04,52.19
2019-05-16,1678626.34,4.546,4.78,4.0,4.278,0.04,45.37
2019-05-17,2800485.785,4.268,4.792,3.95,4.413,0.06,34.64
2019-05-18,1869590.999,4.413,5.0,4.33,4.684,0.09,41.2
2019-05-19,1758978.665,4.684,5.171,4.636,4.852,0.13,50.26
2019-05-20,1532786.286,4.852,4.863,4.432,4.673,0.14,48.52
2019-05-21,1172703.704,4.668,4.864,4.48,4.743,0.16,52.5
2019-05-22,997542.191,4.74,4.821,4.3,4.306,0.13,49.89
2019-05-23,976154.051,4.309,4.363,4.115,4.337,0.11,58.47
2019-05-24,2054989.883,4.335,4.77,4.258,4.454,0.11,62.03
2019-05-25,606239.443,4.447,4.6,4.287,4.385,0.1,58.96
2019-05-26,549918.061,4.385,4.543,4.238,4.481,0.09,63.85
2019-05-27,660167.301,4.478,4.699,4.47,4.655,0.1,64.22
2019-05-28,650998.4,4.665,4.863,4.474,4.778,0.12,64.48
2019-05-29,598479.755,4.794,4.873,4.5,4.696,0.13,53.35
2019-05-30,5953590.293,4.682,6.603,4.668,5.926,0.23,75.9
2019-05-31,3477721.866,5.928,5.93,5.211,5.782,0.29,71.45
2019-06-01,2589194.836,5.782,6.325,5.6,5.771,0.34,68.54
2019-06-02,1467150.229,5.773,6.42,5.572,6.388,0.42,72.72
2019-06-03,4684919.331,6.393,7.249,5.975,6.506,0.49,77.61
2019-06-04,3360461.824,6.506,6.85,5.744,5.93,0.49,65.52
2019-06-05,2180411.467,5.931,6.28,5.62,6.14,0.51,75.49
2019-06-06,1767183.832,6.141,6.147,5.621,5.987,0.5,72.18
2019-06-07,1848141.276,5.995,6.576,5.877,6.279,0.51,73.43
2019-06-08,731554.535,6.279,6.316,5.938,6.096,0.5,71.34
2019-06-09,649287.697,6.097,6.185,5.7,5.826,0.46,66.08
2019-06-10,831823.182,5.825,6.088,5.733,6.081,0.45,66.72
2019-06-11,561299.087,6.076,6.176,5.753,5.943,0.42,63.61
2019-06-12,801399.898,5.949,6.264,5.852,6.124,0.41,66.31
2019-06-13,785068.498,6.125,6.506,6.023,6.266,0.41,55.17
2019-06-14,586553.437,6.264,6.281,5.874,6.222,0.4,56.9
2019-06-15,373041.209,6.224,6.265,6.102,6.167,0.38,56.12
2019-06-16,609802.274,6.164,6.737,6.118,6.692,0.41,54.84
2019-06-17,945538.151,6.689,7.1,6.454,7.009,0.45,57.53
2019-06-18,509203.32,7.011,7.04,6.47,6.571,0.44,60.01
2019-06-19,388212.326,6.586,6.849,6.55,6.628,0.43,58.0
2019-06-20,406246.334,6.621,6.637,6.285,6.478,0.41,58.06
2019-06-21,380848.04,6.476,6.589,6.334,6.523,0.39,54.36
2019-06-22,666888.522,6.513,6.914,6.414,6.758,0.39,61.61
2019-06-23,639871.83,6.764,7.193,6.716,6.838,0.39,69.01
2019-06-24,385615.304,6.83,6.846,6.542,6.665,0.37,61.32
2019-06-25,467755.351,6.675,6.747,6.474,6.581,0.35,62.63
2019-06-26,740796.315,6.579,6.849,6.151,6.35,0.31,54.39
2019-06-27,1043714.484,6.35,6.416,5.36,5.558,0.21,39.03
2019-06-28,350835.393,5.552,5.97,5.464,5.928,0.16,45.86
2019-06-29,425212.713,5.928,6.198,5.626,6.058,0.13,48.5
2019-06-30,626818.119,6.047,6.117,5.395,5.443,0.05,33.2
2019-07-01,524258.536,5.443,5.72,5.143,5.475,-0.0,27.65
2019-07-02,486100.507,5.493,5.666,5.123,5.337,-0.06,30.3
2019-07-03,366656.84,5.341,5.62,5.288,5.574,-0.08,34.09
2019-07-04,334401.178,5.584,5.766,5.465,5.478,-0.11,34.65
2019-07-05,184141.259,5.478,5.501,5.33,5.353,-0.14,32.47
2019-07-06,152778.189,5.368,5.49,5.235,5.288,-0.16,26.8
2019-07-07,149143.975,5.299,5.413,5.2,5.398,-0.17,27.49
2019-07-08,271671.939,5.399,5.435,5.1,5.175,-0.2,27.06
2019-07-09,437356.723,5.185,5.196,4.87,4.984,-0.23,26.2
2019-07-10,1167219.729,4.984,4.985,4.175,4.483,-0.29,24.25
2019-07-11,537174.612,4.48,4.652,4.053,4.354,-0.35,29.68
2019-07-12,446742.701,4.349,4.607,4.264,4.526,-0.37,24.64
