date,volume,open,high,low,close,MACD,RSI
2020-09-22,31441883.16,0.85,7.0,0.85,5.3193,0.0,
2020-09-23,12620608.01,5.3279,5.36,3.4,3.535,-0.14,
2020-09-24,7107843.86,3.5305,4.8873,3.4033,4.6411,-0.16,
2020-09-25,3886096.71,4.6366,5.0234,4.2001,4.7134,-0.17,
2020-09-26,1814932.97,4.7164,4.82,4.3294,4.52,-0.19,
2020-09-27,1500134.56,4.5214,4.7134,4.1068,4.6484,-0.2,
2020-09-28,1210446.38,4.6485,4.705,4.1667,4.2021,-0.23,
2020-09-29,1057878.53,4.1999,4.2899,3.9607,4.1394,-0.27,
2020-09-30,915518.31,4.1429,4.411,3.9958,4.3293,-0.27,
2020-10-01,1477288.72,4.3293,4.53,4.014,4.15,-0.29,
2020-10-02,1847614.48,4.1422,4.2198,3.6332,3.9115,-0.32,
2020-10-03,679798.03,3.9156,4.19,3.8696,4.0168,-0.33,
2020-10-04,630849.97,4.0202,4.0798,3.8334,3.964,-0.33,
2020-10-05,475912.76,3.9582,4.0456,3.87,3.9813,-0.34,
2020-10-06,971155.87,3.9949,4.0,3.5,3.5424,-0.37,32.29
2020-10-07,988661.32,3.5401,3.5462,3.207,3.442,-0.4,48.6
2020-10-08,900977.83,3.4409,3.9599,3.3228,3.9147,-0.38,36.54
2020-10-09,573063.37,3.9147,4.3252,3.8034,4.2491,-0.33,42.16
2020-10-10,821315.35,4.2427,4.2693,4.0001,4.023,-0.31,41.7
2020-10-11,542437.49,4.0205,4.1762,3.9333,4.096,-0.28,40.6
2020-10-12,851811.15,4.0841,4.71,4.054,4.41,-0.23,53.71
2020-10-13,776819.51,4.4099,4.5636,4.3203,4.4806,-0.19,56.06
2020-10-14,512479.12,4.4808,4.4848,4.0125,4.1596,-0.17,47.12
2020-10-15,306544.02,4.15,4.2312,3.9985,4.1269,-0.16,49.59
2020-10-16,538055.06,4.1266,4.1582,3.8755,4.0433,-0.16,52.49
2020-10-17,258634.77,4.0462,4.21,3.9673,4.1946,-0.15,53.31
2020-10-18,138296.5,4.1874,4.2461,4.0701,4.1195,-0.14,52.87
2020-10-19,274925.09,4.1371,4.1748,3.9926,4.05,-0.13,51.24
2020-10-20,589447.62,4.0568,4.0908,3.6925,3.804,-0.15,55.09
2020-10-21,319446.86,3.8007,4.103,3.7918,3.9585,-0.15,59.84
2020-10-22,741499.28,3.9574,4.4904,3.9511,4.3385,-0.12,58.37
2020-10-23,324892.94,4.3406,4.4872,4.1354,4.2568,-0.1,50.17
2020-10-24,218601.98,4.2539,4.362,4.14,4.1821,-0.08,53.74
2020-10-25,209663.9,4.1803,4.2526,4.1,4.1479,-0.08,51.24
2020-10-26,661155.33,4.1409,4.4897,4.0141,4.148,-0.07,42.62
2020-10-27,292754.21,4.1454,4.35,4.0343,4.1217,-0.07,39.63
2020-10-28,359147.72,4.1214,4.1792,3.9308,4.0596,-0.07,46.6
2020-10-29,422589.86,4.0607,4.1051,3.7296,3.7758,-0.09,39.81
2020-10-30,850092.33,3.7744,3.8226,3.5781,3.7224,-0.11,40.52
2020-10-31,346114.94,3.7116,3.7612,3.5876,3.6456,-0.13,33.04
2020-11-01,295468.18,3.6355,3.7142,3.5521,3.6814,-0.15,36.13
2020-11-02,322604.28,3.6851,3.8775,3.6145,3.617,-0.16,36.24
2020-11-03,664899.75,3.6174,3.6513,3.2368,3.323,-0.19,35.17
2020-11-04,466205.93,3.3299,3.3759,3.0,3.1718,-0.23,25.7
2020-11-05,644688.78,3.1736,3.3841,3.0211,3.3348,-0.24,14.19
2020-11-06,910038.31,3.335,3.6666,3.3194,3.5913,-0.22,28.89
2020-11-07,832528.78,3.594,3.9193,3.37,3.4126,-0.22,27.1
2020-11-08,543130.62,3.4093,3.67,3.3613,3.4754,-0.22,30.32
2020-11-09,534923.49,3.4674,3.5399,3.2619,3.4125,-0.21,29.24
2020-11-10,482731.01,3.421,3.63,3.369,3.5713,-0.2,35.55
2020-11-11,389355.68,3.5775,3.82,3.46,3.4842,-0.19,35.09
2020-11-12,314355.65,3.4918,3.5691,3.32,3.4243,-0.18,39.69
2020-11-13,585394.03,3.4268,3.7018,3.3911,3.6745,-0.16,48.74
2020-11-14,443020.54,3.6779,3.7042,3.396,3.4894,-0.15,46.12
