date,volume,open,high,low,close,MACD,RSI
2024-03-01,32582524.93,1.2071,2.77,1.2071,1.9738,0.0,
2024-03-02,13196324.34,1.9722,2.0548,1.8414,1.9612,-0.0,
2024-03-03,47343641.42,1.9612,2.6937,1.9277,2.3685,0.03,
2024-03-04,17662262.92,2.3671,2.523,2.105,2.1915,0.04,
2024-03-05,14327124.42,2.1917,2.2884,1.8575,2.0724,0.04,
2024-03-06,8222466.98,2.0724,2.2048,2.021,2.1981,0.05,
2024-03-07,9844559.1,2.1979,2.2597,2.102,2.2174,0.05,
2024-03-08,7517190.87,2.2172,2.2721,2.0562,2.1293,0.05,
2024-03-09,8529395.81,2.1294,2.29,2.1158,2.2711,0.06,
2024-03-10,8915702.64,2.2733,2.3359,2.1282,2.1975,0.06,
2024-03-11,10160629.6,2.1975,2.313,2.1201,2.26,0.07,
2024-03-12,8919744.27,2.2601,2.35,2.0736,2.1934,0.07,
2024-03-13,5526500.65,2.1908,2.2425,2.12,2.1714,0.06,
2024-03-14,7260164.71,2.1706,2.1745,1.9864,2.0772,0.05,
2024-03-15,8702817.68,2.0777,2.1128,1.85,1.9682,0.03,49.82
2024-03-16,7740177.36,1.969,2.0818,1.8141,1.847,0.01,46.49
2024-03-17,5661690.63,1.8497,1.9262,1.7748,1.914,-0.01,32.34
2024-03-18,5758497.32,1.9134,1.9631,1.7701,1.7785,-0.03,33.42
2024-03-19,7863804.99,1.7785,1.8,1.58,1.6377,-0.06,32.85
2024-03-20,7814552.3,1.6366,1.8283,1.5636,1.8231,-0.06,35.87
2024-03-21,23910131.75,1.8247,2.3183,1.8153,2.0038,-0.05,42.82
2024-03-22,7518841.06,2.0047,2.0226,1.8132,1.8499,-0.06,41.01
2024-03-23,4856579.6,1.8501,1.9815,1.8207,1.9065,-0.05,37.59
2024-03-24,3738841.13,1.9069,1.9415,1.85,1.9366,-0.05,40.85
2024-03-25,8855849.95,1.9367,2.0953,1.935,1.9678,-0.04,39.52
2024-03-26,8368180.76,1.9676,2.0653,1.9249,1.9517,-0.04,41.01
2024-03-27,15305889.2,1.9512,2.1888,1.9307,2.0808,-0.02,46.88
2024-03-28,13403639.58,2.0808,2.2,2.0033,2.0518,-0.01,49.08
2024-03-29,11002926.0,2.0519,2.146,1.9877,2.0247,-0.01,52.17
