date,volume,open,high,low,close,MACD,RSI
2020-11-04,69822782.8,0.1,0.29,0.1,0.14583,0.0,
2020-11-05,22903843.7,0.14617,0.15082,0.1262,0.1345,-0.0,
2020-11-06,15284791.0,0.1341,0.15029,0.121,0.144,-0.0,
2020-11-07,8860012.0,0.14312,0.16985,0.13418,0.14076,-0.0,
2020-11-08,29086588.2,0.14079,0.242,0.13844,0.19846,0.0,
2020-11-09,32159035.7,0.19716,0.325,0.19716,0.27978,0.01,
2020-11-10,20424063.5,0.27978,0.36917,0.245,0.26968,0.02,
2020-11-11,26801310.5,0.27063,0.437,0.26243,0.354,0.03,
2020-11-12,10879906.4,0.35035,0.38892,0.30277,0.31331,0.04,
2020-11-13,12076359.3,0.31554,0.43,0.31554,0.394,0.05,
2020-11-14,28978696.4,0.39405,0.6079,0.37142,0.56557,0.07,
2020-11-15,29184590.8,0.56447,0.686,0.50371,0.59068,0.09,
2020-11-16,19747361.6,0.59068,0.675,0.53652,0.55918,0.1,
2020-11-17,18710138.8,0.56217,0.603,0.452,0.50246,0.1,
2020-11-18,16066053.0,0.50245,0.57679,0.43225,0.51614,0.1,77.33
2020-11-19,12250627.8,0.5165,0.56,0.43334,0.43821,0.1,70.41
2020-11-20,16837674.2,0.44113,0.5462,0.43,0.49888,0.1,72.31
2020-11-21,9591165.2,0.49826,0.5366,0.45603,0.468,0.09,69.88
2020-11-22,11438805.6,0.46789,0.47339,0.4,0.42719,0.08,64.19
2020-11-23,15343853.9,0.42933,0.54697,0.412,0.51082,0.08,64.29
2020-11-24,11088860.7,0.51087,0.52198,0.435,0.47772,0.08,62.51
2020-11-25,6851373.0,0.47921,0.48725,0.39117,0.41597,0.07,53.83
2020-11-26,8374950.5,0.41693,0.41992,0.31562,0.37014,0.06,53.49
2020-11-27,6148455.3,0.37015,0.38429,0.33504,0.37727,0.05,48.87
2020-11-28,10358145.7,0.37906,0.445,0.37,0.42823,0.05,38.92
2020-11-29,9536281.0,0.42819,0.49598,0.40907,0.47698,0.05,41.16
2020-11-30,9428590.6,0.477,0.48998,0.43221,0.4567,0.05,41.89
2020-12-01,6617986.5,0.45644,0.465,0.4,0.41194,0.04,42.7
2020-12-02,13288230.3,0.40963,0.5172,0.4,0.49817,0.04,48.7
2020-12-03,6979046.7,0.49709,0.53646,0.48174,0.51208,0.05,55.87
2020-12-04,6632893.7,0.51188,0.5146,0.41896,0.43118,0.04,44.78
2020-12-05,4706593.9,0.42971,0.48464,0.42089,0.476,0.04,50.6
2020-12-06,3896628.1,0.47613,0.486,0.442,0.47941,0.04,54.17
2020-12-07,13081302.3,0.48108,0.5797,0.46771,0.56057,0.04,53.99
2020-12-08,24113442.1,0.56147,0.671,0.52196,0.57111,0.05,57.78
2020-12-09,16998699.7,0.57107,0.68298,0.55634,0.62749,0.06,67.77
2020-12-10,7298080.6,0.62744,0.639,0.55087,0.56381,0.06,65.8
2020-12-11,8110506.6,0.56465,0.578,0.497,0.55065,0.05,64.01
2020-12-12,6355323.2,0.55031,0.63,0.55031,0.57816,0.05,62.59
2020-12-13,4542419.9,0.57817,0.6194,0.56366,0.6139,0.06,61.75
2020-12-14,8750266.6,0.61377,0.669,0.57862,0.63805,0.06,65.46
2020-12-15,9886558.7,0.63933,0.7495,0.60796,0.72974,0.07,75.09
2020-12-16,14892463.2,0.72974,0.8,0.69053,0.74244,0.08,71.82
2020-12-17,10511328.5,0.74505,0.76968,0.685,0.712,0.08,67.35
2020-12-18,11035783.1,0.71136,0.84659,0.68001,0.8244,0.09,82.35
2020-12-19,6975018.7,0.8244,0.8564,0.74628,0.75768,0.09,72.37
2020-12-20,5208236.7,0.75758,0.78888,0.66165,0.68945,0.09,65.12
2020-12-21,5461463.3,0.68669,0.71688,0.5962,0.63978,0.08,55.97
2020-12-22,3625380.1,0.63973,0.6613,0.5868,0.65483,0.07,56.27
2020-12-23,7727834.6,0.6548,0.66,0.45876,0.54145,0.05,44.06
2020-12-24,9188878.2,0.53306,0.64853,0.46303,0.63999,0.05,55.02
2020-12-25,5203590.5,0.63934,0.6675,0.57679,0.59892,0.04,53.07
2020-12-26,3744838.9,0.59873,0.61819,0.53693,0.57927,0.03,50.07
2020-12-27,4635638.6,0.57993,0.62776,0.51865,0.59955,0.03,49.06
2020-12-28,3858241.9,0.59957,0.665,0.58184,0.59916,0.03,47.37
2020-12-29,2892515.8,0.59916,0.61099,0.52857,0.56057,0.02,37.69
2020-12-30,2428672.6,0.56458,0.5865,0.53089,0.53597,0.01,35.23
2020-12-31,2442108.8,0.5345,0.53973,0.5,0.53785,0.01,37.01
2021-01-01,6649976.9,0.53779,0.62359,0.51169,0.5931,0.01,31.14
2021-01-02,8519953.1,0.59309,0.62813,0.52867,0.54275,0.0,32.0
2021-01-03,4297246.6,0.53924,0.58346,0.52166,0.56523,-0.0,38.73
2021-01-04,5591304.1,0.56816,0.6162,0.5101,0.56082,-0.0,42.2
2021-01-05,4026363.3,0.56311,0.58679,0.51944,0.55605,-0.0,40.04
2021-01-06,6372833.2,0.5576,0.63,0.53418,0.60086,-0.0,56.96
2021-01-07,11570115.2,0.60343,0.74,0.59072,0.60403,0.0,44.58
2021-01-08,7047422.4,0.60329,0.64391,0.5342,0.59363,0.0,49.12
2021-01-09,5211510.3,0.59261,0.6382,0.55736,0.60144,0.0,53.83
2021-01-10,5467421.4,0.6019,0.66123,0.526,0.57292,0.0,45.52
2021-01-11,5451181.5,0.57171,0.57264,0.4099,0.49958,-0.01,36.56
2021-01-12,2998891.7,0.49932,0.51487,0.43888,0.44957,-0.01,35.46
2021-01-13,3549020.2,0.4502,0.51,0.43657,0.50223,-0.02,45.88
2021-01-14,3553993.2,0.50223,0.5498,0.48101,0.53431,-0.02,49.6
2021-01-15,5701044.3,0.53436,0.574,0.49532,0.54322,-0.02,43.67
2021-01-16,6299329.1,0.54365,0.63,0.54248,0.58347,-0.01,55.31
2021-01-17,5197507.2,0.58258,0.64699,0.56171,0.61396,-0.01,56.22
