date,volume,open,high,low,close,MACD,RSI
2021-04-30,7159400.1,4.5581,5.888,4.2,4.3026,0.0,
2021-05-01,65666155.6,4.3074,7.4625,4.25,6.5455,0.18,
2021-05-02,74804638.9,6.5328,8.487,6.07,8.1396,0.44,
2021-05-03,29686144.5,8.1314,8.2522,6.66,6.829,0.54,
2021-05-04,25869268.6,6.8379,7.45,5.7788,6.0285,0.55,
2021-05-05,16734240.0,6.0285,6.8,5.92,6.1636,0.56,
2021-05-06,20819308.5,6.1609,6.49,5.5,5.751,0.53,
2021-05-07,29707364.5,5.7459,6.5,5.0,6.2626,0.54,
2021-05-08,34642355.4,6.2448,7.3842,5.9915,6.4318,0.55,
2021-05-09,17023575.8,6.4262,6.94,5.86,6.1247,0.53,
2021-05-10,16785850.3,6.1155,6.507,5.255,5.3831,0.45,
2021-05-11,13212914.6,5.3832,6.15,5.1,6.05,0.44,
2021-05-12,16357471.0,6.053,6.4,4.622,4.6939,0.32,
2021-05-13,16448755.6,4.7,5.4244,4.5,4.88,0.23,
2021-05-14,20900027.7,4.88,6.05,4.822,5.7219,0.23,56.29
2021-05-15,27392888.7,5.7219,6.62,5.4343,5.71,0.22,45.38
2021-05-16,46176886.6,5.6901,7.97,5.61,7.2357,0.33,44.97
2021-05-17,34013119.1,7.2383,7.5,6.07,6.7209,0.38,49.34
2021-05-18,25065121.1,6.7152,7.27,5.9901,6.535,0.39,53.35
2021-05-19,42228142.2,6.5401,6.6495,3.3,4.0439,0.2,39.32
2021-05-20,34898700.7,4.0437,5.4395,3.3333,4.9089,0.12,45.94
2021-05-21,39345111.4,4.9129,5.224,2.9934,3.6872,-0.04,38.38
2021-05-22,24293267.3,3.6871,3.85,3.01,3.0756,-0.22,35.44
2021-05-23,48243072.3,3.0809,3.218,1.86,2.355,-0.41,34.22
2021-05-24,56465970.0,2.3588,3.547,2.3168,3.3247,-0.48,41.54
2021-05-25,43010470.3,3.3235,3.82,3.009,3.5208,-0.51,39.19
2021-05-26,34945395.8,3.513,4.4444,3.42,4.4428,-0.46,48.89
2021-05-27,44536732.0,4.4444,5.15,3.7206,4.8303,-0.38,49.78
2021-05-28,54897880.4,4.8303,5.1,3.95,4.455,-0.35,44.24
2021-05-29,35535604.7,4.4554,4.7889,3.7145,4.0864,-0.35,42.85
2021-05-30,30038414.7,4.0865,4.2972,3.6761,4.0718,-0.34,33.93
2021-05-31,27001975.1,4.0693,4.229,3.6,4.1434,-0.33,36.29
2021-06-01,18908556.4,4.1434,4.45,3.9036,4.0504,-0.32,36.65
2021-06-02,19947849.2,4.0505,4.43,3.91,4.1851,-0.3,51.02
2021-06-03,17449680.6,4.1898,4.61,4.1297,4.4914,-0.26,46.73
2021-06-04,17026938.7,4.496,4.5281,3.7,3.8968,-0.27,51.82
2021-06-05,14966053.7,3.8881,4.1993,3.66,3.8026,-0.28,56.93
2021-06-06,10117851.0,3.8051,3.8921,3.5565,3.7657,-0.29,65.45
2021-06-07,18332761.2,3.7615,4.0,3.2047,3.2628,-0.34,49.24
2021-06-08,30637393.9,3.2628,3.41,2.6888,3.0204,-0.39,43.96
2021-06-09,27631504.2,3.0205,3.3246,2.8075,3.292,-0.4,33.53
2021-06-10,18257159.7,3.2939,3.332,2.8,2.9476,-0.43,22.72
2021-06-11,46858015.4,2.9485,3.6731,2.81,3.1849,-0.43,30.83
2021-06-12,27044153.4,3.1828,3.2217,2.8231,3.0069,-0.45,32.71
2021-06-13,15479263.0,3.01,3.326,2.9062,3.1914,-0.43,36.63
2021-06-14,15418430.1,3.1909,3.3952,3.1233,3.3465,-0.41,38.2
2021-06-15,13249917.5,3.3426,3.4847,3.1718,3.252,-0.39,38.18
2021-06-16,13112991.6,3.2514,3.2514,2.95,3.0251,-0.39,33.28
2021-06-17,12119221.3,3.0233,3.2321,3.0109,3.1201,-0.38,28.96
2021-06-18,14747576.6,3.1242,3.19,2.7891,2.9226,-0.38,32.98
2021-06-19,8728730.8,2.9199,2.9632,2.801,2.8678,-0.38,33.44
2021-06-20,13374656.6,2.8691,2.928,2.5803,2.8403,-0.38,33.55
2021-06-21,28943692.0,2.8447,2.8667,2.0302,2.0782,-0.44,30.72
2021-06-22,47742925.4,2.0796,2.3379,1.5639,1.8339,-0.5,30.7
2021-06-23,44602671.9,1.8356,2.555,1.7528,2.5195,-0.48,38.92
2021-06-24,40012370.3,2.5203,2.69,2.1665,2.2403,-0.49,39.67
2021-06-25,30959095.3,2.2405,2.3385,1.809,1.9159,-0.51,31.92
2021-06-26,22773703.1,1.9131,1.9589,1.7148,1.8504,-0.53,32.98
2021-06-27,21620442.1,1.8523,1.9598,1.7303,1.9372,-0.53,30.99
2021-06-28,19696919.7,1.9395,1.9617,1.7825,1.8582,-0.53,26.91
2021-06-29,27720815.0,1.8579,2.195,1.831,2.0255,-0.51,31.39
2021-06-30,18578128.2,2.0265,2.0536,1.8168,1.939,-0.5,32.79
2021-07-01,12800964.9,1.9373,1.95,1.7576,1.8026,-0.5,29.39
2021-07-02,10241134.7,1.8012,1.8275,1.6672,1.7567,-0.49,30.86
2021-07-03,11862157.1,1.7565,1.887,1.727,1.8224,-0.47,32.9
2021-07-04,24895457.7,1.8205,2.18,1.7946,2.0143,-0.44,37.18
2021-07-05,20162029.7,2.0168,2.0168,1.8032,1.8484,-0.42,45.62
2021-07-06,27839190.3,1.8497,2.068,1.843,2.0147,-0.39,53.55
2021-07-07,53284783.5,2.0135,2.4485,1.96,2.1945,-0.35,42.04
2021-07-08,54621795.5,2.1968,2.4049,1.9671,1.9958,-0.33,43.76
2021-07-09,25063302.7,1.9966,2.1452,1.8578,2.0799,-0.3,54.77
2021-07-10,24052106.1,2.0781,2.1978,1.9352,1.9934,-0.28,54.11
