date,volume,open,high,low,close,MACD,RSI
2020-08-11,40162.443,21.59,26.0,18.502,20.373,0.0,
2020-08-12,122728.156,20.106,24.9,19.001,22.397,0.16,
2020-08-13,72791.613,22.457,23.733,19.5,21.345,0.2,
2020-08-14,34621.887,21.338,23.0,20.387,21.542,0.25,
2020-08-15,46574.526,21.542,21.626,19.063,19.519,0.12,
2020-08-16,35899.805,19.5,19.865,18.0,19.62,0.02,
2020-08-17,49016.846,19.629,20.848,18.946,19.72,-0.04,
2020-08-18,89167.13,19.825,22.5,19.017,20.181,-0.06,
2020-08-19,71392.661,20.272,20.4,17.0,17.894,-0.25,
2020-08-20,128185.129,17.971,22.991,17.551,22.785,-0.01,
2020-08-21,103993.323,22.849,22.849,19.555,19.74,-0.06,
2020-08-22,170992.943,19.857,26.569,19.335,25.999,0.4,
2020-08-23,130954.402,25.999,26.195,22.481,24.559,0.64,
2020-08-24,79489.792,24.334,27.232,23.335,24.224,0.79,
2020-08-25,61985.386,24.204,25.724,22.0,23.359,0.83,55.95
2020-08-26,73278.031,23.379,27.0,22.562,26.758,1.13,58.24
2020-08-27,79871.909,26.804,27.173,24.216,25.581,1.25,57.97
2020-08-28,79899.19,25.637,30.0,25.536,27.843,1.52,61.0
2020-08-29,103439.036,27.843,34.5,27.27,32.127,2.05,70.4
2020-08-30,204560.72,32.057,37.628,31.356,33.352,2.54,71.44
2020-08-31,80638.867,33.304,36.5,31.914,32.814,2.85,70.16
2020-09-01,266631.179,32.8,38.132,30.586,34.777,3.22,71.48
2020-09-02,267954.834,34.777,36.676,30.735,32.133,3.26,70.74
2020-09-03,233999.41,32.088,32.948,20.323,23.241,2.55,50.59
2020-09-04,144576.166,23.37,24.0,20.55,22.103,1.87,53.24
2020-09-05,216221.272,22.11,23.249,16.693,18.532,1.03,38.93
2020-09-06,121681.434,18.453,21.754,17.257,21.35,0.58,45.43
2020-09-07,115631.001,21.257,22.0,19.252,21.861,0.27,46.65
2020-09-08,91456.554,21.846,22.261,19.346,20.046,-0.12,45.43
2020-09-09,131512.412,20.051,22.12,18.77,21.083,-0.35,41.62
2020-09-10,123668.649,21.022,23.689,20.738,21.03,-0.52,43.05
2020-09-11,75512.019,21.029,21.282,20.016,20.739,-0.68,38.46
2020-09-12,163273.318,20.723,24.0,20.179,23.67,-0.56,35.63
2020-09-13,294634.312,23.702,25.592,21.568,22.548,-0.55,31.58
2020-09-14,143124.806,22.504,24.727,21.641,24.655,-0.36,36.79
2020-09-15,129026.434,24.649,24.771,21.079,21.517,-0.47,29.33
2020-09-16,74482.289,21.537,21.583,20.3,21.008,-0.58,31.42
2020-09-17,112487.876,21.008,23.9,20.201,22.622,-0.54,48.63
2020-09-18,179616.976,22.598,22.742,19.759,20.239,-0.69,46.1
2020-09-19,239294.524,20.238,20.341,17.91,18.424,-0.94,49.76
2020-09-20,167146.147,18.44,18.77,16.759,17.174,-1.23,39.85
2020-09-21,192474.736,17.178,17.374,14.43,14.873,-1.62,34.38
2020-09-22,86816.393,14.944,15.303,14.421,14.681,-1.93,37.07
2020-09-23,132060.23,14.71,14.846,12.988,13.062,-2.28,31.19
2020-09-24,291050.933,13.099,15.913,12.91,15.375,-2.34,38.01
2020-09-25,92986.556,15.4,15.827,14.575,15.302,-2.37,38.37
2020-09-26,61843.747,15.337,15.826,14.775,15.47,-2.35,30.1
2020-09-27,63574.292,15.48,15.69,14.57,15.019,-2.34,31.11
2020-09-28,102637.729,15.049,16.201,14.947,15.203,-2.3,23.76
2020-09-29,69435.694,15.195,15.705,14.664,15.704,-2.19,31.09
2020-09-30,47042.176,15.704,15.901,15.177,15.671,-2.09,32.09
2020-10-01,534365.73,15.713,19.173,15.655,17.721,-1.82,34.02
2020-10-02,479630.553,17.727,18.6,14.711,15.775,-1.75,35.02
2020-10-03,150895.338,15.779,16.824,15.525,16.175,-1.64,41.66
2020-10-04,85672.841,16.169,16.525,15.776,16.298,-1.52,46.45
2020-10-05,97218.498,16.284,16.807,15.859,15.956,-1.44,55.21
2020-10-06,224018.972,15.965,16.014,13.758,13.807,-1.53,46.46
2020-10-07,234482.179,13.81,14.817,13.159,14.359,-1.55,55.75
2020-10-08,207957.756,14.354,15.191,13.549,14.992,-1.49,48.01
2020-10-09,139636.426,15.001,15.757,14.706,15.23,-1.4,49.63
2020-10-10,76863.617,15.229,15.896,15.064,15.134,-1.33,48.27
2020-10-11,67211.136,15.116,15.481,14.766,15.158,-1.26,50.75
2020-10-12,107634.621,15.14,15.958,14.744,15.57,-1.15,51.93
2020-10-13,76564.465,15.548,15.734,14.941,15.312,-1.07,47.88
2020-10-14,77811.158,15.298,15.435,14.073,14.322,-1.08,43.4
2020-10-15,69390.303,14.312,14.312,13.515,14.015,-1.1,28.12
