date,volume,open,high,low,close,MACD,RSI
2019-09-18,8801778.6,2.365,2.365,0.6,0.6383,0.0,
2019-09-19,3746946.12,0.6383,0.6483,0.5576,0.6028,-0.0,
2019-09-20,8511213.66,0.6028,0.9,0.5868,0.68,0.0,
2019-09-21,6540757.56,0.68,0.848,0.6778,0.811,0.01,
2019-09-22,6632537.82,0.813,0.9298,0.7056,0.7177,0.02,
2019-09-23,2979197.75,0.7175,0.755,0.6232,0.6325,0.01,
2019-09-24,2886588.36,0.6273,0.68,0.44,0.4846,-0.0,
2019-09-25,1520398.91,0.4845,0.5186,0.4359,0.4639,-0.02,
2019-09-26,3883940.01,0.4639,0.5733,0.45,0.515,-0.02,
2019-09-27,1394089.59,0.517,0.538,0.4751,0.5182,-0.03,
2019-09-28,742634.63,0.5182,0.534,0.4943,0.5288,-0.03,
2019-09-29,822668.92,0.5259,0.5388,0.4858,0.5,-0.03,
2019-09-30,2361644.47,0.5009,0.5616,0.4852,0.5097,-0.04,
2019-10-01,985298.5,0.5102,0.5223,0.4858,0.488,-0.04,
2019-10-02,826666.89,0.488,0.49,0.4601,0.4776,-0.04,38.94
2019-10-03,530934.3,0.478,0.5087,0.465,0.4785,-0.04,41.01
2019-10-04,140821.31,0.4818,0.4818,0.4685,0.4745,-0.04,33.39
2019-10-05,209018.89,0.4733,0.4779,0.4661,0.4703,-0.04,15.35
2019-10-06,444847.77,0.4724,0.4724,0.4237,0.4316,-0.05,17.27
2019-10-07,857027.58,0.4316,0.4461,0.4074,0.4399,-0.05,23.26
2019-10-08,670317.26,0.4414,0.4746,0.43,0.4501,-0.05,42.25
2019-10-09,914786.8,0.4502,0.487,0.4379,0.4676,-0.05,50.84
2019-10-10,714670.33,0.4675,0.48,0.4294,0.44,-0.05,30.85
2019-10-11,568577.69,0.4405,0.4553,0.415,0.4398,-0.05,29.67
2019-10-12,663320.58,0.4398,0.457,0.4212,0.4271,-0.05,23.91
2019-10-13,562128.0,0.4298,0.443,0.4162,0.4261,-0.04,27.89
2019-10-14,646765.56,0.4261,0.4572,0.4206,0.4265,-0.04,23.64
2019-10-15,528047.77,0.4265,0.4378,0.409,0.4123,-0.04,24.82
2019-10-16,750735.74,0.4115,0.4255,0.3686,0.3793,-0.05,21.57
2019-10-17,424548.0,0.3787,0.394,0.3686,0.3903,-0.05,25.9
2019-10-18,363914.23,0.389,0.3958,0.3571,0.3646,-0.05,23.16
2019-10-19,539211.43,0.3647,0.3647,0.3346,0.3386,-0.05,20.93
2019-10-20,472380.29,0.3386,0.3396,0.323,0.3333,-0.05,24.55
2019-10-21,725074.43,0.3355,0.36,0.3307,0.3355,-0.05,22.09
2019-10-22,1206145.93,0.3352,0.3866,0.3341,0.3634,-0.05,28.82
2019-10-23,1066016.89,0.3631,0.3699,0.2916,0.3035,-0.05,16.79
2019-10-24,632578.92,0.3044,0.315,0.2892,0.309,-0.06,20.89
2019-10-25,1518173.0,0.3084,0.3429,0.2939,0.3236,-0.05,25.73
2019-10-26,1702036.38,0.3261,0.3348,0.2821,0.2898,-0.06,23.65
2019-10-27,1529578.81,0.2925,0.3225,0.276,0.3094,-0.05,29.09
