date,volume,open,high,low,close,MACD,RSI
2019-11-28,11556.80086,220.08,224.6,212.02,217.41,0.0,
2019-11-29,50234.55027,217.4,226.49,216.9,224.0,0.53,
2019-11-30,47622.18011,223.89,224.67,214.41,217.45,0.41,
2019-12-01,46721.57914,217.43,218.18,209.24,214.36,0.07,
2019-12-02,43397.32559,214.37,216.25,209.68,213.67,-0.26,
2019-12-03,28430.46455,213.72,215.95,210.99,211.5,-0.68,
2019-12-04,93351.89396,211.47,219.68,202.5,207.47,-1.33,
2019-12-05,58415.66785,207.36,214.46,200.88,211.5,-1.5,
2019-12-06,36081.71398,211.6,214.0,209.2,212.84,-1.51,
2019-12-07,26962.16937,212.9,216.62,210.01,211.0,-1.64,
2019-12-08,23530.67976,210.97,214.89,208.0,212.58,-1.6,
2019-12-09,36474.63924,212.42,215.08,205.4,208.27,-1.9,
2019-12-10,27927.89853,208.18,209.35,203.71,206.54,-2.25,
2019-12-11,15264.51196,206.63,207.99,204.05,207.01,-2.46,
2019-12-12,26540.59504,207.1,207.97,203.67,206.79,-2.61,36.26
2019-12-13,33534.36619,206.62,212.71,206.25,211.32,-2.34,32.67
2019-12-14,34067.96904,211.44,213.11,204.67,205.82,-2.54,33.63
2019-12-15,37076.8692,205.87,211.72,204.88,206.88,-2.59,38.84
2019-12-16,82405.61891,206.87,208.67,193.85,196.27,-3.44,29.96
2019-12-17,127025.58764,196.26,196.96,172.1,176.45,-5.64,21.3
2019-12-18,144833.0183,176.45,191.75,169.66,189.0,-6.31,36.73
2019-12-19,54337.20347,188.9,191.0,183.49,185.96,-7.0,31.38
2019-12-20,43236.75189,186.07,190.72,183.82,187.44,-7.34,31.52
2019-12-21,19488.47281,187.39,188.43,185.33,186.21,-7.63,31.81
2019-12-22,54636.39805,186.21,197.4,185.73,196.27,-6.96,39.36
2019-12-23,57146.5522,196.28,198.0,188.2,189.61,-6.89,38.18
2019-12-24,50765.49176,189.66,191.68,185.0,188.3,-6.86,38.39
2019-12-25,31724.59117,188.31,188.78,182.69,185.34,-7.0,36.63
2019-12-26,48012.30969,185.34,194.99,184.01,187.79,-6.83,38.59
2019-12-27,120980.63718,187.7,203.92,186.83,203.21,-5.39,45.69
2019-12-28,81593.20921,203.33,210.0,202.53,206.27,-3.95,50.25
2019-12-29,80763.47218,206.26,215.94,204.34,212.34,-2.3,52.82
2019-12-30,76221.01161,212.29,215.0,205.65,208.62,-1.27,56.87
2019-12-31,89320.43252,208.61,214.11,201.73,204.52,-0.78,68.94
2020-01-01,43234.9585,204.57,209.0,203.1,204.44,-0.4,62.52
2020-01-02,76481.1405,204.43,205.53,192.8,195.49,-0.8,57.05
2020-01-03,236151.17473,195.49,226.0,191.9,222.43,1.04,68.81
2020-01-04,110315.64423,222.38,227.64,219.56,224.47,2.63,70.39
2020-01-05,90338.28418,224.45,227.63,220.6,222.79,3.71,65.52
