date,volume,open,high,low,close,MACD,RSI
2018-11-16,75614.0114,301.0,350.0,250.1,262.0,0.0,
2018-11-17,63301.18501,261.95,271.3,230.73,256.7,-0.42,
2018-11-18,59722.90157,256.49,298.8,255.96,296.67,2.44,
2018-11-19,74109.10339,297.18,297.99,223.29,232.43,-0.47,
2018-11-20,100449.63214,231.41,259.0,193.7,227.16,-3.17,
2018-11-21,58324.73337,227.22,251.79,216.94,237.66,-4.4,
2018-11-22,33595.73279,237.75,241.35,209.34,210.23,-7.51,
2018-11-23,52650.66285,209.98,216.22,196.83,210.2,-9.86,
2018-11-24,52326.47387,210.47,219.94,175.5,180.8,-13.94,
2018-11-25,95169.4326,180.86,198.38,155.16,188.2,-16.38,
2018-11-26,184785.14475,187.71,225.53,172.0,184.22,-18.43,
2018-11-27,82214.89588,184.86,201.27,172.5,181.74,-20.02,
2018-11-28,53295.27283,182.0,200.0,178.0,190.76,-20.32,
2018-11-29,26328.9177,190.03,192.36,175.0,181.18,-21.08,
2018-11-30,34172.8413,181.38,189.3,167.0,173.15,-22.08,30.05
2018-12-01,27786.24574,172.8,178.58,166.96,172.93,-22.63,30.75
2018-12-02,20425.98279,172.64,180.56,169.71,171.79,-22.9,15.06
2018-12-03,17709.01082,172.06,172.56,156.0,158.67,-23.89,21.1
2018-12-04,27149.06068,158.67,159.97,146.58,148.59,-25.2,20.33
2018-12-05,36734.08819,148.71,148.82,129.5,130.05,-27.42,11.69
2018-12-06,73297.52953,130.08,132.49,106.49,106.69,-30.71,12.04
2018-12-07,242595.6315,106.62,120.0,95.84,104.66,-33.09,11.87
2018-12-08,94455.36217,104.94,109.81,95.5,99.95,-34.96,14.44
2018-12-09,139262.6162,99.8,110.45,98.4,106.56,-35.5,13.84
2018-12-10,46637.08112,106.51,108.72,99.63,102.17,-35.87,13.79
2018-12-11,24968.03422,102.18,102.19,92.95,96.37,-36.21,13.4
2018-12-12,25428.16973,96.31,99.04,95.19,97.06,-36.01,6.74
2018-12-13,31091.22457,96.99,97.18,86.8,87.75,-36.19,6.76
2018-12-14,69880.70537,87.85,89.5,76.66,80.1,-36.53,6.78
2018-12-15,43268.9288,80.1,82.24,74.02,76.75,-36.64,6.59
2018-12-16,80748.67846,76.81,82.5,76.73,79.78,-36.07,9.17
2018-12-17,148983.62178,79.74,91.51,79.0,88.12,-34.55,17.3
2018-12-18,198808.7655,88.13,105.0,85.21,103.5,-31.73,30.08
2018-12-19,641514.65809,103.41,145.0,100.89,125.28,-27.43,47.95
2018-12-20,973358.4083,125.23,200.43,119.96,189.84,-18.6,76.38
2018-12-21,832879.02978,190.0,229.38,171.21,191.97,-11.29,77.68
2018-12-22,339225.74099,192.01,205.11,179.43,194.36,-5.25,80.37
2018-12-23,238997.61714,194.36,208.76,186.0,195.27,-0.38,79.63
2018-12-24,290319.88641,195.18,211.5,175.22,178.67,2.11,73.62
2018-12-25,320727.3637,178.82,180.68,149.6,169.23,3.28,72.0
2018-12-26,304479.14537,169.3,184.7,161.0,173.34,4.49,72.57
2018-12-27,185182.69526,173.14,175.48,143.0,146.65,3.26,65.8
2018-12-28,265993.89902,146.47,174.68,139.2,170.36,4.15,72.3
2018-12-29,171196.53108,170.36,174.0,158.0,159.21,3.91,69.61
2018-12-30,132978.60414,159.42,162.0,154.44,160.67,3.8,69.38
2018-12-31,79731.55379,160.67,160.89,143.85,148.42,2.69,64.18
2019-01-01,114087.12649,148.4,165.11,146.96,162.07,2.87,63.89
2019-01-02,117255.43502,162.06,171.49,158.64,168.79,3.52,61.11
2019-01-03,102013.98493,168.6,173.9,155.15,158.7,3.19,38.98
2019-01-04,88155.03754,158.6,162.48,151.19,157.81,2.82,37.81
2019-01-05,81637.83617,157.89,164.94,154.29,156.84,2.42,36.47
2019-01-06,70853.32026,156.84,164.83,155.12,162.29,2.51,38.48
2019-01-07,60000.59676,162.29,164.63,156.03,158.65,2.27,42.31
2019-01-08,47141.27225,158.65,161.21,155.26,158.25,2.02,45.47
2019-01-09,34638.82082,158.26,159.23,155.0,156.95,1.69,43.08
2019-01-10,153123.30512,157.14,162.37,127.8,131.19,-0.63,43.42
2019-01-11,93168.88159,131.3,132.45,124.99,128.08,-2.7,28.17
2019-01-12,82272.23488,128.21,136.0,127.45,131.41,-4.02,34.39
2019-01-13,68324.7429,131.55,133.12,119.98,123.43,-5.64,30.51
2019-01-14,93997.6093,123.42,134.82,121.18,130.86,-6.26,40.32
2019-01-15,60068.08785,130.92,132.13,123.38,125.5,-7.1,27.82
2019-01-16,35286.07117,125.49,129.48,125.11,126.99,-7.56,22.93
2019-01-17,52020.87319,126.99,130.25,123.67,128.82,-7.68,28.33
2019-01-18,28359.29111,128.8,129.15,124.3,126.33,-7.89,27.69
2019-01-19,36168.78179,126.34,130.3,125.63,127.91,-7.84,29.67
2019-01-20,38863.92519,127.91,128.94,119.46,121.75,-8.2,21.79
2019-01-21,22565.64109,121.75,122.98,120.0,121.21,-8.44,22.77
2019-01-22,63915.79358,121.21,131.34,115.75,127.12,-8.05,29.04
2019-01-23,99419.60484,127.12,135.28,126.23,131.19,-7.33,33.28
2019-01-24,64789.06399,131.18,131.19,125.81,128.07,-6.94,47.13
2019-01-25,34652.10875,128.11,128.32,124.88,126.75,-6.65,48.74
2019-01-26,27582.50266,126.76,128.6,125.28,125.49,-6.45,44.14
2019-01-27,47011.94664,125.52,126.38,118.22,121.27,-6.56,47.69
2019-01-28,105642.0901,121.32,121.37,104.87,111.04,-7.39,30.01
2019-01-29,64062.51905,111.05,112.35,105.92,109.5,-8.07,32.52
2019-01-30,96460.91356,109.46,120.24,107.71,116.99,-7.92,40.34
2019-01-31,90369.13237,117.02,120.5,112.38,113.6,-7.98,35.73
