date,volume,open,high,low,close,MACD,RSI
2018-11-16,328536.66926,89.74,172.99,78.0,132.53,0.0,
2018-11-17,200833.77826,132.54,157.0,129.13,143.21,0.85,
2018-11-18,141665.98798,143.31,144.0,108.36,111.5,-1.02,
2018-11-19,283735.53955,111.82,116.48,73.12,75.37,-5.36,
2018-11-20,401818.09153,75.36,79.14,53.32,59.35,-9.97,
2018-11-21,174252.43342,59.26,63.0,54.1,57.3,-13.64,
2018-11-22,151407.67208,57.3,59.18,42.82,44.11,-17.41,
2018-11-23,491553.67475,44.13,67.87,37.35,56.86,-19.14,
2018-11-24,595519.96199,56.87,74.2,53.33,60.27,-20.01,
2018-11-25,960316.15504,60.36,105.0,56.66,94.76,-17.72,
2018-11-26,1230372.55854,94.58,141.0,90.0,125.29,-13.28,
2018-11-27,650481.74007,125.29,133.5,88.72,103.17,-11.42,
2018-11-28,686364.45052,103.35,117.89,85.0,104.0,-9.76,
2018-11-29,263126.52271,104.1,108.0,93.4,101.34,-8.56,
2018-11-30,292561.15685,101.34,109.69,92.45,95.48,-8.0,41.67
2018-12-01,168958.51701,95.57,96.69,87.34,93.22,-7.64,38.32
2018-12-02,267906.55643,93.02,105.0,91.58,100.01,-6.73,46.96
2018-12-03,211694.10307,100.04,100.58,90.59,93.83,-6.44,55.8
2018-12-04,96212.12355,93.87,94.25,88.5,89.98,-6.44,60.42
2018-12-05,119498.49719,89.98,93.5,84.01,86.53,-6.65,59.85
2018-12-06,382504.90683,86.38,111.62,86.19,103.46,-5.38,69.51
2018-12-07,428871.36326,103.83,116.75,93.7,102.92,-4.37,66.46
2018-12-08,129794.20908,102.91,103.9,96.06,97.1,-3.99,62.94
2018-12-09,127425.5063,97.1,99.01,91.05,95.82,-3.75,50.49
2018-12-10,79281.73816,95.82,100.7,92.76,93.82,-3.68,30.47
2018-12-11,83550.32595,93.77,93.98,85.91,89.08,-3.96,38.85
2018-12-12,62657.19923,89.01,90.12,86.53,87.7,-4.25,37.21
2018-12-13,124116.28779,87.68,87.98,76.59,78.11,-5.19,33.56
2018-12-14,167316.10567,78.1,81.79,68.79,69.8,-6.53,32.44
2018-12-15,162321.385,69.79,73.48,63.85,67.39,-7.7,32.37
2018-12-16,270346.57465,67.49,79.89,67.03,77.42,-7.72,35.24
2018-12-17,251787.02392,77.4,81.87,74.53,81.18,-7.36,41.46
2018-12-18,238761.93024,81.17,85.13,76.36,83.6,-6.79,45.61
2018-12-19,461454.71188,83.6,96.99,81.19,84.97,-6.16,48.89
2018-12-20,912797.13264,84.85,124.15,83.4,109.77,-3.62,54.02
2018-12-21,890805.80983,109.73,129.1,101.0,106.79,-1.83,52.39
2018-12-22,340029.50368,106.78,113.2,101.02,107.66,-0.33,56.95
2018-12-23,280500.37423,107.79,112.45,102.5,105.66,0.68,56.42
2018-12-24,294138.89011,105.6,111.77,99.41,100.74,1.08,54.35
2018-12-25,286732.74964,100.74,101.35,87.64,91.93,0.68,51.7
2018-12-26,203846.12695,91.96,98.68,89.0,93.0,0.44,53.18
2018-12-27,148887.05821,92.95,96.96,81.72,83.46,-0.52,53.21
2018-12-28,198930.6453,83.47,92.66,80.47,91.48,-0.62,63.06
2018-12-29,141440.58639,91.48,92.52,85.55,86.87,-1.06,61.43
2018-12-30,71268.83681,86.75,88.58,85.22,87.06,-1.38,56.4
2018-12-31,49518.8595,87.18,87.2,82.18,83.88,-1.86,51.81
2019-01-01,164228.85754,83.88,94.88,83.23,90.79,-1.67,54.54
2019-01-02,136925.04186,90.83,94.21,88.71,92.81,-1.34,54.9
2019-01-03,110140.77059,92.81,94.86,85.32,87.02,-1.53,31.32
2019-01-04,90194.19611,87.02,88.83,83.61,86.13,-1.73,32.44
2019-01-05,86154.38873,86.07,90.35,84.75,86.91,-1.81,32.33
2019-01-06,77679.99821,86.92,89.79,85.35,88.3,-1.74,35.07
2019-01-07,51877.88685,88.32,88.84,86.1,86.78,-1.78,37.24
2019-01-08,51556.22505,86.78,87.4,84.75,86.0,-1.86,43.65
2019-01-09,35946.0388,86.06,86.65,84.87,85.6,-1.93,41.96
2019-01-10,129158.51544,85.6,88.5,72.82,73.99,-2.89,40.15
2019-01-11,63486.61187,74.0,74.3,71.3,73.33,-3.66,27.72
2019-01-12,251660.75335,73.25,84.01,73.1,81.0,-3.61,43.3
2019-01-13,223182.87542,81.0,86.43,72.84,76.09,-3.92,38.69
2019-01-14,134291.91877,76.09,81.13,74.59,78.91,-3.9,44.84
2019-01-15,87446.69338,78.92,80.44,74.76,75.96,-4.07,33.22
2019-01-16,68014.67011,75.97,78.04,75.18,76.89,-4.08,31.53
2019-01-17,41120.48712,76.89,77.16,74.8,76.75,-4.06,36.29
2019-01-18,42222.36171,76.74,76.74,74.07,74.88,-4.14,35.36
2019-01-19,30492.45692,74.89,77.2,74.63,76.22,-4.05,36.29
2019-01-20,30746.052,76.21,76.21,72.85,74.14,-4.1,32.16
2019-01-21,31325.5052,74.16,76.42,73.25,73.99,-4.11,33.31
2019-01-22,38916.69825,74.0,76.17,71.78,75.23,-3.97,36.11
2019-01-23,33949.54477,75.23,76.1,74.19,74.9,-3.84,36.18
2019-01-24,20782.43725,74.9,74.95,73.36,73.89,-3.77,49.82
2019-01-25,31464.93807,73.91,75.75,72.81,73.94,-3.67,51.11
2019-01-26,21891.07964,73.97,75.28,73.0,73.24,-3.61,31.09
2019-01-27,23153.83173,73.24,73.53,70.22,71.14,-3.69,36.02
2019-01-28,67551.75926,71.17,71.17,61.65,64.34,-4.25,16.41
2019-01-29,50258.04319,64.36,65.43,61.08,63.0,-4.75,17.73
2019-01-30,52326.31051,62.99,67.86,62.49,65.85,-4.85,24.91
2019-01-31,39890.52684,65.81,67.16,62.5,63.49,-5.07,22.63
2019-02-01,23804.14575,63.52,64.99,62.8,63.85,-5.16,25.72
2019-02-02,23348.20962,63.88,65.97,63.66,65.49,-5.03,26.68
2019-02-03,21763.96561,65.49,65.65,63.33,63.78,-5.02,27.12
2019-02-04,19207.63024,63.75,64.29,62.81,63.06,-5.0,26.45
2019-02-05,23122.00781,63.05,63.13,60.66,61.0,-5.1,20.39
2019-02-06,181149.71189,61.0,69.88,57.38,62.68,-4.98,25.93
2019-02-07,106120.0963,62.67,66.19,60.88,62.49,-4.85,26.79
2019-02-08,91079.41597,62.46,69.57,61.25,66.99,-4.33,38.02
2019-02-09,42552.17755,67.1,67.49,65.07,65.89,-3.96,37.5
2019-02-10,35176.02629,65.87,66.52,62.99,66.52,-3.58,41.73
2019-02-11,25892.59178,66.47,66.75,64.49,64.72,-3.38,50.83
2019-02-12,47417.6585,64.73,66.93,63.84,65.42,-3.13,55.43
2019-02-13,27474.37841,65.38,66.01,64.0,64.32,-2.99,46.28
2019-02-14,23164.82286,64.31,64.55,62.28,62.36,-3.0,47.2
2019-02-15,23520.24168,62.27,63.43,61.67,62.21,-2.99,45.89
2019-02-16,22680.2793,62.25,63.04,61.8,62.18,-2.94,40.97
2019-02-17,27748.18874,62.22,63.71,61.73,62.72,-2.83,46.91
2019-02-18,142548.18385,62.69,71.0,62.68,67.5,-2.33,60.46
2019-02-19,105435.13872,67.43,70.83,66.55,66.58,-1.99,63.89
2019-02-20,59805.00863,66.56,67.69,64.67,66.93,-1.67,61.33
2019-02-21,36573.9118,66.92,67.49,64.51,65.11,-1.54,56.43
2019-02-22,34730.79005,65.11,65.98,64.33,65.2,-1.42,44.4
2019-02-23,47760.33218,65.26,68.71,64.66,68.71,-1.03,57.67
2019-02-24,110498.87238,68.7,69.66,59.55,60.3,-1.38,38.11
2019-02-25,188364.16723,60.35,71.89,60.18,67.52,-1.06,54.43
2019-02-26,263788.11344,67.5,75.38,67.42,73.78,-0.3,61.25
2019-02-27,122054.17694,73.74,73.81,65.7,67.31,-0.22,53.52
2019-02-28,64843.36135,67.3,68.81,65.75,66.66,-0.21,55.22
2019-03-01,36750.96816,66.66,68.13,65.92,66.43,-0.21,55.11
2019-03-02,21263.28265,66.41,66.87,65.34,66.13,-0.24,54.75
2019-03-03,18584.18189,66.14,66.54,64.4,64.76,-0.36,52.41
2019-03-04,30184.02695,64.77,64.97,61.9,62.72,-0.62,43.97
2019-03-05,72636.04176,62.72,67.27,62.67,66.53,-0.51,49.94
2019-03-06,33868.76551,66.49,67.0,65.33,66.18,-0.45,49.12
2019-03-07,25001.83237,66.17,66.7,65.62,66.34,-0.38,51.5
2019-03-08,71740.50491,66.35,69.68,64.6,64.94,-0.43,49.69
2019-03-09,43909.21134,64.94,68.34,64.68,66.37,-0.36,47.08
2019-03-10,31357.76024,66.39,68.35,65.46,66.23,-0.3,59.32
2019-03-11,28025.57947,66.23,66.6,64.38,64.71,-0.38,44.62
2019-03-12,18073.90243,64.68,65.67,64.11,65.46,-0.38,29.83
2019-03-13,27014.61077,65.47,65.56,63.79,64.3,-0.46,40.17
2019-03-14,54027.78454,64.3,67.29,64.24,65.76,-0.41,47.21
2019-03-15,43982.62888,65.76,68.0,65.02,67.1,-0.25,51.94
