date,volume,open,high,low,close,MACD,RSI
2020-10-28,26683.08,10.0,11.419,9.352,10.194,0.0,
2020-10-29,26679.58,10.215,10.427,9.257,10.083,-0.01,
2020-10-30,4439.54,9.842,10.356,9.151,9.545,-0.06,
2020-10-31,1437.83,9.636,10.117,9.226,9.871,-0.07,
2020-11-01,6933.33,9.5,10.565,9.2,10.291,-0.05,
2020-11-02,4331.88,10.291,10.637,9.0,9.2,-0.11,
2020-11-03,13373.18,9.0,9.015,6.575,7.8,-0.28,
2020-11-04,6192.51,7.853,7.9,6.955,7.542,-0.42,
2020-11-05,6996.53,7.542,8.328,7.501,8.328,-0.47,
2020-11-06,7209.31,8.488,8.951,8.088,8.862,-0.46,
2020-11-07,12985.13,8.762,10.2,8.0,8.262,-0.49,
2020-11-08,8233.94,8.325,10.198,7.941,9.781,-0.39,
2020-11-09,2650.3,9.522,9.624,9.045,9.194,-0.35,
2021-04-14,0.0,9.194,9.194,9.194,9.194,-0.32,
2021-04-15,155196.65,10.0,11.39,9.54,11.07,-0.14,54.36
2021-04-16,860253.61,11.08,19.75,9.72,17.0,0.47,71.8
2021-04-17,912719.63,17.0,20.99,13.07,13.16,0.64,59.43
2021-04-18,1432124.53,13.24,13.88,7.3,13.33,0.78,59.1
2021-04-19,864564.2,13.33,15.96,9.38,10.14,0.63,49.65
2021-04-20,926874.76,10.08,12.52,7.97,11.5,0.61,55.22
2021-04-21,560532.17,11.62,13.3,10.2,10.51,0.51,56.26
2021-04-22,798346.34,10.51,12.45,8.38,8.71,0.28,52.52
2021-04-23,1402378.65,8.75,9.35,4.21,7.25,-0.02,47.74
2021-04-24,429443.25,7.23,7.23,5.5,5.91,-0.36,44.02
2021-04-25,429222.98,5.96,6.66,4.81,5.62,-0.65,44.58
2021-04-26,625354.15,5.66,7.43,5.58,7.39,-0.72,45.14
2021-04-27,419604.85,7.39,8.21,7.05,8.15,-0.71,47.89
2021-04-28,657300.38,8.2,8.87,7.49,8.58,-0.66,48.78
2021-04-29,344681.39,8.58,8.64,7.55,8.03,-0.66,43.63
2021-04-30,524503.13,7.98,10.31,7.78,10.18,-0.48,33.03
2021-05-01,322724.13,10.21,10.99,9.6,10.26,-0.32,41.13
2021-05-02,319764.13,10.25,10.4,8.86,9.44,-0.27,38.55
2021-05-03,546630.35,9.44,11.16,9.37,10.31,-0.15,50.58
2021-05-04,932852.15,10.37,11.15,8.45,8.84,-0.17,41.0
2021-05-05,2423198.97,8.9,22.94,8.64,22.22,0.88,71.55
2021-05-06,3789098.28,22.19,26.83,14.77,23.42,1.79,77.68
2021-05-07,704429.21,23.23,23.3,15.32,17.42,2.0,66.35
2021-05-08,634048.5,17.38,20.85,16.57,19.04,2.28,70.91
2021-05-09,805359.88,18.94,19.89,16.32,19.89,2.53,72.33
2021-05-10,818150.32,19.81,23.41,13.37,16.74,2.46,64.03
2021-05-11,789566.94,16.64,23.13,16.16,23.13,2.87,69.22
2021-05-12,1022737.3,23.13,26.0,13.34,14.25,2.46,55.98
2021-05-13,943952.28,14.26,16.42,12.27,14.84,2.16,57.18
2021-05-14,383412.89,14.82,16.61,14.29,15.57,1.95,55.85
2021-05-15,399406.12,15.53,16.25,13.14,13.31,1.59,53.16
2021-05-16,616595.77,13.32,15.16,12.14,13.26,1.28,54.03
2021-05-17,461081.32,13.26,13.28,10.43,11.69,0.9,51.43
2021-05-18,705163.67,11.75,13.45,11.4,12.01,0.62,53.37
2021-05-19,103577923.94,12.04,12.4,0.27,0.71,-0.51,26.05
2021-05-20,31893202.7,0.71,0.962,0.59,0.895,-1.37,24.34
2021-05-21,5870373.09,0.896,0.95,0.553,0.689,-2.05,28.04
2021-05-22,3312416.25,0.69,0.728,0.553,0.594,-2.57,24.78
2021-05-23,5656323.89,0.593,0.64,0.377,0.484,-2.95,22.92
2021-05-24,9113557.29,0.482,0.794,0.463,0.779,-3.19,25.8
2021-05-25,4343027.26,0.786,0.846,0.654,0.73,-3.35,7.96
2021-05-26,4157177.73,0.732,0.833,0.711,0.792,-3.43,12.24
2021-05-27,2636529.97,0.793,0.862,0.702,0.779,-3.46,9.23
2021-05-28,6140239.38,0.775,0.793,0.626,0.68,-3.45,5.19
2021-05-29,2356827.04,0.685,0.737,0.549,0.61,-3.4,5.98
2021-05-30,1759428.33,0.608,0.677,0.549,0.626,-3.33,6.1
2021-05-31,3962984.4,0.622,0.709,0.579,0.691,-3.23,7.32
2021-06-01,1714019.5,0.691,0.726,0.631,0.67,-3.11,4.95
2021-06-02,844000.45,0.676,0.721,0.645,0.686,-2.99,49.08
2021-06-03,955615.21,0.685,0.756,0.668,0.72,-2.85,42.4
2021-06-04,1953945.77,0.719,0.724,0.585,0.633,-2.72,47.29
2021-06-05,1661208.39,0.636,0.669,0.568,0.595,-2.59,50.05
2021-06-06,772942.83,0.595,0.633,0.587,0.606,-2.46,56.96
2021-06-07,1703167.61,0.605,0.633,0.488,0.498,-2.33,29.61
2021-06-08,3453833.61,0.497,0.509,0.414,0.492,-2.21,31.58
2021-06-09,2930798.01,0.493,0.548,0.448,0.546,-2.08,30.72
2021-06-10,1181105.24,0.547,0.555,0.484,0.504,-1.96,29.39
2021-06-11,1239642.6,0.5,0.515,0.457,0.466,-1.85,32.34
2021-06-12,820219.81,0.465,0.486,0.425,0.472,-1.74,37.27
2021-06-13,1045279.78,0.472,0.521,0.442,0.517,-1.63,40.46
2021-06-14,1662544.64,0.521,0.553,0.496,0.553,-1.53,37.27
2021-06-15,1131180.25,0.554,0.567,0.519,0.539,-1.42,37.76
2021-06-16,2426908.42,0.533,0.535,0.484,0.488,-1.33,32.63
2021-06-17,1681257.29,0.49,0.531,0.477,0.498,-1.25,29.67
2021-06-18,1037304.59,0.498,0.499,0.425,0.449,-1.17,31.89
2021-06-19,664929.79,0.448,0.472,0.433,0.433,-1.09,33.33
2021-06-20,1634647.04,0.431,0.446,0.383,0.439,-1.02,32.64
2021-06-21,2725718.3,0.439,0.441,0.307,0.309,-0.97,31.21
2021-06-22,7033128.67,0.309,0.334,0.23,0.289,-0.91,30.37
2021-06-23,2271358.95,0.289,0.333,0.272,0.318,-0.86,26.83
2021-06-24,1530821.23,0.32,0.344,0.302,0.329,-0.81,31.02
2021-06-25,2457612.97,0.335,0.345,0.292,0.297,-0.76,31.43
2021-06-26,2009794.72,0.293,0.31,0.27,0.303,-0.71,31.43
2021-06-27,1808600.79,0.304,0.328,0.29,0.326,-0.66,27.94
2021-06-28,1267375.64,0.328,0.377,0.32,0.354,-0.62,26.59
2021-06-29,1510375.47,0.356,0.415,0.355,0.385,-0.57,32.58
2021-06-30,2039020.49,0.385,0.399,0.35,0.387,-0.53,37.15
2021-07-01,4864931.56,0.387,0.387,0.334,0.347,-0.49,32.15
2021-07-02,662753.84,0.348,0.358,0.321,0.348,-0.46,36.53
2021-07-03,665175.47,0.348,0.371,0.337,0.358,-0.42,39.84
2021-07-04,709114.35,0.359,0.407,0.347,0.388,-0.39,43.51
2021-07-05,1019856.51,0.387,0.388,0.336,0.358,-0.36,58.36
2021-07-06,1804912.7,0.357,0.391,0.351,0.368,-0.34,63.96
2021-07-07,1181029.56,0.366,0.401,0.359,0.363,-0.31,58.69
2021-07-08,1048612.79,0.364,0.366,0.325,0.338,-0.29,51.65
2021-07-09,615045.9,0.33,0.377,0.313,0.367,-0.27,62.96
2021-07-10,684592.86,0.367,0.38,0.335,0.355,-0.25,59.42
2021-07-11,1167277.14,0.36,0.367,0.344,0.356,-0.23,55.91
2021-07-12,760776.3,0.357,0.375,0.315,0.328,-0.22,44.88
2021-07-13,1041795.86,0.325,0.334,0.294,0.301,-0.21,33.2
2021-07-14,1187888.21,0.302,0.319,0.268,0.302,-0.2,32.93
2021-07-15,1002811.02,0.305,0.313,0.269,0.282,-0.19,35.81
2021-07-16,783687.57,0.287,0.297,0.26,0.262,-0.18,32.66
2021-07-17,903781.76,0.261,0.271,0.251,0.258,-0.17,29.34
2021-07-18,486492.21,0.258,0.279,0.253,0.262,-0.16,20.83
2021-07-19,1377132.87,0.26,0.264,0.229,0.234,-0.15,21.03
2021-07-20,2173336.24,0.231,0.239,0.195,0.21,-0.15,15.35
2021-07-21,1723908.79,0.213,0.253,0.204,0.247,-0.14,27.69
2021-07-22,1017070.92,0.247,0.264,0.241,0.262,-0.13,34.8
2021-07-23,578020.18,0.26,0.2765,0.249,0.2755,-0.12,30.49
2021-07-24,496516.19,0.2755,0.2854,0.2692,0.279,-0.11,33.19
2021-07-25,411099.14,0.278,0.28,0.2581,0.2738,-0.1,32.15
2021-07-26,2557321.48,0.2756,0.352,0.2722,0.3051,-0.09,45.1
2021-07-27,825363.41,0.305,0.333,0.2872,0.3302,-0.08,56.3
2021-07-28,1161419.47,0.3322,0.3556,0.315,0.343,-0.07,58.42
2021-07-29,1224772.63,0.3415,0.3921,0.3258,0.3803,-0.06,68.85
2021-07-30,1261586.36,0.3819,0.402,0.3503,0.402,-0.05,76.68
2021-07-31,856491.24,0.402,0.4082,0.3785,0.3905,-0.04,74.55
2021-08-01,1414648.99,0.387,0.4172,0.3432,0.362,-0.03,66.98
2021-08-02,870801.22,0.362,0.4237,0.3523,0.3863,-0.03,76.2
2021-08-03,462890.43,0.3863,0.3989,0.3542,0.3777,-0.02,80.46
2021-08-04,577013.62,0.3789,0.4,0.3595,0.3915,-0.02,78.66
2021-08-05,919933.26,0.3898,0.3983,0.3552,0.3934,-0.01,77.49
2021-08-06,945539.55,0.3948,0.415,0.3754,0.4084,-0.01,77.63
2021-08-07,1797598.5,0.4071,0.463,0.4028,0.4491,-0.0,80.63
2021-08-08,889303.43,0.4496,0.4605,0.4014,0.4047,-0.0,70.65
2021-08-09,1121790.53,0.4044,0.4771,0.3848,0.4621,0.01,72.89
2021-08-10,1159508.58,0.4626,0.49,0.4317,0.464,0.01,70.92
2021-08-11,1615562.63,0.463,0.5334,0.4598,0.5131,0.02,73.88
2021-08-12,2426234.65,0.514,0.5668,0.452,0.4767,0.02,63.57
2021-08-13,1242739.63,0.4794,0.5779,0.4695,0.5779,0.03,70.23
2021-08-14,1577885.62,0.5744,0.6538,0.55,0.6538,0.05,76.38
2021-08-15,1365355.3,0.6549,0.69,0.61,0.6764,0.06,81.87
2021-08-16,1242428.94,0.6752,0.6998,0.6118,0.6126,0.06,71.24
2021-08-17,855039.91,0.6149,0.6487,0.5388,0.5413,0.06,63.74
2021-08-18,803519.35,0.5385,0.5729,0.5024,0.5266,0.05,61.33
2021-08-19,750592.12,0.5257,0.573,0.5052,0.5725,0.05,63.99
2021-08-20,1004960.85,0.5688,0.6361,0.5587,0.6269,0.06,66.07
2021-08-21,568983.46,0.6258,0.636,0.5872,0.597,0.05,61.06
2021-08-22,564628.5,0.5978,0.6183,0.5611,0.59,0.05,64.67
2021-08-23,788872.33,0.5912,0.6252,0.578,0.598,0.05,61.67
2021-08-24,777132.2,0.598,0.606,0.5279,0.5345,0.05,55.48
2021-08-25,631337.91,0.5343,0.5645,0.5167,0.5556,0.04,53.45
2021-08-26,667454.61,0.5554,0.5616,0.484,0.4879,0.03,50.87
2021-08-27,603119.17,0.4879,0.5308,0.4726,0.5308,0.03,46.0
2021-08-28,784611.04,0.5288,0.5468,0.5114,0.5468,0.03,39.88
2021-08-29,1909235.84,0.5468,0.622,0.5467,0.5642,0.03,39.29
2021-08-30,645818.83,0.5647,0.5739,0.515,0.5183,0.02,40.68
2021-08-31,578911.94,0.5174,0.55,0.5038,0.5246,0.02,48.11
2021-09-01,783754.29,0.52,0.5598,0.5062,0.5591,0.02,53.53
2021-09-02,865084.13,0.5556,0.5881,0.5522,0.569,0.02,49.59
2021-09-03,1263867.25,0.5736,0.6669,0.5479,0.6538,0.03,52.96
2021-09-04,1409039.47,0.6511,0.7,0.616,0.6419,0.03,55.14
2021-09-05,910520.94,0.64,0.77,0.615,0.7612,0.04,65.59
2021-09-06,1693109.06,0.7612,0.8552,0.7101,0.8095,0.06,67.94
2021-09-07,8172904.63,0.8068,0.81,0.2877,0.472,0.04,46.38
2021-09-08,921111.68,0.4688,0.4808,0.43,0.458,0.02,44.3
2021-09-09,612897.87,0.4614,0.4717,0.4448,0.4539,0.01,47.86
2021-09-10,822127.17,0.4505,0.4728,0.3919,0.4069,-0.0,42.23
2021-09-11,576209.4,0.4071,0.4334,0.4028,0.4141,-0.01,41.58
2021-09-12,993763.35,0.4183,0.4449,0.3992,0.4323,-0.02,41.64
2021-09-13,3639332.22,0.4333,0.4529,0.3473,0.383,-0.03,41.46
2021-09-14,1386226.09,0.383,0.4221,0.3759,0.4199,-0.03,43.64
2021-09-15,931692.59,0.4201,0.4423,0.4076,0.4361,-0.03,42.36
2021-09-16,1294954.93,0.4361,0.4376,0.399,0.4179,-0.03,40.71
2021-09-17,730435.04,0.4163,0.4286,0.3802,0.39,-0.04,32.55
2021-09-18,446248.34,0.39,0.4162,0.384,0.4047,-0.04,34.37
2021-09-19,1107107.03,0.4033,0.4274,0.3648,0.3731,-0.04,21.08
2021-09-20,3132587.52,0.3732,0.3732,0.2647,0.2775,-0.05,12.97
2021-09-21,2741981.38,0.2826,0.2901,0.2229,0.2323,-0.06,21.87
2021-09-22,1514596.85,0.2324,0.285,0.2218,0.2849,-0.06,31.38
2021-09-23,1561164.32,0.283,0.2914,0.2643,0.2896,-0.07,32.34
2021-09-24,3387998.33,0.2899,0.2952,0.2017,0.2399,-0.07,32.16
2021-09-25,1507253.92,0.2407,0.2508,0.2275,0.246,-0.07,32.0
2021-09-26,2345263.67,0.2437,0.2478,0.2024,0.2277,-0.07,28.09
2021-09-27,1175562.94,0.2275,0.2413,0.2097,0.2097,-0.08,30.11
2021-09-28,1507968.92,0.2085,0.2238,0.1922,0.1941,-0.08,22.76
2021-09-29,1401558.51,0.1941,0.2216,0.1915,0.2057,-0.08,21.89
2021-09-30,1253710.01,0.2068,0.2314,0.2034,0.226,-0.08,26.71
2021-10-01,1785460.53,0.226,0.2747,0.2239,0.273,-0.07,36.43
2021-10-02,991148.41,0.2739,0.2925,0.2652,0.2835,-0.06,35.8
2021-10-03,1171076.66,0.2835,0.3138,0.275,0.3056,-0.06,41.91
2021-10-04,1754394.58,0.3041,0.3041,0.2591,0.2824,-0.05,50.71
2021-10-05,2163724.53,0.2825,0.3384,0.2797,0.3321,-0.04,64.28
2021-10-06,5423488.68,0.3321,0.3666,0.2945,0.3573,-0.03,61.24
2021-10-07,3430743.11,0.3575,0.3789,0.3343,0.3498,-0.03,59.27
2021-10-08,1887898.42,0.3498,0.3564,0.3241,0.3301,-0.02,65.3
2021-10-09,1001513.2,0.3324,0.3648,0.3277,0.3533,-0.02,67.2
2021-10-10,1086976.85,0.3549,0.3627,0.3159,0.3201,-0.01,64.14
2021-10-11,1045896.88,0.3152,0.357,0.3089,0.3366,-0.01,69.51
2021-10-12,1225295.09,0.3353,0.3353,0.2991,0.3197,-0.01,69.23
2021-10-13,1023357.5,0.3197,0.3298,0.3027,0.3269,-0.01,68.81
2021-10-14,954232.29,0.3285,0.3439,0.3243,0.3332,-0.01,67.39
2021-10-15,2573510.06,0.3343,0.3789,0.319,0.3627,-0.0,65.43
2021-10-16,1554712.74,0.3643,0.3915,0.3622,0.3635,-0.0,64.23
2021-10-17,1207781.63,0.3628,0.3671,0.3195,0.3481,0.0,57.75
