date,volume,open,high,low,close,MACD,RSI
2019-09-21,1004278.13,1.405,1.5557,1.29,1.3366,0.0,
2019-09-22,431250.75,1.3365,1.3365,1.2116,1.2549,-0.01,
2019-09-23,506197.23,1.2517,1.42,1.1706,1.19,-0.02,
2019-09-24,409007.11,1.2023,1.285,0.8001,0.9986,-0.04,
2019-09-25,227625.9,0.9999,1.0398,0.85,0.9358,-0.06,
2019-09-26,272240.72,0.9459,0.946,0.7872,0.8511,-0.09,
2019-09-27,167293.17,0.8511,0.868,0.8,0.85,-0.1,
2019-09-28,180607.37,0.85,0.906,0.8388,0.8705,-0.12,
2019-09-29,371907.39,0.8705,1.0809,0.825,0.9326,-0.12,
2019-09-30,237095.95,0.9326,0.9943,0.8504,0.9403,-0.12,
2019-10-01,151038.85,0.9421,0.9716,0.8927,0.9015,-0.12,
2019-10-02,77081.1,0.9015,0.9089,0.8603,0.9004,-0.12,
2019-10-03,111032.2,0.8988,0.8989,0.8355,0.8519,-0.12,
2019-10-04,105795.46,0.8581,0.8948,0.83,0.8528,-0.12,
2019-10-05,77884.94,0.8502,0.875,0.8404,0.8604,-0.12,14.66
2019-10-06,141459.15,0.8653,0.8657,0.799,0.8005,-0.12,15.15
2019-10-07,102438.89,0.8012,0.85,0.7835,0.8388,-0.12,21.92
2019-10-08,140494.96,0.8324,0.8499,0.8143,0.8418,-0.12,32.06
2019-10-09,231906.24,0.8418,0.8865,0.8289,0.8708,-0.11,41.94
2019-10-10,196829.17,0.8708,0.8793,0.8,0.8176,-0.11,45.49
2019-10-11,389989.23,0.8176,0.8279,0.7601,0.7757,-0.11,40.99
2019-10-12,149092.91,0.7784,0.81,0.7722,0.7815,-0.11,38.81
2019-10-13,75494.6,0.7814,0.7941,0.745,0.7589,-0.11,25.76
2019-10-14,605716.4,0.7533,0.7699,0.7182,0.7454,-0.11,23.24
2019-10-15,335100.89,0.7468,0.77,0.6768,0.69,-0.11,22.22
2019-10-16,879020.22,0.6912,0.6989,0.5813,0.616,-0.12,18.65
2019-10-17,752756.52,0.6177,0.6179,0.5776,0.5864,-0.12,19.46
2019-10-18,655509.29,0.5896,0.5961,0.5305,0.5475,-0.13,17.71
2019-10-19,829343.26,0.547,0.547,0.5036,0.5198,-0.13,15.44
2019-10-20,1267482.68,0.5197,0.6025,0.505,0.5922,-0.13,29.39
2019-10-21,1052294.14,0.589,0.625,0.5607,0.5726,-0.13,22.65
2019-10-22,551067.54,0.5749,0.6195,0.5603,0.5702,-0.13,22.06
2019-10-23,814063.68,0.5702,0.59,0.5106,0.5371,-0.13,15.96
2019-10-24,357407.09,0.5368,0.5478,0.5046,0.5279,-0.12,17.53
2019-10-25,863467.07,0.5279,0.5971,0.4965,0.5605,-0.12,25.37
2019-10-26,717312.62,0.5605,0.605,0.53,0.5396,-0.12,23.24
2019-10-27,543107.2,0.5361,0.5983,0.5219,0.565,-0.11,28.68
2019-10-28,945460.85,0.565,0.6755,0.5634,0.603,-0.1,35.14
2019-10-29,425931.37,0.5966,0.6212,0.58,0.596,-0.09,39.09
2019-10-30,296474.89,0.5961,0.602,0.5567,0.5699,-0.09,43.98
2019-10-31,190702.32,0.5708,0.5815,0.5451,0.5676,-0.08,47.36
2019-11-01,164327.76,0.5675,0.6111,0.5523,0.5881,-0.08,56.02
2019-11-02,822593.08,0.5881,0.6489,0.5807,0.6422,-0.07,66.83
2019-11-03,1044883.02,0.6435,0.74,0.6159,0.7163,-0.05,66.99
2019-11-04,1408046.86,0.7162,0.7651,0.7009,0.7389,-0.04,72.58
2019-11-05,576527.1,0.7361,0.75,0.681,0.7009,-0.03,66.18
2019-11-06,1036092.47,0.7009,0.7911,0.69,0.7506,-0.02,75.39
2019-11-07,530985.91,0.7468,0.749,0.6891,0.7062,-0.01,69.56
2019-11-08,593447.6,0.7054,0.7087,0.6266,0.6552,-0.01,59.99
2019-11-09,479580.52,0.6552,0.72,0.647,0.6986,-0.01,66.01
2019-11-10,366308.43,0.6986,0.709,0.662,0.6904,-0.01,63.08
2019-11-11,375240.84,0.6904,0.6904,0.6385,0.6522,-0.01,55.13
2019-11-12,964713.86,0.6522,0.735,0.6462,0.7312,-0.0,62.26
2019-11-13,1249091.04,0.7322,0.8086,0.7015,0.7924,0.01,68.96
