date,volume,open,high,low,close,MACD,RSI
2020-01-17,10164.59613,21.9,83.91,21.89,22.24,0.0,
2020-01-18,8444.11221,22.5,24.52,21.68,22.22,-0.0,
2020-01-19,40957.50706,22.25,29.28,20.26,24.03,0.14,
2020-01-20,37980.59262,23.83,25.49,23.64,24.55,0.29,
2020-01-21,31945.385,24.58,25.73,23.16,23.75,0.35,
2020-01-22,17696.52574,23.73,25.0,23.17,24.44,0.44,
2020-01-23,79724.61366,24.41,27.67,24.38,26.61,0.68,
2020-01-24,70912.6146,26.77,28.32,25.6,26.34,0.84,
2020-01-25,49018.246,26.39,28.06,26.39,27.31,1.03,
2020-01-26,50546.94119,27.32,27.75,24.65,24.72,0.96,
2020-01-27,162694.36954,24.72,24.87,21.46,22.07,0.69,
2020-01-28,259494.14263,22.1,22.11,18.24,18.46,0.17,
2020-01-29,246289.84879,18.46,19.4,18.16,19.06,-0.18,
2020-01-30,291940.94897,19.05,19.71,17.25,17.82,-0.56,
2020-01-31,157953.9111,17.87,19.45,17.64,18.84,-0.76,41.03
2020-02-01,105859.16131,18.77,19.05,18.05,18.52,-0.94,40.39
2020-02-02,187733.1954,18.64,19.73,18.14,19.0,-1.03,35.97
2020-02-03,185945.30844,18.94,19.7,17.4,19.42,-1.06,35.61
2020-02-04,126619.97103,19.41,20.65,19.0,20.12,-1.01,39.76
2020-02-05,277655.8754,20.12,20.31,16.12,16.86,-1.22,31.33
2020-02-06,265588.8545,16.81,17.28,15.52,16.25,-1.42,22.36
2020-02-07,163703.7506,16.25,16.6,15.68,16.04,-1.58,22.43
2020-02-08,148429.49355,16.04,16.79,15.3,15.58,-1.72,17.72
2020-02-09,167707.18307,15.51,15.58,14.28,14.43,-1.9,19.25
2020-02-10,213046.62385,14.41,16.1,14.19,15.74,-1.92,29.43
2020-02-11,350016.67412,15.75,16.44,13.45,13.81,-2.07,33.04
2020-02-12,234142.80781,13.72,13.9,12.8,13.48,-2.18,29.24
2020-02-13,274342.75777,13.48,14.59,12.71,14.14,-2.2,35.69
2020-02-14,123268.25577,14.12,14.68,13.56,13.7,-2.22,29.07
2020-02-15,132894.4557,13.67,15.84,13.56,15.52,-2.07,39.11
2020-02-16,178892.15853,15.51,16.43,14.83,15.47,-1.92,36.78
2020-02-17,230506.3049,15.48,17.64,15.35,16.35,-1.72,38.88
2020-02-18,212597.22187,16.35,17.0,13.61,14.13,-1.72,30.46
2020-02-19,206833.67161,14.15,16.75,13.5,16.54,-1.51,48.9
2020-02-20,307697.42824,16.54,17.2,15.6,16.6,-1.32,51.26
2020-02-21,140813.41046,16.55,16.75,15.77,16.28,-1.18,50.85
2020-02-22,94587.54261,16.24,16.88,16.08,16.4,-1.05,52.99
2020-02-23,142793.4532,16.4,16.4,14.63,14.86,-1.06,51.53
2020-02-24,286212.6779,14.9,17.13,14.66,16.34,-0.94,52.1
2020-02-25,287865.12875,16.35,18.48,16.29,18.23,-0.68,65.54
2020-02-26,354902.37765,18.23,22.5,17.9,21.4,-0.22,73.21
