date,volume,open,high,low,close,MACD,RSI
2021-10-08,334952990.0,0.06001,4.75,0.06001,3.23,0.0,
2021-10-09,184210294.0,3.2331,4.5,3.15953,3.4519,0.02,
2021-10-10,36350065.0,3.45191,3.76,3.16635,3.17,0.01,
2021-10-11,41844720.0,3.17,3.35,2.54179,2.72332,-0.03,
2021-10-12,29458874.0,2.72054,2.89665,2.46,2.74879,-0.06,
2021-10-13,23670475.0,2.74685,2.76,2.26,2.368,-0.12,
2021-10-14,26958961.0,2.37253,2.66481,2.3,2.37003,-0.16,
2021-10-15,21176512.0,2.37041,2.45,2.097,2.19761,-0.2,
2021-10-16,11993149.0,2.1986,2.37,2.16,2.167,-0.24,
2021-10-17,55334240.0,2.16696,2.8325,2.1,2.39391,-0.24,
2021-10-18,13491354.0,2.39434,2.5703,2.23,2.26306,-0.26,
2021-10-19,7293794.0,2.26306,2.33422,2.18223,2.2,-0.27,
2021-10-20,7642752.0,2.2,2.29877,2.1831,2.21998,-0.27,
2021-10-21,14050820.0,2.21726,2.2948,2.01,2.08089,-0.28,
2021-10-22,10675626.0,2.07498,2.10299,1.875,1.92728,-0.3,21.62
2021-10-23,6491457.0,1.92733,1.96855,1.79943,1.80925,-0.32,12.52
2021-10-24,11773134.0,1.80795,1.935,1.65162,1.72681,-0.34,13.77
2021-10-25,27273073.0,1.7254,2.05531,1.70444,1.80036,-0.35,21.49
2021-10-26,10162320.0,1.80265,1.95967,1.76716,1.78373,-0.35,20.03
2021-10-27,11053462.0,1.78109,1.8269,1.6,1.61862,-0.36,23.13
2021-10-28,10540694.0,1.61862,1.70196,1.54763,1.59563,-0.36,22.64
2021-10-29,17551163.0,1.59258,1.97266,1.58041,1.80396,-0.35,36.44
2021-10-30,11012235.0,1.79993,1.95708,1.72834,1.73611,-0.34,35.53
2021-10-31,6362643.0,1.73603,1.77389,1.65,1.69824,-0.33,23.23
2021-11-01,25716669.0,1.69953,2.13992,1.64704,1.8615,-0.3,34.92
2021-11-02,7005302.0,1.86083,1.9592,1.8,1.84523,-0.28,36.2
2021-11-03,63524889.0,1.84523,2.64982,1.81573,2.39903,-0.22,54.92
2021-11-04,28223816.0,2.39603,2.48,1.84383,2.01749,-0.19,48.46
2021-11-05,9991144.0,2.0175,2.01954,1.751,1.78606,-0.19,46.7
2021-11-06,5885347.0,1.78291,1.84628,1.67161,1.74423,-0.19,48.42
2021-11-07,4645063.0,1.74332,1.821,1.699,1.73568,-0.19,50.22
2021-11-08,4920770.0,1.73289,1.77999,1.65857,1.67882,-0.19,46.92
2021-11-09,6474685.0,1.67781,1.75,1.64802,1.69352,-0.19,47.71
2021-11-10,17892798.0,1.69306,1.69999,1.37,1.41498,-0.21,45.11
2021-11-11,13078473.0,1.42021,1.49999,1.37609,1.40702,-0.22,45.44
2021-11-12,8413501.0,1.40841,1.44257,1.26787,1.3271,-0.24,37.71
2021-11-13,19517570.0,1.32921,1.55768,1.3005,1.44683,-0.23,42.74
2021-11-14,6986901.0,1.44689,1.46,1.35,1.40509,-0.23,42.66
2021-11-15,5715685.0,1.40391,1.4059,1.3,1.31724,-0.24,35.83
2021-11-16,13229885.0,1.31847,1.31847,1.13,1.1506,-0.25,33.23
2021-11-17,12466065.0,1.15138,1.24467,1.08328,1.18767,-0.26,11.03
2021-11-18,8377618.0,1.18435,1.239,1.0558,1.08135,-0.27,13.41
2021-11-19,17275133.0,1.08136,1.32,1.0597,1.24985,-0.26,27.96
2021-11-20,13897111.0,1.2485,1.394,1.20318,1.2929,-0.24,31.46
2021-11-21,10644733.0,1.29289,1.37899,1.2,1.22792,-0.23,30.07
2021-11-22,6861165.0,1.22733,1.2367,1.12177,1.13542,-0.23,29.25
2021-11-23,23433190.0,1.13538,1.19666,1.0,1.15431,-0.23,29.48
2021-11-24,20229091.0,1.15549,1.3,1.05,1.1194,-0.22,36.19
2021-11-25,17704997.0,1.12088,1.29,1.08,1.23622,-0.21,42.76
2021-11-26,27561147.0,1.23684,1.40014,1.11838,1.13627,-0.2,42.04
2021-11-27,17556341.0,1.13611,1.28,1.13006,1.17451,-0.19,37.82
2021-11-28,28639589.0,1.17446,1.36999,1.1158,1.21134,-0.18,41.29
2021-11-29,29040619.0,1.21137,1.45,1.19005,1.34552,-0.16,51.22
2021-11-30,15379691.0,1.34515,1.37258,1.195,1.25496,-0.14,54.82
2021-12-01,30668148.0,1.25174,1.48333,1.23803,1.41356,-0.12,59.38
2021-12-02,61619504.0,1.40982,1.65,1.27482,1.28822,-0.11,58.46
2021-12-03,36585055.0,1.2883,1.2999,1.12116,1.16103,-0.11,46.24
2021-12-04,19195614.0,1.15992,1.17022,0.848,0.91322,-0.13,36.31
2021-12-05,17283993.0,0.91242,0.98549,0.8,0.84409,-0.15,36.2
2021-12-06,12587116.0,0.84409,0.84409,0.709,0.81362,-0.16,37.89
2021-12-07,9282748.0,0.813,0.88244,0.78002,0.79539,-0.18,36.49
2021-12-08,20041909.0,0.79306,0.945,0.76397,0.88802,-0.18,41.65
2021-12-09,11996270.0,0.887,0.94262,0.74999,0.76096,-0.18,32.98
2021-12-10,8003572.0,0.76097,0.80008,0.7111,0.71196,-0.19,34.23
2021-12-11,5656208.0,0.7122,0.77099,0.70381,0.74898,-0.19,34.17
2021-12-12,5133844.0,0.74919,0.78957,0.73045,0.75725,-0.19,32.74
2021-12-13,8213934.0,0.75721,0.76127,0.63274,0.63901,-0.2,22.82
2021-12-14,6424066.0,0.6401,0.66099,0.6091,0.63721,-0.2,24.49
2021-12-15,9571983.0,0.63768,0.66898,0.59373,0.6422,-0.2,13.52
2021-12-16,9165768.0,0.64086,0.69874,0.62899,0.64204,-0.2,15.33
2021-12-17,6361563.0,0.64208,0.65417,0.59375,0.6124,-0.19,17.13
2021-12-18,6759476.0,0.6123,0.66111,0.59374,0.64721,-0.19,28.6
2021-12-19,11182326.0,0.64721,0.70904,0.63739,0.653,-0.18,32.88
2021-12-20,6115879.0,0.653,0.68429,0.6,0.61915,-0.17,32.68
2021-12-21,6960885.0,0.61916,0.66934,0.60356,0.64764,-0.17,37.08
2021-12-22,9649307.0,0.64764,0.67974,0.63613,0.64845,-0.16,25.04
2021-12-23,13597244.0,0.64845,0.75,0.64,0.721,-0.14,45.3
2021-12-24,8780314.0,0.7212,0.74753,0.68373,0.68905,-0.13,47.19
2021-12-25,10095671.0,0.68926,0.75,0.68464,0.73657,-0.12,48.52
2021-12-26,21976988.0,0.73829,0.82866,0.7062,0.77684,-0.1,52.17
2021-12-27,10675658.0,0.7743,0.81999,0.73121,0.73834,-0.09,63.38
2021-12-28,10963659.0,0.73834,0.789,0.65,0.65765,-0.09,52.27
2021-12-29,6533114.0,0.65766,0.68188,0.60901,0.61209,-0.09,46.93
2021-12-30,5039496.0,0.61209,0.65302,0.608,0.62381,-0.09,48.18
2021-12-31,6123034.0,0.62382,0.65118,0.6,0.60876,-0.09,49.63
2022-01-01,8628804.0,0.60877,0.6647,0.60834,0.647,-0.08,49.98
2022-01-02,38067080.0,0.647,0.7687,0.63268,0.68177,-0.08,52.77
2022-01-03,12796038.0,0.68177,0.7145,0.61828,0.6345,-0.07,51.44
2022-01-04,9225220.0,0.6345,0.67772,0.62,0.63164,-0.07,48.42
2022-01-05,11292886.0,0.63283,0.667,0.55642,0.57229,-0.07,43.28
2022-01-06,12015653.0,0.57092,0.58142,0.52436,0.54754,-0.08,33.27
2022-01-07,12149857.0,0.54672,0.54735,0.472,0.4789,-0.08,31.07
2022-01-08,7702408.0,0.47807,0.516,0.44695,0.45816,-0.09,23.66
2022-01-09,7871300.0,0.45815,0.49249,0.44569,0.46921,-0.09,19.19
2022-01-10,8576351.0,0.46947,0.4888,0.41057,0.4479,-0.09,19.87
