date,volume,open,high,low,close,MACD,RSI
2023-03-03,276.6537,1550.0,1590.0,1502.02,1541.13,0.0,
2023-03-04,147.1253,1544.57,1552.55,1525.11,1542.1,0.08,
2023-03-05,161.5362,1542.06,1561.24,1531.42,1542.78,0.19,
2023-03-06,185.9011,1542.8,1555.57,1521.89,1539.09,-0.02,
2023-03-07,198.5021,1537.81,1555.7,1510.74,1532.99,-0.66,
2023-03-08,615.7308,1537.99,1543.85,1462.77,1506.53,-3.28,
2023-03-09,368.0479,1504.75,1527.0,1387.85,1415.13,-12.58,
2023-03-10,653.5505,1412.87,1429.98,1339.58,1396.88,-21.17,
2023-03-11,991.6343,1397.84,1444.99,1360.12,1435.2,-24.61,
2023-03-12,515.0609,1435.2,1552.44,1414.25,1548.41,-18.0,
2023-03-13,1360.2665,1548.41,1653.05,1506.35,1630.6,-6.05,
2023-03-14,2164.5336,1630.2,1734.51,1619.31,1665.91,6.19,
2023-03-15,1022.4354,1665.57,1677.8,1572.64,1610.94,11.33,
2023-03-16,639.4714,1608.14,1653.86,1594.54,1640.5,17.59,
2023-03-17,1317.5365,1640.85,1776.29,1629.64,1766.48,32.34,67.97
2023-03-18,1123.7849,1766.27,1815.12,1724.4,1737.87,41.24,64.95
2023-03-19,821.4999,1738.16,1816.06,1732.98,1757.81,49.34,65.95
2023-03-20,1113.28,1758.0,1780.02,1702.95,1711.39,51.42,62.02
2023-03-21,897.0892,1710.13,1811.65,1695.52,1779.12,57.86,65.81
2023-03-22,1288.0216,1779.15,1804.0,1689.37,1716.35,57.25,62.88
2023-03-23,1615.1312,1716.27,1848.0,1709.16,1793.91,62.3,73.65
2023-03-24,1490.0704,1795.6,1812.25,1707.67,1729.46,60.41,69.63
2023-03-25,384.4069,1728.0,1751.0,1694.52,1720.68,57.53,67.46
2023-03-26,393.8052,1720.85,1776.0,1718.51,1752.01,57.13,63.84
2023-03-27,950.3583,1751.82,1758.77,1656.0,1683.61,50.7,53.67
2023-03-28,926.1749,1682.35,1769.55,1650.0,1748.17,50.24,55.48
2023-03-29,902.8018,1748.52,1816.0,1745.02,1771.43,51.16,61.16
2023-03-30,688.1012,1770.23,1806.96,1742.3,1772.08,51.35,59.53
2023-03-31,592.6914,1771.57,1834.0,1760.17,1803.34,53.41,53.09
2023-04-01,595.8733,1803.33,1822.72,1784.0,1801.11,54.23,55.55
2023-04-02,605.1523,1801.17,1820.0,1751.56,1776.08,52.26,51.59
2023-04-03,884.9566,1775.89,1818.9,1745.0,1790.54,51.28,57.3
2023-04-04,1166.6907,1790.67,1865.43,1778.9,1850.34,54.7,56.66
2023-04-05,820.0735,1850.23,1921.15,1845.25,1887.13,59.68,66.79
2023-04-06,876.2061,1886.94,1887.81,1832.32,1851.5,60.07,56.17
2023-04-07,839.6122,1851.89,1862.32,1806.07,1840.74,58.83,63.47
2023-04-08,700.1021,1841.35,1857.44,1815.16,1828.45,56.2,62.94
2023-04-09,678.0086,1828.97,1851.8,1797.93,1838.23,54.29,60.92
2023-04-10,1361.6061,1837.43,1899.0,1817.0,1892.6,56.5,77.44
2023-04-11,1440.0434,1892.6,1919.95,1866.86,1874.99,56.19,68.99
2023-04-12,1662.8055,1874.45,1918.04,1832.49,1901.0,57.38,69.24
2023-04-13,2159.7263,1900.89,2006.87,1882.36,1998.21,65.42,76.1
2023-04-14,2981.1952,1997.5,2112.42,1993.33,2091.29,78.39,79.08
2023-04-15,857.7764,2091.16,2102.0,2053.47,2080.75,86.82,77.78
2023-04-16,886.4042,2079.59,2133.0,2062.88,2112.75,94.99,82.99
2023-04-17,1638.2138,2112.75,2115.42,2052.18,2069.99,96.9,75.94
2023-04-18,1546.6002,2070.0,2122.0,2048.13,2093.23,99.14,74.19
2023-04-19,2339.42,2093.4,2106.0,1916.49,1928.28,86.61,53.26
2023-04-20,1221.4738,1927.49,1975.57,1907.76,1936.94,76.5,57.08
2023-04-21,1735.0706,1937.94,1950.89,1821.36,1844.19,60.3,50.25
2023-04-22,825.9414,1843.06,1882.69,1826.54,1870.81,49.05,53.03
2023-04-23,1043.7132,1870.24,1877.28,1829.73,1858.42,38.69,51.44
2023-04-24,1727.678,1858.64,1885.38,1804.21,1838.43,28.53,45.94
2023-04-25,1113.9358,1838.2,1873.02,1798.65,1863.12,22.22,49.12
2023-04-26,1078.3758,1862.49,1964.93,1786.63,1861.5,16.89,46.96
2023-04-27,846.6236,1860.87,1935.0,1856.22,1904.04,15.92,42.1
2023-04-28,822.8117,1903.63,1919.33,1870.89,1887.78,13.68,30.39
2023-04-29,546.3633,1888.57,1913.26,1880.0,1904.42,13.1,33.21
2023-04-30,582.6393,1903.92,1932.32,1860.78,1863.2,9.2,26.65
2023-05-01,1188.576,1863.91,1887.15,1800.0,1825.61,3.05,26.91
2023-05-02,1035.5726,1824.28,1884.57,1805.0,1863.43,1.21,28.87
2023-05-03,1319.3295,1862.77,1909.99,1834.32,1899.44,2.62,46.52
2023-05-04,5635.8024,1900.5,1912.39,1860.02,1870.64,1.41,42.38
2023-05-05,1664.8818,1870.81,1993.95,1869.71,1987.91,9.79,65.64
2023-05-06,2442.8006,1988.09,2010.69,1859.0,1892.82,8.66,52.08
2023-05-07,1587.2968,1892.46,1928.09,1865.0,1867.31,5.65,50.82
2023-05-08,1324.6085,1866.39,1882.64,1806.0,1843.28,1.3,50.44
2023-05-09,1041.2121,1843.28,1864.0,1820.0,1841.79,-2.24,47.96
2023-05-10,1227.7352,1842.0,1900.0,1788.19,1838.46,-5.25,47.8
2023-05-11,1158.0368,1838.47,1843.0,1763.95,1791.39,-11.3,39.34
2023-05-12,1189.3302,1791.09,1813.38,1738.55,1804.28,-14.89,42.04
2023-05-13,484.3399,1803.76,1813.38,1782.76,1792.19,-18.49,39.21
2023-05-14,469.911,1792.06,1820.56,1786.36,1796.82,-20.74,43.14
2023-05-15,658.4804,1797.25,1857.5,1784.44,1813.59,-20.92,48.7
2023-05-16,604.0542,1813.57,1878.08,1793.1,1822.44,-20.12,45.28
2023-05-17,668.9749,1823.41,1857.5,1775.27,1819.98,-19.46,40.07
2023-05-18,558.6555,1820.44,1832.0,1771.11,1800.39,-20.29,41.02
2023-05-19,399.6892,1800.29,1828.26,1795.74,1811.21,-19.84,18.96
2023-05-20,227.3658,1811.57,1843.0,1804.26,1819.39,-18.61,31.43
2023-05-21,215.6926,1819.22,1827.83,1795.01,1803.96,-18.66,33.12
2023-05-22,390.1405,1804.01,1826.71,1791.82,1816.55,-17.49,42.41
2023-05-23,755.2447,1816.39,1880.0,1810.41,1853.47,-13.42,52.76
2023-05-24,569.3873,1852.95,1855.0,1776.48,1799.71,-14.38,42.61
2023-05-25,564.6794,1799.71,1817.68,1760.21,1805.83,-14.47,53.27
2023-05-26,572.4109,1805.0,1845.0,1796.03,1827.43,-12.65,55.04
2023-05-27,305.8155,1827.5,1835.49,1813.87,1829.8,-10.9,58.54
2023-05-28,591.9336,1828.26,1915.0,1823.86,1908.28,-3.14,68.96
2023-05-29,468.0964,1910.08,1936.04,1875.67,1893.1,1.77,63.6
2023-05-30,516.2327,1892.6,1925.0,1882.45,1899.86,6.13,63.34
2023-05-31,628.2553,1899.05,1905.78,1845.87,1873.44,7.37,58.51
2023-06-01,443.4625,1874.89,1887.64,1839.01,1859.31,7.13,59.54
2023-06-02,540.9949,1859.69,1913.3,1848.28,1905.21,10.52,63.67
2023-06-03,263.3048,1905.14,1906.0,1880.8,1891.41,11.96,60.3
2023-06-04,290.7669,1889.65,1913.44,1883.74,1888.74,12.73,62.59
2023-06-05,1496.704,1886.95,1889.21,1769.02,1802.19,6.29,48.25
2023-06-06,934.1571,1803.22,1904.0,1784.0,1876.95,7.14,52.62
2023-06-07,1008.6485,1877.3,1889.11,1813.93,1823.27,3.44,52.63
2023-06-08,642.5909,1822.63,1848.95,1820.0,1835.26,1.46,53.24
2023-06-09,591.0746,1834.57,1844.87,1817.43,1831.96,-0.38,50.52
2023-06-10,1763.158,1831.94,1837.43,1701.85,1742.94,-8.91,41.69
2023-06-11,1622.5307,1742.19,1765.79,1730.75,1743.93,-15.42,31.54
2023-06-12,1113.4133,1743.91,1748.95,1708.03,1739.18,-20.71,32.3
2023-06-13,603.4783,1739.31,1762.08,1723.7,1736.82,-24.82,31.06
2023-06-14,1025.8684,1736.7,1747.1,1630.0,1648.92,-34.76,27.17
2023-06-15,1393.2649,1648.95,1677.59,1625.0,1663.26,-41.02,30.08
2023-06-16,1045.2565,1663.21,1725.6,1650.15,1714.74,-41.34,30.86
2023-06-17,753.8882,1714.74,1768.0,1711.03,1724.97,-40.31,33.15
2023-06-18,270.718,1725.27,1744.78,1711.9,1718.9,-39.52,32.93
2023-06-19,296.8235,1718.23,1747.77,1697.83,1735.57,-37.13,42.21
2023-06-20,773.9882,1733.77,1791.83,1713.05,1789.66,-30.51,39.27
