date,volume,open,high,low,close,MACD,RSI
2023-11-24,148464853.9,0.4067,0.79,0.4067,0.6484,0.0,
2023-11-25,89503285.6,0.6489,0.6541,0.5722,0.602,-0.0,
2023-11-26,80665340.3,0.6022,0.6274,0.5318,0.5642,-0.01,
2023-11-27,85608967.8,0.5644,0.5671,0.4861,0.518,-0.02,
2023-11-28,95219838.5,0.518,0.546,0.4795,0.5319,-0.02,
2023-11-29,71696537.5,0.5321,0.5601,0.4925,0.5038,-0.03,
2023-11-30,48599090.7,0.5036,0.5113,0.48,0.4929,-0.03,
2023-12-01,61855056.4,0.4929,0.525,0.4858,0.5052,-0.04,
2023-12-02,84525200.4,0.5048,0.588,0.4988,0.555,-0.03,
2023-12-03,77459467.7,0.555,0.589,0.5163,0.5399,-0.03,
2023-12-04,84020451.1,0.5399,0.5736,0.4704,0.5443,-0.03,
2023-12-05,113211465.3,0.5444,0.5745,0.5077,0.5329,-0.03,
2023-12-06,85986405.8,0.5329,0.5534,0.4925,0.4989,-0.03,
2023-12-07,70262794.7,0.4989,0.5091,0.4666,0.5047,-0.03,
2023-12-08,49409666.2,0.5045,0.5127,0.491,0.5115,-0.03,28.8
2023-12-09,52591158.2,0.5117,0.5288,0.495,0.5009,-0.03,32.39
2023-12-10,74953328.8,0.5009,0.5419,0.498,0.53,-0.03,43.86
2023-12-11,68662113.3,0.53,0.5324,0.435,0.4793,-0.03,43.16
2023-12-12,50100220.8,0.4791,0.4893,0.451,0.4629,-0.03,37.91
2023-12-13,56323595.9,0.4629,0.4699,0.4261,0.4633,-0.04,42.14
2023-12-14,47513846.2,0.4632,0.4775,0.4347,0.4731,-0.04,46.14
2023-12-15,34978977.2,0.4731,0.4735,0.4318,0.4337,-0.04,37.4
2023-12-16,35342805.4,0.434,0.4648,0.426,0.448,-0.04,28.44
2023-12-17,48831205.8,0.4478,0.4796,0.435,0.4536,-0.04,31.92
2023-12-18,68360951.6,0.4537,0.4632,0.391,0.4536,-0.04,30.64
2023-12-19,142038562.6,0.4535,0.5442,0.4458,0.5166,-0.03,47.15
2023-12-20,89167015.0,0.5166,0.5495,0.4895,0.5228,-0.03,54.63
2023-12-21,63189139.1,0.5227,0.5515,0.5075,0.5145,-0.02,51.88
2023-12-22,69632108.9,0.5147,0.5464,0.4863,0.5201,-0.02,51.66
2023-12-23,67187447.1,0.5203,0.5517,0.5131,0.5332,-0.01,56.17
2023-12-24,31109109.9,0.533,0.5361,0.494,0.5207,-0.01,48.1
2023-12-25,31002231.0,0.5208,0.5378,0.5064,0.5305,-0.01,62.52
2023-12-26,66331355.4,0.5302,0.5565,0.4406,0.5174,-0.01,63.55
2023-12-27,26148919.9,0.5174,0.5202,0.4883,0.5042,-0.01,59.56
2023-12-28,38557227.9,0.504,0.5164,0.4757,0.482,-0.01,51.97
2023-12-29,34990163.8,0.482,0.4978,0.4621,0.4857,-0.01,63.64
2023-12-30,14311892.1,0.4857,0.49,0.4631,0.4774,-0.01,57.96
2023-12-31,16640483.2,0.4774,0.4841,0.4478,0.4633,-0.01,52.51
2024-01-01,15622897.7,0.4633,0.4913,0.458,0.4904,-0.01,58.36
2024-01-02,50239563.3,0.4902,0.533,0.4825,0.497,-0.01,44.02
2024-01-03,173445273.2,0.497,0.5856,0.428,0.5251,-0.01,50.62
2024-01-04,88311923.4,0.5252,0.5463,0.495,0.5274,-0.0,53.59
2024-01-05,48788694.1,0.5276,0.5298,0.4652,0.4931,-0.0,43.52
2024-01-06,32311888.8,0.4931,0.4933,0.4388,0.461,-0.01,34.12
2024-01-07,29768400.0,0.4609,0.4747,0.4248,0.4317,-0.01,31.78
2024-01-08,49836462.3,0.4317,0.4636,0.3852,0.4587,-0.01,36.27
2024-01-09,51389929.4,0.4586,0.48,0.4268,0.467,-0.01,40.18
2024-01-10,110160484.0,0.4672,0.55,0.4484,0.5256,-0.01,53.54
2024-01-11,114013753.2,0.5259,0.5977,0.5186,0.5619,-0.0,62.64
2024-01-12,174717646.0,0.5619,0.6529,0.545,0.5907,0.01,65.39
2024-01-13,125572927.5,0.5906,0.6377,0.5425,0.602,0.01,68.1
2024-01-14,77540477.5,0.6018,0.6151,0.5446,0.5481,0.01,61.04
