date,volume,open,high,low,close,MACD,RSI
2017-11-06,120615.34,1.5,1.799,0.5,1.571,0.0,
2017-11-07,134129.73,1.571,1.8,1.5389,1.8,0.02,
2017-11-08,347290.26,1.7901,1.99,1.7479,1.9889,0.05,
2017-11-09,287037.2,1.9781,2.1997,1.9,1.99,0.07,
2017-11-10,484658.9,1.99,2.02,1.6019,1.7133,0.06,
2017-11-11,258838.37,1.79,1.925,1.58,1.655,0.05,
2017-11-12,457159.72,1.6567,1.7,1.34,1.49,0.03,
2017-11-13,166770.73,1.5,1.7381,1.5,1.68,0.03,
2017-11-14,177246.45,1.6801,1.7381,1.5321,1.5911,0.02,
2017-11-15,297638.34,1.5721,1.6794,1.49,1.5532,0.01,
2017-11-16,198029.66,1.5533,1.6699,1.511,1.5599,0.0,
2017-11-17,419446.58,1.5599,1.5765,1.49,1.5041,-0.01,
2017-11-18,172099.86,1.5041,1.6699,1.492,1.6699,-0.0,
2017-11-19,179701.62,1.6524,1.6948,1.575,1.6,-0.0,
2017-11-20,159737.16,1.6,1.6522,1.5605,1.64,-0.0,52.19
2017-11-21,413447.37,1.6257,1.6419,1.54,1.5874,-0.0,42.39
2017-11-22,196457.62,1.5728,1.6211,1.5556,1.6158,-0.0,34.92
2017-11-23,184458.49,1.6,1.618,1.5388,1.57,-0.01,33.62
2017-11-24,644218.58,1.5644,1.8187,1.54,1.7292,0.0,50.68
2017-11-25,475443.08,1.712,1.9588,1.68,1.87,0.02,58.62
2017-11-26,193666.26,1.85,1.91,1.76,1.8388,0.04,65.67
2017-11-27,480695.73,1.8388,1.9532,1.74,1.9532,0.05,63.17
2017-11-28,359515.94,1.945,1.9532,1.801,1.9249,0.06,67.09
2017-11-29,935739.25,1.9248,2.0486,1.55,1.7565,0.06,59.18
2017-11-30,748118.06,1.7641,2.038,1.71,1.95,0.07,65.07
2017-12-01,321456.28,1.95,2.1385,1.8801,2.0527,0.09,70.45
2017-12-02,241150.68,2.0526,2.1199,1.975,2.0797,0.1,67.04
2017-12-03,346006.6,2.0797,2.4,2.0438,2.2617,0.12,75.17
2017-12-04,384958.49,2.2617,2.5898,2.2617,2.55,0.16,79.12
2017-12-05,428655.47,2.5305,2.75,2.5,2.612,0.2,82.59
2017-12-06,379335.63,2.6,2.8,2.3272,2.5134,0.22,77.33
2017-12-07,533510.45,2.5393,2.84,2.4001,2.6625,0.24,81.29
2017-12-08,649804.35,2.6489,2.8,2.206,2.79,0.26,80.95
2017-12-09,477826.16,2.789,2.81,2.1777,2.65,0.27,72.77
2017-12-10,562267.17,2.65,2.6648,2.1315,2.4619,0.26,66.66
2017-12-11,381605.55,2.4616,2.78,2.4505,2.687,0.26,68.52
2017-12-12,541865.92,2.687,2.7397,2.4545,2.5547,0.25,65.11
2017-12-13,702146.43,2.5547,2.74,2.265,2.719,0.25,73.13
2017-12-14,998488.09,2.7194,3.1521,2.6981,3.1519,0.29,75.9
2017-12-15,919574.18,3.1518,4.399,2.99,4.12,0.39,82.45
2017-12-16,775606.79,4.16,4.7201,3.8172,4.6378,0.5,84.79
2017-12-17,1555662.04,4.63,6.7,4.596,5.999,0.69,88.49
2017-12-18,1430171.07,5.999,6.1,4.75,6.0,0.84,87.76
2017-12-19,1784870.53,5.98,6.463,5.2725,5.6999,0.92,82.12
2017-12-20,1397302.05,5.69,5.7,4.68,5.1502,0.93,75.08
2017-12-21,996548.76,5.1819,5.6899,4.42,5.1596,0.92,74.4
2017-12-22,1599471.66,5.1596,5.1996,3.25,4.2912,0.84,62.81
2017-12-23,964500.62,4.2912,4.998,4.17,4.4,0.77,65.02
2017-12-24,1047106.95,4.4,5.2,3.8,5.181,0.77,71.18
2017-12-25,1480881.6,5.1899,6.88,5.029,6.4631,0.87,75.25
2017-12-26,3081660.72,6.4631,10.793,6.35,9.254,1.16,83.05
2017-12-27,2851073.22,9.2861,11.3,8.2605,10.0731,1.43,84.08
2017-12-28,2593236.47,10.07,10.25,7.8,9.25,1.57,77.27
2017-12-29,1401565.33,9.28,9.802,8.39,8.7094,1.61,71.34
2017-12-30,1648305.01,8.6808,8.7094,6.9301,7.5947,1.54,63.03
2017-12-31,1289214.15,7.5783,8.798,7.5175,8.53,1.54,61.58
2018-01-01,654338.84,8.5478,8.7,7.8,8.45,1.52,61.13
2018-01-02,1262633.42,8.45,9.1133,8.0922,8.715,1.5,63.74
2018-01-03,947392.65,8.7151,9.4697,8.2653,9.304,1.52,68.87
2018-01-04,964494.94,9.304,9.6511,8.5595,9.143,1.51,67.85
2018-01-05,2764977.04,9.135,16.8172,8.9651,14.8908,1.94,83.04
2018-01-06,3130487.22,14.8908,23.6,14.6999,22.6,2.86,88.5
2018-01-07,1543764.49,22.6,22.6599,18.05,18.594,3.24,74.96
2018-01-08,2112065.22,18.5375,19.2999,14.0018,17.9971,3.45,72.03
2018-01-09,1309277.95,18.04,20.6114,16.435,17.399,3.53,66.98
2018-01-10,1172651.15,17.3992,17.5554,14.6004,17.5,3.56,65.96
2018-01-11,3542366.83,17.5,23.1079,13.66,21.2024,3.83,72.86
2018-01-12,2902338.37,21.1022,25.18,19.1,22.1999,4.09,75.35
2018-01-13,1080455.71,22.1999,23.4998,21.04,22.0246,4.22,78.11
2018-01-14,1384083.33,22.0252,22.1,18.21,20.4541,4.16,72.67
2018-01-15,2288556.77,20.4546,23.231,19.0113,19.3396,3.97,69.92
2018-01-16,9933431.45,19.4376,19.4475,9.89,13.1996,3.29,56.75
2018-01-17,9971697.17,13.0262,15.7,9.4001,14.1998,2.8,57.28
2018-01-18,6699252.37,14.1191,15.9,13.0203,14.1397,2.37,57.45
2018-01-19,3004070.17,14.0405,15.4799,13.501,14.9447,2.08,50.09
2018-01-20,2617140.33,14.9447,16.68,14.8249,16.1712,1.92,35.45
2018-01-21,3318363.34,16.1602,16.26,13.0339,14.1334,1.62,38.92
2018-01-22,2873190.83,14.1334,14.4978,11.6101,12.91,1.26,37.74
2018-01-23,2335831.96,12.9149,13.9,11.637,13.1022,0.98,39.44
2018-01-24,1947186.76,13.1494,14.3,12.6,13.8,0.81,41.17
2018-01-25,1427643.05,13.7998,14.1516,13.01,13.1905,0.62,27.56
2018-01-26,1788845.56,13.1905,13.5989,12.01,13.1344,0.45,23.19
2018-01-27,992878.39,13.169,13.551,12.85,13.3994,0.34,24.63
2018-01-28,1377401.9,13.3991,14.0235,13.3,13.7739,0.28,28.86
2018-01-29,857953.21,13.7739,13.87,12.739,12.815,0.15,29.15
2018-01-30,1322539.56,12.8295,12.98,11.11,11.4749,-0.06,42.05
2018-01-31,947115.48,11.46,11.5483,10.553,11.3131,-0.23,35.58
2018-02-01,2169016.01,11.3131,11.45,8.63,9.5138,-0.51,30.31
2018-02-02,4023356.31,9.5138,10.749,7.3,9.7484,-0.71,26.76
2018-02-03,2348921.72,9.7485,10.354,8.5818,9.7252,-0.85,17.69
2018-02-04,2015678.77,9.7497,9.7527,8.012,8.3511,-1.07,18.95
2018-02-05,3127797.46,8.4003,8.6005,6.0801,6.7315,-1.35,18.17
2018-02-06,6158895.87,6.7216,8.6,5.5233,8.263,-1.44,28.1
2018-02-07,4409292.58,8.2502,9.236,7.28,8.0647,-1.5,22.81
2018-02-08,91986.49,8.0979,8.3887,8.0012,8.2791,-1.52,25.81
2018-02-09,2406640.35,8.2791,10.0,8.279,9.86,-1.39,35.98
2018-02-10,3349144.7,9.86,10.4444,8.767,9.2448,-1.32,32.73
2018-02-11,3021732.48,9.2501,9.5,8.02,8.674,-1.3,29.14
2018-02-12,1912462.38,8.6739,9.4348,8.659,9.3389,-1.21,35.43
2018-02-13,1365850.96,9.339,9.36,8.7306,9.016,-1.16,38.73
2018-02-14,2568177.67,9.0001,10.65,8.953,10.4096,-0.99,46.28
2018-02-15,4236021.22,10.4063,11.29,9.9784,10.8661,-0.81,56.26
2018-02-16,1968986.94,10.8784,11.25,10.3,11.25,-0.63,56.86
2018-02-17,2278513.2,11.2054,11.8461,10.85,11.66,-0.45,58.53
2018-02-18,2183910.15,11.6827,11.6827,10.5819,10.6631,-0.38,60.55
2018-02-19,1336755.03,10.6631,11.1899,10.5398,11.0601,-0.29,72.23
2018-02-20,2357501.48,11.0699,11.2,9.68,9.8888,-0.31,58.67
2018-02-21,2277445.93,9.8888,10.2252,9.045,9.3799,-0.37,56.79
2018-02-22,1792778.94,9.395,9.8129,8.6203,8.86,-0.45,52.91
2018-02-23,1621549.49,8.8474,9.7301,8.6,9.693,-0.44,49.1
2018-02-24,1356848.25,9.7,9.8379,8.6902,9.0873,-0.47,49.15
2018-02-25,888973.06,9.1161,9.47,8.9,9.35,-0.47,53.79
2018-02-26,1266163.05,9.3677,10.0999,9.09,9.9199,-0.42,53.29
2018-02-27,2377225.58,9.9199,11.1111,9.7713,10.56,-0.33,58.44
2018-02-28,1610363.07,10.56,11.1743,10.3295,10.4536,-0.26,50.28
2018-03-01,1224834.48,10.4641,10.68,10.3245,10.4768,-0.2,47.38
2018-03-02,710198.47,10.4715,10.585,10.1136,10.2348,-0.17,43.03
2018-03-03,636280.81,10.2347,10.4694,10.1171,10.2399,-0.15,39.68
2018-03-04,591499.65,10.2399,10.4239,9.8501,10.4139,-0.11,47.94
2018-03-05,467389.77,10.4139,10.4533,10.0847,10.0847,-0.11,41.86
2018-03-06,939994.7,10.084,10.134,9.1025,9.3899,-0.16,45.48
2018-03-07,2930631.06,9.3899,10.2114,8.11,9.0405,-0.23,46.83
2018-03-08,1878677.62,9.0446,9.1921,8.0211,8.2703,-0.34,44.74
