date,volume,open,high,low,close,MACD,RSI
2020-03-11,6360.0282,146.82,580.0,146.82,156.65,0.0,
2020-03-12,11423.11253,155.24,368.36,155.14,356.12,15.91,
2020-03-13,19433.06918,359.18,730.61,165.0,184.62,14.52,
2020-03-14,8410.91388,186.73,242.85,166.66,228.7,16.77,
2020-03-15,10790.98942,228.7,237.97,155.0,203.53,16.34,
2020-03-16,16063.9298,204.83,324.46,202.73,260.82,20.39,
2020-03-17,19166.39355,260.82,265.85,174.02,188.57,17.57,
2020-03-18,22626.56759,188.89,219.78,178.02,183.0,14.71,
2020-03-19,50175.27696,182.93,189.5,86.7,96.28,5.38,
2020-03-20,97132.9918,95.94,122.87,67.66,96.6,-1.96,
2020-03-21,44350.74678,96.42,112.15,83.0,91.41,-8.1,
2020-03-22,33311.94121,90.81,115.95,82.33,113.26,-11.08,
2020-03-23,42825.23483,113.25,120.0,73.87,80.86,-15.87,
2020-03-24,36725.86975,81.25,86.69,72.0,75.22,-19.89,
2020-03-25,26512.72384,75.24,82.29,69.44,76.73,-22.7,44.52
2020-03-26,24488.2506,76.53,78.78,58.42,59.25,-26.03,22.86
2020-03-27,48962.36127,59.27,73.6,57.0,70.65,-27.44,35.27
2020-03-28,33063.40439,70.77,81.34,67.91,71.16,-28.19,27.06
2020-03-29,14045.64499,71.07,86.52,70.57,85.98,-27.27,32.35
2020-03-30,40955.31637,86.05,87.96,60.78,65.22,-27.89,17.01
2020-03-31,12353.24804,65.22,65.22,55.74,58.61,-28.6,21.84
