date,volume,open,high,low,close,MACD,RSI
2020-08-06,1992.13,10.0,10.25,9.63,10.08,0.0,
2020-08-07,8188.03,10.02,11.89,9.84,10.7,0.05,
2020-08-08,1911.95,10.93,11.12,9.66,9.82,0.02,
2020-08-09,896.5,9.82,10.85,9.7,10.24,0.03,
2020-08-10,4980.84,10.24,10.53,9.8,9.93,0.01,
2020-08-11,13207.64,9.88,12.52,9.88,11.86,0.15,
2020-08-12,8180.63,11.91,12.6,10.76,11.34,0.21,
2020-08-13,3915.42,11.41,12.574,10.806,10.917,0.23,
2020-08-14,11796.81,11.095,11.643,8.97,9.221,0.1,
2020-08-15,16010.32,9.111,9.5,8.463,9.381,0.02,
2020-08-16,13330.4,9.538,9.638,8.62,8.989,-0.08,
2020-08-17,16773.54,8.898,9.34,8.378,8.743,-0.18,
2020-08-18,8064.12,8.702,10.0,8.657,9.346,-0.21,
2020-08-19,3038.95,9.28,10.595,9.138,10.122,-0.16,
2020-08-20,2483.57,10.107,10.328,9.3,9.362,-0.19,46.31
2020-08-21,4502.53,9.508,10.828,9.323,10.614,-0.1,49.59
2020-08-22,5659.37,10.741,11.333,10.311,10.451,-0.05,53.27
2020-08-23,1801.14,10.478,11.076,10.443,10.864,0.03,53.24
2020-08-24,2832.55,10.7,10.7,9.727,10.079,0.02,50.74
2020-08-25,5173.76,10.08,11.62,10.067,11.2,0.11,46.46
2020-08-26,2079.66,11.309,11.31,10.198,10.487,0.12,45.51
2020-08-27,6162.9,10.439,10.75,9.509,9.509,0.04,43.0
2020-08-28,6313.67,9.547,10.042,9.15,9.745,0.01,53.05
2020-08-29,2918.99,9.767,9.9,9.232,9.816,-0.02,52.56
2020-08-30,4590.98,9.675,9.784,8.95,9.185,-0.09,51.12
2020-08-31,7192.34,9.03,9.767,8.843,9.669,-0.1,55.15
2020-09-01,10050.25,9.713,9.958,7.287,7.989,-0.25,43.26
2020-09-02,45628.74,7.889,9.27,7.2,8.0,-0.35,38.59
2020-09-03,61368.47,8.114,12.492,7.476,11.849,-0.13,60.04
2020-09-04,65836.72,11.962,13.016,9.618,10.61,-0.05,49.98
2020-09-05,28817.94,10.417,14.5,10.126,11.744,0.1,54.84
2020-09-06,183966.59,12.152,13.306,7.15,7.348,-0.13,39.85
2020-09-07,291019.49,7.304,9.828,7.05,7.46,-0.3,42.14
2020-09-08,236813.49,7.458,8.128,6.649,6.811,-0.48,36.44
2020-09-09,291397.24,6.81,7.22,6.05,6.111,-0.68,36.47
2020-09-10,289646.22,6.112,7.347,5.47,5.947,-0.83,38.4
2020-09-11,303408.95,5.943,6.617,5.0,5.154,-1.01,35.57
2020-09-12,958915.11,5.124,5.124,3.88,3.92,-1.24,32.74
2020-09-13,3064501.62,3.917,4.008,2.75,2.788,-1.49,31.8
2020-09-14,5153025.66,2.788,3.195,2.374,2.66,-1.68,29.65
2020-09-15,3248739.92,2.655,3.45,2.65,3.379,-1.75,35.82
2020-09-16,1594502.62,3.379,3.899,2.959,3.112,-1.81,35.2
2020-09-17,565368.75,3.12,3.489,2.888,3.269,-1.82,16.55
2020-09-18,3175068.35,3.269,3.288,2.646,2.844,-1.85,17.67
2020-09-19,291932.91,2.875,3.056,2.77,2.966,-1.83,10.09
2020-09-20,1245789.65,2.972,3.435,2.91,3.03,-1.8,17.61
2020-09-21,4264464.59,3.02,4.176,2.937,3.844,-1.69,25.46
2020-09-22,2463348.63,3.804,3.95,3.116,3.214,-1.63,25.53
2020-09-23,639149.24,3.219,3.915,3.152,3.765,-1.52,33.71
2020-09-24,532076.74,3.765,3.858,3.076,3.101,-1.47,31.52
2020-09-25,360505.34,3.101,3.376,2.93,3.076,-1.42,35.01
2020-09-26,644883.44,3.062,3.151,2.509,2.586,-1.4,39.22
2020-09-27,954007.36,2.596,2.7,2.418,2.53,-1.37,47.48
2020-09-28,1142822.94,2.525,2.618,2.2,2.316,-1.35,46.69
2020-09-29,1283586.56,2.317,2.339,1.954,1.971,-1.35,35.41
2020-09-30,1259562.92,1.97,2.125,1.856,1.889,-1.34,36.82
2020-10-01,1458748.39,1.889,2.294,1.87,2.095,-1.3,37.48
2020-10-02,1378628.51,2.106,2.37,1.994,2.126,-1.25,41.64
2020-10-03,601969.83,2.111,2.157,1.95,1.967,-1.21,38.47
2020-10-04,1013432.42,1.964,1.999,1.81,1.829,-1.18,36.37
2020-10-05,738369.04,1.834,1.919,1.796,1.843,-1.14,22.25
2020-10-06,1002822.3,1.84,1.986,1.814,1.932,-1.08,29.08
2020-10-07,598047.32,1.931,2.038,1.917,1.938,-1.03,13.74
2020-10-08,688630.41,1.941,2.086,1.901,1.92,-0.98,18.47
2020-10-09,422476.92,1.924,1.954,1.8,1.819,-0.93,17.75
2020-10-10,247649.15,1.82,1.856,1.682,1.816,-0.89,23.67
2020-10-11,255178.45,1.819,1.883,1.755,1.785,-0.85,24.08
2020-10-12,1512918.21,1.789,1.794,1.41,1.457,-0.83,22.31
2020-10-13,1532711.63,1.465,1.504,1.336,1.434,-0.81,28.15
2020-10-14,621015.4,1.432,1.46,1.36,1.411,-0.78,29.57
2020-10-15,696638.67,1.411,1.458,1.314,1.344,-0.76,13.58
2020-10-16,1515178.81,1.343,1.518,1.287,1.486,-0.72,21.98
2020-10-17,692459.21,1.478,1.515,1.426,1.451,-0.69,24.66
2020-10-18,352447.06,1.455,1.461,1.387,1.416,-0.66,27.43
2020-10-19,780336.63,1.416,1.505,1.415,1.477,-0.62,30.98
2020-10-20,723318.82,1.48,1.674,1.465,1.633,-0.57,35.47
2020-10-21,362571.37,1.646,1.651,1.404,1.497,-0.54,30.97
2020-10-22,417460.44,1.495,1.495,1.293,1.352,-0.51,27.92
2020-10-23,173700.92,1.354,1.423,1.303,1.358,-0.49,30.65
2020-10-24,78426.96,1.355,1.38,1.337,1.369,-0.47,31.36
2020-10-25,130432.56,1.364,1.436,1.324,1.413,-0.44,34.65
2020-10-26,336106.47,1.424,1.429,1.29,1.32,-0.42,42.99
2020-10-27,560259.86,1.324,1.333,1.167,1.27,-0.4,41.83
2020-10-28,347945.59,1.274,1.44,1.229,1.388,-0.38,48.95
2020-10-29,516522.16,1.391,1.473,1.379,1.44,-0.35,54.43
2020-10-30,704053.26,1.442,1.687,1.393,1.567,-0.31,53.79
2020-10-31,134797.46,1.57,1.62,1.526,1.575,-0.28,55.95
2020-11-01,197902.19,1.586,1.628,1.551,1.57,-0.25,57.61
2020-11-02,250072.3,1.568,1.662,1.498,1.65,-0.22,58.39
2020-11-03,230176.5,1.65,1.886,1.648,1.763,-0.18,56.58
2020-11-04,385823.86,1.765,1.875,1.731,1.747,-0.15,64.4
2020-11-05,309875.45,1.745,1.775,1.601,1.637,-0.14,67.11
2020-11-06,203879.15,1.642,1.643,1.382,1.455,-0.14,54.81
