date,volume,open,high,low,close,MACD,RSI
2020-08-06,15787.22,10.0,10.46,9.72,9.85,0.0,
2020-08-07,59477.68,9.92,10.19,8.14,9.37,-0.04,
2020-08-08,15914.52,9.39,10.08,8.91,10.03,-0.02,
2020-08-09,16278.3,9.9,10.04,9.13,9.49,-0.04,
2020-08-10,31103.0,9.62,9.97,9.36,9.8,-0.03,
2020-08-11,23193.99,9.92,10.01,8.13,8.58,-0.13,
2020-08-12,60282.52,8.54,9.39,7.89,8.91,-0.17,
2020-08-13,40026.45,8.91,9.254,8.085,9.175,-0.18,
2020-08-14,66555.18,9.238,10.759,8.667,10.5,-0.08,
2020-08-15,38451.66,10.507,11.271,10.054,10.347,-0.02,
2020-08-16,24003.21,10.386,11.187,10.0,10.773,0.07,
2020-08-17,34830.85,10.954,11.488,10.25,10.799,0.14,
2020-08-18,36134.19,10.939,11.117,9.64,10.433,0.16,
2020-08-19,17103.57,10.47,10.538,8.85,9.384,0.09,
2020-08-20,11686.29,9.586,10.479,9.152,10.25,0.11,52.5
2020-08-21,29572.13,10.326,10.431,8.625,9.034,0.02,48.08
2020-08-22,12922.91,8.884,9.138,8.168,8.946,-0.06,43.37
2020-08-23,8304.53,9.069,9.07,8.474,8.662,-0.14,44.78
2020-08-24,20009.69,8.612,9.843,8.55,9.45,-0.13,47.92
2020-08-25,27812.86,9.345,9.389,7.658,8.172,-0.23,47.59
2020-08-26,9798.05,8.076,9.366,8.06,9.046,-0.24,50.76
2020-08-27,14371.74,9.105,9.951,8.492,9.723,-0.19,52.91
2020-08-28,13550.41,9.786,10.22,9.223,9.748,-0.14,45.37
2020-08-29,10587.36,9.702,10.141,9.35,9.516,-0.12,44.93
2020-08-30,13005.03,9.527,10.433,9.468,10.169,-0.06,46.41
2020-08-31,4668.12,10.162,10.5,9.6,9.775,-0.03,44.18
2020-09-01,38514.74,9.518,11.99,9.45,11.075,0.09,53.3
2020-09-02,58097.2,11.217,12.137,9.8,11.153,0.19,60.11
2020-09-03,186532.4,11.15,11.914,6.584,6.991,-0.07,36.48
2020-09-04,295049.96,6.943,7.952,6.011,7.393,-0.23,42.7
