date,volume,open,high,low,close,MACD,RSI
2020-02-06,224715.35,0.2836,1.0,0.2836,0.2954,0.0,
2020-02-07,223661.11,0.2932,0.315,0.2896,0.3144,0.0,
2020-02-08,237181.78,0.3105,0.3245,0.3011,0.3082,0.0,
2020-02-09,155201.54,0.3076,0.324,0.307,0.316,0.0,
2020-02-10,148268.09,0.3196,0.3212,0.3003,0.3172,0.0,
2020-02-11,65261.01,0.3124,0.3314,0.3105,0.3256,0.01,
2020-02-12,188688.04,0.3297,0.37,0.3257,0.3538,0.01,
2020-02-13,232040.22,0.3532,0.3616,0.3223,0.3487,0.01,
2020-02-14,104543.94,0.3458,0.3636,0.3373,0.3542,0.01,
2020-02-15,203745.41,0.3528,0.3642,0.3213,0.3222,0.01,
2020-02-16,152074.92,0.3223,0.3353,0.2872,0.3162,0.01,
2020-02-17,90758.88,0.3174,0.3228,0.2893,0.3193,0.01,
2020-02-18,147016.92,0.3174,0.3618,0.3137,0.3415,0.01,
2020-02-19,195190.69,0.3415,0.373,0.3039,0.32,0.01,
2020-02-20,80189.68,0.324,0.3373,0.3147,0.3313,0.01,60.11
2020-02-21,76529.13,0.3312,0.351,0.3291,0.335,0.01,56.35
2020-02-22,43169.13,0.335,0.3354,0.3243,0.3292,0.01,56.49
2020-02-23,51632.85,0.3312,0.3498,0.3298,0.3449,0.01,58.52
2020-02-24,43463.15,0.3435,0.3475,0.3182,0.3312,0.01,53.84
2020-02-25,28808.67,0.3296,0.3296,0.2995,0.3021,0.01,44.21
2020-02-26,98737.51,0.3034,0.3105,0.2592,0.2746,0.0,30.42
2020-02-27,54730.0,0.2733,0.2883,0.2568,0.2795,-0.0,32.87
2020-02-28,82148.57,0.2801,0.2916,0.2604,0.2758,-0.0,30.42
2020-02-29,78891.34,0.2775,0.2859,0.265,0.265,-0.01,34.02
2020-03-01,60915.33,0.2675,0.2795,0.2605,0.2691,-0.01,36.7
2020-03-02,34163.79,0.266,0.2855,0.266,0.2852,-0.01,41.03
2020-03-03,25917.44,0.2809,0.2855,0.2709,0.2769,-0.01,31.67
2020-03-04,66827.4,0.2743,0.2866,0.2711,0.2775,-0.01,36.32
2020-03-05,145056.23,0.2775,0.2955,0.276,0.2928,-0.01,37.92
2020-03-06,114156.84,0.29,0.2998,0.2883,0.2988,-0.01,38.8
2020-03-07,243325.09,0.2991,0.3049,0.2851,0.287,-0.01,37.41
2020-03-08,180627.73,0.2867,0.2867,0.2418,0.2478,-0.01,24.59
2020-03-09,48336.35,0.2472,0.2532,0.231,0.2414,-0.01,25.57
2020-03-10,51084.91,0.2434,0.252,0.2392,0.2465,-0.01,32.6
2020-03-11,50817.55,0.2438,0.2473,0.223,0.2419,-0.02,38.06
2020-03-12,269340.99,0.2418,0.2426,0.1279,0.1329,-0.03,19.59
2020-03-13,460356.76,0.1362,0.1716,0.113,0.1581,-0.03,27.58
2020-03-14,33796.48,0.1602,0.1634,0.15,0.152,-0.04,28.08
2020-03-15,84618.3,0.1514,0.1648,0.1503,0.1544,-0.04,27.61
2020-03-16,133165.75,0.1535,0.1543,0.1268,0.1389,-0.04,21.37
2020-03-17,320715.51,0.1374,0.1648,0.1374,0.1479,-0.04,24.82
2020-03-18,120145.49,0.1479,0.1525,0.1388,0.1513,-0.04,25.64
2020-03-19,234392.59,0.1523,0.1824,0.1503,0.1756,-0.04,28.13
2020-03-20,399686.02,0.177,0.2,0.1482,0.1686,-0.04,25.8
2020-03-21,147422.28,0.1662,0.1756,0.1587,0.1701,-0.04,27.41
2020-03-22,151116.15,0.1688,0.207,0.1567,0.1567,-0.04,30.44
2020-03-23,154682.61,0.1567,0.176,0.155,0.1721,-0.03,35.68
2020-03-24,130695.92,0.1721,0.182,0.1671,0.1775,-0.03,35.76
2020-03-25,44013.67,0.1766,0.183,0.1687,0.174,-0.03,35.92
2020-03-26,166524.72,0.1745,0.1808,0.1714,0.1793,-0.03,66.89
2020-03-27,204666.26,0.1793,0.1889,0.1689,0.1731,-0.02,56.33
2020-03-28,143321.2,0.17,0.1721,0.1613,0.1695,-0.02,57.55
2020-03-29,53453.73,0.1695,0.1702,0.1602,0.1608,-0.02,52.62
2020-03-30,63157.58,0.1632,0.1752,0.1616,0.1725,-0.02,64.19
2020-03-31,56302.42,0.1719,0.175,0.1694,0.1725,-0.02,61.24
