date,volume,open,high,low,close,MACD,RSI
2021-11-04,436524.832,109.7,230.0,109.7,131.4,0.0,
2021-11-05,97015.24,131.6,131.7,107.3,114.1,-1.38,
2021-11-06,210743.38,114.2,155.0,111.6,136.0,-0.7,
2021-11-07,154971.299,136.0,159.8,131.2,148.5,0.84,
2021-11-08,55143.17,148.5,160.0,143.9,144.6,1.73,
2021-11-09,34617.648,144.8,149.4,137.2,144.5,2.39,
2021-11-10,69838.107,144.9,173.3,143.0,164.6,4.49,
2021-11-11,58954.028,164.3,178.7,158.6,166.1,6.2,
2021-11-12,26294.05,166.1,171.0,159.5,167.2,7.56,
2021-11-13,77596.256,167.5,199.0,166.5,194.4,10.71,
2021-11-14,85602.475,194.3,227.0,186.2,200.0,13.5,
2021-11-15,53711.716,199.6,212.5,177.5,184.2,14.27,
2021-11-16,52462.739,184.2,186.7,168.4,178.5,14.26,
2021-11-17,39985.1,178.4,195.0,173.9,190.2,15.02,
2021-11-18,46548.879,189.9,205.0,170.3,170.8,13.9,62.03
2021-11-19,27415.053,170.8,185.0,168.9,181.1,13.68,71.36
2021-11-20,29492.899,181.1,195.0,178.3,188.7,13.96,68.49
2021-11-21,35878.603,188.7,193.5,179.6,180.7,13.39,61.67
2021-11-22,25024.878,180.4,187.6,169.1,181.6,12.85,63.7
2021-11-23,42646.696,181.6,201.9,181.6,190.7,13.02,66.04
2021-11-24,25986.452,190.7,199.7,188.4,193.1,13.19,61.28
2021-11-25,23963.641,192.9,195.5,181.0,187.3,12.71,58.12
2021-11-26,62606.593,187.1,187.6,149.0,164.3,10.35,49.05
2021-11-27,50370.034,164.9,171.9,134.1,138.8,6.35,31.56
2021-11-28,62405.399,138.8,155.5,124.7,153.6,4.33,35.5
2021-11-29,37933.76,153.1,156.4,132.0,134.6,1.18,34.8
2021-11-30,75846.111,134.7,137.7,123.0,125.6,-2.02,34.11
2021-12-01,61551.146,125.6,140.8,123.0,126.6,-4.43,29.59
2021-12-02,97742.944,126.5,126.8,107.8,117.0,-7.02,31.58
2021-12-03,81172.444,117.0,124.2,98.6,99.4,-10.38,23.35
2021-12-04,77358.284,99.2,100.0,68.0,91.3,-13.54,18.34
2021-12-05,73201.012,91.2,106.5,81.4,82.4,-16.58,18.23
2021-12-06,113894.338,82.4,82.4,66.3,74.1,-19.43,16.84
2021-12-07,68645.935,74.1,79.7,70.0,70.4,-21.73,11.61
2021-12-08,172544.389,70.5,70.6,58.0,66.3,-23.62,9.97
2021-12-09,99582.89,66.4,72.7,62.5,64.4,-24.98,10.23
2021-12-10,233876.889,64.4,81.3,60.9,64.6,-25.74,12.15
2021-12-11,522652.286,64.7,98.0,63.4,86.8,-24.28,29.75
2021-12-12,134141.363,86.9,94.8,81.2,82.9,-23.16,19.91
2021-12-13,378935.877,83.0,109.7,82.0,95.5,-21.02,32.4
2021-12-14,304965.562,95.3,109.2,79.9,84.1,-20.01,31.72
2021-12-15,170511.035,84.1,95.2,80.4,87.8,-18.7,33.3
2021-12-16,62233.608,87.8,89.6,81.7,82.1,-17.91,34.46
2021-12-17,86844.831,82.1,82.3,67.9,72.2,-17.88,37.0
2021-12-18,44718.202,72.2,74.1,68.2,70.3,-17.81,39.33
2021-12-19,102768.615,70.3,84.7,69.9,74.4,-17.22,45.73
