date,volume,open,high,low,close,MACD,RSI
2021-07-05,269443.75,37.48,42.0,33.37,34.28,0.0,
2021-07-06,93122.25,34.2,37.4,33.32,33.79,-0.04,
2021-07-07,45330.58,33.79,34.88,33.33,33.54,-0.09,
2021-07-08,59515.8,33.54,33.57,30.01,30.35,-0.38,
2021-07-09,34136.34,30.33,32.31,29.48,30.71,-0.58,
2021-07-10,19586.39,30.67,31.35,30.0,30.03,-0.78,
2021-07-11,29272.72,30.17,30.88,29.6,30.06,-0.93,
2021-07-12,45290.91,30.01,32.4,27.49,28.26,-1.17,
2021-07-13,31398.67,28.26,29.12,26.32,26.76,-1.47,
2021-07-14,14122.15,26.77,27.35,25.99,26.9,-1.68,
2021-07-15,68500.19,26.87,29.02,24.56,25.01,-1.98,
2021-07-16,60799.74,25.05,25.57,23.5,24.15,-2.25,
2021-07-17,45950.51,24.13,24.59,22.13,22.8,-2.55,
2021-07-18,54875.81,22.79,24.7,22.54,23.4,-2.71,
2021-07-19,126082.19,23.43,25.09,19.95,20.17,-3.06,6.9
2021-07-20,150542.42,20.2,21.45,19.08,19.84,-3.32,6.97
2021-07-21,120255.91,19.93,21.34,19.68,20.3,-3.46,9.68
2021-07-22,122850.51,20.31,21.73,20.03,21.08,-3.46,16.92
2021-07-23,146828.14,21.08,23.8,20.76,22.71,-3.29,23.82
2021-07-24,99489.46,22.73,22.99,21.58,22.06,-3.18,23.87
2021-07-25,99497.52,22.09,23.8,21.79,22.44,-3.02,25.58
2021-07-26,132256.6,22.48,23.53,21.51,21.8,-2.91,27.63
2021-07-27,46869.3,21.81,22.31,21.21,21.89,-2.79,31.31
2021-07-28,50753.52,21.86,21.9,20.66,20.93,-2.73,28.45
2021-07-29,95146.96,20.93,21.26,20.36,20.86,-2.67,32.75
2021-07-30,131857.73,20.9,21.88,20.06,21.15,-2.56,36.91
2021-07-31,145150.24,21.18,22.87,21.04,22.55,-2.34,48.91
2021-08-01,162693.91,22.51,24.98,21.94,22.47,-2.14,45.77
2021-08-02,68695.54,22.43,23.31,21.65,22.04,-2.0,61.42
2021-08-03,68455.3,21.99,21.99,20.7,20.74,-1.97,54.91
2021-08-04,65351.03,20.8,22.1,20.52,21.68,-1.85,57.16
2021-08-05,149013.99,21.69,23.59,21.26,21.54,-1.74,52.56
2021-08-06,146985.31,21.55,22.89,21.45,22.35,-1.57,47.8
2021-08-07,199290.88,22.36,23.56,21.91,23.3,-1.35,57.31
2021-08-08,1203522.21,23.3,33.93,23.2,27.44,-0.83,70.42
2021-08-09,348622.73,27.44,28.0,25.3,27.08,-0.44,72.07
2021-08-10,129270.2,27.15,27.45,25.64,26.13,-0.2,66.54
2021-08-11,118074.75,26.15,28.26,26.0,27.18,0.07,74.21
2021-08-12,109457.49,27.18,28.21,24.1,25.63,0.15,66.57
2021-08-13,86652.27,25.63,27.34,25.11,27.23,0.35,69.36
2021-08-14,82409.91,27.24,27.66,25.77,26.39,0.43,62.68
2021-08-15,53816.92,26.43,26.93,25.96,26.68,0.51,63.71
2021-08-16,110904.15,26.69,28.21,26.39,26.46,0.55,64.6
2021-08-17,426691.8,26.45,32.0,26.04,29.46,0.82,75.89
2021-08-18,140949.9,29.48,30.34,27.61,28.15,0.91,68.8
2021-08-19,80035.64,28.15,28.59,26.72,27.58,0.93,67.12
2021-08-20,109842.21,27.57,29.32,27.4,28.73,1.02,67.74
2021-08-21,89526.21,28.68,29.16,27.9,27.91,1.02,62.91
2021-08-22,116673.31,27.92,29.4,27.8,28.57,1.06,53.93
2021-08-23,83300.32,28.61,29.3,27.97,28.47,1.07,54.93
2021-08-24,285667.98,28.5,33.0,28.09,30.97,1.26,65.45
2021-08-25,285902.82,31.04,33.0,28.59,30.31,1.35,60.25
2021-08-26,641586.33,30.3,37.49,28.6,31.03,1.46,68.7
