date,volume,open,high,low,close,MACD,RSI
2022-03-21,366055854.6,0.3534,1.38,0.3534,0.8586,0.0,
2022-03-22,170839472.1,0.8585,1.0101,0.791,0.8194,-0.0,
2022-03-23,73679772.6,0.8202,0.8249,0.6567,0.6883,-0.02,
2022-03-24,67776482.0,0.6883,0.7626,0.6694,0.7011,-0.02,
2022-03-25,27980813.5,0.7011,0.71,0.6617,0.6689,-0.03,
2022-03-26,29628785.7,0.669,0.67,0.6091,0.6272,-0.04,
2022-03-27,25253917.5,0.6271,0.6559,0.5911,0.6402,-0.05,
2022-03-28,63511481.4,0.6401,0.729,0.6107,0.6495,-0.05,
2022-03-29,35649397.2,0.6495,0.7155,0.633,0.6481,-0.06,
2022-03-30,21574175.7,0.6469,0.6673,0.628,0.6362,-0.06,
2022-03-31,54589294.2,0.6366,0.75,0.6288,0.7473,-0.05,
2022-04-01,555214373.6,0.7461,1.9777,0.7275,1.6985,0.03,
2022-04-02,494506222.2,1.6945,2.16,1.4022,1.4858,0.08,
2022-04-03,150563065.8,1.4858,1.5289,1.27,1.3036,0.1,
2022-04-04,107591840.8,1.3035,1.46,1.135,1.253,0.11,60.95
2022-04-05,187249315.0,1.2529,1.5249,1.1845,1.2828,0.12,62.94
2022-04-06,71692319.1,1.2832,1.2996,1.151,1.1803,0.12,63.96
2022-04-07,128426324.9,1.1803,1.451,1.1736,1.4509,0.14,68.56
2022-04-08,57147938.2,1.4511,1.4858,1.2,1.2232,0.14,62.51
2022-04-09,20584440.6,1.2232,1.2795,1.21,1.2794,0.13,64.62
2022-04-10,30443294.3,1.2783,1.3521,1.2215,1.2385,0.13,63.25
2022-04-11,32851333.9,1.2381,1.2444,1.0315,1.0418,0.11,58.02
2022-04-12,26958426.1,1.0407,1.12,0.9821,1.051,0.09,58.21
2022-04-13,41321349.9,1.0519,1.256,1.0124,1.2472,0.09,61.58
2022-04-14,47085238.8,1.2464,1.2933,1.1042,1.1282,0.08,57.2
2022-04-15,15992081.0,1.1285,1.188,1.1128,1.1552,0.08,34.22
2022-04-16,14009577.0,1.1551,1.1768,1.1104,1.1332,0.07,38.48
2022-04-17,12570031.4,1.1334,1.17,1.1201,1.1271,0.06,43.48
2022-04-18,35609794.7,1.1266,1.2588,1.04,1.2108,0.06,48.48
2022-04-19,28494111.6,1.2108,1.2578,1.1688,1.2039,0.06,47.11
2022-04-20,31552858.5,1.2035,1.2965,1.1726,1.2101,0.06,51.17
2022-04-21,21740336.5,1.2101,1.2555,1.1321,1.1373,0.05,35.35
2022-04-22,12139264.1,1.1372,1.2,1.12,1.1353,0.05,44.8
2022-04-23,14058133.5,1.1353,1.19,1.1274,1.1582,0.04,42.53
2022-04-24,8784064.1,1.1582,1.1779,1.1217,1.1332,0.04,43.38
2022-04-25,25625330.5,1.1343,1.164,1.0189,1.1578,0.03,59.3
2022-04-26,18706888.4,1.1584,1.187,1.0589,1.0984,0.03,53.52
2022-04-27,87717640.7,1.0973,1.37,1.086,1.25,0.03,50.22
2022-04-28,93663345.3,1.2501,1.45,1.2051,1.3521,0.05,68.28
2022-04-29,48120244.2,1.3512,1.4478,1.1435,1.1535,0.04,49.89
2022-04-30,30245187.5,1.1534,1.1921,1.0393,1.0441,0.02,44.89
2022-05-01,31752079.9,1.0438,1.2169,1.0297,1.1271,0.02,50.0
2022-05-02,18751349.4,1.1272,1.1574,1.0776,1.1023,0.01,43.9
2022-05-03,19608695.7,1.1017,1.1719,1.0908,1.1386,0.01,46.45
2022-05-04,21407338.5,1.1385,1.2084,1.1243,1.2039,0.02,49.68
2022-05-05,40131218.4,1.2027,1.2843,1.0982,1.1434,0.01,50.32
2022-05-06,17073088.1,1.144,1.157,1.0913,1.1103,0.01,48.75
2022-05-07,7584556.7,1.1106,1.1405,1.0632,1.0764,0.0,45.94
2022-05-08,12358959.7,1.0754,1.0817,0.9428,0.9713,-0.01,42.56
2022-05-09,50510056.6,0.9713,1.0278,0.777,0.7785,-0.04,34.9
2022-05-10,30751424.9,0.7786,0.8835,0.7432,0.7747,-0.06,36.52
2022-05-11,36979686.6,0.7751,0.797,0.4871,0.5051,-0.09,21.75
2022-05-12,27524160.0,0.5055,0.538,0.4215,0.4971,-0.12,15.08
2022-05-13,25614398.4,0.4976,0.6196,0.4909,0.5541,-0.14,22.32
2022-05-14,12584662.2,0.5542,0.5732,0.501,0.5556,-0.15,24.94
2022-05-15,7560415.6,0.5556,0.5923,0.5358,0.5907,-0.15,21.06
2022-05-16,10057892.9,0.591,0.5925,0.5372,0.5548,-0.16,20.81
2022-05-17,15488236.2,0.5549,0.6347,0.5541,0.6233,-0.15,23.44
2022-05-18,16810817.1,0.6232,0.6499,0.5525,0.5543,-0.15,16.65
2022-05-19,7850263.8,0.5546,0.6142,0.5529,0.59,-0.15,20.84
2022-05-20,10081436.0,0.5897,0.6207,0.5652,0.5833,-0.15,21.44
2022-05-21,9501760.4,0.5836,0.6212,0.5825,0.5979,-0.14,23.51
2022-05-22,6993232.7,0.5977,0.618,0.5929,0.6137,-0.13,28.03
2022-05-23,11900087.3,0.6135,0.658,0.603,0.6069,-0.12,36.34
2022-05-24,9179184.0,0.6069,0.6312,0.585,0.6167,-0.12,37.54
2022-05-25,9894767.5,0.6166,0.64,0.602,0.6196,-0.11,65.59
2022-05-26,9756161.0,0.6192,0.6241,0.5579,0.5661,-0.11,58.36
2022-05-27,6883551.6,0.5655,0.5738,0.5368,0.5528,-0.1,49.82
2022-05-28,4546925.8,0.5532,0.595,0.5459,0.5667,-0.1,51.45
2022-05-29,3913800.7,0.5667,0.5718,0.5485,0.567,-0.1,46.58
2022-05-30,16975692.9,0.567,0.6338,0.5627,0.625,-0.09,59.52
2022-05-31,9890417.3,0.6252,0.631,0.5778,0.6056,-0.08,47.23
2022-06-01,5742766.4,0.6055,0.6182,0.563,0.5712,-0.08,52.96
2022-06-02,3482550.7,0.5712,0.5892,0.566,0.5885,-0.07,49.72
2022-06-03,4089713.1,0.5885,0.5906,0.5487,0.5576,-0.07,45.58
2022-06-04,5677656.1,0.5578,0.5845,0.5503,0.563,-0.07,43.81
2022-06-05,3076602.4,0.5628,0.5646,0.5477,0.5524,-0.06,38.92
2022-06-06,5629491.5,0.5525,0.5774,0.55,0.5538,-0.06,40.21
2022-06-07,8441696.2,0.5533,0.5535,0.5057,0.52,-0.06,33.62
2022-06-08,6639842.9,0.5202,0.5316,0.5033,0.5074,-0.06,31.59
2022-06-09,3881934.5,0.5074,0.5154,0.4962,0.4994,-0.06,37.14
2022-06-10,6335592.3,0.4995,0.5028,0.4662,0.468,-0.06,34.72
2022-06-11,8524389.5,0.4684,0.4714,0.4121,0.4214,-0.07,26.57
2022-06-12,12392345.1,0.4216,0.4249,0.3801,0.3901,-0.07,24.07
2022-06-13,25172565.0,0.3905,0.417,0.3293,0.3575,-0.08,7.63
2022-06-14,17407608.0,0.3579,0.3726,0.3307,0.356,-0.08,8.09
2022-06-15,12958697.3,0.3558,0.3679,0.322,0.3678,-0.08,13.05
2022-06-16,8621913.5,0.368,0.3716,0.333,0.3372,-0.09,6.45
2022-06-17,4611913.1,0.3378,0.3467,0.3356,0.3421,-0.09,8.95
2022-06-18,7982793.6,0.3421,0.3454,0.2949,0.3108,-0.09,6.28
2022-06-19,7887896.3,0.3113,0.3342,0.2964,0.3308,-0.09,12.79
2022-06-20,8998206.0,0.3309,0.3362,0.3122,0.3226,-0.09,12.05
2022-06-21,11485953.2,0.3225,0.355,0.3189,0.333,-0.08,16.75
2022-06-22,6891556.7,0.333,0.3337,0.3161,0.3201,-0.08,16.73
2022-06-23,5066926.4,0.3201,0.3422,0.3197,0.3364,-0.08,21.88
2022-06-24,5953480.6,0.3368,0.3594,0.3358,0.3507,-0.07,28.49
2022-06-25,5434985.6,0.3508,0.3573,0.3373,0.3543,-0.07,35.39
2022-06-26,7142254.3,0.355,0.3715,0.3479,0.3494,-0.06,39.99
2022-06-27,5563304.3,0.3495,0.364,0.334,0.3449,-0.06,46.4
2022-06-28,4176028.2,0.3452,0.3503,0.3256,0.3263,-0.06,42.28
2022-06-29,4081089.8,0.3261,0.3317,0.3128,0.3164,-0.06,36.5
2022-06-30,4030285.6,0.3166,0.3185,0.2961,0.3123,-0.05,42.4
2022-07-01,5377017.9,0.3123,0.3202,0.3041,0.3079,-0.05,39.53
2022-07-02,3729184.8,0.3079,0.3165,0.3022,0.3115,-0.05,50.26
2022-07-03,4941919.4,0.3116,0.3248,0.3029,0.3135,-0.05,42.65
2022-07-04,6139757.7,0.3137,0.3413,0.3105,0.3355,-0.04,54.9
2022-07-05,5640713.6,0.3354,0.3372,0.3093,0.3222,-0.04,45.98
2022-07-06,3910972.5,0.3223,0.338,0.3172,0.3364,-0.04,56.01
2022-07-07,5404815.9,0.3365,0.3462,0.3299,0.3361,-0.03,49.87
2022-07-08,6340267.0,0.3361,0.3455,0.3218,0.3241,-0.03,38.67
2022-07-09,4818610.5,0.3241,0.3382,0.3238,0.3302,-0.03,39.95
2022-07-10,4280312.7,0.3302,0.3339,0.3105,0.3189,-0.03,37.93
2022-07-11,3389393.8,0.3189,0.319,0.298,0.2996,-0.03,33.95
2022-07-12,3721333.4,0.2995,0.302,0.2941,0.2947,-0.03,37.6
2022-07-13,5703424.8,0.2948,0.3035,0.2835,0.3024,-0.03,44.41
2022-07-14,4796940.8,0.3023,0.3122,0.2943,0.312,-0.03,49.89
2022-07-15,4205325.7,0.312,0.3165,0.3062,0.3126,-0.02,51.85
2022-07-16,3911727.3,0.3127,0.3188,0.3058,0.3143,-0.02,51.12
2022-07-17,4344091.6,0.3144,0.3217,0.308,0.3095,-0.02,48.44
2022-07-18,7295314.9,0.3096,0.332,0.3095,0.3291,-0.02,47.45
2022-07-19,10194176.8,0.3292,0.3578,0.3162,0.34,-0.02,57.24
2022-07-20,63772397.4,0.34,0.44,0.3346,0.378,-0.01,64.17
2022-07-21,27424673.6,0.378,0.41,0.3499,0.3616,-0.01,57.83
2022-07-22,9810777.6,0.3616,0.371,0.33,0.3425,-0.01,55.41
2022-07-23,8288918.5,0.3425,0.3555,0.3266,0.335,-0.01,51.4
2022-07-24,5487156.8,0.335,0.3483,0.3325,0.3407,-0.0,56.57
2022-07-25,6061451.2,0.3408,0.3412,0.3168,0.3175,-0.01,55.27
2022-07-26,3626091.8,0.3178,0.3183,0.3084,0.3177,-0.01,56.97
2022-07-27,6580026.4,0.3178,0.34,0.3169,0.3363,-0.01,59.64
2022-07-28,10793419.5,0.3363,0.3531,0.3319,0.3475,-0.0,60.0
2022-07-29,14672874.0,0.3475,0.3676,0.3441,0.3508,-0.0,60.6
2022-07-30,10052886.2,0.3512,0.3689,0.341,0.3436,-0.0,57.89
2022-07-31,9238296.6,0.3437,0.3651,0.3419,0.3515,-0.0,61.12
2022-08-01,7435010.5,0.3514,0.3609,0.3388,0.3454,0.0,54.65
2022-08-02,6350471.1,0.3453,0.349,0.3358,0.3442,0.0,51.27
2022-08-03,11250715.7,0.3444,0.377,0.3346,0.3562,0.0,42.19
2022-08-04,8770187.2,0.3563,0.3693,0.3497,0.3622,0.0,50.23
2022-08-05,9748548.2,0.3623,0.3827,0.3568,0.3713,0.0,62.08
2022-08-06,4337739.1,0.3712,0.3779,0.3656,0.367,0.01,63.79
2022-08-07,4164536.7,0.367,0.3718,0.3531,0.37,0.01,62.93
2022-08-08,5134438.1,0.3699,0.3882,0.3689,0.3738,0.01,79.98
2022-08-09,4285030.3,0.3738,0.3752,0.3522,0.3595,0.01,69.35
2022-08-10,5530092.4,0.3594,0.3715,0.3505,0.367,0.01,65.84
2022-08-11,6610739.5,0.3672,0.3813,0.3638,0.3658,0.01,60.53
2022-08-12,3866313.3,0.3658,0.3728,0.3607,0.3721,0.01,61.85
2022-08-13,4317127.9,0.3721,0.3839,0.3555,0.3672,0.01,63.47
2022-08-14,3381249.1,0.3672,0.3714,0.3575,0.3587,0.01,54.08
2022-08-15,8375219.9,0.3587,0.379,0.3536,0.3646,0.01,60.91
2022-08-16,5368813.7,0.3646,0.3752,0.3557,0.3643,0.01,61.54
2022-08-17,4581989.7,0.3643,0.3708,0.3513,0.3533,0.0,48.32
2022-08-18,2229448.5,0.3533,0.3563,0.3415,0.3415,0.0,38.74
2022-08-19,5275876.5,0.3416,0.3423,0.3128,0.3144,-0.0,24.11
2022-08-20,4622515.5,0.3144,0.3385,0.3144,0.3265,-0.0,32.8
2022-08-21,3356767.0,0.3265,0.3402,0.3257,0.3383,-0.0,37.47
2022-08-22,3407359.2,0.3381,0.3389,0.319,0.3263,-0.0,32.37
2022-08-23,2963560.1,0.3266,0.3339,0.3196,0.3308,-0.01,38.51
2022-08-24,3493840.8,0.3311,0.3322,0.3224,0.325,-0.01,32.95
2022-08-25,2757857.9,0.325,0.3302,0.3237,0.325,-0.01,33.28
2022-08-26,4346368.6,0.325,0.3253,0.3004,0.3025,-0.01,24.82
2022-08-27,4714564.9,0.3025,0.3216,0.2981,0.3003,-0.01,25.31
2022-08-28,2525676.6,0.3002,0.3028,0.295,0.2955,-0.01,26.02
2022-08-29,4186078.9,0.2955,0.305,0.2919,0.3033,-0.01,27.08
2022-08-30,3803029.3,0.3032,0.3092,0.2901,0.2952,-0.01,25.58
2022-08-31,3347546.6,0.2953,0.3019,0.288,0.289,-0.02,26.48
2022-09-01,3366381.0,0.289,0.2947,0.2846,0.2939,-0.02,31.66
2022-09-02,2657429.7,0.2939,0.2985,0.2894,0.2924,-0.02,39.44
2022-09-03,1754504.4,0.2925,0.2941,0.2881,0.2925,-0.02,31.56
2022-09-04,1439011.5,0.2925,0.2954,0.2898,0.2945,-0.02,23.42
2022-09-05,17660969.1,0.295,0.3262,0.2889,0.3096,-0.01,40.23
2022-09-06,4977273.4,0.3096,0.3169,0.2875,0.2879,-0.01,29.11
2022-09-07,2826146.9,0.288,0.3022,0.284,0.2996,-0.01,38.31
2022-09-08,3162146.7,0.2998,0.3013,0.2934,0.2981,-0.01,37.78
2022-09-09,5499116.6,0.2981,0.3159,0.2978,0.3131,-0.01,55.17
2022-09-10,4027955.0,0.3131,0.3141,0.3044,0.3101,-0.01,54.74
2022-09-11,4640748.7,0.31,0.3119,0.29,0.309,-0.01,56.77
2022-09-12,12925955.0,0.3089,0.3476,0.3062,0.3232,-0.01,59.38
2022-09-13,6281548.0,0.3233,0.3235,0.293,0.2976,-0.01,50.97
2022-09-14,3294708.5,0.2975,0.3038,0.2948,0.2983,-0.01,53.94
2022-09-15,3697639.4,0.2983,0.3017,0.2886,0.2932,-0.01,49.7
2022-09-16,2777024.4,0.2934,0.2989,0.2905,0.295,-0.01,51.1
2022-09-17,2230050.2,0.295,0.3232,0.2943,0.3025,-0.01,53.97
2022-09-18,2352807.3,0.3024,0.3024,0.2851,0.2876,-0.01,47.52
2022-09-19,2912018.8,0.2875,0.293,0.2794,0.2911,-0.01,42.73
2022-09-20,2899601.8,0.2911,0.2925,0.2861,0.2865,-0.01,49.36
2022-09-21,5087890.9,0.2864,0.2883,0.275,0.278,-0.01,39.91
2022-09-22,2382248.1,0.2778,0.2876,0.2773,0.2873,-0.01,45.3
2022-09-23,2527456.6,0.2873,0.2894,0.2797,0.2884,-0.01,37.76
2022-09-24,2245515.7,0.2886,0.2908,0.2686,0.2806,-0.01,36.05
