date,volume,open,high,low,close,MACD,RSI
2020-05-14,7767.94,10.15,10.92,9.41,9.79,0.0,
2020-05-15,12910.6,9.85,11.11,9.8,10.65,0.07,
2020-05-16,31347.33,10.65,10.99,10.2,10.62,0.12,
2020-05-17,68080.72,10.69,10.7,9.57,9.96,0.1,
2020-05-18,257225.85,9.9,10.35,9.43,9.81,0.08,
2020-05-19,367722.6,9.82,10.35,9.42,9.71,0.05,
2020-05-20,218328.71,9.73,10.69,9.58,10.25,0.07,
2020-05-21,342802.8,10.26,11.93,10.15,11.24,0.17,
2020-05-22,195362.92,11.3,11.57,10.76,11.01,0.22,
2020-05-23,110767.9,10.9,11.13,10.64,10.91,0.25,
2020-05-24,228947.88,10.93,12.15,10.65,12.02,0.36,
2020-05-25,138132.57,12.1,12.27,11.47,11.71,0.42,
2020-05-26,210333.04,11.7,12.25,11.44,11.87,0.47,
2020-05-27,246511.44,11.89,11.91,10.86,10.95,0.44,
2020-05-28,448717.59,10.93,11.14,9.96,10.07,0.33,51.99
2020-05-29,478549.95,10.05,10.65,10.0,10.43,0.27,48.32
2020-05-30,504387.45,10.42,10.61,9.65,9.83,0.18,44.44
2020-05-31,437972.69,9.78,10.42,9.78,10.29,0.14,52.39
2020-06-01,1665757.52,10.31,10.36,8.25,8.66,-0.02,43.15
2020-06-02,1883236.53,8.67,10.65,8.62,10.16,-0.03,52.3
2020-06-03,503172.94,10.14,10.39,9.77,9.85,-0.06,47.91
2020-06-04,1120366.11,9.82,10.27,9.37,9.57,-0.11,40.56
2020-06-05,983274.11,9.52,9.99,9.43,9.92,-0.11,43.92
2020-06-06,389370.87,9.92,10.09,9.68,9.82,-0.13,43.92
2020-06-07,972863.85,9.85,10.42,9.51,9.72,-0.14,35.55
2020-06-08,362757.11,9.69,9.92,9.59,9.65,-0.16,36.66
2020-06-09,538478.63,9.63,10.07,9.42,9.66,-0.17,35.4
2020-06-10,435722.08,9.66,9.78,9.17,9.43,-0.19,38.95
2020-06-11,1610381.76,9.41,11.42,9.26,10.77,-0.1,54.77
2020-06-12,625338.89,10.8,10.84,10.17,10.34,-0.07,49.39
2020-06-13,175433.73,10.35,10.6,10.26,10.32,-0.04,53.59
2020-06-14,99548.79,10.32,10.84,10.32,10.62,0.01,52.47
2020-06-15,427219.54,10.64,11.57,10.22,10.37,0.03,66.16
2020-06-16,247102.49,10.37,10.48,9.99,10.16,0.02,50.0
2020-06-17,258397.59,10.14,10.75,10.05,10.24,0.02,55.17
2020-06-18,160810.68,10.24,10.67,10.19,10.4,0.04,61.37
