date,volume,open,high,low,close,MACD,RSI
2020-05-14,10834.7,10.36,11.2,9.5,10.28,0.0,
2020-05-15,14389.31,10.18,10.4,8.86,9.03,-0.1,
2020-05-16,89590.02,9.06,9.72,8.99,9.32,-0.15,
2020-05-17,106599.69,9.26,10.31,9.2,9.83,-0.15,
2020-05-18,286764.28,9.88,10.4,9.4,9.94,-0.14,
2020-05-19,311143.25,9.93,10.38,9.45,10.17,-0.11,
2020-05-20,183476.08,10.18,10.29,9.36,9.63,-0.13,
2020-05-21,643060.65,9.62,9.74,8.26,8.73,-0.22,
2020-05-22,391173.02,8.72,9.15,8.49,8.97,-0.26,
2020-05-23,158422.08,8.99,9.24,8.82,8.99,-0.3,
2020-05-24,361213.99,8.99,9.22,8.07,8.12,-0.39,
2020-05-25,370592.51,8.12,8.61,7.96,8.48,-0.42,
2020-05-26,319221.45,8.49,8.68,8.1,8.36,-0.46,
2020-05-27,409348.03,8.38,9.1,8.32,9.05,-0.42,
2020-05-28,567378.85,9.06,9.82,8.9,9.72,-0.34,45.88
2020-05-29,340785.62,9.73,9.76,9.25,9.45,-0.29,53.61
2020-05-30,437676.38,9.44,10.08,9.25,9.96,-0.21,55.3
2020-05-31,336313.75,9.98,9.98,9.35,9.48,-0.18,47.09
2020-06-01,986342.73,9.47,11.49,9.43,11.08,-0.03,57.6
2020-06-02,1264682.41,11.09,11.13,9.15,9.63,-0.03,46.9
2020-06-03,390061.25,9.6,9.92,9.38,9.83,-0.01,51.19
2020-06-04,948942.92,9.89,10.31,9.45,10.12,0.03,58.94
2020-06-05,814495.21,10.15,10.27,9.74,9.8,0.04,55.29
2020-06-06,322755.07,9.78,10.01,9.63,9.9,0.05,55.74
2020-06-07,929355.22,9.87,10.16,9.3,10.02,0.06,63.23
2020-06-08,304820.6,10.05,10.14,9.8,10.08,0.08,61.63
2020-06-09,539270.48,10.08,10.28,9.65,10.03,0.09,62.26
2020-06-10,401797.01,10.07,10.53,9.92,10.31,0.12,59.84
2020-06-11,1400155.72,10.31,10.46,8.58,9.01,0.04,44.95
2020-06-12,531158.63,9.02,9.54,8.95,9.37,-0.0,49.44
2020-06-13,212754.89,9.39,9.43,9.15,9.38,-0.03,45.62
2020-06-14,93376.02,9.39,9.4,8.95,9.12,-0.07,47.19
2020-06-15,244028.73,9.12,9.46,8.32,9.27,-0.09,31.72
2020-06-16,184785.07,9.31,9.65,9.22,9.51,-0.09,48.4
2020-06-17,272361.97,9.53,9.61,8.88,9.31,-0.1,43.05
2020-06-18,134287.35,9.31,9.35,8.96,9.15,-0.12,36.57
2020-06-19,147012.7,9.15,9.25,8.88,9.0,-0.15,38.37
2020-06-20,57120.11,9.02,9.17,8.75,9.11,-0.16,38.55
2020-06-21,57029.54,9.11,9.22,8.97,9.0,-0.17,35.17
2020-06-22,124340.61,8.98,9.96,8.96,9.79,-0.12,46.52
2020-06-23,77318.66,9.8,9.83,9.56,9.62,-0.09,45.22
2020-06-24,196637.47,9.63,9.73,8.81,8.98,-0.12,35.7
2020-06-25,134893.84,8.95,9.02,8.41,8.86,-0.15,47.84
2020-06-26,125930.68,8.87,8.94,8.38,8.65,-0.18,39.16
2020-06-27,169808.44,8.67,8.75,7.9,8.32,-0.24,35.44
2020-06-28,73543.83,8.32,8.7,8.2,8.57,-0.26,42.42
2020-06-29,77388.12,8.53,8.83,8.33,8.72,-0.26,42.42
2020-06-30,80226.97,8.73,8.74,8.41,8.6,-0.27,37.04
2020-07-01,102773.52,8.58,8.93,8.49,8.78,-0.25,42.41
2020-07-02,127251.59,8.81,8.85,8.12,8.47,-0.27,40.66
2020-07-03,72198.23,8.45,8.54,8.34,8.39,-0.28,41.46
2020-07-04,55945.74,8.4,8.72,8.36,8.59,-0.27,42.9
2020-07-05,101738.74,8.6,8.61,8.01,8.45,-0.27,42.55
2020-07-06,109043.78,8.43,9.17,8.38,9.06,-0.22,39.6
2020-07-07,101756.08,9.04,9.17,8.66,8.79,-0.2,38.5
2020-07-08,137365.49,8.8,9.28,8.75,9.18,-0.15,52.98
2020-07-09,95004.6,9.18,9.2,8.59,8.74,-0.15,48.37
2020-07-10,68412.18,8.76,8.92,8.52,8.84,-0.13,52.66
2020-07-11,21774.95,8.87,8.89,8.63,8.75,-0.13,56.46
2020-07-12,68156.72,8.76,9.0,8.56,8.88,-0.11,54.83
2020-07-13,91862.32,8.9,9.01,8.67,8.75,-0.11,50.47
2020-07-14,66296.35,8.74,8.83,8.48,8.8,-0.1,53.21
2020-07-15,48119.79,8.8,8.81,8.57,8.68,-0.1,48.37
2020-07-16,118024.09,8.67,8.73,8.26,8.46,-0.12,49.83
2020-07-17,50882.44,8.46,8.57,8.37,8.5,-0.13,51.88
2020-07-18,49042.77,8.49,8.64,8.42,8.54,-0.13,49.1
2020-07-19,46162.18,8.57,8.69,8.38,8.63,-0.13,53.31
2020-07-20,52897.74,8.64,8.66,8.45,8.5,-0.13,37.5
2020-07-21,141918.09,8.5,9.15,8.5,9.02,-0.09,54.62
2020-07-22,110674.35,9.03,9.36,8.77,9.34,-0.03,53.31
2020-07-23,95165.98,9.34,9.67,9.15,9.49,0.03,67.61
2020-07-24,121188.49,9.51,9.6,9.2,9.34,0.06,61.47
2020-07-25,112019.27,9.35,9.75,9.31,9.65,0.11,68.75
2020-07-26,280082.03,9.63,10.95,9.57,10.16,0.19,73.02
2020-07-27,898665.06,10.17,14.01,10.17,12.81,0.46,88.3
2020-07-28,711530.43,12.81,13.5,11.5,12.29,0.62,80.24
