date,volume,open,high,low,close,MACD,RSI
2020-02-06,4306221.0,0.03155,0.08918,0.03097,0.03227,0.0,
2020-02-07,3572393.5,0.03211,0.03278,0.03101,0.03223,-0.0,
2020-02-08,1969773.0,0.032,0.03267,0.02933,0.03129,-0.0,
2020-02-09,11220634.7,0.03139,0.03945,0.03139,0.0362,0.0,
2020-02-10,5603569.6,0.03642,0.03727,0.03299,0.03438,0.0,
2020-02-11,3241567.9,0.03438,0.0369,0.033,0.03653,0.0,
2020-02-12,3826345.8,0.03666,0.03716,0.03524,0.03574,0.0,
2020-02-13,11944726.5,0.03574,0.04234,0.03509,0.03954,0.0,
2020-02-14,5043942.2,0.03903,0.0409,0.03795,0.03995,0.0,
2020-02-15,5782284.4,0.03997,0.04,0.03266,0.03458,0.0,
2020-02-16,4097587.5,0.03458,0.03688,0.03004,0.03308,0.0,
2020-02-17,3766417.3,0.03309,0.03368,0.02943,0.03268,0.0,
2020-02-18,1875113.4,0.03298,0.03395,0.03136,0.0336,0.0,
2020-02-19,1382224.8,0.0336,0.03395,0.03045,0.03099,0.0,
2020-02-20,915034.7,0.03096,0.03158,0.03,0.03095,0.0,47.43
2020-02-21,1209723.5,0.031,0.03273,0.031,0.03187,-0.0,49.32
2020-02-22,1065391.7,0.03155,0.03228,0.03101,0.03173,-0.0,50.85
2020-02-23,1080630.4,0.03158,0.03313,0.03158,0.03248,-0.0,41.4
2020-02-24,1270807.3,0.03278,0.03297,0.03069,0.03131,-0.0,42.68
2020-02-25,1041434.8,0.03115,0.03121,0.02843,0.02877,-0.0,31.84
2020-02-26,6387223.6,0.02884,0.02894,0.02227,0.02423,-0.0,27.08
2020-02-27,2091722.0,0.02375,0.02589,0.02235,0.02478,-0.0,16.24
2020-02-28,918351.0,0.02474,0.02548,0.02309,0.02416,-0.0,14.23
2020-02-29,1051439.7,0.02433,0.02565,0.02408,0.02411,-0.0,18.75
2020-03-01,695269.4,0.02427,0.02502,0.02393,0.02424,-0.0,21.26
2020-03-02,1127775.9,0.02423,0.0267,0.02423,0.02568,-0.0,28.68
2020-03-03,1447924.6,0.02552,0.02618,0.02509,0.02543,-0.0,24.06
2020-03-04,765036.4,0.02564,0.02609,0.02516,0.02564,-0.0,29.96
2020-03-05,2403764.4,0.02564,0.02823,0.0255,0.02666,-0.0,35.03
2020-03-06,2216511.8,0.0267,0.0273,0.02588,0.02632,-0.0,29.82
2020-03-07,1546746.2,0.02661,0.02705,0.02546,0.02591,-0.0,29.24
2020-03-08,4223338.5,0.02564,0.02564,0.02102,0.02154,-0.0,18.99
2020-03-09,1525038.3,0.02169,0.0226,0.02024,0.02144,-0.0,20.22
2020-03-10,936621.6,0.02141,0.02196,0.0208,0.02123,-0.0,23.53
2020-03-11,1830664.2,0.02129,0.02149,0.01883,0.0201,-0.0,30.93
2020-03-12,5467925.7,0.02016,0.02062,0.01117,0.01193,-0.0,15.18
2020-03-13,4545932.5,0.01485,0.01897,0.00875,0.01523,-0.0,28.87
2020-03-14,3495996.2,0.01557,0.01604,0.01433,0.0145,-0.0,27.97
2020-03-15,1456824.2,0.01459,0.01921,0.0144,0.01506,-0.0,29.36
2020-03-16,2215925.0,0.01502,0.01516,0.0125,0.01307,-0.0,22.33
2020-03-17,2492955.5,0.01317,0.01477,0.01275,0.01451,-0.0,27.23
2020-03-18,1201182.1,0.0143,0.01475,0.01328,0.01463,-0.0,26.96
2020-03-19,8293112.4,0.01475,0.01794,0.01,0.01693,-0.0,30.67
2020-03-20,2512720.5,0.01692,0.01894,0.01595,0.0171,-0.0,31.56
2020-03-21,2089534.1,0.01698,0.01921,0.01598,0.01688,-0.0,31.8
2020-03-22,2300456.6,0.01692,0.01854,0.01525,0.01577,-0.0,36.61
2020-03-23,1043223.7,0.01557,0.01798,0.01536,0.01727,-0.0,40.92
