date,volume,open,high,low,close,MACD,RSI
2022-01-25,11304272062438.0,1.95e-06,2.55e-06,1.5e-06,2.08e-06,0.0,
2022-01-26,7005230582738.0,2.08e-06,2.1e-06,1.97e-06,2.02e-06,-0.0,
2022-01-27,17396841158127.0,2.02e-06,2.55e-06,1.86e-06,2.06e-06,-0.0,
2022-01-28,9967900496770.0,2.06e-06,2.11e-06,1.97e-06,2.07e-06,-0.0,
2022-01-29,10169294929702.0,2.08e-06,2.2e-06,2.05e-06,2.14e-06,0.0,
2022-01-30,7497571482399.0,2.15e-06,2.17e-06,2.07e-06,2.09e-06,0.0,
2022-01-31,9954842867039.0,2.08e-06,2.15e-06,2e-06,2.15e-06,0.0,
2022-02-01,6885761726337.0,2.14e-06,2.22e-06,2.11e-06,2.16e-06,0.0,
2022-02-02,5399524096895.0,2.16e-06,2.16e-06,2.05e-06,2.08e-06,0.0,
2022-02-03,5438490176599.0,2.07e-06,2.12e-06,2.03e-06,2.07e-06,0.0,
2022-02-04,6391302900773.0,2.08e-06,2.24e-06,2.07e-06,2.23e-06,0.0,
2022-02-05,5311832851489.0,2.24e-06,2.39e-06,2.2e-06,2.26e-06,0.0,
2022-02-06,3536650865837.0,2.27e-06,2.31e-06,2.21e-06,2.28e-06,0.0,
2022-02-07,6527149563772.0,2.27e-06,2.41e-06,2.25e-06,2.35e-06,0.0,
2022-02-08,12451792273658.0,2.34e-06,2.4e-06,2.18e-06,2.25e-06,0.0,61.04
2022-02-09,3800177738202.0,2.26e-06,2.35e-06,2.23e-06,2.32e-06,0.0,69.23
2022-02-10,3659631576794.0,2.32e-06,2.34e-06,2.21e-06,2.23e-06,0.0,60.24
2022-02-11,4285276441596.0,2.23e-06,2.27e-06,2.12e-06,2.16e-06,0.0,55.06
2022-02-12,4493849362831.0,2.15e-06,2.2e-06,2.1e-06,2.17e-06,0.0,51.81
2022-02-13,6329027805516.0,2.17e-06,2.22e-06,2.12e-06,2.12e-06,0.0,51.81
2022-02-14,6932864078159.0,2.12e-06,2.15e-06,2.08e-06,2.13e-06,0.0,48.72
2022-02-15,7021664449989.0,2.12e-06,2.23e-06,2.12e-06,2.22e-06,0.0,53.49
2022-02-16,6059202038077.0,2.21e-06,2.23e-06,2.14e-06,2.18e-06,0.0,56.1
2022-02-17,6692212735070.0,2.18e-06,2.2e-06,2.03e-06,2.06e-06,0.0,49.46
2022-02-18,7137059289566.0,2.05e-06,2.09e-06,2.03e-06,2.05e-06,-0.0,38.46
2022-02-19,7597753452729.0,2.04e-06,2.07e-06,1.98e-06,2.02e-06,-0.0,34.62
2022-02-20,6909728494276.0,2.02e-06,2.03e-06,1.94e-06,1.97e-06,-0.0,30.86
2022-02-21,7648895503627.0,1.98e-06,2.06e-06,1.92e-06,1.94e-06,-0.0,23.38
2022-02-22,7729174136149.0,1.93e-06,1.95e-06,1.87e-06,1.94e-06,-0.0,26.87
2022-02-23,6637603179189.0,1.94e-06,2e-06,1.89e-06,1.9e-06,-0.0,17.19
2022-02-24,10284869454456.0,1.9e-06,1.91e-06,1.68e-06,1.81e-06,-0.0,17.19
