date,volume,open,high,low,close,MACD,RSI
2019-12-20,10679.79,5.94,5.94,5.88,5.922,0.0,
2019-12-21,27.92,5.95,5.95,5.927,5.927,0.0,
2019-12-22,58.5,5.928,5.95,5.928,5.95,0.0,
2019-12-23,6471.5,5.928,5.961,5.92,5.961,0.01,
2019-12-24,735.37,5.959,5.961,5.929,5.937,0.01,
2019-12-25,50.51,5.936,5.937,5.936,5.937,0.01,
2019-12-26,141.41,5.926,5.944,5.926,5.944,0.01,
2019-12-27,57.8,5.928,5.928,5.928,5.928,0.0,
2019-12-28,22.62,5.937,5.937,5.937,5.937,0.0,
2019-12-29,15.95,5.937,5.937,5.937,5.937,0.0,
2019-12-30,134.13,5.962,5.962,5.934,5.934,0.0,
2019-12-31,114.79,5.938,5.938,5.937,5.937,0.0,
2020-01-01,116.78,5.937,5.96,5.937,5.96,0.01,
2020-01-02,0.0,5.96,5.96,5.96,5.96,0.01,
2020-01-03,16958.93,5.968,5.982,5.963,5.981,0.01,70.34
2020-01-04,3127.94,5.981,5.981,5.981,5.981,0.01,69.29
2020-01-05,881.44,5.981,5.981,5.956,5.956,0.01,52.11
2020-01-06,181.67,5.96,5.984,5.96,5.984,0.01,57.23
2020-01-07,111.67,5.974,5.986,5.964,5.964,0.01,58.71
2020-01-08,2821.57,5.992,5.992,5.9,5.916,0.01,44.83
2020-01-09,812.55,5.916,5.916,5.867,5.871,0.0,34.85
2020-01-10,4368.57,5.881,5.893,5.865,5.881,-0.0,40.0
2020-01-11,461.45,5.881,5.883,5.881,5.882,-0.01,37.89
2020-01-12,335.22,5.882,5.882,5.881,5.881,-0.01,37.72
2020-01-13,3490.49,5.881,5.885,5.854,5.878,-0.01,37.72
2020-01-14,3871.81,5.878,5.908,5.871,5.9,-0.01,42.51
2020-01-15,3018.95,5.902,5.909,5.865,5.865,-0.02,31.66
2020-01-16,186.31,5.892,5.892,5.849,5.849,-0.02,29.82
2020-01-17,790.52,5.867,5.91,5.849,5.893,-0.02,35.23
2020-01-18,25.65,5.879,5.879,5.879,5.879,-0.02,33.65
2020-01-19,874.09,5.879,5.903,5.879,5.886,-0.02,38.1
2020-01-20,353.11,5.9,5.925,5.9,5.908,-0.01,36.81
2020-01-21,3198.95,5.909,5.947,5.909,5.934,-0.01,44.9
2020-01-22,285.78,5.934,5.95,5.926,5.929,-0.01,52.59
2020-01-23,15764.7,5.929,5.984,5.926,5.944,-0.0,66.52
2020-01-24,199.58,5.944,5.958,5.944,5.957,0.0,66.96
2020-01-25,346.31,5.958,5.959,5.949,5.958,0.0,66.96
2020-01-26,0.0,5.958,5.958,5.958,5.958,0.01,67.26
2020-01-27,299.86,5.96,5.97,5.953,5.969,0.01,69.7
2020-01-28,3999.16,5.96,5.97,5.946,5.952,0.01,61.5
2020-01-29,6707.32,5.95,5.983,5.945,5.98,0.01,76.26
2020-01-30,1819.63,5.98,5.993,5.976,5.976,0.01,80.68
2020-01-31,79.58,5.979,5.994,5.979,5.994,0.02,77.9
2020-02-01,62.31,5.982,6.001,5.982,5.993,0.02,83.93
2020-02-02,121.91,5.995,5.995,5.982,5.993,0.02,83.23
2020-02-03,522.22,5.98,6.006,5.98,5.993,0.02,80.58
2020-02-04,417.56,5.993,5.994,5.977,5.994,0.02,76.32
2020-02-05,19546.74,5.993,6.001,5.968,5.979,0.02,70.16
2020-02-06,558.36,5.979,5.996,5.975,5.994,0.02,70.16
2020-02-07,7447.96,5.993,6.046,5.975,6.02,0.02,72.99
2020-02-08,697.74,6.029,6.029,6.005,6.029,0.02,74.48
2020-02-09,9772.11,6.027,6.049,6.005,6.025,0.02,72.48
2020-02-10,980.46,5.992,6.032,5.99,6.012,0.02,64.24
2020-02-11,1759.2,6.031,6.037,6.004,6.004,0.02,68.31
