date,volume,open,high,low,close,MACD,RSI
2019-09-20,157497.51,238.7,306.0963,0.0005,1.0,0.0,
2019-09-21,141274.28,1.0,1.0,0.9999,0.9999,-0.0,
2019-09-22,127966.26,0.9999,1.0001,0.9999,0.9999,-0.0,
2019-09-23,1237537.7,0.9999,1.0001,0.9999,1.0,-0.0,
2019-09-24,3394555.76,1.0,1.0499,0.9902,0.9997,-0.0,
2019-09-25,625266.49,0.9997,1.001,0.9942,0.9997,-0.0,
2019-09-26,702098.53,1.0,1.0018,0.9997,0.9999,-0.0,
2019-09-27,240877.53,0.9999,1.0011,0.9991,0.9992,-0.0,
2019-09-28,145946.64,0.9992,1.0003,0.998,0.999,-0.0,
2019-09-29,104913.54,0.9988,1.0,0.9982,0.9982,-0.0,
2019-09-30,346265.17,0.9982,1.0003,0.9976,1.0,-0.0,
2019-10-01,176436.09,0.9982,1.0,0.9972,0.9994,-0.0,
2019-10-02,288582.13,0.9994,0.9999,0.9973,0.9994,-0.0,
2019-10-03,252452.7,0.9994,0.9999,0.9972,0.9989,-0.0,
2019-10-04,49799.95,0.9989,0.9999,0.9981,0.9982,-0.0,35.0
2019-10-05,50077.93,0.9983,0.9999,0.998,0.9982,-0.0,35.59
2019-10-06,137304.71,0.9981,1.0,0.9977,0.9989,-0.0,42.42
2019-10-07,284335.94,1.0,1.0,0.9976,0.9983,-0.0,38.03
2019-10-08,432492.16,0.9983,1.001,0.998,0.9992,-0.0,46.75
2019-10-09,2689959.75,0.9992,1.0007,0.9978,0.9989,-0.0,45.0
2019-10-10,148428.97,0.9976,0.9998,0.9965,0.997,-0.0,35.05
2019-10-11,1059218.96,0.9978,1.0,0.997,0.9991,-0.0,49.55
2019-10-12,1524524.75,0.9993,1.0,0.998,0.9992,-0.0,50.91
2019-10-13,1920259.26,0.9992,0.9999,0.9984,0.9996,-0.0,56.6
2019-10-14,2185640.02,0.9996,0.9999,0.9985,0.9994,-0.0,46.67
2019-10-15,3028583.17,0.9994,1.0006,0.9992,1.0003,-0.0,54.84
2019-10-16,8195713.67,1.0002,1.0011,0.9997,1.0,0.0,53.13
2019-10-17,9330621.75,1.0001,1.0005,0.9994,0.9995,0.0,53.13
2019-10-18,9477960.17,0.9995,1.0002,0.9995,0.9997,0.0,58.24
2019-10-19,10736113.26,0.9996,1.0,0.9991,0.9997,0.0,58.24
2019-10-20,8814488.48,0.9997,1.0001,0.9986,0.9989,0.0,50.0
2019-10-21,1996315.96,0.999,0.9995,0.998,0.9983,-0.0,50.0
2019-10-22,2095484.13,0.9982,0.9997,0.9982,0.9993,-0.0,50.54
2019-10-23,4033440.04,0.9992,1.0006,0.999,0.9998,0.0,54.74
2019-10-24,2853289.93,0.9998,1.0,0.9985,0.9986,-0.0,59.09
2019-10-25,6330503.7,0.9986,1.0,0.9974,0.9986,-0.0,46.27
2019-10-26,11785935.45,0.9987,1.0,0.9912,0.9989,-0.0,47.83
2019-10-27,6708005.67,0.9988,0.9991,0.9967,0.9977,-0.0,37.66
2019-10-28,5753940.81,0.9978,0.9988,0.9966,0.9979,-0.0,40.26
2019-10-29,7098591.82,0.9978,0.9997,0.9976,0.9985,-0.0,37.84
2019-10-30,5896083.18,0.9985,1.0,0.998,0.9993,-0.0,45.57
2019-10-31,5312252.31,0.9994,0.9995,0.9985,0.9992,-0.0,48.0
2019-11-01,5496693.59,0.9991,1.0002,0.9985,0.9993,-0.0,47.3
2019-11-02,3176672.92,0.9994,0.9995,0.9981,0.9987,-0.0,43.75
2019-11-03,3334588.36,0.9987,0.9998,0.9985,0.9996,-0.0,54.32
2019-11-04,7910758.98,0.9996,1.0002,0.9982,0.9986,-0.0,51.76
2019-11-05,8610353.13,0.9986,1.0,0.9978,0.9991,-0.0,48.75
2019-11-06,6510442.25,0.9991,1.0009,0.9989,1.0,0.0,51.19
2019-11-07,5431367.1,1.0,1.0028,0.9999,1.0012,0.0,65.48
2019-11-08,4308874.96,1.001,1.0078,1.0003,1.0012,0.0,65.48
2019-11-09,2827372.86,1.0013,1.002,1.0,1.0006,0.0,59.77
2019-11-10,2376485.52,1.0006,1.001,0.9995,1.0,0.0,64.2
2019-11-11,3353090.82,1.0001,1.0024,0.9998,1.0019,0.0,70.41
2019-11-12,4234623.81,1.0019,1.0049,1.0011,1.0022,0.0,69.47
2019-11-13,2713604.14,1.0021,1.0032,1.0007,1.0015,0.0,61.7
2019-11-14,2654169.04,1.0016,1.0044,1.0015,1.0023,0.0,65.35
2019-11-15,2671849.11,1.0024,1.0044,1.0011,1.0019,0.0,62.5
2019-11-16,1341150.41,1.0017,1.0021,1.0007,1.0013,0.0,62.5
2019-11-17,2080031.07,1.0013,1.0015,1.0,1.0004,0.0,53.85
2019-11-18,3392212.8,1.0003,1.004,1.0001,1.0022,0.0,66.07
2019-11-19,2464169.9,1.0022,1.003,1.0011,1.0018,0.0,62.16
2019-11-20,1817926.85,1.0018,1.0028,1.0011,1.002,0.0,59.62
2019-11-21,3460836.89,1.0019,1.0045,1.0005,1.0015,0.0,51.55
2019-11-22,5795601.64,1.0015,1.0039,0.9986,0.9987,0.0,40.0
