date,volume,open,high,low,close,MACD,RSI
2021-07-23,290047409.0,0.07541,3.0,0.07541,0.74531,0.0,
2021-07-24,693559014.0,0.74531,2.17369,0.7422,2.01,0.1,
2021-07-25,163630260.0,2.00926,2.01643,1.26501,1.4358,0.13,
2021-07-26,109024166.0,1.42817,1.6218,1.22011,1.29366,0.15,
2021-07-27,101354610.0,1.29367,1.4498,1.10097,1.268,0.15,
2021-07-28,35711085.0,1.268,1.29336,1.13361,1.14672,0.14,
2021-07-29,36030668.0,1.1455,1.18149,1.0214,1.05328,0.13,
2021-07-30,210394415.0,1.05324,1.43352,1.00001,1.2416,0.13,
2021-07-31,69938191.0,1.24159,1.41884,1.22147,1.28175,0.14,
2021-08-01,29974933.0,1.28172,1.28475,1.13393,1.145,0.13,
2021-08-02,18008627.0,1.14316,1.21,1.12967,1.14903,0.12,
2021-08-03,26196092.0,1.1488,1.20763,1.06589,1.1343,0.11,
2021-08-04,22080221.0,1.13451,1.193,1.117,1.14275,0.1,
2021-08-05,20541458.0,1.1427,1.146,1.08,1.10309,0.09,
2021-08-06,20315839.0,1.10309,1.14,1.08599,1.11,0.08,56.85
2021-08-07,29919662.0,1.10999,1.22651,1.09856,1.1268,0.07,18.74
2021-08-08,78220655.0,1.12669,1.31754,1.106,1.26533,0.08,41.27
2021-08-09,37695164.0,1.26374,1.3,1.17,1.20024,0.08,44.81
2021-08-10,20669453.0,1.20024,1.23297,1.152,1.16999,0.07,44.58
2021-08-11,26949327.0,1.16999,1.2485,1.16028,1.18234,0.07,52.24
2021-08-12,17069657.0,1.18218,1.22,1.12,1.14332,0.06,56.08
2021-08-13,15117746.0,1.1432,1.22864,1.14,1.18772,0.06,45.49
2021-08-14,210139802.0,1.1877,1.85,1.172,1.75263,0.1,70.99
2021-08-15,82828109.0,1.75142,1.79985,1.40688,1.50038,0.11,64.36
2021-08-16,46012265.0,1.50282,1.65,1.43715,1.47249,0.12,62.82
2021-08-17,53917387.0,1.47451,1.6888,1.39437,1.45289,0.12,62.58
2021-08-18,147030572.0,1.45345,1.97916,1.44204,1.8375,0.15,71.15
2021-08-19,42760954.0,1.83562,1.88449,1.63066,1.77625,0.17,70.23
2021-08-20,148031829.0,1.77521,2.68,1.77039,2.6199,0.25,80.19
2021-08-21,186237828.0,2.62153,3.38459,2.62001,2.75263,0.32,81.07
2021-08-22,115311477.0,2.75125,3.345,2.57,3.13138,0.4,82.66
2021-08-23,84164075.0,3.13085,3.488,2.99832,3.21448,0.46,85.03
