date,volume,open,high,low,close,MACD,RSI
2021-02-19,10342605.312,9.55,30.0,9.55,18.934,0.0,
2021-02-20,9194897.347,18.934,19.0,12.1,14.673,-0.34,
2021-02-21,8024148.278,14.611,18.894,14.1,16.645,-0.45,
2021-02-22,7186301.814,16.652,16.752,12.235,15.027,-0.65,
2021-02-23,9215981.581,15.056,15.099,9.66,12.744,-0.99,
2021-02-24,8049682.096,12.788,16.131,11.5,14.16,-1.13,
2021-02-25,4891170.49,14.16,14.844,11.51,11.652,-1.42,
2021-02-26,6141482.122,11.711,12.668,10.419,11.283,-1.67,
2021-02-27,4384904.732,11.283,12.369,10.359,10.652,-1.89,
2021-02-28,7659675.204,10.651,10.83,8.3,9.379,-2.15,
2021-03-01,15477911.356,9.379,13.499,9.346,13.11,-2.03,
2021-03-02,7556363.8,13.119,13.71,11.09,12.03,-1.99,
2021-03-03,6142304.901,12.047,13.48,11.794,12.599,-1.9,
2021-03-04,5671803.495,12.599,13.356,11.102,11.544,-1.89,
2021-03-05,4042764.769,11.543,11.755,10.6,11.094,-1.89,33.12
2021-03-06,3035233.469,11.061,12.001,10.777,11.13,-1.87,40.67
2021-03-07,3989422.665,11.113,12.2,10.904,11.678,-1.79,35.86
2021-03-08,3755272.977,11.668,11.944,11.021,11.936,-1.69,40.46
2021-03-09,7557254.891,11.935,14.691,11.654,14.201,-1.41,54.5
2021-03-10,6093463.419,14.2,14.388,12.501,12.745,-1.29,45.64
2021-03-11,5256734.701,12.743,13.666,12.059,12.333,-1.21,52.41
2021-03-12,5511411.903,12.327,12.387,10.502,11.018,-1.24,49.12
2021-03-13,4392455.419,11.017,11.917,10.625,11.373,-1.22,52.44
2021-03-14,3259831.483,11.373,11.42,10.61,10.935,-1.23,55.57
2021-03-15,7731331.164,10.92,11.048,9.6,9.973,-1.3,35.99
2021-03-16,5555988.062,9.986,10.4,9.32,9.976,-1.34,39.85
2021-03-17,4581722.127,9.984,10.527,9.348,10.346,-1.32,38.65
2021-03-18,3831002.411,10.344,10.684,9.821,9.9,-1.33,41.17
2021-03-19,2477142.262,9.901,10.144,9.65,9.829,-1.33,42.92
2021-03-20,3093022.062,9.829,10.548,9.78,9.906,-1.31,43.18
2021-03-21,2147253.551,9.901,10.193,9.68,10.193,-1.25,41.48
2021-03-22,12170266.897,10.137,12.57,10.075,10.916,-1.13,44.44
2021-03-23,9430932.892,10.89,12.5,10.556,11.47,-0.99,31.72
2021-03-24,12287277.462,11.455,13.949,11.12,12.079,-0.81,44.97
2021-03-25,8575192.968,12.078,12.89,11.175,11.925,-0.68,46.79
2021-03-26,13486393.667,11.918,15.2,11.851,14.782,-0.34,73.8
2021-03-27,15738487.916,14.778,18.21,14.102,17.309,0.14,79.45
2021-03-28,14390476.58,17.295,18.6,15.312,16.183,0.42,74.37
2021-03-29,7514992.867,16.183,18.0,15.983,17.215,0.71,83.42
2021-03-30,7126977.275,17.227,19.0,16.6,19.0,1.08,85.76
2021-03-31,7696882.143,19.0,19.711,17.05,18.06,1.28,79.25
2021-04-01,5248247.166,18.058,18.397,16.344,17.101,1.34,76.28
2021-04-02,4921815.94,17.12,18.53,16.871,17.069,1.38,76.5
2021-04-03,4161091.734,17.066,17.487,15.4,15.601,1.27,68.92
2021-04-04,3410120.848,15.602,16.97,15.2,16.757,1.26,70.61
2021-04-05,4393514.875,16.763,18.0,15.844,16.94,1.26,69.58
2021-04-06,4949670.213,16.933,18.336,16.566,18.03,1.33,70.61
2021-04-07,6811948.921,18.038,18.5,15.55,17.146,1.3,65.65
2021-04-08,12220039.505,17.179,21.25,17.101,21.102,1.57,72.95
2021-04-09,9701651.384,21.102,24.345,19.84,24.151,2.02,73.21
2021-04-10,10081975.95,24.169,25.269,21.3,22.804,2.23,64.46
2021-04-11,8056509.162,22.779,26.666,21.903,26.221,2.65,73.57
2021-04-12,12809189.394,26.205,28.242,23.858,26.195,2.94,72.13
2021-04-13,6789002.903,26.195,26.582,23.105,24.237,2.98,62.8
2021-04-14,5368098.251,24.23,25.363,22.179,23.232,2.9,62.6
2021-04-15,6887717.726,23.225,24.491,21.46,23.537,2.83,66.19
