date,volume,open,high,low,close,MACD,RSI
2021-01-05,17193301.34,1.588,4.12,1.588,2.5765,0.0,
2021-01-06,2898056.48,2.5765,2.6909,2.2032,2.302,-0.02,
2021-01-07,1626050.6,2.3183,2.51,2.1155,2.2091,-0.05,
2021-01-08,1366575.49,2.2102,2.49,2.0,2.2961,-0.06,
2021-01-09,406013.31,2.3001,2.3714,2.1536,2.2937,-0.07,
2021-01-10,300757.93,2.2899,2.3,2.0911,2.14,-0.08,
2021-01-11,470423.55,2.1534,2.1798,1.755,1.9482,-0.11,
2021-01-12,310354.67,1.946,2.1334,1.8607,1.957,-0.13,
2021-01-13,397390.02,1.9713,2.1499,1.9099,2.0711,-0.14,
2021-01-14,334830.83,2.0929,2.2432,2.0556,2.0974,-0.14,
2021-01-15,299975.19,2.0989,2.168,1.9,2.0,-0.15,
2021-01-16,428586.51,2.0125,2.2323,2.0001,2.0678,-0.14,
2021-01-17,346601.39,2.067,2.1946,2.0228,2.125,-0.14,
2021-01-18,1582184.21,2.125,2.45,2.0683,2.2371,-0.12,
2021-01-19,725645.4,2.2488,2.253,2.14,2.1608,-0.11,34.74
2021-01-20,2898212.37,2.1608,2.6397,2.1,2.2784,-0.09,49.02
2021-01-21,12958460.93,2.2699,3.75,2.219,3.0923,-0.02,72.92
2021-01-22,14781894.62,3.0741,3.85,2.8,3.14,0.05,72.36
2021-01-23,3523697.26,3.1409,3.1409,2.702,2.82,0.08,61.94
2021-01-24,2692530.02,2.8199,3.0,2.705,2.7848,0.09,65.45
2021-01-25,6899182.1,2.7848,3.4229,2.7641,3.1347,0.13,76.43
2021-01-26,4355640.92,3.1498,3.5998,3.0421,3.1029,0.16,75.27
2021-01-27,1689064.72,3.0926,3.3,2.756,2.949,0.17,69.03
2021-01-28,1089910.89,2.9411,3.0609,2.8118,2.9657,0.17,68.9
2021-01-29,809118.72,2.9745,3.0,2.81,2.8914,0.17,69.6
2021-01-30,597421.97,2.8915,2.9725,2.7968,2.8785,0.16,68.26
2021-01-31,724589.89,2.8782,2.9383,2.753,2.8041,0.15,65.18
2021-02-01,529886.41,2.8042,2.98,2.765,2.8528,0.14,64.17
2021-02-02,394251.52,2.8529,2.904,2.7939,2.87,0.14,66.77
2021-02-03,1788072.72,2.87,3.1947,2.8659,2.956,0.14,66.27
2021-02-04,636635.39,2.9638,3.038,2.9197,2.9574,0.14,44.69
2021-02-05,1659954.9,2.9614,3.34,2.926,3.2,0.15,52.05
2021-02-06,690894.99,3.2,3.2297,2.9974,3.0871,0.15,60.62
2021-02-07,4102336.3,3.0871,3.85,3.0811,3.6017,0.2,73.51
2021-02-08,1308605.66,3.6129,3.706,3.2902,3.5348,0.22,63.76
2021-02-09,990086.87,3.5444,3.75,3.438,3.7065,0.25,68.93
2021-02-10,11411735.15,3.7065,5.98,3.616,4.8091,0.36,86.57
2021-02-11,3893735.36,4.7906,5.225,3.9022,4.789,0.44,85.8
2021-02-12,1125909.97,4.7809,5.0261,4.5776,4.8282,0.5,88.56
2021-02-13,1797173.99,4.8399,5.48,4.514,4.6054,0.52,81.73
2021-02-14,1418702.85,4.5912,4.722,4.122,4.3421,0.52,76.43
