date,volume,open,high,low,close,MACD,RSI
2021-10-22,34976239.9,2.721,9.2,2.721,4.617,0.0,
2021-10-23,7017074.5,4.613,4.89,3.735,3.786,-0.07,
2021-10-24,5372056.5,3.788,3.956,3.257,3.425,-0.15,
2021-10-25,11249223.0,3.425,4.1,3.281,3.447,-0.21,
2021-10-26,6817621.3,3.444,3.985,3.341,3.531,-0.24,
2021-10-27,4218699.2,3.53,3.73,2.954,2.974,-0.31,
2021-10-28,4114319.4,2.98,3.175,2.789,2.949,-0.37,
2021-10-29,2877361.4,2.948,3.175,2.9,3.063,-0.4,
2021-10-30,2729445.6,3.065,3.253,2.969,2.992,-0.42,
2021-10-31,1915337.0,2.993,3.018,2.801,2.92,-0.44,
2021-11-01,3880359.5,2.927,3.498,2.842,3.253,-0.42,
2021-11-02,4581940.1,3.259,3.79,3.164,3.218,-0.41,
2021-11-03,2489009.0,3.218,3.58,3.136,3.29,-0.39,
2021-11-04,1996961.4,3.289,3.336,2.896,3.056,-0.38,
2021-11-05,1458709.2,3.056,3.084,2.81,2.862,-0.39,20.8
2021-11-06,1018420.1,2.86,2.946,2.8,2.939,-0.39,31.19
2021-11-07,1187161.2,2.939,3.099,2.861,2.88,-0.39,36.02
2021-11-08,1416801.6,2.885,3.0,2.744,2.912,-0.38,36.35
2021-11-09,1500944.1,2.912,3.05,2.77,2.804,-0.38,31.67
2021-11-10,1886396.3,2.804,2.909,2.506,2.593,-0.39,38.36
2021-11-11,1488029.3,2.589,2.711,2.45,2.558,-0.39,38.13
2021-11-12,1744354.5,2.558,2.64,2.322,2.403,-0.41,30.45
2021-11-13,1823227.4,2.407,2.63,2.332,2.616,-0.39,39.73
2021-11-14,2160733.7,2.616,2.751,2.46,2.53,-0.39,39.43
2021-11-15,1250850.7,2.528,2.539,2.35,2.35,-0.39,23.3
2021-11-16,3072412.7,2.349,2.37,2.0,2.076,-0.41,20.41
2021-11-17,1234683.9,2.081,2.171,1.925,2.097,-0.42,18.25
2021-11-18,1644458.8,2.099,2.156,1.781,1.786,-0.45,17.54
2021-11-19,1721978.0,1.786,1.975,1.744,1.889,-0.46,23.91
2021-11-20,5081781.1,1.884,2.436,1.82,2.172,-0.44,31.48
2021-11-21,95907708.6,2.169,6.1,2.145,3.564,-0.31,60.05
2021-11-22,61082803.6,3.567,4.239,2.812,2.827,-0.26,48.97
2021-11-23,10298773.7,2.831,3.05,2.75,2.831,-0.22,50.34
2021-11-24,7041942.1,2.831,2.887,2.486,2.584,-0.2,49.89
2021-11-25,6235364.9,2.579,2.66,2.356,2.587,-0.19,50.36
2021-11-26,23667873.6,2.583,3.32,2.145,2.618,-0.17,52.77
2021-11-27,50586742.7,2.618,4.1,2.507,3.132,-0.12,56.16
2021-11-28,16272912.7,3.132,3.296,2.73,2.879,-0.09,54.01
2021-11-29,7005638.7,2.879,2.974,2.68,2.72,-0.08,54.27
2021-11-30,3283696.1,2.719,2.737,2.55,2.551,-0.09,55.62
2021-12-01,6367198.9,2.553,2.75,2.461,2.578,-0.09,55.68
2021-12-02,7381214.9,2.579,2.66,2.411,2.496,-0.1,58.87
2021-12-03,6644812.1,2.498,2.598,2.256,2.319,-0.12,55.27
2021-12-04,3851462.0,2.319,2.325,1.648,1.947,-0.16,47.3
2021-12-05,33986571.6,1.949,2.894,1.89,2.398,-0.16,31.93
2021-12-06,14127092.2,2.395,2.439,1.9,2.214,-0.17,38.53
2021-12-07,4138817.2,2.214,2.31,2.057,2.086,-0.18,36.68
2021-12-08,2493615.0,2.088,2.149,1.968,2.072,-0.19,40.02
2021-12-09,2584037.8,2.072,2.095,1.87,1.913,-0.21,37.61
2021-12-10,2148089.6,1.912,1.95,1.755,1.76,-0.24,34.9
2021-12-11,2340835.5,1.76,1.95,1.745,1.914,-0.24,25.46
2021-12-12,5564432.2,1.906,2.183,1.853,1.936,-0.24,29.05
2021-12-13,10948042.7,1.936,2.11,1.768,1.79,-0.25,29.22
2021-12-14,3782109.8,1.79,1.939,1.745,1.808,-0.25,32.2
2021-12-15,2965103.9,1.808,1.85,1.685,1.822,-0.25,31.77
2021-12-16,3670441.0,1.817,2.047,1.793,1.827,-0.24,33.25
2021-12-17,6307434.8,1.829,2.045,1.8,1.94,-0.23,40.2
2021-12-18,7591477.0,1.94,2.21,1.896,2.057,-0.2,53.28
2021-12-19,2153452.2,2.049,2.1,1.903,1.919,-0.19,32.45
2021-12-20,2637623.5,1.919,1.929,1.707,1.813,-0.19,34.42
2021-12-21,2216150.5,1.813,1.883,1.763,1.846,-0.19,39.93
2021-12-22,3639360.7,1.843,2.048,1.819,1.85,-0.18,40.61
2021-12-23,2261740.3,1.848,1.943,1.805,1.909,-0.17,49.82
2021-12-24,2497622.3,1.909,1.97,1.8,1.832,-0.16,53.58
2021-12-25,7669052.4,1.832,2.139,1.811,1.99,-0.14,53.76
2021-12-26,2831564.4,1.99,2.031,1.895,1.949,-0.13,50.63
2021-12-27,3830178.6,1.941,2.135,1.92,1.983,-0.11,60.52
2021-12-28,3049614.1,1.98,1.98,1.731,1.788,-0.12,49.09
2021-12-29,3016303.9,1.79,1.918,1.721,1.808,-0.12,49.36
2021-12-30,2348929.2,1.808,1.91,1.746,1.823,-0.11,49.82
2021-12-31,6016527.6,1.823,2.09,1.79,1.931,-0.1,49.59
2022-01-01,1965145.4,1.934,1.98,1.872,1.938,-0.09,44.02
2022-01-02,14089438.6,1.937,2.45,1.92,2.172,-0.06,61.59
2022-01-03,11259389.4,2.166,2.434,2.031,2.273,-0.03,71.18
2022-01-04,18366358.7,2.273,2.764,2.211,2.362,0.0,72.59
2022-01-05,9649660.7,2.361,2.435,1.938,2.014,-0.0,55.52
2022-01-06,5312879.7,2.014,2.063,1.83,1.91,-0.01,50.03
2022-01-07,4080527.2,1.913,1.92,1.692,1.731,-0.03,46.91
2022-01-08,4990282.1,1.728,1.863,1.67,1.748,-0.05,41.89
2022-01-09,5584572.2,1.75,1.979,1.736,1.792,-0.06,44.75
2022-01-10,3754683.4,1.792,1.838,1.595,1.659,-0.07,39.84
2022-01-11,2604665.6,1.66,1.745,1.635,1.703,-0.08,47.05
2022-01-12,2957253.5,1.705,1.829,1.667,1.793,-0.08,49.5
2022-01-13,4241937.1,1.793,1.983,1.74,1.742,-0.08,47.39
2022-01-14,2356559.1,1.742,1.828,1.692,1.771,-0.08,44.56
2022-01-15,2790515.5,1.771,1.85,1.702,1.764,-0.08,44.08
2022-01-16,1253382.5,1.765,1.774,1.705,1.719,-0.08,32.32
2022-01-17,2006028.0,1.719,1.726,1.595,1.65,-0.09,25.06
2022-01-18,2294789.9,1.65,1.655,1.481,1.524,-0.1,17.42
2022-01-19,1858716.6,1.526,1.584,1.437,1.491,-0.11,23.07
2022-01-20,1666498.4,1.493,1.54,1.425,1.432,-0.13,24.19
2022-01-21,4255647.0,1.428,1.436,1.113,1.123,-0.16,21.21
2022-01-22,5499751.8,1.122,1.16,0.913,0.976,-0.19,17.45
2022-01-23,2659415.9,0.978,1.12,0.965,1.057,-0.21,19.95
2022-01-24,2541457.1,1.057,1.057,0.857,0.959,-0.24,20.54
2022-01-25,2786275.2,0.957,0.959,0.881,0.917,-0.25,16.86
2022-01-26,2735193.7,0.918,0.979,0.87,0.895,-0.26,9.84
2022-01-27,3231360.0,0.895,0.933,0.839,0.872,-0.27,10.09
2022-01-28,1356317.8,0.873,0.908,0.836,0.894,-0.27,9.51
2022-01-29,1857844.5,0.893,0.938,0.88,0.918,-0.27,11.55
2022-01-30,11058887.7,0.919,1.07,0.905,0.978,-0.26,16.77
2022-01-31,2948325.3,0.979,0.985,0.907,0.964,-0.25,17.64
2022-02-01,2471976.2,0.96,0.982,0.922,0.951,-0.24,19.75
2022-02-02,9512289.5,0.951,1.19,0.907,0.994,-0.23,24.03
2022-02-03,40584735.4,0.995,1.56,0.95,1.197,-0.2,39.33
2022-02-04,13840780.3,1.199,1.289,1.076,1.137,-0.18,50.82
2022-02-05,8201591.0,1.136,1.26,1.1,1.134,-0.16,61.16
2022-02-06,5631590.1,1.135,1.228,1.1,1.163,-0.14,58.08
2022-02-07,5259005.4,1.164,1.25,1.127,1.239,-0.12,72.08
2022-02-08,5123394.7,1.239,1.308,1.117,1.153,-0.11,67.4
2022-02-09,3652030.1,1.153,1.248,1.136,1.21,-0.09,72.09
2022-02-10,4354632.5,1.21,1.22,1.093,1.098,-0.09,64.09
2022-02-11,3224268.5,1.099,1.169,1.027,1.039,-0.09,58.64
2022-02-12,2848304.8,1.038,1.068,0.982,1.01,-0.09,55.45
2022-02-13,10212329.0,1.011,1.244,0.984,1.044,-0.09,54.03
2022-02-14,10831283.8,1.045,1.27,1.015,1.077,-0.08,56.75
2022-02-15,3068554.8,1.078,1.152,1.064,1.133,-0.07,60.34
2022-02-16,1575343.2,1.132,1.138,1.069,1.086,-0.07,55.2
2022-02-17,2318366.1,1.086,1.096,0.98,0.99,-0.07,36.68
2022-02-18,1621267.0,0.985,1.024,0.943,0.959,-0.08,38.1
2022-02-19,1639989.5,0.957,0.968,0.899,0.933,-0.08,36.96
2022-02-20,1756930.7,0.933,0.935,0.839,0.859,-0.09,31.37
2022-02-21,5690761.3,0.859,0.963,0.831,0.836,-0.1,23.59
2022-02-22,3519354.2,0.837,0.962,0.791,0.934,-0.09,35.87
2022-02-23,4133931.6,0.934,0.935,0.856,0.87,-0.09,28.26
2022-02-24,4090916.0,0.871,0.876,0.743,0.814,-0.1,30.44
2022-02-25,2086347.6,0.816,0.865,0.806,0.851,-0.1,36.65
2022-02-26,2125050.0,0.85,0.894,0.842,0.851,-0.1,38.22
2022-02-27,2351815.4,0.851,0.876,0.792,0.806,-0.1,32.65
2022-02-28,3253179.0,0.805,0.885,0.8,0.881,-0.09,36.54
2022-03-01,3329406.6,0.882,0.92,0.859,0.899,-0.09,33.04
2022-03-02,12802524.8,0.898,0.956,0.853,0.874,-0.08,34.13
2022-03-03,2374758.7,0.874,0.881,0.808,0.823,-0.08,36.6
2022-03-04,2132511.9,0.823,0.825,0.755,0.76,-0.08,34.81
2022-03-05,1365975.6,0.76,0.79,0.747,0.782,-0.08,38.4
2022-03-06,9192732.4,0.782,0.88,0.761,0.775,-0.08,42.81
2022-03-07,8558375.5,0.774,0.865,0.75,0.789,-0.08,45.91
2022-03-08,2890494.5,0.789,0.825,0.756,0.766,-0.08,33.2
2022-03-09,3003460.4,0.767,0.826,0.765,0.791,-0.08,41.43
2022-03-10,2504215.3,0.793,0.803,0.747,0.758,-0.08,43.61
2022-03-11,1540423.8,0.758,0.769,0.731,0.735,-0.08,36.32
2022-03-12,1192166.4,0.734,0.751,0.728,0.739,-0.08,36.92
2022-03-13,11546216.3,0.739,0.854,0.736,0.751,-0.07,43.04
2022-03-14,3329414.1,0.751,0.803,0.729,0.747,-0.07,29.32
2022-03-15,3705597.7,0.747,0.775,0.711,0.729,-0.07,23.77
2022-03-16,2910627.6,0.727,0.762,0.718,0.749,-0.07,30.41
2022-03-17,2965232.1,0.749,0.77,0.732,0.737,-0.06,34.64
2022-03-18,2403164.9,0.738,0.76,0.724,0.741,-0.06,45.7
2022-03-19,10191279.6,0.743,0.86,0.743,0.816,-0.05,56.2
2022-03-20,63392410.0,0.816,1.13,0.78,0.851,-0.04,62.58
2022-03-21,14548320.6,0.852,0.96,0.8,0.864,-0.03,62.46
2022-03-22,5134884.5,0.864,0.883,0.842,0.846,-0.02,63.51
2022-03-23,4209132.3,0.846,0.849,0.8,0.827,-0.02,56.21
2022-03-24,6062304.1,0.827,0.9,0.819,0.861,-0.01,67.7
2022-03-25,3304562.5,0.86,0.89,0.836,0.841,-0.01,68.4
2022-03-26,24270733.3,0.841,1.038,0.832,0.944,-0.0,76.49
2022-03-27,5310964.7,0.944,0.96,0.901,0.951,0.01,76.18
2022-03-28,5644355.7,0.952,0.979,0.915,0.924,0.01,71.85
2022-03-29,5893847.3,0.926,0.953,0.885,0.928,0.02,75.45
2022-03-30,11215784.4,0.928,1.049,0.92,0.972,0.02,76.87
2022-03-31,8595975.2,0.973,1.044,0.889,0.901,0.02,67.3
2022-04-01,5471776.2,0.901,1.01,0.888,0.993,0.03,72.42
2022-04-02,18330473.1,0.992,1.205,0.99,1.068,0.04,72.42
2022-04-03,18651137.5,1.068,1.249,1.052,1.094,0.05,71.97
2022-04-04,6576851.9,1.095,1.097,0.985,1.047,0.05,65.59
2022-04-05,4979098.6,1.046,1.059,0.938,0.94,0.05,56.95
2022-04-06,4790480.6,0.94,0.98,0.873,0.905,0.04,55.64
2022-04-07,3399035.1,0.903,0.96,0.89,0.917,0.03,54.18
2022-04-08,3899355.2,0.916,0.935,0.829,0.841,0.02,50.0
2022-04-09,1704442.8,0.841,0.865,0.834,0.86,0.01,43.46
2022-04-10,9684305.3,0.861,0.988,0.854,0.882,0.01,44.75
2022-04-11,3964977.4,0.882,0.884,0.752,0.764,-0.0,39.3
2022-04-12,2373460.0,0.764,0.811,0.758,0.794,-0.01,41.34
2022-04-13,2355651.6,0.794,0.829,0.777,0.807,-0.02,38.9
2022-04-14,1986988.5,0.808,0.817,0.764,0.777,-0.02,41.17
2022-04-15,1313042.7,0.778,0.796,0.761,0.793,-0.02,34.03
2022-04-16,7168481.8,0.792,0.876,0.783,0.813,-0.03,27.67
2022-04-17,2567687.8,0.813,0.826,0.767,0.771,-0.03,22.49
2022-04-18,1967950.3,0.77,0.782,0.732,0.766,-0.03,24.22
