date,volume,open,high,low,close,MACD,RSI
2021-11-10,3499910.44,14.44,53.0,14.44,16.36,0.0,
2021-11-11,896744.43,16.31,17.74,14.9,15.13,-0.1,
2021-11-12,347260.75,15.13,15.21,14.23,14.58,-0.22,
2021-11-13,405767.1,14.55,15.93,14.33,15.03,-0.27,
2021-11-14,209428.85,15.03,15.19,14.6,14.83,-0.33,
2021-11-15,286087.97,14.85,15.5,14.68,15.0,-0.36,
2021-11-16,299603.82,15.03,15.05,13.5,14.05,-0.45,
2021-11-17,144822.59,14.05,14.28,13.52,13.77,-0.54,
2021-11-18,247293.74,13.77,13.81,12.6,12.7,-0.69,
2021-11-19,286500.97,12.7,14.45,12.63,13.42,-0.74,
2021-11-20,187652.48,13.39,13.72,13.1,13.31,-0.78,
2021-11-21,249641.0,13.31,14.3,12.88,13.11,-0.82,
2021-11-22,371161.22,13.11,14.23,12.92,13.3,-0.83,
2021-11-23,289851.66,13.3,13.77,12.34,12.6,-0.88,
2021-11-24,282043.21,12.64,12.77,12.09,12.35,-0.93,21.64
2021-11-25,192361.19,12.37,12.6,12.07,12.36,-0.96,26.32
2021-11-26,218819.03,12.38,12.46,11.01,11.17,-1.06,23.73
2021-11-27,94484.17,11.18,11.75,11.17,11.43,-1.11,21.43
2021-11-28,91705.74,11.41,11.42,10.9,11.41,-1.14,22.06
2021-11-29,82098.95,11.43,11.54,11.23,11.49,-1.14,20.9
2021-11-30,207329.93,11.49,11.84,10.95,11.06,-1.17,22.87
2021-12-01,133315.79,11.06,11.41,10.87,10.92,-1.18,23.46
2021-12-02,107596.75,10.9,10.91,10.48,10.64,-1.2,27.51
2021-12-03,142288.67,10.64,10.89,10.0,10.19,-1.24,12.53
2021-12-04,229938.83,10.2,10.2,8.5,9.62,-1.3,11.32
2021-12-05,2146809.64,9.62,12.1,9.44,9.98,-1.31,18.26
2021-12-06,734647.19,9.97,10.9,9.28,10.42,-1.26,22.2
2021-12-07,258272.98,10.4,11.0,9.93,10.29,-1.22,24.95
2021-12-08,134825.32,10.27,10.42,9.88,10.29,-1.18,26.38
2021-12-09,636341.66,10.29,12.73,9.89,10.03,-1.15,24.73
2021-12-10,309642.12,10.01,11.0,9.68,9.79,-1.13,31.15
2021-12-11,462762.57,9.81,11.0,9.67,10.1,-1.08,32.08
2021-12-12,135161.33,10.12,10.35,9.98,10.33,-1.01,36.22
2021-12-13,135130.76,10.33,10.44,9.37,9.66,-1.0,29.71
2021-12-14,87536.88,9.66,9.75,9.43,9.68,-0.98,33.17
