date,volume,open,high,low,close,MACD,RSI
2023-06-02,27161229.0,1.73,1.97,1.528,1.81,0.0,
2023-06-03,16044242.1,1.807,1.854,1.475,1.575,-0.02,
2023-06-04,6718043.6,1.575,1.575,1.454,1.473,-0.04,
2023-06-05,10922604.1,1.475,1.52,1.152,1.242,-0.08,
2023-06-06,6112403.5,1.241,1.34,1.207,1.306,-0.1,
2023-06-07,5275844.8,1.304,1.312,1.142,1.202,-0.12,
2023-06-08,3763020.9,1.2,1.225,1.142,1.161,-0.14,
2023-06-09,3322149.9,1.162,1.2,1.11,1.137,-0.16,
2023-06-10,9016442.0,1.137,1.137,0.796,0.941,-0.19,
2023-06-11,8999235.0,0.941,1.05,0.9,0.982,-0.2,
2023-06-12,2989158.3,0.98,0.998,0.927,0.991,-0.21,
2023-06-13,3318213.6,0.99,1.033,0.943,0.979,-0.22,
2023-06-14,3136208.1,0.979,0.988,0.88,0.906,-0.23,
2023-06-15,2548882.4,0.907,0.921,0.866,0.904,-0.23,
2023-06-16,2268763.8,0.906,0.928,0.867,0.917,-0.23,11.07
2023-06-17,4417136.5,0.917,0.992,0.895,0.961,-0.22,17.89
2023-06-18,2103894.9,0.961,0.965,0.884,0.89,-0.22,18.49
2023-06-19,1826532.9,0.89,0.911,0.876,0.904,-0.22,26.13
2023-06-20,2303180.5,0.904,0.947,0.873,0.942,-0.21,23.31
2023-06-21,4870247.9,0.94,1.0,0.93,0.983,-0.19,32.31
2023-06-22,7083212.2,0.983,1.068,0.928,0.941,-0.18,32.26
2023-06-23,3684399.3,0.941,0.996,0.927,0.982,-0.17,37.83
2023-06-24,5584365.8,0.982,1.058,0.948,0.973,-0.16,53.56
2023-06-25,4550313.4,0.974,1.055,0.965,0.983,-0.15,50.12
2023-06-26,2939326.0,0.981,0.982,0.902,0.93,-0.14,43.41
2023-06-27,2153399.5,0.929,0.955,0.911,0.932,-0.14,44.81
2023-06-28,4828378.0,0.932,0.932,0.773,0.811,-0.14,40.52
2023-06-29,3161133.2,0.81,0.837,0.805,0.816,-0.14,41.27
2023-06-30,2975463.0,0.816,0.86,0.701,0.848,-0.13,43.4
2023-07-01,3720861.8,0.849,0.919,0.847,0.875,-0.13,41.5
2023-07-02,1612578.8,0.875,0.878,0.823,0.855,-0.12,46.15
2023-07-03,1978844.3,0.856,0.875,0.85,0.858,-0.12,44.82
2023-07-04,2697935.4,0.858,0.862,0.819,0.832,-0.11,37.27
2023-07-05,2384866.2,0.832,0.848,0.76,0.784,-0.11,27.33
2023-07-06,3017259.4,0.783,0.8,0.745,0.751,-0.11,27.91
2023-07-07,1827842.6,0.75,0.771,0.73,0.765,-0.11,23.08
2023-07-08,1356266.3,0.764,0.775,0.739,0.754,-0.11,22.96
2023-07-09,1510837.5,0.754,0.768,0.737,0.74,-0.11,20.29
2023-07-10,2353399.7,0.74,0.749,0.693,0.728,-0.11,22.55
2023-07-11,2476409.8,0.729,0.734,0.697,0.712,-0.11,21.2
2023-07-12,3168447.2,0.712,0.726,0.667,0.684,-0.11,28.03
2023-07-13,4777578.3,0.683,0.782,0.672,0.775,-0.1,44.53
2023-07-14,2857796.3,0.775,0.8,0.717,0.742,-0.09,35.9
2023-07-15,1369865.8,0.742,0.753,0.725,0.728,-0.09,29.75
2023-07-16,2274040.0,0.728,0.731,0.677,0.686,-0.09,28.05
2023-07-17,2046373.6,0.685,0.714,0.68,0.703,-0.09,30.58
2023-07-18,2870490.4,0.703,0.714,0.657,0.671,-0.09,30.12
2023-07-19,2286433.7,0.67,0.683,0.659,0.665,-0.08,33.61
2023-07-20,2632692.5,0.664,0.694,0.661,0.671,-0.08,38.1
2023-07-21,2215871.4,0.672,0.685,0.662,0.667,-0.08,34.97
2023-07-22,1802282.7,0.668,0.677,0.66,0.665,-0.08,35.96
2023-07-23,7859994.8,0.665,0.713,0.661,0.682,-0.07,40.94
2023-07-24,3340926.0,0.682,0.685,0.595,0.63,-0.07,36.39
2023-07-25,1870934.0,0.629,0.65,0.62,0.626,-0.07,37.64
2023-07-26,2313606.0,0.626,0.634,0.602,0.624,-0.07,40.68
2023-07-27,1863554.5,0.624,0.63,0.613,0.626,-0.07,18.03
2023-07-28,7927009.8,0.626,0.677,0.621,0.65,-0.07,29.46
2023-07-29,1613397.4,0.65,0.662,0.641,0.651,-0.06,31.75
2023-07-30,1864647.9,0.651,0.655,0.61,0.626,-0.06,34.54
2023-07-31,1476446.0,0.625,0.634,0.616,0.624,-0.06,27.93
2023-08-01,3054163.5,0.624,0.633,0.582,0.633,-0.05,37.82
2023-08-02,1588310.1,0.633,0.637,0.607,0.613,-0.05,34.71
2023-08-03,1586574.7,0.613,0.617,0.598,0.606,-0.05,30.99
2023-08-04,2038836.0,0.605,0.616,0.592,0.607,-0.05,32.14
2023-08-05,2139362.8,0.606,0.608,0.577,0.599,-0.05,31.03
2023-08-06,15970348.2,0.599,0.696,0.597,0.641,-0.04,39.7
2023-08-07,7164524.7,0.642,0.673,0.612,0.641,-0.04,53.74
2023-08-08,2286668.7,0.64,0.647,0.627,0.629,-0.04,50.97
2023-08-09,1756665.8,0.629,0.634,0.612,0.62,-0.04,48.77
2023-08-10,1138678.4,0.621,0.622,0.606,0.607,-0.03,44.51
2023-08-11,1256112.5,0.607,0.626,0.604,0.622,-0.03,41.46
2023-08-12,3450382.8,0.622,0.647,0.619,0.636,-0.03,45.76
2023-08-13,3353552.7,0.636,0.667,0.631,0.655,-0.02,58.48
2023-08-14,2698907.5,0.655,0.67,0.647,0.66,-0.02,60.34
2023-08-15,2642677.1,0.661,0.661,0.596,0.61,-0.02,44.65
2023-08-16,4220828.3,0.61,0.611,0.528,0.55,-0.03,37.65
2023-08-17,4181337.2,0.551,0.558,0.411,0.469,-0.04,29.18
2023-08-18,6817709.3,0.469,0.499,0.466,0.484,-0.04,32.07
2023-08-19,3140522.8,0.485,0.518,0.484,0.502,-0.05,36.26
2023-08-20,1395869.1,0.501,0.51,0.497,0.505,-0.05,28.34
2023-08-21,1391734.3,0.504,0.505,0.479,0.496,-0.05,27.55
2023-08-22,1343244.8,0.496,0.497,0.469,0.489,-0.05,27.99
2023-08-23,1281721.3,0.489,0.504,0.486,0.5,-0.05,31.25
2023-08-24,1269524.5,0.5,0.501,0.483,0.488,-0.05,31.35
2023-08-25,1199734.0,0.488,0.488,0.47,0.484,-0.05,27.6
2023-08-26,1019917.0,0.485,0.487,0.473,0.477,-0.05,23.59
2023-08-27,752199.2,0.477,0.488,0.473,0.485,-0.05,20.69
2023-08-28,2012083.2,0.485,0.489,0.466,0.482,-0.05,19.1
2023-08-29,6023742.5,0.482,0.537,0.458,0.517,-0.04,32.97
2023-08-30,6701740.3,0.517,0.532,0.503,0.516,-0.04,42.06
2023-08-31,3972634.6,0.516,0.531,0.484,0.505,-0.03,62.5
2023-09-01,7681657.2,0.504,0.55,0.502,0.536,-0.03,66.25
2023-09-02,14243967.6,0.537,0.588,0.522,0.542,-0.03,63.51
2023-09-03,5528685.3,0.541,0.559,0.529,0.543,-0.02,63.01
