date,volume,open,high,low,close,MACD,RSI
2019-08-03,81829347.2,0.03268,0.036,0.0222,0.02226,0.0,
2019-08-04,17506683.8,0.02226,0.0235,0.02052,0.0207,-0.0,
2019-08-05,24934922.1,0.0207,0.02179,0.01721,0.01757,-0.0,
2019-08-06,34213627.2,0.01757,0.022,0.01755,0.0193,-0.0,
2019-08-07,125213689.7,0.0193,0.0423,0.0193,0.03719,0.0,
2019-08-08,397252506.6,0.03761,0.05368,0.02777,0.02801,0.0,
2019-08-09,111887841.4,0.02815,0.0318,0.0223,0.02279,0.0,
2019-08-10,59388249.9,0.02284,0.02777,0.0221,0.02677,0.0,
2019-08-11,53491515.2,0.02681,0.0285,0.02458,0.02499,0.0,
2019-08-12,89568475.4,0.02499,0.0325,0.02473,0.03028,0.0,
2019-08-13,83573438.3,0.0303,0.03333,0.02868,0.03066,0.0,
2019-08-14,56372966.4,0.0308,0.03198,0.02536,0.026,0.0,
2019-08-15,142824745.0,0.026,0.0362,0.02577,0.03413,0.0,
2019-08-16,165153606.9,0.03421,0.03997,0.02999,0.03288,0.0,
2019-08-17,117048955.8,0.033,0.03841,0.03226,0.03515,0.0,59.7
2019-08-18,70615094.2,0.03515,0.03547,0.03,0.03067,0.0,57.19
2019-08-19,72590642.0,0.03068,0.03502,0.03004,0.03334,0.0,61.44
2019-08-20,94590522.1,0.03335,0.03707,0.03243,0.03486,0.0,61.32
2019-08-21,63879268.3,0.03486,0.03521,0.02801,0.02908,0.0,42.83
2019-08-22,33175677.3,0.02908,0.03014,0.02672,0.02964,0.0,51.7
2019-08-23,13287434.8,0.02941,0.031,0.02814,0.02881,0.0,56.91
2019-08-24,17057596.7,0.02861,0.02944,0.02631,0.02811,0.0,51.66
2019-08-25,16766942.1,0.02812,0.02985,0.02659,0.02701,0.0,52.55
2019-08-26,15124257.4,0.02716,0.02749,0.02471,0.0249,0.0,42.62
2019-08-27,17458822.8,0.0249,0.0252,0.02331,0.02374,0.0,40.7
2019-08-28,47110392.7,0.02375,0.02828,0.02279,0.02464,0.0,47.97
2019-08-29,12823839.0,0.02451,0.02451,0.0216,0.02166,-0.0,27.98
2019-08-30,6509048.2,0.02181,0.023,0.02176,0.02238,-0.0,31.1
2019-08-31,7817266.9,0.02238,0.02366,0.02057,0.02107,-0.0,23.75
2019-09-01,14285102.4,0.02107,0.02145,0.0196,0.02024,-0.0,27.49
2019-09-02,11295449.8,0.02039,0.02202,0.02,0.02055,-0.0,19.27
2019-09-03,10617997.7,0.02055,0.02197,0.0199,0.02079,-0.0,13.98
2019-09-04,53300129.7,0.0209,0.02636,0.02018,0.0239,-0.0,34.64
2019-09-05,38986910.0,0.02388,0.02589,0.023,0.023,-0.0,30.7
2019-09-06,19754589.5,0.023,0.02365,0.0205,0.02087,-0.0,28.54
2019-09-07,8218349.3,0.02087,0.02209,0.02034,0.02121,-0.0,30.98
2019-09-08,8248748.7,0.02121,0.02258,0.021,0.02165,-0.0,34.67
2019-09-09,6826814.3,0.02165,0.02216,0.02021,0.0213,-0.0,38.55
2019-09-10,24639049.6,0.0213,0.02252,0.02021,0.02071,-0.0,40.0
2019-09-11,10727248.9,0.02068,0.02107,0.019,0.0193,-0.0,32.95
2019-09-12,8670203.6,0.0194,0.01998,0.018,0.0197,-0.0,42.51
2019-09-13,7134615.5,0.01957,0.02095,0.01914,0.01995,-0.0,40.36
2019-09-14,2138348.3,0.01996,0.01996,0.01924,0.01969,-0.0,44.03
2019-09-15,5286499.9,0.0197,0.02127,0.01941,0.02017,-0.0,49.69
2019-09-16,20728154.9,0.02023,0.02304,0.02007,0.02144,-0.0,53.66
2019-09-17,13454475.5,0.02135,0.02363,0.02082,0.02249,-0.0,56.55
2019-09-18,14233849.1,0.02248,0.02379,0.02144,0.02199,-0.0,40.79
2019-09-19,9615539.2,0.02197,0.02197,0.01951,0.0204,-0.0,38.25
2019-09-20,9862704.4,0.0204,0.02288,0.02011,0.02071,-0.0,49.13
2019-09-21,3407011.7,0.02061,0.0209,0.02009,0.02037,-0.0,45.45
2019-09-22,3653131.9,0.02035,0.02045,0.01943,0.01959,-0.0,39.25
2019-09-23,9428355.9,0.01959,0.0204,0.01831,0.01919,-0.0,39.04
2019-09-24,8607628.9,0.01911,0.02021,0.0153,0.01551,-0.0,29.56
2019-09-25,7045810.8,0.01568,0.01736,0.01564,0.01645,-0.0,38.37
2019-09-26,5698190.9,0.01647,0.01713,0.01502,0.01579,-0.0,34.37
2019-09-27,3179595.5,0.01585,0.0159,0.01514,0.01568,-0.0,32.74
2019-09-28,2793078.5,0.01572,0.01667,0.0156,0.01616,-0.0,35.98
2019-09-29,4414258.1,0.01605,0.01664,0.01551,0.01589,-0.0,32.71
2019-09-30,4620175.1,0.01581,0.017,0.01546,0.01623,-0.0,27.25
2019-10-01,10929755.9,0.01623,0.01898,0.01607,0.01796,-0.0,31.33
2019-10-02,11852541.7,0.018,0.02127,0.01741,0.01974,-0.0,41.61
2019-10-03,22806970.2,0.01962,0.0215,0.0179,0.01845,-0.0,42.56
2019-10-04,9966373.6,0.01842,0.01916,0.018,0.0186,-0.0,41.85
2019-10-05,6215252.0,0.01852,0.01899,0.01766,0.01819,-0.0,41.63
2019-10-06,7469733.0,0.01824,0.01824,0.01624,0.01654,-0.0,39.02
2019-10-07,3349959.0,0.01647,0.01745,0.01636,0.01708,-0.0,42.48
2019-10-08,5962431.5,0.01708,0.01794,0.01676,0.01755,-0.0,59.43
2019-10-09,8301229.0,0.01755,0.01841,0.01721,0.01819,-0.0,58.27
2019-10-10,5079005.4,0.01819,0.01839,0.01714,0.0174,-0.0,57.56
2019-10-11,5197044.9,0.01741,0.01752,0.01664,0.01688,-0.0,55.42
2019-10-12,6511474.3,0.01689,0.01799,0.0167,0.01754,-0.0,56.14
2019-10-13,4584786.9,0.01761,0.01799,0.01686,0.01702,-0.0,54.92
2019-10-14,3799382.8,0.01702,0.01799,0.01692,0.01726,-0.0,54.52
2019-10-15,3913265.6,0.0173,0.01761,0.01633,0.01636,-0.0,42.42
2019-10-16,2637674.5,0.01636,0.01665,0.01569,0.01614,-0.0,30.0
2019-10-17,3323391.4,0.01618,0.01701,0.01586,0.01664,-0.0,38.98
2019-10-18,12960555.4,0.01657,0.01798,0.01656,0.01668,-0.0,38.15
2019-10-19,7191758.2,0.01673,0.01699,0.01576,0.01601,-0.0,36.96
2019-10-20,4712657.5,0.01609,0.01609,0.0156,0.01587,-0.0,45.11
2019-10-21,11682400.7,0.01579,0.01705,0.0155,0.01688,-0.0,48.63
2019-10-22,11247548.7,0.01698,0.01763,0.01596,0.01596,-0.0,39.77
2019-10-23,12209994.9,0.01596,0.01637,0.01365,0.01385,-0.0,26.52
2019-10-24,11838343.4,0.01385,0.01398,0.013,0.01376,-0.0,28.69
2019-10-25,22493432.6,0.01379,0.01534,0.01301,0.01516,-0.0,40.87
2019-10-26,18600334.8,0.01511,0.0166,0.01369,0.01435,-0.0,33.33
2019-10-27,22133602.8,0.01436,0.0174,0.0137,0.0168,-0.0,49.04
2019-10-28,7893813.6,0.01681,0.0174,0.0158,0.01722,-0.0,49.83
2019-10-29,5761597.4,0.01716,0.01746,0.01561,0.01596,-0.0,48.34
2019-10-30,5732144.5,0.01586,0.01619,0.01511,0.01529,-0.0,46.6
2019-10-31,4006041.4,0.01529,0.0158,0.01502,0.01539,-0.0,44.83
2019-11-01,2720255.4,0.01539,0.0157,0.01505,0.01535,-0.0,44.5
2019-11-02,2315167.2,0.01546,0.01571,0.01517,0.01538,-0.0,47.25
2019-11-03,9078303.2,0.01537,0.01638,0.01493,0.01592,-0.0,50.21
2019-11-04,16579534.3,0.01593,0.01688,0.01545,0.01649,-0.0,48.29
2019-11-05,5654908.9,0.01631,0.01663,0.01568,0.01618,-0.0,51.02
2019-11-06,4636367.3,0.01618,0.01633,0.0156,0.01565,-0.0,59.76
2019-11-07,4495880.9,0.01566,0.01583,0.01503,0.01535,-0.0,58.43
2019-11-08,6871053.8,0.01535,0.01544,0.01405,0.0145,-0.0,46.28
2019-11-09,4121376.9,0.0145,0.0153,0.01438,0.01496,-0.0,53.58
2019-11-10,3416598.9,0.01496,0.01523,0.01465,0.01507,-0.0,36.03
2019-11-11,5119185.5,0.01507,0.01517,0.01432,0.01456,-0.0,28.82
2019-11-12,3719451.4,0.01456,0.01484,0.0143,0.01455,-0.0,35.98
2019-11-13,4638288.9,0.01457,0.0152,0.0144,0.0149,-0.0,45.86
2019-11-14,3977382.8,0.0149,0.0149,0.01414,0.01437,-0.0,40.08
2019-11-15,4543657.4,0.01435,0.01442,0.0136,0.01389,-0.0,36.92
2019-11-16,2613266.5,0.01389,0.01401,0.01367,0.01389,-0.0,36.58
2019-11-17,4463338.5,0.01392,0.01448,0.01383,0.01434,-0.0,35.53
2019-11-18,3722334.6,0.01431,0.01431,0.01321,0.0134,-0.0,23.5
2019-11-19,4970597.6,0.01339,0.01343,0.01252,0.01306,-0.0,23.38
2019-11-20,3843516.2,0.01306,0.01323,0.01269,0.01275,-0.0,24.29
2019-11-21,5522324.8,0.01276,0.01283,0.01079,0.01179,-0.0,21.75
2019-11-22,7513695.8,0.01181,0.0125,0.01,0.01153,-0.0,23.99
2019-11-23,4466599.8,0.01141,0.01175,0.011,0.01174,-0.0,20.51
2019-11-24,4289831.2,0.01171,0.01171,0.01075,0.01085,-0.0,16.19
2019-11-25,7850340.4,0.01085,0.01211,0.00977,0.01137,-0.0,24.48
2019-11-26,6212341.7,0.0114,0.01216,0.01136,0.01195,-0.0,30.94
2019-11-27,8487222.4,0.01195,0.01225,0.01096,0.01199,-0.0,27.65
2019-11-28,5618267.3,0.01198,0.01223,0.01164,0.01187,-0.0,29.51
2019-11-29,6241936.6,0.01187,0.01266,0.01183,0.01238,-0.0,37.68
2019-11-30,4272178.8,0.01237,0.01262,0.01197,0.0123,-0.0,37.2
2019-12-01,6202704.4,0.01228,0.0126,0.01166,0.012,-0.0,30.69
2019-12-02,4349372.9,0.01201,0.01206,0.01165,0.01184,-0.0,35.23
2019-12-03,6405726.0,0.01184,0.0126,0.01183,0.01212,-0.0,41.0
2019-12-04,8160748.3,0.01213,0.01294,0.0117,0.01198,-0.0,42.38
2019-12-05,13495036.8,0.01198,0.01338,0.01195,0.01251,-0.0,57.79
2019-12-06,16610899.3,0.0125,0.01354,0.01225,0.01302,-0.0,65.3
2019-12-07,15179638.7,0.01303,0.01355,0.01285,0.01345,-0.0,66.8
2019-12-08,7442055.6,0.01345,0.01353,0.01291,0.01296,-0.0,72.49
2019-12-09,6322259.7,0.01294,0.01319,0.01222,0.01224,-0.0,58.9
2019-12-10,8444924.9,0.01232,0.01232,0.0109,0.01154,-0.0,45.91
2019-12-11,810013.8,0.0116,0.01174,0.01128,0.01144,-0.0,44.58
2019-12-12,1608838.9,0.0115,0.01154,0.011,0.01133,-0.0,44.66
2019-12-13,498198.2,0.01134,0.01173,0.01124,0.01155,-0.0,41.3
2019-12-14,3285865.8,0.01162,0.012,0.01085,0.01119,-0.0,39.01
2019-12-15,3681710.3,0.01119,0.01146,0.0111,0.01126,-0.0,42.32
2019-12-16,5023193.2,0.01125,0.01129,0.01051,0.01073,-0.0,39.31
2019-12-17,5278921.6,0.01075,0.01091,0.01004,0.01024,-0.0,32.59
2019-12-18,3912085.6,0.01022,0.0115,0.00986,0.01139,-0.0,45.4
2019-12-19,5473607.9,0.01139,0.01141,0.01079,0.01129,-0.0,39.8
2019-12-20,8104248.8,0.01126,0.013,0.01104,0.01157,-0.0,37.39
2019-12-21,6050680.1,0.01157,0.01161,0.01123,0.0113,-0.0,30.77
2019-12-22,5185642.2,0.0113,0.01162,0.01108,0.01154,-0.0,36.7
2019-12-23,8276435.0,0.01156,0.01162,0.01039,0.01055,-0.0,34.94
2019-12-24,5669048.1,0.01053,0.01086,0.01036,0.01055,-0.0,39.92
2019-12-25,4404004.6,0.01054,0.01057,0.0099,0.01029,-0.0,38.66
2019-12-26,3126626.8,0.0103,0.01034,0.00984,0.00995,-0.0,36.98
2019-12-27,4217887.1,0.00991,0.01009,0.00955,0.00968,-0.0,32.52
2019-12-28,2735557.2,0.00967,0.0098,0.00959,0.00966,-0.0,34.73
2019-12-29,4298814.8,0.00964,0.00976,0.00937,0.00943,-0.0,32.3
2019-12-30,4094261.5,0.00941,0.00964,0.0092,0.00956,-0.0,37.74
2019-12-31,3457559.6,0.00953,0.00961,0.00918,0.00928,-0.0,39.47
2020-01-01,2460902.7,0.0093,0.00961,0.00928,0.00948,-0.0,23.55
2020-01-02,3286778.7,0.00946,0.0095,0.00878,0.00883,-0.0,20.43
2020-01-03,3561466.6,0.00883,0.0095,0.00874,0.0093,-0.0,23.91
2020-01-04,7376405.1,0.00933,0.0094,0.0092,0.0093,-0.0,25.49
2020-01-05,7574902.8,0.00929,0.0094,0.00905,0.00909,-0.0,19.75
2020-01-06,5609149.1,0.00907,0.00959,0.00906,0.00929,-0.0,30.67
2020-01-07,4015168.8,0.00926,0.00944,0.00897,0.00917,-0.0,29.59
2020-01-08,3811885.5,0.00916,0.00924,0.00875,0.00887,-0.0,29.24
2020-01-09,4504420.4,0.00887,0.00913,0.00865,0.00875,-0.0,31.25
2020-01-10,13142325.7,0.00878,0.0093,0.00844,0.0087,-0.0,33.56
2020-01-11,18349459.5,0.00872,0.00914,0.00839,0.00848,-0.0,31.45
2020-01-12,5749485.2,0.00845,0.00856,0.00835,0.00842,-0.0,33.22
2020-01-13,6188445.4,0.00842,0.00869,0.0083,0.00848,-0.0,31.63
