date,volume,open,high,low,close,MACD,RSI
2023-09-22,79919.253,11.49,57.45,11.12,11.47,0.0,
2023-09-23,1634963.025,11.4,22.5,11.31,17.52,0.48,
2023-09-24,1702466.439,17.55,24.29,14.76,16.4,0.77,
2023-09-25,511321.127,16.38,19.56,15.2,19.02,1.19,
2023-09-26,860934.57,19.02,21.88,17.55,18.07,1.43,
2023-09-27,415175.038,18.07,19.83,16.64,18.37,1.63,
2023-09-28,624562.54,18.35,21.8,17.57,19.33,1.84,
2023-09-29,224800.813,19.33,20.67,17.77,18.39,1.91,
2023-09-30,134167.966,18.35,18.49,17.1,17.56,1.88,
2023-10-01,92716.558,17.52,18.25,17.12,17.81,1.85,
2023-10-02,573662.135,17.78,20.4,17.4,19.34,1.93,
2023-10-03,218085.566,19.35,20.3,17.3,17.64,1.83,
2023-10-04,187378.258,17.64,19.2,17.4,17.99,1.77,
2023-10-05,70348.259,17.96,18.31,17.4,17.54,1.66,
2023-10-06,144969.695,17.54,17.96,16.49,17.71,1.57,67.12
2023-10-07,113873.44,17.69,18.8,17.0,17.26,1.44,48.97
2023-10-08,53688.856,17.26,17.49,16.81,16.91,1.3,52.15
2023-10-09,90425.609,16.92,17.2,15.5,15.73,1.08,34.2
2023-10-10,51893.919,15.73,16.03,14.68,14.8,0.82,34.26
2023-10-11,53538.155,14.81,15.7,14.24,14.73,0.6,32.09
2023-10-12,462663.835,14.73,17.93,14.37,15.33,0.47,29.59
2023-10-13,219918.603,15.34,16.85,15.0,15.61,0.39,34.79
2023-10-14,148364.619,15.61,16.33,15.14,15.6,0.32,38.22
2023-10-15,287561.817,15.59,17.59,15.3,16.24,0.31,40.99
2023-10-16,127879.326,16.26,17.11,16.01,16.31,0.3,29.1
2023-10-17,68905.166,16.32,16.48,15.1,15.18,0.21,31.59
2023-10-18,559903.782,15.18,18.75,15.01,15.86,0.18,34.81
2023-10-19,181008.159,15.87,16.92,15.2,15.35,0.12,34.51
2023-10-20,99071.951,15.35,15.86,15.2,15.71,0.1,36.23
2023-10-21,75074.129,15.71,16.18,15.46,15.89,0.1,40.2
2023-10-22,238795.402,15.89,16.91,15.63,16.1,0.11,44.09
2023-10-23,82224.167,16.1,16.35,15.7,16.11,0.12,53.35
2023-10-24,107034.791,16.11,16.35,15.81,16.02,0.12,62.6
2023-10-25,75658.888,16.05,16.2,15.8,16.0,0.11,63.26
2023-10-26,97639.402,16.01,16.5,15.82,16.08,0.12,58.78
2023-10-27,168378.766,16.05,17.25,15.95,16.29,0.13,58.1
2023-10-28,70161.494,16.31,16.67,16.2,16.42,0.16,59.49
2023-10-29,156200.298,16.42,17.29,16.07,16.69,0.19,55.7
2023-10-30,139543.625,16.69,17.47,16.51,17.25,0.26,60.59
2023-10-31,107617.929,17.23,17.5,16.55,16.98,0.3,75.14
2023-11-01,99370.55,16.98,17.33,16.67,16.87,0.31,66.78
2023-11-02,82962.604,16.88,17.12,16.09,16.29,0.27,65.26
2023-11-03,57223.958,16.32,16.37,15.21,16.03,0.21,55.37
2023-11-04,35110.613,16.04,16.15,15.5,15.89,0.16,50.0
2023-11-05,98337.37,15.92,17.0,15.75,16.3,0.14,53.18
2023-11-06,67483.286,16.3,16.9,16.17,16.62,0.16,57.39
2023-11-07,165282.482,16.62,17.57,16.5,16.55,0.16,57.73
2023-11-08,56042.859,16.55,16.79,15.93,16.48,0.15,56.9
2023-11-09,103354.078,16.48,17.12,16.01,16.55,0.15,56.77
2023-11-10,100358.669,16.58,17.05,16.0,16.7,0.16,56.01
2023-11-11,361561.198,16.73,19.8,16.45,17.1,0.2,59.24
2023-11-12,691355.339,17.13,24.2,17.02,19.84,0.45,75.61
2023-11-13,340101.752,19.78,20.4,17.56,18.46,0.53,58.68
2023-11-14,751325.817,18.49,23.9,18.2,21.14,0.79,72.17
2023-11-15,249976.416,21.14,22.22,19.5,20.85,0.97,70.82
2023-11-16,158876.04,20.9,21.45,20.03,20.17,1.05,70.08
2023-11-17,86390.482,20.14,20.77,18.5,19.17,1.01,65.1
2023-11-18,100584.492,19.17,19.77,17.54,19.06,0.97,65.28
2023-11-19,41808.799,19.03,19.43,18.44,19.17,0.93,64.25
2023-11-20,69920.929,19.13,19.7,18.28,19.04,0.88,62.25
2023-11-21,89787.605,19.05,19.32,16.22,16.28,0.61,48.93
2023-11-22,52121.859,16.29,18.03,16.22,17.9,0.52,55.03
2023-11-23,44284.821,17.9,18.11,17.0,17.37,0.4,52.81
2023-11-24,45917.553,17.37,17.85,17.09,17.56,0.32,52.94
2023-11-25,52169.152,17.56,17.78,17.0,17.65,0.26,51.92
2023-11-26,107287.029,17.65,19.2,17.3,18.01,0.23,42.33
2023-11-27,367108.038,18.01,20.65,17.52,17.87,0.2,47.24
2023-11-28,92253.146,17.87,18.55,17.71,18.01,0.19,30.8
2023-11-29,64412.278,18.04,18.2,16.91,17.27,0.11,29.19
2023-11-30,40980.535,17.23,17.72,17.0,17.57,0.08,34.18
2023-12-01,422616.285,17.57,19.5,17.35,18.58,0.13,46.42
2023-12-02,178388.85,18.56,19.09,18.0,18.17,0.14,44.78
2023-12-03,160677.755,18.19,18.81,17.67,17.8,0.11,42.21
2023-12-04,74775.4,17.8,18.4,17.38,17.9,0.1,43.49
2023-12-05,67415.639,17.92,18.15,17.32,17.55,0.06,60.0
2023-12-06,55404.528,17.6,17.97,17.11,17.18,-0.0,42.94
2023-12-07,41670.21,17.21,17.59,16.92,17.36,-0.03,49.89
2023-12-08,95913.118,17.36,18.4,17.1,17.66,-0.04,51.03
2023-12-09,195863.899,17.62,19.38,17.4,18.06,-0.01,53.97
2023-12-10,56591.078,18.08,18.76,17.68,18.24,0.03,52.3
2023-12-11,82120.596,18.24,18.82,17.28,17.6,0.01,47.54
2023-12-12,34490.15,17.59,18.12,17.28,17.51,-0.01,45.4
2023-12-13,41456.191,17.51,18.07,17.19,17.96,0.01,56.7
2023-12-14,74386.183,17.96,18.8,17.8,18.0,0.02,54.4
2023-12-15,27206.881,18.0,18.29,17.65,17.66,0.01,39.1
2023-12-16,27716.578,17.66,18.3,17.46,17.66,-0.0,43.31
2023-12-17,102370.271,17.7,19.35,17.5,17.65,-0.01,47.83
2023-12-18,28583.722,17.69,17.76,17.08,17.39,-0.04,42.94
2023-12-19,25473.016,17.39,17.76,17.1,17.26,-0.07,45.72
2023-12-20,21198.374,17.26,17.84,17.2,17.64,-0.07,56.76
2023-12-21,22595.294,17.61,17.81,17.34,17.68,-0.06,54.91
2023-12-22,23157.274,17.68,17.76,17.35,17.56,-0.06,48.38
2023-12-23,85443.807,17.56,19.14,17.3,17.69,-0.05,43.42
2023-12-24,111652.822,17.69,19.14,17.61,18.11,-0.01,47.87
2023-12-25,100205.41,18.11,19.45,18.05,18.5,0.05,66.07
2023-12-26,473541.465,18.5,24.5,17.89,18.96,0.14,72.87
2023-12-27,692845.388,19.01,24.27,18.75,19.91,0.28,76.57
2023-12-28,94867.643,19.91,20.32,18.2,18.78,0.3,58.19
2023-12-29,57904.817,18.79,19.21,18.05,18.53,0.29,59.31
2023-12-30,159073.747,18.5,20.1,18.22,19.16,0.33,64.15
2023-12-31,65517.323,19.16,19.37,18.31,18.57,0.31,57.82
2024-01-01,182651.102,18.57,21.55,18.3,19.7,0.38,67.11
2024-01-02,54581.968,19.7,19.95,19.0,19.36,0.4,65.09
2024-01-03,79678.625,19.36,19.89,17.5,18.1,0.32,52.93
2024-01-04,34784.536,18.08,18.44,17.81,18.31,0.26,53.93
2024-01-05,47415.769,18.31,18.36,16.9,17.41,0.15,49.15
2024-01-06,31988.47,17.41,17.42,16.48,17.08,0.03,46.61
2024-01-07,30696.618,17.08,17.56,16.62,16.72,-0.1,42.22
2024-01-08,26047.733,16.77,17.01,15.61,16.93,-0.18,41.03
2024-01-09,29851.098,16.93,16.98,15.72,16.13,-0.3,34.43
2024-01-10,28550.673,16.13,17.25,15.65,16.84,-0.34,32.66
2024-01-11,44719.789,16.87,17.9,16.77,17.54,-0.3,42.64
2024-01-12,36386.678,17.48,18.08,16.5,16.89,-0.33,40.7
2024-01-13,21209.011,16.94,17.47,16.63,17.29,-0.31,39.12
2024-01-14,23660.51,17.29,17.53,16.83,16.9,-0.33,40.05
2024-01-15,12750.224,16.86,17.3,16.81,17.05,-0.32,32.12
2024-01-16,24375.565,17.06,17.82,17.06,17.28,-0.3,35.75
2024-01-17,21830.13,17.28,17.7,17.01,17.12,-0.29,42.1
2024-01-18,19244.643,17.12,17.26,16.11,16.23,-0.35,34.88
2024-01-19,32408.703,16.23,17.21,15.85,16.88,-0.34,46.0
2024-01-20,25413.533,16.88,17.06,16.36,16.87,-0.33,48.34
2024-01-21,15156.256,16.9,17.2,16.44,16.79,-0.32,50.58
2024-01-22,17019.38,16.76,17.07,15.88,15.95,-0.38,42.64
2024-01-23,238840.883,15.91,18.78,15.03,15.58,-0.45,45.59
2024-01-24,29812.253,15.58,16.09,15.34,15.76,-0.49,40.53
2024-01-25,26835.432,15.79,15.94,15.11,15.49,-0.53,30.55
2024-01-26,24927.404,15.49,16.24,15.32,15.97,-0.52,40.98
2024-01-27,84402.638,15.99,17.18,15.65,15.92,-0.51,35.58
2024-01-28,42039.301,15.96,16.41,15.65,15.69,-0.52,36.82
2024-01-29,23871.497,15.69,16.09,15.64,15.96,-0.5,38.43
2024-01-30,37248.496,15.99,16.03,15.63,15.64,-0.5,32.92
2024-01-31,30244.324,15.64,15.84,15.11,15.13,-0.53,30.68
2024-02-01,29320.623,15.16,15.63,15.01,15.26,-0.55,38.95
2024-02-02,137345.435,15.26,16.8,15.24,16.1,-0.48,41.48
2024-02-03,44709.018,16.1,16.26,15.4,15.7,-0.46,38.23
2024-02-04,229205.628,15.72,18.31,15.53,15.9,-0.42,41.26
2024-02-05,69846.226,15.9,16.67,15.7,15.9,-0.38,49.41
2024-02-06,26783.508,15.88,16.13,15.54,15.73,-0.36,51.85
2024-02-07,35859.829,15.7,16.18,15.51,15.93,-0.33,52.09
2024-02-08,29728.808,15.93,16.04,15.7,15.78,-0.31,53.67
2024-02-09,45117.178,15.78,16.54,15.7,16.2,-0.26,52.96
2024-02-10,34234.103,16.2,16.35,15.85,16.19,-0.21,53.51
2024-02-11,78391.286,16.2,16.8,16.02,16.33,-0.17,58.51
2024-02-12,65138.807,16.33,16.99,16.15,16.44,-0.12,56.67
2024-02-13,49865.863,16.44,16.8,16.25,16.42,-0.08,61.82
