date,volume,open,high,low,close,MACD,RSI
2020-08-15,5014732.421,5.0,23.255,5.0,6.91,0.0,
2020-08-16,3224235.06,6.91,7.696,5.734,5.782,-0.09,
2020-08-17,4726877.361,5.781,5.94,4.182,4.38,-0.27,
2020-08-18,5891300.544,4.375,4.486,3.173,3.6,-0.47,
2020-08-19,7644862.305,3.6,5.03,3.305,3.919,-0.6,
2020-08-20,4503665.09,3.919,4.675,3.809,3.89,-0.69,
2020-08-21,4839799.213,3.884,4.069,3.2,3.23,-0.81,
2020-08-22,3407375.506,3.23,3.27,2.715,3.057,-0.91,
2020-08-23,3452913.365,3.057,3.09,2.58,2.695,-1.01,
2020-08-24,4249210.839,2.685,3.1,2.595,2.897,-1.05,
2020-08-25,5472771.867,2.884,3.411,2.68,2.857,-1.08,
2020-08-26,9770163.833,2.858,4.15,2.815,3.556,-1.03,
2020-08-27,10622222.281,3.558,4.316,3.2,3.344,-1.0,
2020-08-28,5469740.809,3.344,4.0,3.34,3.527,-0.95,
2020-08-29,4563202.893,3.532,3.549,3.083,3.109,-0.94,21.24
2020-08-30,7510633.032,3.107,3.75,3.08,3.554,-0.88,31.2
2020-08-31,7516192.043,3.557,4.443,3.423,4.337,-0.76,49.59
2020-09-01,21189407.359,4.333,5.701,4.141,5.335,-0.58,65.71
2020-09-02,13213895.281,5.356,5.369,3.8,4.326,-0.51,53.28
2020-09-03,13872548.792,4.326,4.359,2.733,2.913,-0.56,43.57
2020-09-04,9011295.305,2.913,3.294,2.666,2.85,-0.6,47.29
2020-09-05,10874401.79,2.851,3.073,1.549,1.901,-0.7,42.57
2020-09-06,12841820.034,1.897,2.335,1.5,2.16,-0.75,46.51
2020-09-07,8069814.767,2.161,2.298,1.7,2.097,-0.79,44.69
2020-09-08,6501641.783,2.1,2.15,1.757,1.839,-0.83,43.43
2020-09-09,8816283.969,1.838,2.143,1.772,1.973,-0.84,38.99
2020-09-10,9833403.85,1.97,2.197,1.925,1.96,-0.84,40.1
2020-09-11,8378489.691,1.961,2.009,1.703,1.901,-0.83,38.16
2020-09-12,11820422.808,1.9,2.147,1.81,2.103,-0.8,42.43
2020-09-13,9602679.523,2.101,2.14,1.76,1.908,-0.79,37.14
2020-09-14,7171169.585,1.908,1.982,1.787,1.843,-0.77,28.05
2020-09-15,10844631.258,1.846,1.889,1.337,1.415,-0.78,11.64
2020-09-16,12854255.481,1.417,1.463,1.198,1.281,-0.79,14.05
2020-09-17,10784967.313,1.281,1.433,1.196,1.333,-0.79,22.51
2020-09-18,10518595.219,1.332,1.433,1.222,1.258,-0.78,22.42
2020-09-19,16055050.815,1.258,1.649,1.233,1.483,-0.75,40.33
2020-09-20,15526291.727,1.482,1.638,1.299,1.361,-0.73,30.27
2020-09-21,14672700.472,1.361,1.403,1.07,1.088,-0.72,27.43
2020-09-22,11367668.864,1.09,1.152,1.0,1.077,-0.71,30.84
2020-09-23,12161063.817,1.079,1.133,0.864,0.888,-0.71,23.45
2020-09-24,9493710.13,0.887,1.004,0.875,0.993,-0.69,27.35
2020-09-25,13394313.564,0.992,1.044,0.879,0.975,-0.67,27.89
2020-09-26,13117289.978,0.974,1.143,0.97,1.114,-0.64,25.65
2020-09-27,9173508.369,1.114,1.135,0.978,1.04,-0.61,27.28
2020-09-28,9448248.884,1.04,1.1,0.971,1.002,-0.58,27.67
2020-09-29,7314006.597,1.001,1.021,0.906,0.951,-0.56,34.59
2020-09-30,6921674.674,0.953,0.97,0.909,0.949,-0.53,37.92
2020-10-01,9131513.033,0.95,0.985,0.823,0.864,-0.52,33.33
2020-10-02,10249771.978,0.863,0.877,0.726,0.765,-0.5,32.77
2020-10-03,7115744.27,0.765,0.811,0.742,0.768,-0.49,20.43
2020-10-04,8981437.99,0.766,0.769,0.674,0.697,-0.47,21.33
2020-10-05,10043965.189,0.697,0.721,0.614,0.632,-0.47,26.0
2020-10-06,18189571.862,0.633,0.634,0.494,0.507,-0.46,23.21
2020-10-07,18502756.369,0.507,0.53,0.455,0.526,-0.45,29.75
2020-10-08,18193662.364,0.526,0.579,0.462,0.561,-0.44,23.79
2020-10-09,17919160.824,0.559,0.639,0.518,0.623,-0.42,29.72
2020-10-10,11517182.202,0.623,0.647,0.547,0.558,-0.4,14.99
2020-10-11,8386741.998,0.559,0.58,0.525,0.559,-0.38,16.64
2020-10-12,8421794.85,0.558,0.599,0.536,0.571,-0.36,18.99
2020-10-13,6544549.234,0.571,0.574,0.532,0.545,-0.35,19.7
2020-10-14,10776793.696,0.548,0.554,0.478,0.503,-0.33,18.59
2020-10-15,7385313.067,0.503,0.508,0.48,0.499,-0.32,20.99
2020-10-16,11489728.596,0.499,0.514,0.425,0.431,-0.31,22.07
2020-10-17,8144632.47,0.431,0.456,0.418,0.436,-0.3,22.33
2020-10-18,7111837.525,0.435,0.475,0.434,0.455,-0.28,27.92
2020-10-19,10101635.204,0.456,0.458,0.408,0.413,-0.27,29.14
2020-10-20,15231672.33,0.413,0.417,0.354,0.359,-0.27,33.7
2020-10-21,13041921.652,0.358,0.404,0.357,0.384,-0.25,34.57
2020-10-22,11217181.439,0.383,0.431,0.382,0.409,-0.24,33.11
